step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,15376,1.0016,0.266895,0.465219,15376,2,3844,3844,3844,1663.9,0,1663.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1664.2,1664.2,0,0,55556,1.00259,418.347,0,0,55556,1.00259,418.347,1.00259,418.347,1.00259,418.347,0.0207066,0.00176121,3844,232,1,1091.95,1.07862e-05,9.87793e-09,-55.6068,71.908,-0.00202572,95.7166,0.00957166,1.00242,418.345,0,0,55551.8,7.6083e-11,1.73971e-11,1.00242,418.345,0,0,55551.8,1.0016,1663.9,1663.9,0,0,55551.8,1.0016,1663.9,1663.9,0,0,55550.7,0.00352643,6.21787e-06,5.74589e-05,0,0,0,0,0,0,32.0025,31.999,0,0.875851,0.615075,0,0,0,55549.5,0,0,55550.7,0,0,55542.8,21.7,0.10016,4579,4581,19.5563,29.7502,0,0.169979,-0.987069,0,0,18.5563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2,0.1,1,0.1,0,0.1,15376,1.00172,0.266909,0.465192,15376,2,3844,3844,3844,1663.71,0,1663.71,0.00355838,0.00764927,0.00162591,15376,0,0,0,0,0,0,0,0,0,0,0,0,1663.9,1663.9,0,0,55550.7,1.00234,418.307,0,0,55550.7,1.00234,418.307,1.00234,418.307,1.00234,418.307,0.0103553,0.00096843,3844,220,1,600.426,5.83008e-06,9.7099e-09,-1011.13,130.474,1.7746,89.4688,0.00894688,1.00237,418.283,0,0,55550.8,4.3662e-11,9.40336e-12,1.00237,418.283,0,0,55550.8,1.00172,1663.71,1663.71,0,0,55550.8,1.00172,1663.71,1663.71,0,0,55549.7,0.00352457,6.21131e-06,5.74049e-05,0.000110158,6.06738e-09,5.60747e-08,0.010328,1.42548e-12,1.31743e-11,32.0025,31.999,0,0.874069,0.601628,0,0,0,55548.3,0,0,55549.7,0,0,55540.7,21.7,0.100172,10781,10783,44.4574,31.1133,0,0.0788783,0.998608,0,0,18.5426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3,0.1,1,0.1,0,0.1,15376,1.00167,0.266925,0.465166,15376,2,3844,3844,3844,1663.52,0,1663.52,0.00354652,0.00762421,0.00091051,15376,0,0,0,0,0,0,0,0,0,0,0,0,1663.71,1663.71,0,0,55549.7,1.00232,418.246,0,0,55549.7,1.00232,418.246,1.00232,418.246,1.00232,418.246,0.00869131,0.000909362,3844,221,1,563.805,5.59715e-06,9.92747e-09,-1010.72,127.723,1.7731,89.7239,0.00897239,1.00234,418.223,0,0,55549.7,3.45804e-11,9.02767e-12,1.00234,418.223,0,0,55549.7,1.00167,1663.52,1663.52,0,0,55549.7,1.00167,1663.52,1663.52,0,0,55548.4,0.00352491,6.2125e-06,5.74223e-05,0.000111599,6.22716e-09,5.75578e-08,0.00535487,1.27679e-12,1.18014e-11,32.0025,31.999,0,0.872801,0.579576,0,0,0,55547.2,0,0,55548.4,0,0,55538.5,21.7,0.100167,7515,7517,31.8648,19.5044,0,1.00149,-0.0189208,0,0,18.5044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.4,0.1,1,0.1,0,0.1,15376,1.00188,0.266943,0.465141,15376,2,3844,3844,3844,1663.35,0,1663.35,0.00354133,0.00761345,0.00091051,15376,0,0,0,0,0,0,0,0,0,0,0,0,1663.52,1663.52,0,0,55548.4,1.00224,418.19,0,0,55548.4,1.00224,418.19,1.00224,418.19,1.00224,418.19,0.00758261,0.00087363,3844,222,1,541.651,5.20689e-06,9.61301e-09,-1010.78,125.551,1.77282,89.4966,0.00894966,1.00232,418.167,0,0,55548.4,3.59713e-11,8.39821e-12,1.00232,418.167,0,0,55548.4,1.00188,1663.35,1663.35,0,0,55548.4,1.00188,1663.35,1663.35,0,0,55547.2,0.00352552,6.21465e-06,5.74483e-05,0.00011266,6.34617e-09,5.86641e-08,0.0042704,5.87724e-15,5.43293e-14,32.0025,31.999,0,0.858698,0.561899,0,0,0,55546,0,0,55547.2,0,0,55536.4,21.7,0.100188,7515,7517,31.965,19.5037,0,1.00182,-0.0109041,0,0,18.5037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.5,0.1,1,0.1,0,0.1,15376,1.00209,0.26696,0.465117,15376,2,3844,3844,3844,1663.18,0,1663.18,0.00353811,0.00760692,0.000520291,15376,0,0,0,0,0,0,0,0,0,0,0,0,1663.35,1663.35,0,0,55547.2,1.00217,418.14,0,0,55547.2,1.00217,418.14,1.00217,418.14,1.00217,418.14,0.00690057,0.000849706,3844,220,1,526.818,4.81293e-06,9.13584e-09,-1010.86,123.922,1.77344,89.7629,0.00897629,1.00225,418.117,0,0,55547.2,2.93123e-11,7.76278e-12,1.00225,418.117,0,0,55547.2,1.00209,1663.18,1663.18,0,0,55547.2,1.00209,1663.18,1663.18,0,0,55546,0.00352742,6.22136e-06,5.75162e-05,0.000111619,6.2294e-09,5.75906e-08,0.00262967,1.96178e-12,1.81366e-11,32.0025,31.999,0,0.841258,0.562561,0,0,0,55544.8,0,0,55546,0,0,55534.3,21.7,0.100209,7515,7517,32.0652,19.5038,0,1.00209,-0.00289722,0,0,18.5038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.6,0.1,1,0.1,0,0.1,15376,1.00193,0.266977,0.465094,15376,2,3844,3844,3844,1663.01,0,1663.01,0.00353764,0.0076063,0.000455255,15376,0,0,0,0,0,0,0,0,0,0,0,0,1663.18,1663.18,0,0,55546,1.00232,418.094,0,0,55546,1.00232,418.094,1.00232,418.094,1.00232,418.094,0.00653899,0.000830846,3844,219,1,515.124,4.60506e-06,8.9397e-09,-1011.34,123.124,1.77501,89.4552,0.00894552,1.00223,418.07,0,0,55546,2.88449e-11,7.42751e-12,1.00223,418.07,0,0,55546,1.00193,1663.01,1663.01,0,0,55546,1.00193,1663.01,1663.01,0,0,55544.6,0.00352686,6.21937e-06,5.75037e-05,0.000113203,6.40745e-09,5.92426e-08,0.00271199,6.22984e-16,5.76004e-15,32.0025,31.999,0,0.820764,0.573452,0,0,0,55543.7,0,0,55544.6,0,0,55533.1,21.7,0.100193,7515,7517,32.1654,19.5047,0,1.00192,0.00513036,0,0,18.5047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.7,0.1,1,0.1,0,0.1,15376,1.00194,0.266993,0.465071,15376,2,3844,3844,3844,1662.84,0,1662.84,0.00353547,0.007602,0.000845473,15376,0,0,0,0,0,0,0,0,0,0,0,0,1663.01,1663.01,0,0,55544.6,1.00222,418.047,0,0,55544.6,1.00222,418.047,1.00222,418.047,1.00222,418.047,0.00626897,0.000816975,3844,220,1,506.525,4.90802e-06,9.68959e-09,-1011.07,122.276,1.7739,89.5058,0.00895058,1.00229,418.024,0,0,55544.6,2.89575e-11,7.91615e-12,1.00229,418.024,0,0,55544.6,1.00194,1662.84,1662.84,0,0,55544.6,1.00194,1662.84,1662.84,0,0,55543,0.00352692,6.2196e-06,5.75115e-05,0.000108969,5.93711e-09,5.48994e-08,0.00197469,1.06427e-12,9.84108e-12,32.0025,31.999,0,0.797354,0.583085,0,0,0,55542.5,0,0,55543,0,0,55531.1,21.7,0.100194,10780,10782,44.5192,31.1226,0,0.0777536,0.998918,0,0,18.4808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.8,0.1,1,0.1,0,0.1,15376,1.00163,0.267008,0.465048,15376,2,3844,3844,3844,1662.68,0,1662.68,0.00353429,0.00759985,0.000390219,15376,0,0,0,0,0,0,0,0,0,0,0,0,1662.84,1662.84,0,0,55543,1.00222,418,0,0,55543,1.00222,418,1.00222,418,1.00222,418,0.00590767,0.000804818,3844,220,1,498.987,4.5056e-06,9.02949e-09,-1011.01,121.626,1.77418,89.6022,0.00896022,1.0023,417.976,0,0,55543,2.78805e-11,7.2671e-12,1.0023,417.976,0,0,55542.9,1.00163,1662.68,1662.68,0,0,55542.9,1.00163,1662.68,1662.68,0,0,55541.5,0.00352613,6.21678e-06,5.74911e-05,0.000113921,6.489e-09,6.00085e-08,0.00168784,3.57914e-13,3.30989e-12,32.0025,31.999,0,0.779125,0.592389,0,0,0,55541.3,0,0,55541.5,0,0,55529.1,21.7,0.100163,10780,10782,44.5258,31.2225,0,0.0698101,0.999196,0,0,18.4742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.9,0.1,1,0.1,0,0.1,15376,1.00133,0.267023,0.465025,15376,2,3844,3844,3844,1662.52,0,1662.52,0.00353232,0.00759599,0.000650364,15376,0,0,0,0,0,0,0,0,0,0,0,0,1662.68,1662.68,0,0,55541.5,1.00218,417.956,0,0,55541.5,1.00218,417.956,1.00218,417.956,1.00218,417.956,0.00566274,0.00079573,3844,217,1,493.352,4.29644e-06,8.70866e-09,-1010.7,121.474,1.77339,89.3357,0.00893357,1.00228,417.932,0,0,55541.4,2.47297e-11,6.92974e-12,1.00228,417.932,0,0,55541.4,1.00133,1662.52,1662.52,0,0,55541.4,1.00133,1662.52,1662.52,0,0,55540.2,0.00352496,6.21268e-06,5.74588e-05,0.000115103,6.62438e-09,6.12664e-08,0.00114467,2.23163e-13,2.06396e-12,32.0025,31.999,0,0.773135,0.592297,0,0,0,55540.1,0,0,55540.2,0,0,55527.2,21.7,0.100133,10780,10782,44.5316,31.3225,0,0.0618773,0.999418,0,0,18.4684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0.1,1,0.1,0,0.1,15376,1.00141,0.267037,0.465002,15376,2,3844,3844,3844,1662.35,0,1662.35,0.00353039,0.00759219,0.000455255,15376,0,0,0,0,0,0,0,0,0,0,0,0,1662.52,1662.52,0,0,55540.2,1.00204,417.915,0,0,55540.2,1.00204,417.915,1.00204,417.915,1.00204,417.915,0.00540651,0.000789574,3844,220,1,489.536,4.45873e-06,9.10807e-09,-1010.48,121.08,1.773,90.0968,0.00900968,1.00221,417.891,0,0,55540.2,2.68919e-11,7.19149e-12,1.00221,417.891,0,0,55540.2,1.00141,1662.35,1662.35,0,0,55540.2,1.00141,1662.35,1662.35,0,0,55539,0.00352432,6.2104e-06,5.74433e-05,0.0001156,6.68171e-09,6.18027e-08,0.00148394,7.78662e-13,7.20225e-12,32.0025,31.999,0,0.770345,0.5884,0,0,0,55538.9,0,0,55539,0,0,55524.3,21.7,0.100141,7615,7617,30.9076,44.5206,0,-0.998305,-0.0788122,0,0,18.4794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
