Fluid simulation profile
dimension=2
steps=1200
simulated_substeps=1200
domain=64
dx=1
frame_dt=0.1
scene=5
fluid_solver=apic
polypic_modes=4
jitter_seed=0
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1201
particles=15376
wall_ms=342392.248

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\confined\20260627-210503\runs\APIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",274678,285168.509,285168.509,85.08,1.038192
2,"Diagnostics::record_step",1200,16457.585,16465.406,4.91,13.714654
3,"Fluid_Simulation_2D::advect",1200,9555.128,9555.128,2.85,7.962607
4,"APIC_Simulation_2D::step",1200,9046.329,318719.957,2.70,7.538608
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1200,3272.754,3272.754,0.98,2.727295
6,"Fluid_Simulation_2D::projection_2d",1200,2381.530,289385.614,0.71,1.984608
7,"Fluid_Simulation_2D::grid_to_particle",1200,1947.920,1947.920,0.58,1.623267
8,"Fluid_Simulation_2D::projection_dot_product",826434,1795.792,1795.792,0.54,0.002173
9,"Fluid_Simulation_2D::particle_to_grid",1200,1652.883,1652.883,0.49,1.377403
10,"APIC_Simulation_2D::particle_mechanical_energy",3600,1485.957,1485.957,0.44,0.412766
11,"APIC_Simulation_2D::particle_kinetic_energy",3600,1162.749,1162.749,0.35,0.322986
12,"APIC_Simulation_2D::max_particle_speed",2400,737.615,737.615,0.22,0.307339
13,"APIC_Simulation_2D::max_grid_speed",7200,140.329,140.329,0.04,0.019490
14,"APIC_Simulation_2D::grid_kinetic_energy",7200,119.418,119.418,0.04,0.016586
15,"Fluid_Simulation_2D::extrapolate_velocity",2400,79.411,141.013,0.02,0.033088
16,"Fluid_Simulation_2D::init_marker_vectors",2400,61.603,61.603,0.02,0.025668
17,"APIC_Simulation_2D::divergence_stats",2400,43.844,43.844,0.01,0.018268
18,"Fluid_Simulation_2D::setup_rhs",1200,39.782,39.782,0.01,0.033152
19,"Fluid_Simulation_2D::enforce_boundary",1200,27.951,27.951,0.01,0.023292
20,"Diagnostics::fluid_measure_from",1200,7.022,7.022,0.00,0.005851
21,"Diagnostics::bounds_from",1201,0.800,0.800,0.00,0.000666
22,"Fluid_Simulation::apply_forces_2d_settings",1200,0.454,0.454,0.00,0.000378
