step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,15376,1.00273,0.266589,0.465115,15376,2,3844,3844,3844,1663.16,0,1663.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1664.2,1664.2,0,0,55554.5,0.997816,413.831,0,0,55554.5,0.997816,413.831,0.997816,413.831,0.997816,413.831,0.0388365,0.00503139,3844,227,1,3119.46,2.98334e-05,9.56362e-09,-72.7977,89.7625,7.76769e-05,122.494,0.0122494,1.00107,413.821,0,0,55550.3,1.92884e-10,4.81184e-11,1.00107,413.821,0,0,55550.2,1.00273,1663.16,1663.16,0,0,55550.2,1.00273,1663.16,1663.16,0,0,55549,0.00745232,2.77686e-05,0.000256722,0,0,0,0,0,0,32.0025,31.999,0,0.786651,0.556142,0,0,0,55549,0,0,55549,0,0,55540.8,21.7,0.100273,10559,10561,43.5545,36.9516,0,-0.38767,0.924755,0,0,19.4455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2,0.1,1,0.1,0,0.1,15376,1.00415,0.266572,0.464965,15376,2,3844,3844,3844,1662.09,0,1662.09,0.00360275,0.00774844,0.00162591,15376,0,0,0,0,0,0,0,0,0,0,0,0,1663.16,1663.16,0,0,55549,0.998293,413.577,0,0,55549,0.998293,413.577,0.998293,413.577,0.998293,413.577,0.0264228,0.00373548,3844,218,1,2316,1.81951e-05,7.85627e-09,-1026.13,153.929,1.77867,106.789,0.0106789,1.00038,413.548,0,0,55549.2,1.09286e-10,2.93469e-11,1.00038,413.548,0,0,55549.2,1.00415,1662.09,1662.09,0,0,55549.1,1.00415,1662.09,1662.09,0,0,55547.9,0.00747679,2.79512e-05,0.000258577,0.000854171,3.64804e-07,3.3748e-06,0.196837,1.04848e-09,9.69948e-09,32.0025,31.999,0,0.751424,0.51734,0,0,0,55547.9,0,0,55547.9,0,0,55527.4,21.7,0.100415,10559,10561,43.515,37.0435,0,-0.39493,0.923221,0,0,19.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3,0.1,1,0.1,0,0.1,15376,1.00438,0.266545,0.464819,15376,2,3844,3844,3844,1661.04,0,1661.04,0.00356224,0.00766371,0.00104058,15376,0,0,0,0,0,0,0,0,0,0,0,0,1662.09,1662.09,0,0,55547.9,0.998599,413.315,0,0,55547.9,0.998599,413.315,0.998599,413.315,0.998599,413.315,0.0210366,0.00310834,3844,217,1,1927.17,1.74704e-05,9.06529e-09,-1020.92,144.856,1.77041,110.893,0.0110893,0.999302,413.288,0,0,55547.7,1.06556e-10,2.8178e-11,0.999302,413.288,0,0,55547.7,1.00438,1661.04,1661.04,0,0,55547.7,1.00438,1661.04,1661.04,0,0,55546.5,0.00747936,2.79704e-05,0.000258917,0.000733849,2.69267e-07,2.49256e-06,0.0206165,2.10548e-10,1.94901e-09,32.0025,31.999,0,0.708926,0.47656,0,0,0,55546.5,0,0,55546.5,0,0,55514,21.7,0.100438,10559,10561,43.4748,37.1349,0,-0.401667,0.920564,0,0,19.5252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.4,0.1,1,0.1,0,0.1,15376,1.00377,0.266513,0.464674,15376,2,3844,3844,3844,1660.01,0,1660.01,0.00354149,0.00762146,0.000585328,15376,0,0,0,0,0,0,0,0,0,0,0,0,1661.04,1661.04,0,0,55546.5,0.998452,413.063,0,0,55546.5,0.998452,413.063,0.998452,413.063,0.998452,413.063,0.0171722,0.00279868,3844,222,1,1735.18,1.72787e-05,9.95789e-09,-1013.39,134.813,1.763,112.788,0.0112788,0.998268,413.037,0,0,55546,1.00589e-10,2.78689e-11,0.998268,413.037,0,0,55546,1.00377,1660.01,1660.01,0,0,55545.9,1.00377,1660.01,1660.01,0,0,55544.7,0.00746388,2.78547e-05,0.000258007,0.000714867,2.55517e-07,2.36676e-06,0.00734912,2.50405e-10,2.3194e-09,32.0025,31.999,0,0.66489,0.449979,0,0,0,55544.7,0,0,55544.7,0,0,55500.2,21.7,0.100377,10559,10561,43.4339,37.2258,0,-0.408169,0.917039,0,0,19.5661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.5,0.1,1,0.1,0,0.1,15376,1.00287,0.266479,0.46453,15376,2,3844,3844,3844,1658.98,0,1658.98,0.00353855,0.0076175,0.000195109,15376,0,0,0,0,0,0,0,0,0,0,0,0,1660.01,1660.01,0,0,55544.7,0.997993,412.811,0,0,55544.7,0.997993,412.811,0.997993,412.811,0.997993,412.811,0.0172587,0.00264421,3844,225,1,1639.41,1.63665e-05,9.98318e-09,-1008.94,135.319,1.76186,115.378,0.0115378,0.998387,412.786,0,0,55543.9,1.02256e-10,2.63976e-11,0.998387,412.786,0,0,55543.9,1.00287,1658.98,1658.98,0,0,55543.8,1.00287,1658.98,1658.98,0,0,55542.7,0.00743848,2.76655e-05,0.000256414,0.000723895,2.62012e-07,2.42842e-06,0.00318678,9.68403e-11,8.97552e-10,32.0025,31.999,0,0.640951,0.472619,0,0,0,55542.7,0,0,55542.7,0,0,55486.5,21.7,0.100287,6035,6037,26.0117,21.3606,0,0.871021,-0.497056,0,0,20.3606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.6,0.1,1,0.1,0,0.1,15376,1.0037,0.266443,0.464384,15376,2,3844,3844,3844,1657.94,0,1657.94,0.00354594,0.00763579,0.000520291,15376,0,0,0,0,0,0,0,0,0,0,0,0,1658.98,1658.98,0,0,55542.7,0.997229,412.559,0,0,55542.7,0.997229,412.559,0.997229,412.559,0.997229,412.559,0.0172067,0.0025326,3844,222,1,1570.21,1.4968e-05,9.53245e-09,-1010.41,137.258,1.76634,115.113,0.0115113,0.998412,412.533,0,0,55541.7,9.33793e-11,2.41419e-11,0.998412,412.533,0,0,55541.7,1.0037,1657.94,1657.94,0,0,55541.6,1.0037,1657.94,1657.94,0,0,55540.5,0.00741283,2.7475e-05,0.000254808,0.000701244,2.45872e-07,2.28025e-06,0.00234131,5.40713e-10,5.01466e-09,32.0025,31.999,0,0.62761,0.52521,0,0,0,55540.5,0,0,55540.5,0,0,55472.7,21.7,0.10037,6035,6037,26.0989,21.3123,0,0.876198,-0.489591,0,0,20.3123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.7,0.1,1,0.1,0,0.1,15376,1.00406,0.266407,0.46424,15376,2,3844,3844,3844,1656.91,0,1656.91,0.003553,0.00765337,0.000520291,15376,0,0,0,0,0,0,0,0,0,0,0,0,1657.94,1657.94,0,0,55540.5,0.996946,412.309,0,0,55540.5,0.996946,412.309,0.996946,412.309,0.996946,412.309,0.0175872,0.00244799,3844,220,1,1517.75,1.46964e-05,9.683e-09,-1011.84,138.453,1.77124,115.736,0.0115736,0.998195,412.283,0,0,55539.5,9.64078e-11,2.37039e-11,0.998195,412.283,0,0,55539.5,1.00406,1656.91,1656.91,0,0,55539.5,1.00406,1656.91,1656.91,0,0,55538.3,0.00738449,2.72654e-05,0.000253021,0.000652712,2.13016e-07,1.97678e-06,0.00182102,1.15213e-10,1.06917e-09,32.0025,31.999,0,0.637129,0.560634,0,0,0,55538.3,0,0,55538.3,0,0,55459.1,21.7,0.100406,9505,9507,39.7056,22.0809,0,0.794152,0.614382,0,0,21.0809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.8,0.1,1,0.1,0,0.1,15376,1.00479,0.266372,0.464097,15376,2,3844,3844,3844,1655.89,0,1655.89,0.00355075,0.00765088,0.000195109,15376,0,0,0,0,0,0,0,0,0,0,0,0,1656.91,1656.91,0,0,55538.3,0.997223,412.06,0,0,55538.3,0.997223,412.06,0.997223,412.06,0.997223,412.06,0.0192579,0.00242706,3844,220,1,1504.78,1.36273e-05,9.05604e-09,-1011.77,139.218,1.77246,117.123,0.0117123,0.99816,412.034,0,0,55537.5,7.66286e-11,2.19795e-11,0.99816,412.034,0,0,55537.5,1.00479,1655.89,1655.89,0,0,55537.5,1.00479,1655.89,1655.89,0,0,55536.3,0.00735025,2.70131e-05,0.000250834,0.000646395,2.08913e-07,1.93989e-06,0.00149584,5.3344e-10,4.95333e-09,32.0025,31.999,0,0.644581,0.569014,0,0,0,55536.3,0,0,55536.3,0,0,55445.6,21.7,0.100479,9505,9507,39.7836,22.1422,0,0.789625,0.62136,0,0,21.1422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.9,0.1,1,0.1,0,0.1,15376,1.00543,0.266338,0.463956,15376,2,3844,3844,3844,1654.88,0,1654.88,0.00354073,0.0076316,0.000260146,15376,0,0,0,0,0,0,0,0,0,0,0,0,1655.89,1655.89,0,0,55536.3,0.997523,411.817,0,0,55536.3,0.997523,411.817,0.997523,411.817,0.997523,411.817,0.0177714,0.00242956,3844,224,1,1506.33,1.40743e-05,9.34343e-09,-1008.88,135.276,1.76828,121.02,0.012102,0.997621,411.791,0,0,55535.7,7.90032e-11,2.27004e-11,0.997621,411.791,0,0,55535.7,1.00543,1654.88,1654.88,0,0,55535.6,1.00543,1654.88,1654.88,0,0,55534.5,0.0073112,2.67268e-05,0.000248327,0.000658316,2.1669e-07,2.01333e-06,0.00149584,2.15294e-10,2.00036e-09,32.0025,31.999,0,0.644525,0.555325,0,0,0,55534.5,0,0,55534.5,0,0,55431.9,21.7,0.100543,9505,9507,39.8612,22.2041,0,0.785448,0.627656,0,0,21.2041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0.1,1,0.1,0,0.1,15376,1.00595,0.266304,0.463817,15376,2,3844,3844,3844,1653.89,0,1653.89,0.0035311,0.00761312,0.000195109,15376,0,0,0,0,0,0,0,0,0,0,0,0,1654.88,1654.88,0,0,55534.5,0.997463,411.576,0,0,55534.5,0.997463,411.576,0.997463,411.576,0.997463,411.576,0.0152556,0.00241453,3844,223,1,1497.01,1.46224e-05,9.76776e-09,-1006.77,129.225,1.76342,112.568,0.0112568,0.99775,411.551,0,0,55534.1,9.12451e-11,2.35845e-11,0.99775,411.551,0,0,55534.1,1.00595,1653.89,1653.89,0,0,55534,1.00595,1653.89,1653.89,0,0,55532.9,0.00727397,2.64553e-05,0.000245952,0.000673758,2.26975e-07,2.11015e-06,0.00156087,2.70733e-10,2.51697e-09,32.0025,31.999,0,0.635602,0.529951,0,0,0,55532.9,0,0,55532.9,0,0,55418.8,21.7,0.100595,9505,9507,39.9383,22.2665,0,0.781457,0.633448,0,0,21.2665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
