Fluid simulation profile
dimension=2
steps=1200
simulated_substeps=1200
domain=64
dx=1
frame_dt=0.1
scene=5
fluid_solver=flip
polypic_modes=4
jitter_seed=0
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1201
particles=15376
wall_ms=338981.138

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\confined\20260627-210503\runs\FLIP_095
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",272028,282307.394,282307.394,85.08,1.037788
2,"Diagnostics::record_step",1200,16276.105,16283.472,4.91,13.563421
3,"Fluid_Simulation_2D::advect",1200,9595.616,9595.616,2.89,7.996346
4,"APIC_Simulation_2D::step",1200,8847.958,315537.003,2.67,7.373298
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1200,3307.238,3307.238,1.00,2.756032
6,"Fluid_Simulation_2D::projection_2d",1200,2355.998,286477.615,0.71,1.963332
7,"Fluid_Simulation_2D::grid_to_particle",1200,1894.713,1894.713,0.57,1.578927
8,"Fluid_Simulation_2D::projection_dot_product",818484,1774.202,1774.202,0.53,0.002168
9,"Fluid_Simulation_2D::particle_to_grid",1200,1579.459,1579.459,0.48,1.316216
10,"APIC_Simulation_2D::particle_mechanical_energy",3600,1478.440,1478.440,0.45,0.410678
11,"APIC_Simulation_2D::particle_kinetic_energy",3600,1150.006,1150.006,0.35,0.319446
12,"APIC_Simulation_2D::max_particle_speed",2400,729.286,729.286,0.22,0.303869
13,"APIC_Simulation_2D::max_grid_speed",7200,141.440,141.440,0.04,0.019644
14,"APIC_Simulation_2D::grid_kinetic_energy",7200,121.307,121.307,0.04,0.016848
15,"Fluid_Simulation_2D::extrapolate_velocity",2400,78.210,139.640,0.02,0.032587
16,"Fluid_Simulation_2D::init_marker_vectors",2400,61.430,61.430,0.02,0.025596
17,"APIC_Simulation_2D::divergence_stats",2400,44.794,44.794,0.01,0.018664
18,"Fluid_Simulation_2D::setup_rhs",1200,40.021,40.021,0.01,0.033351
19,"Fluid_Simulation_2D::enforce_boundary",1200,29.039,29.039,0.01,0.024200
20,"Diagnostics::fluid_measure_from",1200,6.621,6.621,0.00,0.005518
21,"Diagnostics::bounds_from",1201,0.747,0.747,0.00,0.000622
22,"Fluid_Simulation::apply_forces_2d_settings",1200,0.453,0.453,0.00,0.000377
