step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,15376,0.999263,0.266118,0.462794,15376,2,3844,3844,3844,1646.6,0,1646.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1664.2,1664.2,0,0,55554.5,0.997816,413.831,0,0,55554.5,0.997816,413.831,0.997816,413.831,0.997816,413.831,0.0388365,0.00503139,3844,227,1,3119.46,2.98334e-05,9.56362e-09,-72.7977,89.7625,7.76769e-05,122.494,0.0122494,1.00107,413.821,0,0,55550.3,1.92884e-10,4.81184e-11,1.00107,413.821,0,0,55550.2,0.999263,1646.6,1646.6,0,0,55549.2,0.999263,1646.6,1646.6,0,0,55548,0.00348782,6.08243e-06,5.67979e-05,0,0,0,0,0,0,32.0025,31.999,0,0.786651,0.556142,0,0,0,55548,0,0,55548,0,0,55324.2,21.7,0.0999263,10559,10561,43.5545,36.9516,0,-0.384599,0.922285,0,0,19.4455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2,0.1,1,0.1,0,0.1,15376,0.996394,0.265631,0.460435,15376,2,3844,3844,3844,1629.86,0,1629.86,0.00591804,0.0128531,0.0120968,15376,0,0,0,0,0,0,0,0,0,0,0,0,1646.6,1646.6,0,0,55548,0.994132,409.555,0,0,55548,0.994132,409.555,0.994132,409.555,0.994132,409.555,0.0342063,0.0048312,3844,229,1,2995.35,2.56468e-05,8.56223e-09,-1035.83,188.643,1.76678,118.264,0.0118264,0.997551,409.522,0,0,55548,1.59831e-10,4.13659e-11,0.997551,409.522,0,0,55548,0.996394,1629.86,1629.86,0,0,55546.9,0.996394,1629.86,1629.86,0,0,55545.7,0.00344355,5.92901e-06,5.5934e-05,0.000196332,1.92731e-08,1.81821e-07,0.0276779,3.57124e-11,3.36909e-10,32.0025,31.999,0,0.691518,0.467819,0,0,0,55545.7,0,0,55545.7,0,0,55102,21.7,0.0996394,10559,10561,43.5152,37.0432,0,-0.389244,0.917219,0,0,19.4848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3,0.1,1,0.1,0,0.1,15376,0.992061,0.265154,0.458151,15376,2,3844,3844,3844,1613.73,0,1613.73,0.00540749,0.0118029,0.00585328,15376,0,0,0,0,0,0,0,0,0,0,0,0,1629.86,1629.86,0,0,55545.7,0.990402,405.445,0,0,55545.7,0.990402,405.445,0.990402,405.445,0.990402,405.445,0.0340848,0.00469333,3844,227,1,2909.86,2.77439e-05,9.53444e-09,-1023.66,184.494,1.74223,116.708,0.0116708,0.993084,405.413,0,0,55545.5,1.74811e-10,4.47482e-11,0.993084,405.413,0,0,55545.5,0.992061,1613.73,1613.73,0,0,55544.3,0.992061,1613.73,1613.73,0,0,55543.2,0.00340779,5.80652e-06,5.5326e-05,0.000196905,1.93858e-08,1.84713e-07,0.0132305,1.25849e-11,1.19912e-10,32.0025,31.999,0,0.592021,0.402438,0,0,0,55543.2,0,0,55543.2,0,0,54885.1,21.7,0.0992061,10559,10561,43.4754,37.1341,0,-0.394538,0.910233,0,0,19.5246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.4,0.1,1,0.1,0,0.1,15376,0.987786,0.264682,0.455925,15376,2,3844,3844,3844,1598.09,0,1598.09,0.0051149,0.0112187,0.00312175,15376,0,0,0,0,0,0,0,0,0,0,0,0,1613.73,1613.73,0,0,55543.2,0.986276,401.478,0,0,55543.2,0.986276,401.478,0.986276,401.478,0.986276,401.478,0.0321412,0.00460027,3844,224,1,2852.17,2.63506e-05,9.23881e-09,-1010.56,175.087,1.71708,121.699,0.0121699,0.987648,401.447,0,0,55542.6,1.6676e-10,4.2501e-11,0.987648,401.447,0,0,55542.6,0.987786,1598.09,1598.09,0,0,55541.5,0.987786,1598.09,1598.09,0,0,55540.4,0.00337767,5.70434e-06,5.48844e-05,0.0002052,2.10535e-08,2.02567e-07,0.00674637,1.97359e-11,1.89889e-10,32.0025,31.999,0,0.502596,0.361861,0,0,0,55540.4,0,0,55540.4,0,0,54671.6,21.7,0.0987786,6617,6619,26.9975,43.6539,0,-0.911524,-0.380587,0,0,19.3461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.5,0.1,1,0.1,0,0.1,15376,0.983983,0.264209,0.453744,15376,2,3844,3844,3844,1582.83,0,1582.83,0.004926,0.0108563,0.00409729,15376,0,0,0,0,0,0,0,0,0,0,0,0,1598.09,1598.09,0,0,55540.4,0.981856,397.62,0,0,55540.4,0.981856,397.62,0.981856,397.62,0.981856,397.62,0.0290971,0.00452759,3844,221,1,2807.1,2.68837e-05,9.57703e-09,-998.358,163.836,1.6975,127.136,0.0127136,0.982695,397.59,0,0,55539.5,1.68917e-10,4.33608e-11,0.982695,397.59,0,0,55539.5,0.983983,1582.83,1582.83,0,0,55538.4,0.983983,1582.83,1582.83,0,0,55537.3,0.00335442,5.62607e-06,5.46528e-05,0.000198134,1.96286e-08,1.90676e-07,0.00308179,6.05131e-11,5.87838e-10,32.0025,31.999,0,0.453679,0.384858,0,0,0,55537.3,0,0,55537.3,0,0,54460.9,21.7,0.0983983,6617,6619,26.9071,43.615,0,-0.905153,-0.385902,0,0,19.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.6,0.1,1,0.1,0,0.1,15376,0.979118,0.263736,0.451602,15376,2,3844,3844,3844,1567.92,0,1567.92,0.00479152,0.01061,0.0028616,15376,0,0,0,0,0,0,0,0,0,0,0,0,1582.83,1582.83,0,0,55537.3,0.9771,393.852,0,0,55537.3,0.9771,393.852,0.9771,393.852,0.9771,393.852,0.0270614,0.00446755,3844,219,1,2769.88,2.65162e-05,9.57303e-09,-991.262,161.507,1.6853,115.595,0.0115595,0.978714,393.823,0,0,55536,1.69666e-10,4.2768e-11,0.978714,393.823,0,0,55536,0.979118,1567.92,1567.92,0,0,55535,0.979118,1567.92,1567.92,0,0,55533.9,0.00333711,5.56814e-06,5.46045e-05,0.000196338,1.92742e-08,1.89014e-07,0.003823,2.39221e-12,2.34595e-11,32.0025,31.999,0,0.434684,0.459217,0,0,0,55533.9,0,0,55533.9,0,0,54252.7,21.7,0.0979118,4595,4597,19.4791,32.9526,0,-0.0822662,-0.975656,0,0,18.4791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.7,0.1,1,0.1,0,0.1,15376,0.974431,0.263263,0.449497,15376,2,3844,3844,3844,1553.35,0,1553.35,0.0046795,0.0104105,0.00188606,15376,0,0,0,0,0,0,0,0,0,0,0,0,1567.92,1567.92,0,0,55533.9,0.972475,390.168,0,0,55533.9,0.972475,390.168,0.972475,390.168,0.972475,390.168,0.025828,0.00442986,3844,225,1,2746.51,2.62971e-05,9.57473e-09,-984.994,160.891,1.67596,119.29,0.011929,0.97443,390.139,0,0,55532.3,1.44071e-10,4.24147e-11,0.97443,390.139,0,0,55532.3,0.974431,1553.35,1553.35,0,0,55531.5,0.974431,1553.35,1553.35,0,0,55530.4,0.00331194,5.48448e-06,5.42889e-05,0.00018424,1.69722e-08,1.68001e-07,0.00286898,3.83576e-11,3.79688e-10,32.0025,31.999,0,0.451026,0.51567,0,0,0,55530.4,0,0,55530.4,0,0,54047,21.7,0.0974431,4595,4597,19.4722,32.8554,0,-0.0733195,-0.971668,0,0,18.4722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.8,0.1,1,0.1,0,0.1,15376,0.970897,0.262793,0.447431,15376,2,3844,3844,3844,1539.09,0,1539.09,0.00457675,0.0102289,0.00156087,15376,0,0,0,0,0,0,0,0,0,0,0,0,1553.35,1553.35,0,0,55530.4,0.968559,386.562,0,0,55530.4,0.968559,386.562,0.968559,386.562,0.968559,386.562,0.0282923,0.00440778,3844,225,1,2732.82,2.67629e-05,9.79312e-09,-976.43,158.76,1.66379,120.104,0.0120104,0.970266,386.533,0,0,55528.8,1.42759e-10,4.31659e-11,0.970266,386.533,0,0,55528.8,0.970897,1539.09,1539.09,0,0,55528.3,0.970897,1539.09,1539.09,0,0,55527.3,0.00327685,5.36888e-06,5.36367e-05,0.000190894,1.82203e-08,1.82026e-07,0.00281778,2.30152e-12,2.29929e-11,32.0025,31.999,0,0.470648,0.547257,0,0,0,55527.3,0,0,55527.3,0,0,53841,21.7,0.0970897,10073,10075,40.5577,40.4356,0,-0.672661,0.70012,0,0,22.4423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.9,0.1,1,0.1,0,0.1,15376,0.968168,0.262326,0.4454,15376,2,3844,3844,3844,1525.16,0,1525.16,0.00447882,0.0100557,0.00136576,15376,0,0,0,0,0,0,0,0,0,0,0,0,1539.09,1539.09,0,0,55527.3,0.964968,383.039,0,0,55527.3,0.964968,383.039,0.964968,383.039,0.964968,383.039,0.0294846,0.00439367,3844,227,1,2724.07,2.48927e-05,9.13804e-09,-964.116,154.682,1.64669,115.036,0.0115036,0.965887,383.011,0,0,55525.7,1.54397e-10,4.01495e-11,0.965887,383.011,0,0,55525.7,0.968168,1525.16,1525.16,0,0,55525.6,0.968168,1525.16,1525.16,0,0,55524.5,0.00324251,5.25694e-06,5.29983e-05,0.000188205,1.77107e-08,1.78552e-07,0.00377562,7.53729e-12,7.59879e-11,32.0025,31.999,0,0.486338,0.548751,0,0,0,55524.5,0,0,55524.5,0,0,53640.3,21.7,0.0968168,10073,10075,40.4897,40.5046,0,-0.67627,0.692826,0,0,22.4954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0.1,1,0.1,0,0.1,15376,0.964225,0.261863,0.443402,15376,2,3844,3844,3844,1511.5,0,1511.5,0.00439012,0.00990098,0.00169095,15376,0,0,0,0,0,0,0,0,0,0,0,0,1525.16,1525.16,0,0,55524.5,0.961174,379.592,0,0,55524.5,0.961174,379.592,0.961174,379.592,0.961174,379.592,0.0278983,0.00435951,3844,227,1,2702.9,2.68478e-05,9.93296e-09,-954.104,149.462,1.62798,112.5,0.01125,0.962284,379.564,0,0,55523.2,1.90194e-10,4.33029e-11,0.962284,379.564,0,0,55523.2,0.964225,1511.5,1511.5,0,0,55523.2,0.964225,1511.5,1511.5,0,0,55522.2,0.00321519,5.16872e-06,5.25797e-05,0.000195342,1.90793e-08,1.94088e-07,0.00174111,3.37572e-13,3.434e-12,32.0025,31.999,0,0.490191,0.525609,0,0,0,55522.2,0,0,55522.2,0,0,53442.1,21.7,0.0964225,10073,10075,40.4216,40.5727,0,-0.678969,0.68464,0,0,22.4273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
