Fluid simulation profile
dimension=2
steps=1200
simulated_substeps=1200
domain=64
dx=1
frame_dt=0.1
scene=5
fluid_solver=flip
polypic_modes=4
jitter_seed=0
flip_percent=0
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1201
particles=15376
wall_ms=332674.534

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\confined\20260627-210503\runs\PIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",264898,275774.047,275774.047,84.74,1.041057
2,"Diagnostics::record_step",1200,16472.316,16479.763,5.06,13.726930
3,"Fluid_Simulation_2D::advect",1200,9601.430,9601.430,2.95,8.001192
4,"APIC_Simulation_2D::step",1200,8816.601,308937.937,2.71,7.347168
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1200,3304.040,3304.040,1.02,2.753367
6,"Fluid_Simulation_2D::projection_2d",1200,2313.549,279866.595,0.71,1.927958
7,"Fluid_Simulation_2D::grid_to_particle",1200,1912.421,1912.421,0.59,1.593684
8,"Fluid_Simulation_2D::projection_dot_product",797094,1739.013,1739.013,0.53,0.002182
9,"Fluid_Simulation_2D::particle_to_grid",1200,1587.884,1587.884,0.49,1.323237
10,"APIC_Simulation_2D::particle_mechanical_energy",3600,1485.969,1485.969,0.46,0.412769
11,"APIC_Simulation_2D::particle_kinetic_energy",3600,1159.474,1159.474,0.36,0.322076
12,"APIC_Simulation_2D::max_particle_speed",2400,731.038,731.038,0.22,0.304599
13,"APIC_Simulation_2D::max_grid_speed",7200,140.946,140.946,0.04,0.019576
14,"APIC_Simulation_2D::grid_kinetic_energy",7200,119.193,119.193,0.04,0.016555
15,"Fluid_Simulation_2D::extrapolate_velocity",2400,80.301,140.543,0.02,0.033459
16,"Fluid_Simulation_2D::init_marker_vectors",2400,60.242,60.242,0.02,0.025101
17,"APIC_Simulation_2D::divergence_stats",2400,43.606,43.606,0.01,0.018169
18,"Fluid_Simulation_2D::setup_rhs",1200,39.985,39.985,0.01,0.033321
19,"Fluid_Simulation_2D::enforce_boundary",1200,27.746,27.746,0.01,0.023122
20,"Diagnostics::fluid_measure_from",1200,6.642,6.642,0.00,0.005535
21,"Diagnostics::bounds_from",1201,0.805,0.805,0.00,0.000671
22,"Fluid_Simulation::apply_forces_2d_settings",1200,0.451,0.451,0.00,0.000376
