step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,15376,1.00161,0.2669,0.465222,15376,2,3844,3844,3844,1663.92,0,1663.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1664.2,1664.2,0,0,55556,1.00259,418.348,0,0,55556,1.00259,418.348,1.00259,418.348,1.00259,418.348,0.0206993,0.00178093,3844,232,1,1104.18,1.08039e-05,9.78462e-09,-55.8992,72.0526,-0.00211955,95.6567,0.00956567,1.00241,418.347,0,0,55552.3,7.20692e-11,1.74257e-11,1.00241,418.347,0,0,55552.3,1.00161,1663.92,1663.92,0,0,55552.3,1.00161,1663.92,1663.92,0,0,55551.2,0.00352641,6.2178e-06,5.74574e-05,0,0,0,0,0,0,32.0025,31.999,0,0.875991,0.615679,0,0,0,55549.9,0,0,55551.2,0,0,55543.8,21.7,0.100161,4579,4581,19.5563,29.7502,0,0.169976,-0.98708,0,0,18.5563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00134
1,0.2,0.1,1,0.1,0,0.1,15376,1.0017,0.266892,0.465208,15376,2,3844,3844,3844,1663.83,0,1663.83,0.0035262,0.00757983,6.50364e-05,15376,0,0,0,0,0,0,0,0,0,0,0,0,1663.92,1663.92,0,0,55551.2,1.00236,418.343,0,0,55551.2,1.00236,418.343,1.00236,418.343,1.00236,418.343,0.00315416,0.00065048,3844,213,1,403.297,3.79669e-06,9.41412e-09,-1010.96,110.91,1.77217,88.9418,0.00889418,1.00237,418.319,0,0,55551.2,2.11377e-11,6.12369e-12,1.00237,418.319,0,0,55551.2,1.0017,1663.83,1663.83,0,0,55551.2,1.0017,1663.83,1663.83,0,0,55550.1,0.00352458,6.21132e-06,5.74009e-05,0.000109882,6.03701e-09,5.57901e-08,0.000180522,8.87678e-14,8.20333e-13,32.0025,31.999,0,0.876672,0.601752,0,0,0,55548.8,0,0,55550.1,0,0,55542.7,21.7,0.10017,10781,10783,44.4574,31.1133,0,0.0788636,0.998588,0,0,18.5426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00118
2,0.3,0.1,1,0.1,0,0.1,15376,1.00168,0.266885,0.465195,15376,2,3844,3844,3844,1663.73,0,1663.73,0.00352427,0.0075759,0.000130073,15376,0,0,0,0,0,0,0,0,0,0,0,0,1663.83,1663.83,0,0,55550.1,1.00234,418.313,0,0,55550.1,1.00234,418.313,1.00234,418.313,1.00234,418.313,0.00315118,0.000652958,3844,219,1,404.834,3.80556e-06,9.40031e-09,-1010.6,111.202,1.77143,89.2184,0.00892184,1.00234,418.289,0,0,55550.1,2.35669e-11,6.13801e-12,1.00234,418.289,0,0,55550.1,1.00168,1663.73,1663.73,0,0,55550.1,1.00168,1663.73,1663.73,0,0,55548.8,0.00352502,6.21289e-06,5.74187e-05,0.000111637,6.23144e-09,5.75902e-08,9.02935e-05,1.11195e-12,1.02765e-11,32.0025,31.999,0,0.877042,0.579613,0,0,0,55547.6,0,0,55548.8,0,0,55541.4,21.7,0.100168,7515,7517,31.8648,19.5044,0,1.0015,-0.0189392,0,0,18.5044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0015
3,0.4,0.1,1,0.1,0,0.1,15376,1.00188,0.266878,0.465182,15376,2,3844,3844,3844,1663.64,0,1663.64,0.00352491,0.00757749,0.000130073,15376,0,0,0,0,0,0,0,0,0,0,0,0,1663.73,1663.73,0,0,55548.8,1.00226,418.284,0,0,55548.8,1.00226,418.284,1.00226,418.284,1.00226,418.284,0.00314993,0.000656014,3844,221,1,406.728,3.81133e-06,9.37071e-09,-1010.73,111.621,1.77167,88.9768,0.00889768,1.00231,418.26,0,0,55548.8,2.24643e-11,6.14731e-12,1.00231,418.26,0,0,55548.8,1.00188,1663.64,1663.64,0,0,55548.8,1.00188,1663.64,1663.64,0,0,55547.6,0.00352574,6.21543e-06,5.74456e-05,0.000112726,6.35355e-09,5.87221e-08,0,0,0,32.0025,31.999,0,0.864854,0.561601,0,0,0,55546.4,0,0,55547.6,0,0,55540.2,21.7,0.100188,7515,7517,31.965,19.5037,0,1.00182,-0.010923,0,0,18.5037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00182
4,0.5,0.1,1,0.1,0,0.1,15376,1.00209,0.266871,0.465169,15376,2,3844,3844,3844,1663.54,0,1663.54,0.00352539,0.00757874,0.000130073,15376,0,0,0,0,0,0,0,0,0,0,0,0,1663.64,1663.64,0,0,55547.6,1.00221,418.259,0,0,55547.6,1.00221,418.259,1.00221,418.259,1.00221,418.259,0.00314729,0.000656983,3844,219,1,407.329,4.05554e-06,9.95642e-09,-1010.87,111.568,1.77269,88.9793,0.00889793,1.00224,418.235,0,0,55547.7,2.50685e-11,6.54119e-12,1.00224,418.235,0,0,55547.7,1.00209,1663.54,1663.54,0,0,55547.7,1.00209,1663.54,1663.54,0,0,55546.4,0.0035276,6.22199e-06,5.75093e-05,0.000111211,6.18399e-09,5.71581e-08,0.000450653,1.03549e-11,9.57093e-11,32.0025,31.999,0,0.848784,0.559582,0,0,0,55545.3,0,0,55546.4,0,0,55539.6,21.7,0.100209,7515,7517,32.0652,19.5038,0,1.00209,-0.00291274,0,0,18.5038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00209
5,0.6,0.1,1,0.1,0,0.1,15376,1.00192,0.266864,0.465156,15376,2,3844,3844,3844,1663.45,0,1663.45,0.00352727,0.00758298,6.50364e-05,15376,0,0,0,0,0,0,0,0,0,0,0,0,1663.54,1663.54,0,0,55546.4,1.00228,418.236,0,0,55546.4,1.00228,418.236,1.00228,418.236,1.00228,418.236,0.00314494,0.000656751,3844,218,1,407.186,3.60657e-06,8.85731e-09,-1011.38,111.559,1.77448,89.2572,0.00892572,1.00216,418.212,0,0,55546.5,2.07067e-11,5.81705e-12,1.00216,418.212,0,0,55546.5,1.00192,1663.45,1663.45,0,0,55546.5,1.00192,1663.45,1663.45,0,0,55545.1,0.003527,6.21987e-06,5.74929e-05,0.000112945,6.37825e-09,5.89569e-08,0.000179695,5.20729e-12,4.81332e-11,32.0025,31.999,0,0.829949,0.565748,0,0,0,55544.1,0,0,55545.1,0,0,55538.5,21.7,0.100192,7515,7517,32.1654,19.5047,0,1.00191,0.00511368,0,0,18.5047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00191
6,0.7,0.1,1,0.1,0,0.1,15376,1.0018,0.266858,0.465143,15376,2,3844,3844,3844,1663.36,0,1663.36,0.00352675,0.00758208,0.000130073,15376,0,0,0,0,0,0,0,0,0,0,0,0,1663.45,1663.45,0,0,55545.1,1.00214,418.212,0,0,55545.1,1.00214,418.212,1.00214,418.212,1.00214,418.212,0.00313843,0.000656202,3844,219,1,406.845,3.51707e-06,8.64475e-09,-1011.14,111.68,1.77358,89.2123,0.00892123,1.00212,418.189,0,0,55545.1,1.98799e-11,5.6727e-12,1.00212,418.189,0,0,55545.1,1.0018,1663.36,1663.36,0,0,55545.1,1.0018,1663.36,1663.36,0,0,55543.5,0.00352708,6.22015e-06,5.74986e-05,0.000108769,5.91535e-09,5.46811e-08,8.95576e-05,3.40548e-14,3.148e-13,32.0025,31.999,0,0.808249,0.57053,0,0,0,55543,0,0,55543.5,0,0,55537.4,21.7,0.10018,10780,10782,44.5192,31.1225,0,0.0776939,0.998787,0,0,18.4808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00152
7,0.8,0.1,1,0.1,0,0.1,15376,1.0015,0.266852,0.46513,15376,2,3844,3844,3844,1663.27,0,1663.27,0.00352691,0.00758262,0.000130073,15376,0,0,0,0,0,0,0,0,0,0,0,0,1663.36,1663.36,0,0,55543.5,1.00208,418.187,0,0,55543.5,1.00208,418.187,1.00208,418.187,1.00208,418.187,0.00312998,0.000655345,3844,220,1,406.314,3.57447e-06,8.7973e-09,-1011.13,111.65,1.77409,89.0519,0.00890519,1.00207,418.163,0,0,55543.5,2.29089e-11,5.76527e-12,1.00207,418.163,0,0,55543.5,1.0015,1663.27,1663.27,0,0,55543.5,1.0015,1663.27,1663.27,0,0,55542,0.00352638,6.21769e-06,5.7479e-05,0.000114058,6.50464e-09,6.01318e-08,0.000178333,1.64193e-12,1.51787e-11,32.0025,31.999,0,0.791068,0.574302,0,0,0,55541.8,0,0,55542,0,0,55535.5,21.7,0.10015,10780,10782,44.5258,31.2224,0,0.0697509,0.999065,0,0,18.4742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00111
8,0.9,0.1,1,0.1,0,0.1,15376,1.00136,0.266846,0.465117,15376,2,3844,3844,3844,1663.18,0,1663.18,0.00352603,0.00758094,0.000195109,15376,0,0,0,0,0,0,0,0,0,0,0,0,1663.27,1663.27,0,0,55542,1.00204,418.164,0,0,55542,1.00204,418.164,1.00204,418.164,1.00204,418.164,0.00312289,0.000655083,3844,219,1,406.151,3.47481e-06,8.55547e-09,-1010.86,111.579,1.77344,89.1287,0.00891287,1.00204,418.14,0,0,55542.1,2.67364e-11,5.60454e-12,1.00204,418.14,0,0,55542.1,1.00136,1663.18,1663.18,0,0,55542.1,1.00136,1663.18,1663.18,0,0,55540.8,0.00352529,6.21385e-06,5.74467e-05,0.000115013,6.61402e-09,6.11463e-08,8.86761e-05,1.49297e-24,1.38024e-23,32.0025,31.999,0,0.786094,0.568278,0,0,0,55540.7,0,0,55540.8,0,0,55534.4,21.7,0.100136,7615,7617,31.0073,44.5288,0,-0.998846,-0.0709225,0,0,18.4712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00094
9,1,0.1,1,0.1,0,0.1,15376,1.00162,0.266839,0.465104,15376,2,3844,3844,3844,1663.08,0,1663.08,0.00352493,0.0075788,0.000325182,15376,0,0,0,0,0,0,0,0,0,0,0,0,1663.18,1663.18,0,0,55540.8,1.002,418.144,0,0,55540.8,1.002,418.144,1.002,418.144,1.002,418.144,0.00311648,0.00065595,3844,222,1,406.689,3.90822e-06,9.60984e-09,-1010.62,111.706,1.77322,89.5492,0.00895492,1.00198,418.12,0,0,55540.9,2.2493e-11,6.30357e-12,1.00198,418.12,0,0,55540.9,1.00162,1663.08,1663.08,0,0,55540.9,1.00162,1663.08,1663.08,0,0,55539.8,0.00352477,6.212e-06,5.74329e-05,0.000115563,6.67745e-09,6.17362e-08,8.8347e-05,4.93552e-16,4.56312e-15,32.0025,31.999,0,0.784088,0.558667,0,0,0,55539.6,0,0,55539.8,0,0,55533.3,21.7,0.100162,7615,7617,30.9075,44.5205,0,-0.99851,-0.0788524,0,0,18.4795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00124
