Fluid simulation profile
dimension=2
steps=1200
simulated_substeps=1200
domain=64
dx=1
frame_dt=0.1
scene=5
fluid_solver=polypic
polypic_modes=4
jitter_seed=0
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1201
particles=15376
wall_ms=350221.689

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\confined\20260627-210503\runs\POLYPIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",275406,285977.624,285977.624,83.38,1.038386
2,"Diagnostics::record_step",1200,17612.920,17620.709,5.14,14.677434
3,"APIC_Simulation_2D::step",1200,12327.035,325359.911,3.59,10.272529
4,"Fluid_Simulation_2D::advect",1200,9621.558,9621.558,2.81,8.017965
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1200,3324.709,3324.709,0.97,2.770591
6,"Fluid_Simulation_2D::grid_to_particle",1200,3232.777,3232.777,0.94,2.693981
7,"Fluid_Simulation_2D::particle_to_grid",1200,2775.378,2775.378,0.81,2.312815
8,"Fluid_Simulation_2D::projection_2d",1200,2409.132,290234.117,0.70,2.007610
9,"Fluid_Simulation_2D::projection_dot_product",828618,1807.870,1807.870,0.53,0.002182
10,"APIC_Simulation_2D::particle_mechanical_energy",3600,1490.831,1490.831,0.43,0.414120
11,"APIC_Simulation_2D::particle_kinetic_energy",3600,1139.337,1139.337,0.33,0.316483
12,"APIC_Simulation_2D::max_particle_speed",2400,746.906,746.906,0.22,0.311211
13,"APIC_Simulation_2D::max_grid_speed",7200,139.431,139.431,0.04,0.019365
14,"APIC_Simulation_2D::grid_kinetic_energy",7200,116.286,116.286,0.03,0.016151
15,"Fluid_Simulation_2D::extrapolate_velocity",2400,78.174,139.327,0.02,0.032572
16,"Fluid_Simulation_2D::init_marker_vectors",2400,61.153,61.153,0.02,0.025481
17,"APIC_Simulation_2D::divergence_stats",2400,43.441,43.441,0.01,0.018101
18,"Fluid_Simulation_2D::setup_rhs",1200,39.489,39.489,0.01,0.032908
19,"Fluid_Simulation_2D::enforce_boundary",1200,28.353,28.353,0.01,0.023628
20,"Diagnostics::fluid_measure_from",1200,6.932,6.932,0.00,0.005777
21,"Diagnostics::bounds_from",1201,0.858,0.858,0.00,0.000714
22,"Fluid_Simulation::apply_forces_2d_settings",1200,0.424,0.424,0.00,0.000353
