step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,4880,2.18147,0.857469,0.880002,4880,2,1220,1220,1220,1889.54,1.45631e+06,1.4582e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46013e+06,0,0,0,0,0,0,0,0,0,0.981,596.664,0.981,716.959,0.981,645.744,0.981,0.125604,1220,156,1,43871.7,0.000376193,8.57485e-09,17.2224,144360,22667.7,22439.9,2.24399,2.24399,540.867,0,0,11843.5,4.21145e-09,1.07704e-09,2.24399,605.175,0,0,12276.1,2.18147,1.46202e+06,1889.54,0,0,12276.1,2.18147,1.4582e+06,1889.54,0,0,12276.2,0.00492439,1.21248e-05,3.13139e-05,0,0,0,0,0,0,11.0146,31.4205,0,770.126,-3892.89,0,0,0,12275.7,0,0,12276.2,0,0,12275.7,0,0.218147,4638,4640,21.0926,1.14464,0,2.18019,-0.0746123,0,1,0.144645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2,0.1,1,0.1,0,0.1,4880,3.81512,1.71203,1.7573,4880,2,1225,1225,1225,7534.95,1.4487e+06,1.45624e+06,0.87742,0.499301,0,4880,0,4877,0,0,0,0,0,0,0,0,0,0,1.4582e+06,1889.54,0,0,12276.2,2.62582,545.281,0,0,12276.2,2.62582,2118.66,2.62582,2511.16,2.62582,2301.09,1.01751,0.128973,1225,159,1,45140.6,0.000435016,9.63692e-09,17.7635,146390,23228,21407,2.1407,3.95446,2191.77,0,0,23869.2,5.87606e-09,1.2429e-09,3.95446,2418.11,0,0,24712,3.81512,1.46385e+06,7534.95,0,0,24712,3.81512,1.45624e+06,7534.95,0,0,24712.9,0.0180547,0.000162985,0.000105557,0.01433,0.000102674,6.64969e-05,0.00143443,8.09788e-06,5.24458e-06,11.0467,31.2615,0,1554.05,-7760.95,0,0,0,24712.2,0,0,24712.9,0,0,24712.2,0,0.381512,4638,4640,21.477,1.14113,0,3.81483,-0.0473404,0,1,0.141135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3,0.1,1,0.1,0,0.1,4880,6.01468,2.55414,2.62345,4880,2,1234,1234,1234,16793.3,1.43738e+06,1.45417e+06,0.866745,0.330384,0,4880,0,4874,0,0,0,0,0,4874,0,0,0,0,1.45624e+06,7534.95,0,0,24712.9,4.07673,2162.97,0,0,24712.9,4.07673,4724.3,4.07673,5532.34,4.07673,5093.79,1.10775,0.133929,1234,165,1,47047.1,0.000461318,9.80545e-09,19.5668,153863,25558,25715.7,2.57157,6.6163,4970.03,0,0,36112.8,4.81464e-09,1.31324e-09,6.6163,5505.79,0,0,37373.2,6.01468,1.46549e+06,16793.3,0,0,37373.2,6.01468,1.45417e+06,16793.3,0,0,37377.4,0.0440617,0.000970719,0.000282084,0.0307622,0.000473157,0.000137496,0.00163934,8.7688e-06,2.54815e-06,11.096,31.0249,0,2372.69,-11548.8,0,0,0,37375.8,0,0,37377.4,0,0,37375.8,0,0.601468,4638,4640,22.1132,1.12575,0,6.0125,-0.162147,0,1,0.125747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.4,0.1,1,0.1,0,0.1,4880,7.84419,3.39195,3.48751,4880,2,1242,1242,1242,29677,1.4224e+06,1.45208e+06,0.86523,0.248094,0,4880,0,4870,0,0,0,0,0,4870,0,0,0,0,1.45417e+06,16793.3,0,0,37377.4,7.03634,4858.89,0,0,37377.4,7.03634,8406.38,7.03634,9815.27,7.03634,9023.15,1.26992,0.139306,1242,167,1,49094.4,0.000482525,9.82851e-09,22.5096,160013,27461,24297.8,2.42978,8.59589,8888.04,0,0,49075,4.43586e-09,1.36917e-09,8.59589,9817.62,0,0,50782.7,7.84419,1.46706e+06,29677,0,0,50782.7,7.84419,1.45208e+06,29677,0,0,50787.7,0.0731969,0.0026789,0.00044051,0.0391591,0.000766716,0.000126077,0.00143443,2.11364e-06,3.47561e-07,11.1638,30.7121,0,3246.9,-15279.8,0,0,0,50786.1,0,0,50787.7,0,0,50786.1,0,0.784419,4638,4640,22.9318,1.11522,0,7.84326,-0.120311,0,1,0.115222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.5,0.1,1,0.1,0,0.1,4880,10.4948,4.22276,4.34694,4880,2,1236,1236,1236,46106,1.40386e+06,1.44996e+06,0.862034,0.198308,0,4880,0,4857,0,0,0,0,0,4857,0,0,0,0,1.45208e+06,29677,0,0,50787.7,7.97207,8459.71,0,0,50787.7,7.97207,12947.3,7.97207,15094.3,7.97207,14123.5,1.17338,0.138131,1236,168,1,48562.3,0.000475513,9.79181e-09,28.1937,168182,30291.2,26349.7,2.63497,10.607,13971.6,0,0,62991.3,5.01957e-09,1.35255e-09,10.607,15152.7,0,0,65193.7,10.4948,1.46851e+06,46106,0,0,65193.7,10.4948,1.44996e+06,46106,0,0,65207.6,0.11153,0.00621945,0.000658286,0.0476073,0.00113323,0.000119945,0.00286885,6.622e-06,7.00893e-07,11.2517,30.3247,0,4195.52,-18926.1,0,0,0,65205,0,0,65207.6,0,0,65205,0,1.04948,4638,4640,23.9925,1.09749,0,10.493,-0.192599,0,1,0.0974885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.6,0.1,1,0.1,0,0.1,4880,13.2934,5.04204,5.1977,4880,2,1245,1245,1245,65919.2,1.38187e+06,1.44779e+06,0.856614,0.164806,0,4880,0,4842,0,0,0,0,0,4842,0,0,0,0,1.44996e+06,46106,0,0,65207.6,10.5234,13233.1,0,0,65207.6,10.5234,18686.1,10.5234,21783.9,10.5234,20409.8,1.41629,0.146517,1245,171,1,51697.8,0.00043769,8.46632e-09,29.8454,179461,34062,27848,2.7848,13.3082,20230.5,0,0,78030.8,4.65478e-09,1.24046e-09,13.3082,21881.4,0,0,80779.6,13.2934,1.46978e+06,65919.2,0,0,80779.6,13.2934,1.44779e+06,65919.2,0,0,80802.2,0.164018,0.013451,0.000995775,0.0614271,0.00188665,0.000139668,0.00286885,0.000316041,2.33965e-05,11.362,29.8654,0,5238.29,-22447.3,0,0,0,80799.3,0,0,80802.2,0,0,80799.3,0,1.32934,4638,4640,25.3024,1.07837,0,13.2917,-0.212889,0,1,0.0783693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.7,0.1,1,0.1,0,0.1,4880,15.0081,5.84741,6.03695,4880,2,1237,1237,1237,88925.3,1.35659e+06,1.44551e+06,0.850449,0.140874,0,4880,0,4826,0,0,0,0,0,4826,0,0,0,0,1.44779e+06,65919.2,0,0,80802.2,14.8151,18941.1,0,0,80802.2,14.8151,25243.9,14.8151,29556.1,14.8151,28012.2,1.75526,0.159268,1237,169,1,56016.1,0.000514877,9.19158e-09,40.0584,192320,38897,26081.9,2.60819,16.3634,27799,0,0,94326.1,5.18717e-09,1.46392e-09,16.3634,29661,0,0,97638.5,15.0081,1.47079e+06,88925.3,0,0,97638.5,15.0081,1.44551e+06,88925.3,0,0,97675.7,0.212164,0.0225067,0.00123511,0.0842824,0.00355176,0.000194912,0.00143443,0.00024673,1.35399e-05,11.497,29.3374,0,6387.64,-25820.6,0,0,0,97671.1,0,0,97675.7,0,0,97671.1,0,1.50081,4638,4640,26.9083,1.06453,0,15.0074,-0.150809,0,1,0.0645338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.8,0.1,1,0.1,0,0.1,4880,16.5749,6.64058,6.86775,4880,2,1250,1250,1250,115085,1.32817e+06,1.44326e+06,0.848335,0.123524,0,4880,0,4800,0,0,0,0,0,4799,0,0,0,0,1.44551e+06,88925.3,0,0,97675.7,15.229,25788.6,0,0,97675.7,15.229,33039.3,15.0987,38392.9,15.0987,36452.2,1.53121,0.162069,1250,171,1,57300.1,0.000491853,8.58381e-09,43.6053,205877,43458.5,25654.5,2.56545,16.7092,36203.4,0,0,111967,4.82359e-09,1.39117e-09,16.7092,38508.7,0,0,115917,16.5749,1.47167e+06,115085,0,0,115917,16.5749,1.44326e+06,115085,0,0,115961,0.248421,0.0308565,0.00130842,0.108955,0.00593555,0.000251688,0.00163934,0.00138752,5.88356e-05,11.6593,28.7438,0,7666.07,-29042.7,0,0,0,115956,0,0,115961,0,0,115956,0,1.65749,4638,4640,28.5109,1.05573,0,16.5746,-0.0946333,0,1,0.0557328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.9,0.1,1,0.1,0,0.1,4880,17.9328,7.41431,7.68193,4880,2,1245,1245,1245,143990,1.29682e+06,1.44081e+06,0.842511,0.109674,0,4880,0,4764,0,0,0,0,0,4764,0,0,0,0,1.44326e+06,115085,0,0,115961,17.2715,33376.5,0,0,115961,17.2715,41421.7,17.2493,48302.4,17.2493,45765.1,1.32725,0.165761,1245,171,1,58488,0.000521693,8.91966e-09,55.1903,222015,49864,26909,2.6909,18.5502,45466.5,0,0,130886,5.12569e-09,1.47853e-09,18.5502,48411.8,0,0,135495,17.9328,1.47216e+06,143990,0,0,135495,17.9328,1.44081e+06,143990,0,0,135554,0.293998,0.0432173,0.00146469,0.0817881,0.00334465,0.000113355,0.00143443,7.31849e-05,2.48034e-06,11.8521,28.0889,0,9082.04,-32065.1,0,0,0,135548,0,0,135554,0,0,135548,0,1.79328,4638,4640,30.3293,1.04912,0,17.9327,-0.0703637,0,1,0.0491232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0.1,1,0.1,0,0.1,4880,18.7429,8.17429,8.48531,4880,2,1244,1244,1244,175681,1.26272e+06,1.4384e+06,0.844042,0.099471,0,4880,0,4731,0,0,0,0,0,4729,0,0,0,0,1.44081e+06,143990,0,0,135554,18.7784,41903.9,0,0,135554,18.7784,50707.4,18.7776,59133.6,18.7776,55954.1,1.27261,0.172366,1244,170,1,60794.3,0.000565929,9.30892e-09,74.3118,237717,56442.3,25378.3,2.53783,19.6751,55608.9,0,0,151324,5.50875e-09,1.60454e-09,19.6751,59246.5,0,0,156591,18.7429,1.4725e+06,175681,0,0,156591,18.7429,1.4384e+06,175681,0,0,156661,0.337908,0.057091,0.00158585,0.0903145,0.00407835,0.000113287,0.000409836,2.12172e-05,5.89362e-07,12.0787,27.3766,0,10653.7,-34899.3,0,0,0,156654,0,0,156661,0,0,156654,0,1.87429,4638,4640,32.2655,1.04275,0,18.7428,-0.0608797,0,1,0.0427476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
