Fluid simulation profile
dimension=2
steps=1800
simulated_substeps=1800
domain=64
dx=1
frame_dt=0.1
scene=0
fluid_solver=apic
polypic_modes=4
jitter_seed=0
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=4880
wall_ms=55917.554

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\dam\20260627-214726\runs\APIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",220059,31267.734,31267.734,59.60,0.142088
2,"Diagnostics::record_step",1800,6761.836,6773.062,12.89,3.756576
3,"Fluid_Simulation_2D::advect",1800,4472.525,4472.525,8.53,2.484736
4,"APIC_Simulation_2D::step",1800,3822.604,45685.242,7.29,2.123669
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1800,1433.409,1433.409,2.73,0.796338
6,"Fluid_Simulation_2D::grid_to_particle",1800,898.998,898.998,1.71,0.499443
7,"Fluid_Simulation_2D::particle_to_grid",1800,775.058,775.058,1.48,0.430588
8,"Fluid_Simulation_2D::projection_2d",1800,669.084,32222.499,1.28,0.371713
9,"APIC_Simulation_2D::particle_mechanical_energy",5400,533.574,533.574,1.02,0.098810
10,"APIC_Simulation_2D::particle_kinetic_energy",5400,451.414,451.414,0.86,0.083595
11,"APIC_Simulation_2D::max_particle_speed",3600,273.926,273.926,0.52,0.076091
12,"Fluid_Simulation_2D::projection_dot_product",663777,273.224,273.224,0.52,0.000412
13,"APIC_Simulation_2D::max_grid_speed",10800,227.326,227.326,0.43,0.021049
14,"APIC_Simulation_2D::grid_kinetic_energy",10800,202.464,202.464,0.39,0.018747
15,"Fluid_Simulation_2D::extrapolate_velocity",3600,185.683,273.228,0.35,0.051579
16,"Fluid_Simulation_2D::init_marker_vectors",3600,87.544,87.544,0.17,0.024318
17,"Fluid_Simulation_2D::enforce_boundary",1800,42.591,42.591,0.08,0.023661
18,"APIC_Simulation_2D::divergence_stats",3600,32.330,32.330,0.06,0.008981
19,"Fluid_Simulation::apply_forces_2d_settings",1800,23.297,23.297,0.04,0.012943
20,"Fluid_Simulation_2D::setup_rhs",1800,12.458,12.458,0.02,0.006921
21,"Diagnostics::fluid_measure_from",1800,9.979,9.979,0.02,0.005544
22,"Diagnostics::bounds_from",1801,1.248,1.248,0.00,0.000693
