step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,4880,2.1641,0.857553,0.880154,4880,2,1220,1220,1220,1890.2,1.45618e+06,1.45807e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46e+06,0,0,0,0,0,0,0,0,0,0.981,596.664,0.981,716.959,0.981,645.744,0.981,0.125604,1220,156,1,43871.7,0.000376193,8.57485e-09,17.2224,144360,22667.7,22439.9,2.24399,2.24399,540.867,0,0,11852,4.21145e-09,1.07704e-09,2.24399,605.175,0,0,12277.5,2.1641,1.46189e+06,1890.2,0,0,12276.7,2.1641,1.45807e+06,1890.2,0,0,12276.8,0.00485089,1.17656e-05,3.03756e-05,0,0,0,0,0,0,11.0126,31.4177,0,770.395,-3893.33,0,0,0,12276.8,0,0,12276.8,0,0,12276.8,0,0.21641,4638,4640,21.0332,1.44309,0,2.152,-0.228558,0,1,0.443087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2,0.1,1,0.1,0,0.1,4880,3.78918,1.71214,1.75758,4880,2,1226,1226,1226,7537.37,1.44857e+06,1.45611e+06,0.877641,0.499347,0,4880,0,4875,0,0,0,0,0,0,0,0,0,0,1.45807e+06,1890.2,0,0,12276.8,2.152,543.848,0,0,12276.8,2.152,2120.97,2.09041,2508.72,2.09041,2298.18,1.30024,0.131442,1226,157,1,46023.4,0.000444651,9.6614e-09,17.8906,146450,23235,21548.6,2.15486,3.83583,2188.24,0,0,23902.1,5.1351e-09,1.26991e-09,3.83583,2412.6,0,0,24740.2,3.78918,1.46372e+06,7537.37,0,0,24739.5,3.78918,1.45611e+06,7537.37,0,0,24740.1,0.0184646,0.000170471,0.00011037,0.0159813,0.0001277,8.26785e-05,0.00471311,1.48636e-05,9.62328e-06,11.0447,31.2588,0,1554.58,-7758.23,0,0,0,24740.1,0,0,24740.1,0,0,24740.1,0,0.378918,4643,4645,21.2849,2.58412,0,3.68271,-0.891912,0,0,1.58412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3,0.1,1,0.1,0,0.1,4880,5.89505,2.55396,2.62355,4880,2,1236,1236,1236,16794.6,1.43726e+06,1.45405e+06,0.866562,0.330301,0,4880,0,4875,0,0,0,0,0,4875,0,0,0,0,1.45611e+06,7537.37,0,0,24740.1,3.76449,2157.81,0,0,24740.1,3.76449,4728.24,3.76449,5542.18,3.76449,5104.13,1.12597,0.131146,1236,165,1,46106.8,0.00044224,9.59165e-09,19.3161,154047,25584.4,25806.3,2.58063,6.34511,4980.53,0,0,36143.8,5.21544e-09,1.25791e-09,6.34511,5515.21,0,0,37397.6,5.89505,1.46537e+06,16794.6,0,0,37397.2,5.89505,1.45405e+06,16794.6,0,0,37400.2,0.0382624,0.000732007,0.000212699,0.0281252,0.000395514,0.000114924,0.00327869,7.07003e-05,2.05433e-05,11.094,31.0224,0,2373.27,-11543.7,0,0,0,37400.2,0,0,37400.2,0,0,37400.2,0,0.589505,4638,4640,21.9976,1.39855,0,5.89136,-0.20844,0,1,0.398546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.4,0.1,1,0.1,0,0.1,4880,7.83443,3.39299,3.48862,4880,2,1243,1243,1243,29696,1.42229e+06,1.45198e+06,0.866156,0.24828,0,4880,0,4871,0,0,0,0,0,4870,0,0,0,0,1.45405e+06,16794.6,0,0,37400.2,5.86679,4825.96,0,0,37400.2,5.86679,8379.03,5.86679,9774.87,5.86679,9002.97,1.55716,0.138242,1243,166,1,48738.9,0.0004643,9.52628e-09,17.3259,159413,27215.7,24736,2.4736,7.67631,8868.75,0,0,49154.4,4.73641e-09,1.31693e-09,7.67631,9766.35,0,0,50864,7.83443,1.46695e+06,29696,0,0,50862.9,7.83443,1.45198e+06,29696,0,0,50867.4,0.0717494,0.00257399,0.000422989,0.044256,0.000979298,0.00016093,0.0022541,1.25182e-05,2.05714e-06,11.1618,30.7097,0,3246.93,-15276.3,0,0,0,50867.4,0,0,50867.4,0,0,50867.4,0,0.783443,4643,4645,22.5934,2.36513,0,7.71333,-1.37216,0,0,1.36513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.5,0.1,1,0.1,0,0.1,4880,10.2115,4.22373,4.34779,4880,2,1233,1233,1233,46124,1.40375e+06,1.44987e+06,0.861757,0.198206,0,4880,0,4861,0,0,0,0,0,4861,0,0,0,0,1.45198e+06,29696,0,0,50867.4,7.66194,8427.98,0,0,50867.4,7.66194,12888.5,7.59276,14984.9,7.59276,14018,1.21633,0.137536,1233,168,1,48294.6,0.000445961,9.23417e-09,26.4914,168076,30265.6,26916.3,2.69163,10.2844,13866.3,0,0,63051.7,3.85139e-09,1.27003e-09,10.2844,15042.1,0,0,65237,10.2115,1.46841e+06,46124,0,0,65236.1,10.2115,1.44987e+06,46124,0,0,65248.4,0.103606,0.00536707,0.000567845,0.0498317,0.0012416,0.000131363,0.00286885,8.51011e-06,9.00384e-07,11.2497,30.3224,0,4194.11,-18922.6,0,0,0,65248.4,0,0,65248.4,0,0,65248.4,0,1.02115,4639,4641,23.8088,1.55608,0,10.1924,-0.623675,0,1,0.556084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.6,0.1,1,0.1,0,0.1,4880,12.8093,5.04183,5.19736,4880,2,1243,1243,1243,65910.7,1.38177e+06,1.44768e+06,0.855059,0.164518,0,4880,0,4844,0,0,0,0,0,4844,0,0,0,0,1.44987e+06,46124,0,0,65248.4,10.1218,13151.3,0,0,65248.4,10.1218,18571,9.94041,21624.6,9.94041,20258.5,1.48727,0.144913,1243,171,1,51090.7,0.000427862,8.37457e-09,29.0368,179889,34222.8,28042.2,2.80422,12.7446,20079.1,0,0,78012.7,4.08168e-09,1.21358e-09,12.7446,21718,0,0,80728,12.8093,1.46966e+06,65910.7,0,0,80727.1,12.8093,1.44768e+06,65910.7,0,0,80748.2,0.147298,0.0108484,0.00080321,0.0486088,0.00118141,8.7471e-05,0.000819672,1.76148e-07,1.30419e-08,11.3598,29.8633,0,5235.11,-22439.7,0,0,0,80748.2,0,0,80748.2,0,0,80748.2,0,1.28093,4639,4641,25.0787,1.46501,0,12.7885,-0.729104,0,1,0.465007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.7,0.1,1,0.1,0,0.1,4880,14.6647,5.84411,6.0335,4880,2,1237,1237,1237,88823.7,1.35652e+06,1.44534e+06,0.847281,0.140429,0,4880,0,4826,0,0,0,0,0,4826,0,0,0,0,1.44768e+06,65910.7,0,0,80748.2,12.7718,18899.3,0,0,80748.2,12.7718,25176.2,12.7718,29255.8,12.7718,27768.1,1.56757,0.157998,1237,169,1,55569.5,0.000509551,9.16962e-09,37.5834,193263,39257.5,23362.3,2.33623,14.519,27552.9,0,0,94179.6,4.43659e-09,1.44878e-09,14.519,29331.3,0,0,97480.9,14.6647,1.47059e+06,88823.7,0,0,97480,14.6647,1.44534e+06,88823.7,0,0,97507,0.198843,0.0197693,0.00108613,0.0691657,0.00239195,0.000131414,0.000614754,2.67995e-07,1.47237e-08,11.4945,29.3359,0,6382.41,-25797.3,0,0,0,97507,0,0,97507,0,0,97507,0,1.46647,4639,4641,26.5174,1.44212,0,14.6633,-0.202339,0,1,0.442121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.8,0.1,1,0.1,0,0.1,4880,16.224,6.63762,6.86433,4880,2,1247,1247,1247,114970,1.32813e+06,1.4431e+06,0.847709,0.123495,0,4880,0,4803,0,0,0,0,0,4800,0,0,0,0,1.44534e+06,88823.7,0,0,97507,14.5879,25708.7,0,0,97507,14.5879,32937.6,14.4801,38135.9,14.4801,36210.7,1.47696,0.158687,1247,171,1,56037.1,0.000541897,9.67034e-09,56.874,205638,43446.8,25678.1,2.56781,15.8905,35964.9,0,0,111768,5.66882e-09,1.53456e-09,15.8905,38242.2,0,0,115674,16.224,1.47149e+06,114970,0,0,115673,16.224,1.4431e+06,114970,0,0,115711,0.238556,0.0284545,0.00120777,0.0749748,0.00281061,0.000119298,0.000819672,1.1148e-05,4.73187e-07,11.6566,28.7428,0,7657.79,-29022.7,0,0,0,115711,0,0,115711,0,0,115711,0,1.6224,4639,4641,28.1026,1.41768,0,16.224,0.0153621,0,1,0.417679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.9,0.1,1,0.1,0,0.1,4880,17.4161,7.41635,7.68301,4880,2,1247,1247,1247,144030,1.29678e+06,1.44081e+06,0.846188,0.110138,0,4880,0,4773,0,0,0,0,0,4773,0,0,0,0,1.4431e+06,114970,0,0,115711,16.1942,33306.7,0,0,115711,16.1942,41364.7,16.1942,48201.5,16.1942,45697.6,1.55945,0.166326,1247,171,1,58734.5,0.000533977,9.09137e-09,48.5358,220368,49120.6,26763.2,2.67632,17.265,45407.4,0,0,130812,4.67436e-09,1.51213e-09,17.265,48287.9,0,0,135363,17.4161,1.47216e+06,144030,0,0,135362,17.4161,1.44081e+06,144030,0,0,135411,0.284324,0.04042,0.0013695,0.08435,0.00355746,0.000120533,0.000409836,1.35414e-07,4.58809e-09,11.8491,28.0879,0,9074.25,-32067.3,0,0,0,135411,0,0,135411,0,0,135411,0,1.74161,4639,4641,29.8236,1.40645,0,17.4161,0.0186584,0,1,0.406452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0.1,1,0.1,0,0.1,4880,18.6792,8.17699,8.48766,4880,2,1243,1243,1243,175779,1.26268e+06,1.43846e+06,0.844604,0.0995097,0,4880,0,4731,0,0,0,0,0,4730,0,0,0,0,1.44081e+06,144030,0,0,135411,17.2557,41628.5,0,0,135411,17.2557,50464,17.1605,58453.4,17.1605,55481.5,1.35612,0.170193,1243,170,1,60003.6,0.000572124,9.53483e-09,20.7294,237272,56072.6,24853.2,2.48532,18.3789,55137.5,0,0,151297,6.74806e-09,1.62276e-09,18.3789,58549.8,0,0,156498,18.6792,1.47255e+06,175779,0,0,156496,18.6792,1.43846e+06,175779,0,0,156556,0.338467,0.0572799,0.00159022,0.1008,0.00508035,0.000141042,0.000409836,2.26976e-05,6.30135e-07,12.0754,27.3757,0,10648,-34902.8,0,0,0,156556,0,0,156556,0,0,156556,0,1.86792,4639,4641,31.6382,1.38773,0,18.6791,-0.0634459,0,1,0.387732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
