Fluid simulation profile
dimension=2
steps=1800
simulated_substeps=1800
domain=64
dx=1
frame_dt=0.1
scene=0
fluid_solver=flip
polypic_modes=4
jitter_seed=0
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=4880
wall_ms=55803.563

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\dam\20260627-214726\runs\FLIP_095
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",221068,31098.684,31098.684,59.64,0.140675
2,"Diagnostics::record_step",1800,6752.786,6764.207,12.95,3.751548
3,"Fluid_Simulation_2D::advect",1800,4508.111,4508.111,8.65,2.504506
4,"APIC_Simulation_2D::step",1800,3683.731,45377.534,7.06,2.046517
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1800,1424.980,1424.980,2.73,0.791655
6,"Fluid_Simulation_2D::grid_to_particle",1800,881.107,881.107,1.69,0.489504
7,"Fluid_Simulation_2D::particle_to_grid",1800,759.756,759.756,1.46,0.422087
8,"Fluid_Simulation_2D::projection_2d",1800,662.799,32046.700,1.27,0.368222
9,"APIC_Simulation_2D::particle_mechanical_energy",5400,541.199,541.199,1.04,0.100222
10,"APIC_Simulation_2D::particle_kinetic_energy",5400,456.574,456.574,0.88,0.084551
11,"APIC_Simulation_2D::max_particle_speed",3600,279.248,279.248,0.54,0.077569
12,"Fluid_Simulation_2D::projection_dot_product",666804,272.787,272.787,0.52,0.000409
13,"APIC_Simulation_2D::max_grid_speed",10800,225.113,225.113,0.43,0.020844
14,"APIC_Simulation_2D::grid_kinetic_energy",10800,201.148,201.148,0.39,0.018625
15,"Fluid_Simulation_2D::extrapolate_velocity",3600,184.297,272.697,0.35,0.051193
16,"Fluid_Simulation_2D::init_marker_vectors",3600,88.401,88.401,0.17,0.024556
17,"Fluid_Simulation_2D::enforce_boundary",1800,42.162,42.162,0.08,0.023423
18,"APIC_Simulation_2D::divergence_stats",3600,32.200,32.200,0.06,0.008944
19,"Fluid_Simulation::apply_forces_2d_settings",1800,22.808,22.808,0.04,0.012671
20,"Fluid_Simulation_2D::setup_rhs",1800,12.429,12.429,0.02,0.006905
21,"Diagnostics::fluid_measure_from",1800,10.194,10.194,0.02,0.005663
22,"Diagnostics::bounds_from",1801,1.227,1.227,0.00,0.000682
