step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,4880,2.10211,0.857538,0.880138,4880,2,1220,1220,1220,1890.13,1.45624e+06,1.45813e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46006e+06,0,0,0,0,0,0,0,0,0,0.981,596.664,0.981,716.959,0.981,645.744,0.981,0.125604,1220,156,1,43871.7,0.000376193,8.57485e-09,17.2224,144360,22667.7,22439.9,2.24399,2.24399,540.867,0,0,11817.2,4.21145e-09,1.07704e-09,2.24399,605.175,0,0,12269.3,2.10211,1.46195e+06,1890.13,0,0,12268.7,2.10211,1.45813e+06,1890.13,0,0,12268.8,0.00499599,1.248e-05,3.22212e-05,0,0,0,0,0,0,11.0164,31.4189,0,770.139,-3893.03,0,0,0,12268.8,0,0,12268.8,0,0,12268.8,0,0.210211,4638,4640,20.9266,1.00177,0,2.10211,-0.000910543,0,1,0.0017652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2,0.1,1,0.1,0,0.1,4880,4.53068,1.71138,1.75716,4880,2,1229,1229,1229,7533.78,1.44863e+06,1.45616e+06,0.877219,0.499225,0,4880,0,4877,0,0,0,0,0,0,0,0,0,0,1.45813e+06,1890.13,0,0,12268.8,2.07069,541.075,0,0,12268.8,2.07069,2124.4,1.95995,2511.94,1.95995,2305.83,1.13743,0.12688,1229,162,1,44480.3,0.000423472,9.52043e-09,17.5029,146730,23279.7,26581.6,2.65816,4.583,2196.64,0,0,23772.7,4.14028e-09,1.20795e-09,4.583,2425.36,0,0,24660.1,4.53068,1.46377e+06,7533.78,0,0,24659.6,4.53068,1.45616e+06,7533.78,0,0,24658.9,0.0256178,0.000328137,0.000212551,0.0233927,0.00027361,0.000177231,0.00327869,0.000128649,8.33323e-05,11.0485,31.26,0,1554.46,-7760.86,0,0,0,24658.9,0,0,24658.9,0,0,24658.9,0,0.453068,4638,4640,21.2838,1.40311,0,4.50264,-0.503238,0,1,0.403111,1,21,0,0,0,1,0,4.55191,-0.55325,0,-4.55191,-0.55325,0,4.58541,4.58541,-0.55325,-0.55325,9.10383,0,0,1,0
2,0.3,0.1,1,0.1,0,0.1,4880,6.00626,2.55398,2.62317,4880,2,1238,1238,1238,16789.8,1.43731e+06,1.4541e+06,0.867232,0.330604,0,4880,0,4875,0,0,0,0,0,4875,0,0,0,0,1.45616e+06,7533.78,0,0,24658.9,4.37792,2161.16,0,0,24658.9,4.37792,4742.6,4.05487,5564.77,4.05487,5115.75,2.19946,0.142498,1238,166,1,50138.1,0.000436515,8.70624e-09,19.4783,153481,25347,29706.6,2.97066,7.02553,4991.36,0,0,36169.3,4.8211e-09,1.24062e-09,7.02553,5530.97,0,0,37416.5,6.00626,1.46542e+06,16789.8,0,0,37414.6,6.00626,1.4541e+06,16789.8,0,0,37417.7,0.0451416,0.00101888,0.000296142,0.0394525,0.000778251,0.000226201,0.00368852,0.000307021,8.92368e-05,11.0979,31.0235,0,2373.25,-11544.6,0,0,0,37417.7,0,0,37417.7,0,0,37417.7,0,0.600626,4638,4640,21.9276,1.34908,0,5.98151,-0.544756,0,1,0.349085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.4,0.1,1,0.1,0,0.1,4880,7.46669,3.39029,3.48505,4880,2,1249,1249,1249,29635.2,1.42235e+06,1.45199e+06,0.863488,0.247769,0,4880,0,4871,0,0,0,0,0,4871,0,0,0,0,1.4541e+06,16789.8,0,0,37417.7,5.89649,4831.86,0,0,37417.7,5.89649,8406.11,5.89649,9822.89,5.89649,9037.46,1.97183,0.144638,1249,168,1,51116.9,0.000498587,9.75385e-09,24.0356,160451,27570.4,25008.6,2.50086,7.76434,8900.87,0,0,49131.6,4.84495e-09,1.41078e-09,7.76434,9817.05,0,0,50816,7.46669,1.46695e+06,29635.2,0,0,50812.3,7.46669,1.45199e+06,29635.2,0,0,50817.4,0.0646068,0.00208702,0.000343668,0.0418956,0.000877619,0.000144517,0.00204918,3.98831e-06,6.56752e-07,11.1656,30.7111,0,3245.53,-15265.2,0,0,0,50817.4,0,0,50817.4,0,0,50817.4,0,0.746669,4639,4641,22.7778,1.57315,0,7.458,-0.360287,0,1,0.573151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.5,0.1,1,0.1,0,0.1,4880,9.63798,4.22234,4.34493,4880,2,1236,1236,1236,46063.4,1.40382e+06,1.44988e+06,0.862503,0.198508,0,4880,0,4863,0,0,0,0,0,4863,0,0,0,0,1.45199e+06,29635.2,0,0,50817.4,7.39049,8397.11,0,0,50817.4,7.39049,12886.5,7.39049,15015.8,7.39049,14061.1,1.21763,0.138577,1236,168,1,48719.3,0.000440883,9.04945e-09,24.7938,167228,29856.6,25588.5,2.55885,9.94934,13911.1,0,0,63101.6,3.68014e-09,1.25405e-09,9.94934,15062.2,0,0,65255,9.63798,1.46842e+06,46063.4,0,0,65250.1,9.63798,1.44988e+06,46063.4,0,0,65261.1,0.0952477,0.00453607,0.000480555,0.0436967,0.000954701,0.000101142,0.0022541,6.16851e-06,6.53497e-07,11.2533,30.3239,0,4191.32,-18917.1,0,0,0,65261.1,0,0,65261.1,0,0,65261.1,0,0.963798,4639,4641,23.766,1.50694,0,9.61226,-0.703686,0,1,0.506937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.6,0.1,1,0.1,0,0.1,4880,11.6103,5.04217,5.19566,4880,2,1243,1243,1243,65867.6,1.38184e+06,1.44771e+06,0.856104,0.164773,0,4880,0,4851,0,0,0,0,0,4851,0,0,0,0,1.44988e+06,46063.4,0,0,65261.1,9.43028,13173.8,0,0,65261.1,9.43028,18635.9,9.43028,21672.9,9.43028,20315.3,1.44204,0.144849,1243,170,1,51068.3,0.000408435,7.99783e-09,30.8178,178706,33549.9,24755.9,2.47559,11.8882,20139.4,0,0,78146,3.72614e-09,1.15848e-09,11.8882,21746.6,0,0,80801.6,11.6103,1.46969e+06,65867.6,0,0,80794.6,11.6103,1.44771e+06,65867.6,0,0,80812.3,0.134855,0.00909295,0.000673679,0.0505446,0.00127738,9.46386e-05,0.00163934,1.8229e-06,1.35055e-07,11.3633,29.8648,0,5231.49,-22444.7,0,0,0,80812.3,0,0,80812.3,0,0,80812.3,0,1.16103,4639,4641,24.952,1.44903,0,11.594,-0.614967,0,1,0.449029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.7,0.1,1,0.1,0,0.1,4880,13.6175,5.8493,6.03697,4880,2,1237,1237,1237,88925.7,1.35656e+06,1.44548e+06,0.851237,0.141004,0,4880,0,4831,0,0,0,0,0,4830,0,0,0,0,1.44771e+06,65867.6,0,0,80812.3,11.3467,18688.1,0,0,80812.3,11.3467,25004.3,11.3067,29050.3,11.3067,27670.4,1.30621,0.148795,1237,169,1,52332.8,0.000455162,8.69746e-09,37.3385,191455,38325.7,25417.9,2.54179,13.6642,27463.4,0,0,94458.1,4.97351e-09,1.29414e-09,13.6642,29145.5,0,0,97673.1,13.6175,1.47077e+06,88925.7,0,0,97665.4,13.6175,1.44548e+06,88925.7,0,0,97691,0.181126,0.0164033,0.000900167,0.0593319,0.00176014,9.65916e-05,0.0022541,8.03374e-05,4.4087e-06,11.4979,29.3367,0,6382.13,-25831.1,0,0,0,97691,0,0,97691,0,0,97691,0,1.36175,4639,4641,26.3136,1.3987,0,13.6071,-0.533806,0,1,0.398704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.8,0.1,1,0.1,0,0.1,4880,14.951,6.64081,6.86474,4880,2,1251,1251,1251,114984,1.32815e+06,1.44314e+06,0.846366,0.123292,0,4880,0,4812,0,0,0,0,0,4812,0,0,0,0,1.44548e+06,88925.7,0,0,97691,13.5327,25770.7,0,0,97691,13.5327,33040.3,13.4747,38277.7,13.4747,36368.7,1.31906,0.156671,1251,171,1,55413.6,0.000482568,8.70849e-09,46.8694,205640,43230.8,24162.8,2.41628,15.0404,36121.1,0,0,112087,4.69779e-09,1.36436e-09,15.0404,38370.2,0,0,115901,14.951,1.47154e+06,114984,0,0,115890,14.951,1.44314e+06,114984,0,0,115923,0.226144,0.0255705,0.00108523,0.0764424,0.00292172,0.000124,0.00102459,2.16864e-05,9.20384e-07,11.6599,28.7433,0,7656.48,-29044.6,0,0,0,115923,0,0,115923,0,0,115923,0,1.4951,4639,4641,27.8156,1.39326,0,14.9505,-0.11889,0,1,0.39326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.9,0.1,1,0.1,0,0.1,4880,16.3219,7.41745,7.68195,4880,2,1250,1250,1250,143990,1.29679e+06,1.44078e+06,0.84372,0.109831,0,4880,0,4786,0,0,0,0,0,4785,0,0,0,0,1.44314e+06,114984,0,0,115923,14.9003,32949.7,0,0,115923,14.9003,41044.6,14.9003,47747,14.9003,45391.9,1.43448,0.160415,1250,171,1,56715.1,0.00055095,9.71433e-09,67.1406,221548,49498.6,23863.4,2.38634,16.3376,45102.4,0,0,131145,5.95714e-09,1.55832e-09,16.3376,47844,0,0,135576,16.3219,1.47214e+06,143990,0,0,135564,16.3219,1.44078e+06,143990,0,0,135606,0.275322,0.0379012,0.00128452,0.078665,0.00309409,0.000104862,0.00163934,0.000351319,1.19066e-05,11.8523,28.0883,0,9074.99,-32081.3,0,0,0,135606,0,0,135606,0,0,135606,0,1.63219,4639,4641,29.4391,1.38991,0,16.3218,-0.0336657,0,1,0.389907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0.1,1,0.1,0,0.1,4880,17.7193,8.17312,8.48181,4880,2,1246,1246,1246,175536,1.26271e+06,1.43825e+06,0.840126,0.0990503,0,4880,0,4741,0,0,0,0,0,4740,0,0,0,0,1.44078e+06,143990,0,0,135606,16.3135,41763.7,0,0,135606,16.3135,50605.6,16.3063,58329.9,16.3063,55360.5,1.50271,0.168426,1246,170,1,59452.3,0.000473406,7.96279e-09,81.2687,239070,56709.9,25688.2,2.56882,17.7265,55014.2,0,0,151576,4.83824e-09,1.34114e-09,17.7265,58412.7,0,0,156588,17.7193,1.47233e+06,175536,0,0,156575,17.7193,1.43825e+06,175536,0,0,156625,0.325647,0.053023,0.00147407,0.0835248,0.0034882,9.69738e-05,0.000614754,4.42688e-06,1.2307e-07,12.0785,27.3764,0,10646.9,-34895.8,0,0,0,156625,0,0,156625,0,0,156625,0,1.77193,4636,4638,30.7976,1.12521,0,17.7193,-0.0160565,0,1,0.12521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
