Fluid simulation profile
dimension=2
steps=1800
simulated_substeps=1800
domain=64
dx=1
frame_dt=0.1
scene=0
fluid_solver=flip
polypic_modes=4
jitter_seed=0
flip_percent=0
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=4880
wall_ms=61797.698

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\dam\20260627-214726\runs\PIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",232303,37223.823,37223.823,63.84,0.160238
2,"Diagnostics::record_step",1800,6665.484,6676.739,11.43,3.703046
3,"Fluid_Simulation_2D::advect",1800,4513.451,4513.451,7.74,2.507473
4,"APIC_Simulation_2D::step",1800,3721.765,51629.815,6.38,2.067647
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1800,1438.283,1438.283,2.47,0.799046
6,"Fluid_Simulation_2D::grid_to_particle",1800,876.754,876.754,1.50,0.487086
7,"Fluid_Simulation_2D::particle_to_grid",1800,746.984,746.984,1.28,0.414991
8,"Fluid_Simulation_2D::projection_2d",1800,722.801,38270.781,1.24,0.401556
9,"APIC_Simulation_2D::particle_mechanical_energy",5400,536.152,536.152,0.92,0.099287
10,"APIC_Simulation_2D::particle_kinetic_energy",5400,455.767,455.767,0.78,0.084401
11,"Fluid_Simulation_2D::projection_dot_product",700509,310.918,310.918,0.53,0.000444
12,"APIC_Simulation_2D::max_particle_speed",3600,278.933,278.933,0.48,0.077481
13,"APIC_Simulation_2D::max_grid_speed",10800,225.701,225.701,0.39,0.020898
14,"APIC_Simulation_2D::grid_kinetic_energy",10800,201.903,201.903,0.35,0.018695
15,"Fluid_Simulation_2D::extrapolate_velocity",3600,178.756,265.611,0.31,0.049655
16,"Fluid_Simulation_2D::init_marker_vectors",3600,86.855,86.855,0.15,0.024126
17,"Fluid_Simulation_2D::enforce_boundary",1800,42.912,42.912,0.07,0.023840
18,"APIC_Simulation_2D::divergence_stats",3600,32.658,32.658,0.06,0.009072
19,"Fluid_Simulation::apply_forces_2d_settings",1800,22.160,22.160,0.04,0.012311
20,"Fluid_Simulation_2D::setup_rhs",1800,13.238,13.238,0.02,0.007354
21,"Diagnostics::fluid_measure_from",1800,10.082,10.082,0.02,0.005601
22,"Diagnostics::bounds_from",1801,1.174,1.174,0.00,0.000652
