step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,4880,2.17444,0.857671,0.880307,4880,2,1220,1220,1220,1890.86,1.45634e+06,1.45824e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46016e+06,0,0,0,0,0,0,0,0,0,0.981,596.664,0.981,716.959,0.981,645.744,0.981,0.125604,1220,156,1,43871.7,0.000376193,8.57485e-09,17.2224,144360,22667.7,22439.9,2.24399,2.24399,540.867,0,0,11807.9,4.21145e-09,1.07704e-09,2.24399,605.175,0,0,12294.7,2.17444,1.46205e+06,1890.86,0,0,12294.7,2.17444,1.45824e+06,1890.86,0,0,12294.8,0.00467242,1.09158e-05,2.81719e-05,0,0,0,0,0,0,11.0181,31.4211,0,770.777,-3893.22,0,0,0,12294.4,0,0,12294.8,0,0,12294.4,0,0.217444,4638,4640,21.0798,1.0779,0,2.17407,-0.0401829,0,1,0.0778993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17407
1,0.2,0.1,1,0.1,0,0.1,4880,3.89299,1.70788,1.75293,4880,2,1226,1226,1226,7497.56,1.44876e+06,1.45625e+06,0.872947,0.497992,0,4880,0,4876,0,0,0,0,0,0,0,0,0,0,1.45824e+06,1890.86,0,0,12294.8,2.626,548.127,0,0,12294.8,2.626,2120.05,2.60937,2511.02,2.60937,2301,1.01744,0.129057,1226,163,1,45188.4,0.000408869,9.0481e-09,18.0503,148013,23773.4,20929.3,2.09293,4.7023,2188.34,0,0,23720.7,4.18869e-09,1.16772e-09,4.7023,2428.38,0,0,24654.3,3.89299,1.46384e+06,7497.56,0,0,24654.3,3.89299,1.45625e+06,7497.56,0,0,24655.9,0.0179911,0.00016184,0.000105338,0.0139856,9.77978e-05,6.36545e-05,0.00122951,3.81835e-06,2.48528e-06,11.0503,31.2626,0,1554.95,-7737.71,0,0,0,24654.9,0,0,24655.9,0,0,24654.9,0,0.389299,4639,4641,21.5608,1.55345,0,3.86022,-0.504125,0,1,0.55345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86616
2,0.3,0.1,1,0.1,0,0.1,4880,6.11292,2.55057,2.61974,4880,2,1234,1234,1234,16745.8,1.43745e+06,1.4542e+06,0.867266,0.331051,0,4880,0,4874,0,0,0,0,0,4874,0,0,0,0,1.45625e+06,7497.56,0,0,24655.9,4.33458,2150.36,0,0,24655.9,4.33458,4707.87,4.27714,5513.38,4.27714,5074.65,1.09664,0.133055,1234,165,1,46740,0.0004433,9.4844e-09,19.4096,153617,25477.2,24457.1,2.44571,6.72285,4952.02,0,0,35904.6,4.20787e-09,1.26195e-09,6.72285,5486.55,0,0,37312,6.11292,1.4655e+06,16745.8,0,0,37312,6.11292,1.4542e+06,16745.8,0,0,37316.1,0.0406918,0.000827912,0.000241267,0.0244916,0.00029992,8.74015e-05,0.000819672,1.155e-06,3.36587e-07,11.0996,31.0265,0,2372.93,-11529,0,0,0,37313.6,0,0,37316.1,0,0,37313.6,0,0.611292,4639,4641,22.21,1.48321,0,6.06658,-0.75125,0,1,0.483209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06658
3,0.4,0.1,1,0.1,0,0.1,4880,7.88122,3.38848,3.48364,4880,2,1247,1247,1247,29611.3,1.4225e+06,1.45211e+06,0.864897,0.248274,0,4880,0,4870,0,0,0,0,0,4870,0,0,0,0,1.4542e+06,16745.8,0,0,37316.1,7.30611,4837.92,0,0,37316.1,7.30611,8400.14,7.10684,9844.56,7.10684,9054.23,1.29321,0.137322,1247,168,1,48492.5,0.000448434,9.2475e-09,23.5378,160091,27520,23757.8,2.37578,8.67333,8919.81,0,0,48782.4,4.4975e-09,1.26989e-09,8.67333,9848.57,0,0,50675.9,7.88122,1.46706e+06,29611.3,0,0,50675.9,7.88122,1.45211e+06,29611.3,0,0,50681.6,0.0693202,0.00240264,0.000395961,0.0341977,0.000584743,9.63668e-05,0.00204918,2.44816e-06,4.03462e-07,11.1673,30.7141,0,3245.41,-15261.6,0,0,0,50679.2,0,0,50681.6,0,0,50679.2,0,0.788122,4639,4641,23.0381,1.43584,0,7.86434,-0.51553,0,1,0.435842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86434
4,0.5,0.1,1,0.1,0,0.1,4880,9.77794,4.21721,4.34006,4880,2,1242,1242,1242,45960.2,1.40398e+06,1.44994e+06,0.859099,0.197946,0,4880,0,4864,0,0,0,0,0,4864,0,0,0,0,1.45211e+06,29611.3,0,0,50681.6,8.84942,8519.58,0,0,50681.6,8.84942,13025.5,8.84942,15251.8,8.84942,14215.2,1.21578,0.140466,1242,169,1,49503,0.000464578,9.38485e-09,27.8284,168794,30495.6,23487.7,2.34877,10.3149,14061,0,0,62589.7,4.93373e-09,1.31825e-09,10.3149,15278.4,0,0,64987.9,9.77794,1.46846e+06,45960.2,0,0,64987.9,9.77794,1.44994e+06,45960.2,0,0,64998.2,0.103292,0.00533457,0.000566419,0.0415458,0.000863026,9.16352e-05,0.00368852,1.2971e-06,1.37724e-07,11.2551,30.3273,0,4190.25,-18896.8,0,0,0,64996.4,0,0,64998.2,0,0,64996.4,0,0.977794,4639,4641,24.0433,1.40889,0,9.77039,-0.384333,0,1,0.40889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.77039
5,0.6,0.1,1,0.1,0,0.1,4880,11.4403,5.03727,5.19077,4880,2,1248,1248,1248,65743.6,1.38202e+06,1.44776e+06,0.856196,0.164946,0,4880,0,4852,0,0,0,0,0,4852,0,0,0,0,1.44994e+06,45960.2,0,0,64998.2,10.3119,13294.7,0,0,64998.2,10.3119,18762.5,10.3119,21872.4,10.3119,20463.5,1.24005,0.145572,1248,171,1,51426.4,0.000395648,7.69347e-09,30.4415,178817,33676.1,25314.8,2.53148,11.6592,20286.5,0,0,77558.3,3.43285e-09,1.11996e-09,11.6592,21929.6,0,0,80478.1,11.4403,1.46972e+06,65743.6,0,0,80478.1,11.4403,1.44776e+06,65743.6,0,0,80494.9,0.143511,0.0102976,0.00076437,0.0559323,0.00156421,0.000116108,0.00286885,2.21472e-05,1.64394e-06,11.3651,29.8686,0,5228.48,-22425.6,0,0,0,80492.6,0,0,80494.9,0,0,80492.6,0,1.14403,4639,4641,25.2,1.39643,0,11.4374,-0.25475,0,1,0.396426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4374
6,0.7,0.1,1,0.1,0,0.1,4880,13.0683,5.84281,6.03066,4880,2,1238,1238,1238,88740.1,1.35676e+06,1.4455e+06,0.849963,0.14094,0,4880,0,4838,0,0,0,0,0,4838,0,0,0,0,1.44776e+06,65743.6,0,0,80494.9,12.1214,18826.7,0,0,80494.9,12.1214,25144.2,11.7954,29305.7,11.7954,27868.3,1.21702,0.150197,1238,169,1,52847.1,0.000442948,8.38169e-09,39.0305,192074,38582.6,26637.7,2.66377,13.1101,27658.3,0,0,93743.1,3.59176e-09,1.2589e-09,13.1101,29378.9,0,0,97207.8,13.0683,1.47076e+06,88740.1,0,0,97207.8,13.0683,1.4455e+06,88740.1,0,0,97235.3,0.192413,0.0185114,0.00101798,0.065598,0.00215155,0.000118318,0.00307377,3.8701e-05,2.12825e-06,11.4996,29.3409,0,6376.83,-25807.2,0,0,0,97230.4,0,0,97235.3,0,0,97230.4,0,1.30683,4639,4641,26.5097,1.39314,0,13.0677,-0.127912,0,1,0.393135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0677
7,0.8,0.1,1,0.1,0,0.1,4880,14.9049,6.63466,6.86008,4880,2,1252,1252,1252,114828,1.32836e+06,1.44319e+06,0.846801,0.123439,0,4880,0,4811,0,0,0,0,0,4810,0,0,0,0,1.4455e+06,88740.1,0,0,97235.3,13.4217,25756.3,0,0,97235.3,13.4217,33026.3,13.4203,38414.5,13.4203,36540.4,1.24013,0.156266,1252,171,1,55292.7,0.000517376,9.35704e-09,42.3467,206043,43457.9,25499.9,2.54999,14.9736,36291.7,0,0,111328,4.71605e-09,1.46219e-09,14.9736,38516,0,0,115385,14.9049,1.47159e+06,114828,0,0,115385,14.9049,1.44319e+06,114828,0,0,115420,0.242846,0.0294871,0.00125315,0.0719169,0.00258602,0.000109902,0.00348361,1.3677e-05,5.81251e-07,11.6616,28.7478,0,7652.08,-29026.7,0,0,0,115414,0,0,115420,0,0,115414,0,1.49049,4646,4648,27.409,2.36462,0,14.8735,-0.966653,0,0,1.36462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8735
8,0.9,0.1,1,0.1,0,0.1,4880,16.9931,7.40976,7.67621,4880,2,1254,1254,1254,143775,1.29702e+06,1.4408e+06,0.843331,0.109863,0,4880,0,4774,0,0,0,0,0,4774,0,0,0,0,1.44319e+06,114828,0,0,115420,15.2383,33014.2,0,0,115420,15.2383,41114.1,15.2383,48051.8,15.2383,45720.6,1.30443,0.161867,1254,171,1,57320,0.000474304,8.27466e-09,64.427,222103,49862.6,26698,2.6698,17.0065,45424.3,0,0,130289,4.15923e-09,1.33939e-09,17.0065,48204.5,0,0,134967,16.9931,1.47214e+06,143775,0,0,134967,16.9931,1.4408e+06,143775,0,0,135017,0.294923,0.0434898,0.00147613,0.0955212,0.00456215,0.000154848,0.00266393,2.29888e-05,7.80284e-07,11.854,28.0931,0,9068.31,-32057.7,0,0,0,135011,0,0,135017,0,0,135011,0,1.69931,4639,4641,29.649,1.37481,0,16.9913,-0.24877,0,1,0.374813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9913
9,1,0.1,1,0.1,0,0.1,4880,18.5885,8.16897,8.47933,4880,2,1250,1250,1250,175434,1.26294e+06,1.43837e+06,0.842729,0.0993862,0,4880,0,4733,0,0,0,0,0,4733,0,0,0,0,1.4408e+06,143775,0,0,135017,17.2293,41612.1,0,0,135017,17.2293,50454.2,17.2082,58883.8,17.2082,55906.8,1.28608,0.168083,1250,171,1,59426.4,0.000570949,9.60766e-09,79.869,238010,56425.1,25972.7,2.59727,18.8533,55560.9,0,0,150654,5.19214e-09,1.61489e-09,18.8533,59005.8,0,0,156017,18.5885,1.47246e+06,175434,0,0,156017,18.5885,1.43837e+06,175434,0,0,156082,0.337019,0.0567908,0.00157974,0.0863894,0.00373156,0.0001038,0.000614754,7.03135e-05,1.9559e-06,12.0802,27.3811,0,10637.8,-34889.5,0,0,0,156074,0,0,156082,0,0,156074,0,1.85885,4639,4641,31.5127,1.34736,0,18.5863,-0.285131,0,1,0.347359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5863
