Fluid simulation profile
dimension=2
steps=1800
simulated_substeps=1800
domain=64
dx=1
frame_dt=0.1
scene=0
fluid_solver=polypic
polypic_modes=4
jitter_seed=0
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=4880
wall_ms=60093.725

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\dam\20260627-214726\runs\POLYPIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",222563,32141.921,32141.921,56.74,0.144417
2,"Diagnostics::record_step",1800,7266.170,7277.630,12.83,4.036761
3,"APIC_Simulation_2D::step",1800,5344.507,49371.258,9.43,2.969170
4,"Fluid_Simulation_2D::advect",1800,4539.214,4539.214,8.01,2.521786
5,"Fluid_Simulation_2D::grid_to_particle",1800,1535.976,1535.976,2.71,0.853320
6,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1800,1461.758,1461.758,2.58,0.812088
7,"Fluid_Simulation_2D::particle_to_grid",1800,1318.889,1318.889,2.33,0.732716
8,"Fluid_Simulation_2D::projection_2d",1800,672.108,33109.617,1.19,0.373393
9,"APIC_Simulation_2D::particle_mechanical_energy",5400,529.465,529.465,0.93,0.098049
10,"APIC_Simulation_2D::particle_kinetic_energy",5400,452.518,452.518,0.80,0.083800
11,"Fluid_Simulation_2D::projection_dot_product",671289,281.032,281.032,0.50,0.000419
12,"APIC_Simulation_2D::max_particle_speed",3600,280.551,280.551,0.50,0.077931
13,"APIC_Simulation_2D::max_grid_speed",10800,224.973,224.973,0.40,0.020831
14,"APIC_Simulation_2D::grid_kinetic_energy",10800,201.021,201.021,0.35,0.018613
15,"Fluid_Simulation_2D::extrapolate_velocity",3600,186.181,275.301,0.33,0.051717
16,"Fluid_Simulation_2D::init_marker_vectors",3600,89.120,89.120,0.16,0.024755
17,"Fluid_Simulation_2D::enforce_boundary",1800,42.342,42.342,0.07,0.023523
18,"APIC_Simulation_2D::divergence_stats",3600,31.711,31.711,0.06,0.008809
19,"Fluid_Simulation::apply_forces_2d_settings",1800,23.415,23.415,0.04,0.013008
20,"Fluid_Simulation_2D::setup_rhs",1800,14.557,14.557,0.03,0.008087
21,"Diagnostics::fluid_measure_from",1800,10.168,10.168,0.02,0.005649
22,"Diagnostics::bounds_from",1801,1.293,1.293,0.00,0.000718
