step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,5932,3.481,0.575121,0.966928,5932,2,1483,1483,1483,2773.06,756557,759330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760173,1508.47,0,0,-375.769,2.5,524.198,0,0,-375.769,3.481,1486.83,3.481,2071.41,3.481,1991.76,0.981,0.212564,1483,172,1,81857.8,0.000694675,8.48637e-09,-6682.93,217602,86818.6,23410.8,2.34108,3.481,1406.12,0,0,-12643.7,6.4391e-09,1.80389e-09,3.481,1370.1,0,0,-12489.1,3.481,761438,2773.06,0,0,-12489.1,3.481,759330,2773.06,0,0,-12489,0.00610664,1.86455e-05,3.98856e-05,0,0,0,0,0,0,31.5403,14.0008,0,898.091,-2147.75,0,0,0,-12488.4,0,0,-12489,0,0,-12488.4,0,0.3481,5615,5617,28.8177,36.3916,0,1.11511e-16,-3.481,0,0,26.6084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2,0.1,1,0.1,0,0.1,5932,4.53716,0.770752,1.27506,5932,2,1499,1499,1499,4822.04,753697,758519,0.435602,0.341633,0.00708024,5932,2,3927,0.000509295,0,0,0,0,0,0,0,0,0,759330,2773.06,0,0,-12489,3.481,1008.19,0,0,-12489,4.462,2354.88,4.462,3300.87,4.462,3152.7,3.7059,0.236078,1499,184,1,91402,0.000908339,9.93785e-09,-5.41071e-12,222174,94564.2,65212.1,6.52121,5.02399,2442.2,0,0,-16997.5,8.53839e-09,2.34611e-09,5.02399,2461.41,0,0,-16761.9,4.53716,761379,4822.04,0,0,-16761.9,4.53716,758519,4822.04,0,0,-16762.1,0.0357096,0.000637587,0.000784349,0.034963,0.000611207,0.000751898,0.0286885,6.33704e-05,7.79572e-05,31.5671,13.9517,0,1569.98,-2920.76,0,0,0,-16764.7,0,0,-16762.1,0,0,-16764.7,0,0.453716,5547,5549,62.1881,7.71881,0,4.40929,1.06958,0,1,0.811902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3,0.1,1,0.1,0,0.1,5932,6.68979,0.842281,1.50549,5932,2,1502,1502,1502,6722.4,750655,757377,0.450107,0.298978,0.000842886,5932,0,1647,0,0,0,0,242,1644,0.147202,0,0,0,758519,4822.04,0,0,-16762.1,4.462,1702.88,0,0,-16762.1,5.443,3252.91,5.443,4543.35,5.443,4346.78,6.14928,0.312689,1502,186,1,121185,0.00107878,8.90198e-09,-3.32238e-12,258429,110367,98157.7,9.81577,7.57448,3438.68,0,0,-15644.4,1.18726e-08,2.78355e-09,7.57448,3449.15,0,0,-15458.7,6.68979,760420,6722.4,0,0,-15458.7,6.68979,757377,6722.4,0,0,-15461,0.0904676,0.00409219,0.00361104,0.0914364,0.00418031,0.0036888,0.00784034,0.00026595,0.00023468,31.5962,13.8994,0,1697.87,-3111.2,0,0,0,-15464.1,0,0,-15461,0,0,-15464.1,0,0.668979,5563,5565,62.4612,11.617,0,6.34726,2.11317,0,1,0.538786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.4,0.1,1,0.1,0,0.1,5932,6.424,0.64312,1.56718,5932,2,1508,1508,1508,7284.66,748364,755649,0.690594,0.44066,0.0335469,5932,34,4204,0.00808754,0,0,0,574,1664,0.344952,0,0,0,757377,6722.4,0,0,-15461,10.3741,2475.91,0,0,-15461,10.3741,4105.18,6.424,5774.23,6.424,5550.1,10.0915,0.402712,1508,191,1,156385,0.00140488,8.9835e-09,-9.91235e-12,401595,142789,85125.4,8.51254,6.424,4196.13,0,0,-4456.24,1.37002e-08,3.61776e-09,6.424,4113.95,0,0,-4350.71,6.424,757940,7284.66,0,0,-4350.71,6.424,755649,7284.66,0,0,-4350.31,0.0486982,0.00118576,0.00096558,0.0997394,0.00497397,0.00405038,0.0509622,0.000225974,0.000184014,31.6059,13.8601,0,570.625,-2343.33,0,0,0,-4357.45,0,0,-4350.31,0,0,-4357.45,0,0.6424,5641,5643,28.3716,41.9248,0,-2.05452e-16,-6.424,0,0,21.0752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.5,0.1,1,0.1,0,0.1,5932,7.405,0.802607,1.81457,5932,2,1502,1502,1502,9766,745231,754997,0.396206,0.218348,0.0138233,5932,23,3254,0.00706822,0,0,0,2897,3254,0.890289,0,0,0,755649,7284.66,0,0,-4350.31,6.424,2560.04,0,0,-4350.31,7.405,3948.36,7.405,5973.96,7.405,5803.53,7.12682,0.309997,1502,182,1,120142,0.00102379,8.5215e-09,-8.91643e-12,222386,96204.3,54869.5,5.48695,7.405,5142.32,0,0,-10502.6,9.9255e-09,2.64164e-09,7.405,5107.73,0,0,-10396.9,7.405,758130,9766,0,0,-10396.9,7.405,754997,9766,0,0,-10397.2,0.0427959,0.000915745,0.000556236,0.0557577,0.00155446,0.000944201,0.0326087,0.00016665,0.000101226,31.6255,13.8062,0,1147.72,-3203.6,0,0,0,-10406.7,0,0,-10397.2,0,0,-10406.7,0,0.7405,5759,5761,31.5092,40.1284,0,-4.08088e-17,-7.405,0,0,22.8716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.6,0.1,1,0.1,0,0.1,5932,8.386,0.902233,2.05289,5932,2,1510,1510,1510,12499.8,741303,753802,0.536197,0.261191,0.0102832,5932,34,2017,0.0168567,0,0,0,227,2014,0.112711,0,0,0,754997,9766,0,0,-10397.2,7.405,3580.45,0,0,-10397.2,8.386,5247.3,8.386,7776.82,8.386,7636.79,7.17959,0.353366,1510,188,1,137314,0.00130438,9.49925e-09,-1.10379e-11,224524,106831,61459.6,6.14596,8.386,6821.38,0,0,-17033.8,1.28982e-08,3.35671e-09,8.386,6738.3,0,0,-16876.7,8.386,757731,12499.8,0,0,-16876.7,8.386,753802,12499.8,0,0,-16877.3,0.0627493,0.00196874,0.000934301,0.0751531,0.00282399,0.00134018,0.067712,0.00120523,0.000571962,31.6457,13.7387,0,1186.19,-4003.76,0,0,0,-16883,0,0,-16877.3,0,0,-16883,0,0.8386,5624,5626,28.1809,35.817,0,-7.63675e-16,-8.386,0,0,27.1809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.7,0.1,1,0.1,0,0.1,5932,9.367,0.733464,2.20574,5932,2,1508,1508,1508,14430.5,738329,752759,0.579703,0.262815,0.0851315,5932,226,3307,0.0683399,0,0,0,1161,1830,0.634426,0,0,0,753802,12499.8,0,0,-16877.3,8.386,4605.85,0,0,-16877.3,9.367,6490.02,9.367,9554.55,9.367,9408,9.36808,0.326245,1508,194,1,126691,0.0012646,9.98177e-09,-1.20751e-11,488324,139459,49305.2,4.93052,9.367,8164.22,0,0,-721.973,1.53864e-08,3.25651e-09,9.367,8081.15,0,0,-708.717,9.367,755733,14430.5,0,0,-708.717,9.367,752759,14430.5,0,0,-708.346,0.00821553,3.37475e-05,1.38727e-05,0.0626714,0.00196386,0.000807292,0.204383,6.10557e-06,2.50985e-06,31.6493,13.6876,0,212.62,-3033.6,0,0,0,-716.961,0,0,-708.346,0,0,-716.961,0,0.9367,5665,5667,29.3192,35.3358,0,-3.47878e-16,-9.367,0,0,27.6642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.8,0.1,1,0.1,0,0.1,5932,10.348,0.79384,2.43166,5932,2,1514,1514,1514,17537.9,735045,752583,0.230598,0.0948315,0.00118004,5932,0,440,0,0,0,0,11,431,0.025522,0,0,0,752759,14430.5,0,0,-708.346,9.367,5420.05,0,0,-708.346,10.348,7070.08,10.348,10688,10.348,10605.7,1.91647,0.205103,1514,185,1,79806.1,0.000770172,9.65054e-09,-2.03704e-11,225885,110143,17172.1,1.71721,10.348,9920.04,0,0,-550.676,6.64996e-09,1.97936e-09,10.348,9870.17,0,0,-562.074,10.348,755867,17537.9,0,0,-562.074,10.348,752583,17537.9,0,0,-561.67,0.0104278,5.43698e-05,1.839e-05,0.00460727,1.06135e-05,3.58989e-06,0.0067712,4.84315e-07,1.63814e-07,31.6538,13.6312,0,263.113,-3349.89,0,0,0,-570.453,0,0,-561.67,0,0,-570.453,0,1.0348,5673,5675,29.4571,36.4152,0,-1.88538e-15,-10.348,0,0,26.5848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.9,0.1,1,0.1,0,0.1,5932,11.329,0.846734,2.65632,5932,2,1515,1515,1515,20928.2,731467,752395,0.235024,0.0884775,0.00151719,5932,1,448,0.00223214,0,0,0,29,407,0.0712531,0,0,0,752583,17537.9,0,0,-561.67,10.348,6581.79,0,0,-561.67,11.329,8328.06,11.329,12613.6,11.329,12534.1,3.80856,0.222797,1515,181,1,86719.5,0.000855439,9.86444e-09,-2.21356e-11,226456,111170,31330.2,3.13302,11.329,11838.2,0,0,-87.1331,1.31012e-08,2.19777e-09,11.329,11787.5,0,0,-88.2745,11.329,755974,20928.2,0,0,-88.2745,11.329,752395,20928.2,0,0,-88.2788,0.00618038,1.90986e-05,5.4134e-06,0.00819833,3.36063e-05,9.52555e-06,0.00463293,3.03014e-07,8.58879e-08,31.6581,13.5697,0,258.17,-3649.3,0,0,0,-97.0998,0,0,-88.2788,0,0,-97.0998,0,1.1329,5669,5671,29.4417,34.1023,0,-6.06157e-16,-11.329,0,0,28.4417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0.1,1,0.1,0,0.1,5932,12.31,0.906179,2.88233,5932,2,1516,1516,1516,24641,727582,752223,0.229814,0.0797319,0.000842886,5932,0,383,0,0,0,0,3,362,0.00828729,4,0.000674309,0.0877607,752395,20928.2,0,0,-88.2788,11.329,7728.24,0,0,-88.2788,12.31,9540.68,12.31,14134.4,12.31,14055.4,0.982469,0.199879,1516,181,1,77824.8,0.000728565,9.3616e-09,-2.24904e-11,226214,110193,13552.5,1.35525,12.31,13369.7,0,0,240.622,6.03756e-09,1.87119e-09,12.31,13319.1,0,0,239.477,12.31,756108,24641,0,0,239.477,12.31,752223,24641,0,0,239.435,0.00804867,3.23905e-05,7.7976e-06,0.00392264,7.69355e-06,1.85212e-06,0.00605845,1.17519e-06,2.82911e-07,31.6632,13.5029,0,301.01,-3962.82,0,0,0,230.696,0,0,239.435,0,0,230.696,0,1.231,5631,5633,28.8878,32.6322,0,-1.14125e-15,-12.31,0,0,27.8878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
