Fluid simulation profile
dimension=2
steps=1800
simulated_substeps=1800
domain=64
dx=1
frame_dt=0.1
scene=6
fluid_solver=apic
polypic_modes=4
jitter_seed=0
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=5932
wall_ms=114944.444

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling\20260627-213114\runs\APIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",294920,83991.713,83991.713,75.80,0.284795
2,"Diagnostics::record_step",1800,8490.091,8501.553,7.66,4.716717
3,"Fluid_Simulation_2D::advect",1800,5470.354,5470.354,4.94,3.039086
4,"APIC_Simulation_2D::step",1800,4835.928,102302.194,4.36,2.686627
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1800,1798.258,1798.258,1.62,0.999032
6,"Fluid_Simulation_2D::projection_2d",1800,1132.122,85761.932,1.02,0.628957
7,"Fluid_Simulation_2D::grid_to_particle",1800,1089.462,1089.462,0.98,0.605257
8,"Fluid_Simulation_2D::particle_to_grid",1800,944.494,944.494,0.85,0.524719
9,"APIC_Simulation_2D::particle_mechanical_energy",5400,679.737,679.737,0.61,0.125877
10,"Fluid_Simulation_2D::projection_dot_product",888360,617.229,617.229,0.56,0.000695
11,"APIC_Simulation_2D::particle_kinetic_energy",5400,575.128,575.128,0.52,0.106505
12,"APIC_Simulation_2D::max_particle_speed",3600,361.676,361.676,0.33,0.100466
13,"APIC_Simulation_2D::max_grid_speed",10800,223.196,223.196,0.20,0.020666
14,"APIC_Simulation_2D::grid_kinetic_energy",10800,197.807,197.807,0.18,0.018315
15,"Fluid_Simulation_2D::extrapolate_velocity",3600,171.178,259.780,0.15,0.047550
16,"Fluid_Simulation_2D::init_marker_vectors",3600,88.601,88.601,0.08,0.024611
17,"Fluid_Simulation_2D::enforce_boundary",1800,42.723,42.723,0.04,0.023735
18,"APIC_Simulation_2D::divergence_stats",3600,38.093,38.093,0.03,0.010581
19,"Fluid_Simulation::apply_forces_2d_settings",1800,23.625,23.625,0.02,0.013125
20,"Fluid_Simulation_2D::setup_rhs",1800,20.868,20.868,0.02,0.011593
21,"Diagnostics::fluid_measure_from",1800,10.298,10.298,0.01,0.005721
22,"Diagnostics::bounds_from",1801,1.165,1.165,0.00,0.000647
