Fluid simulation profile
dimension=2
steps=1800
simulated_substeps=1800
domain=64
dx=1
frame_dt=0.1
scene=6
fluid_solver=flip
polypic_modes=4
jitter_seed=0
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=5932
wall_ms=122160.179

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling\20260627-213114\runs\FLIP_095
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",300510,91432.194,91432.194,77.50,0.304257
2,"Diagnostics::record_step",1800,8356.774,8367.954,7.08,4.642652
3,"Fluid_Simulation_2D::advect",1800,5496.782,5496.782,4.66,3.053768
4,"APIC_Simulation_2D::step",1800,4664.509,109614.128,3.95,2.591394
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1800,1750.229,1750.229,1.48,0.972350
6,"Fluid_Simulation_2D::projection_2d",1800,1193.596,93311.156,1.01,0.663109
7,"Fluid_Simulation_2D::grid_to_particle",1800,1085.208,1085.208,0.92,0.602894
8,"Fluid_Simulation_2D::particle_to_grid",1800,907.073,907.073,0.77,0.503930
9,"APIC_Simulation_2D::particle_mechanical_energy",5400,670.919,670.919,0.57,0.124244
10,"Fluid_Simulation_2D::projection_dot_product",905130,663.591,663.591,0.56,0.000733
11,"APIC_Simulation_2D::particle_kinetic_energy",5400,576.502,576.502,0.49,0.106760
12,"APIC_Simulation_2D::max_particle_speed",3600,363.408,363.408,0.31,0.100947
13,"APIC_Simulation_2D::max_grid_speed",10800,224.478,224.478,0.19,0.020785
14,"APIC_Simulation_2D::grid_kinetic_energy",10800,200.183,200.183,0.17,0.018535
15,"Fluid_Simulation_2D::extrapolate_velocity",3600,171.288,258.345,0.15,0.047580
16,"Fluid_Simulation_2D::init_marker_vectors",3600,87.058,87.058,0.07,0.024183
17,"Fluid_Simulation_2D::enforce_boundary",1800,43.125,43.125,0.04,0.023958
18,"APIC_Simulation_2D::divergence_stats",3600,38.946,38.946,0.03,0.010818
19,"Fluid_Simulation::apply_forces_2d_settings",1800,23.262,23.262,0.02,0.012923
20,"Fluid_Simulation_2D::setup_rhs",1800,21.776,21.776,0.02,0.012098
21,"Diagnostics::fluid_measure_from",1800,9.883,9.883,0.01,0.005490
22,"Diagnostics::bounds_from",1801,1.298,1.298,0.00,0.000721
