step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,5932,3.481,0.57734,0.969292,5932,2,1483,1483,1483,2786.64,756459,759245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760076,1508.62,0,0,-385.297,2.5,524.503,0,0,-385.297,3.481,1487.16,3.481,2072.15,3.481,1992.49,0.981,0.212528,1483,172,1,81844,0.000691446,8.44834e-09,-6689.39,217597,86814.1,23411,2.3411,3.481,1406.92,0,0,-12655.1,6.25917e-09,1.79551e-09,3.481,1370.9,0,0,-12503.9,3.481,761354,2786.64,0,0,-12504.5,3.481,759245,2786.64,0,0,-12504.4,0.0135886,9.23249e-05,0.000196535,0,0,0,0,0,0,31.545,13.9992,0,898.462,-2148.68,0,0,0,-12504.4,0,0,-12504.4,0,0,-12504.4,0,0.3481,5620,5622,28.1458,37.6933,0,-6.58627e-17,-3.481,0,0,25.3067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2,0.1,1,0.1,0,0.1,5932,4.5206,0.819884,1.31359,5932,2,1496,1496,1496,5117.85,753329,758447,0.445375,0.339053,0.00893459,5932,0,4275,0,0,0,0,0,0,0,0,0,0,759245,2786.64,0,0,-12504.4,3.481,1013.13,0,0,-12504.4,4.462,2357.44,4.462,3289.98,4.462,3145.03,3.49629,0.231588,1496,182,1,89573.8,0.00080514,8.98857e-09,-6.1017e-12,220817,89357.5,62162.9,6.21629,4.95,2508.81,0,0,-20416.7,1.04897e-08,2.08164e-09,4.95,2539.66,0,0,-20106.8,4.5206,761577,5117.85,0,0,-20110.6,4.5206,758447,5117.85,0,0,-20111.9,0.0397424,0.00078973,0.000915361,0.0379537,0.000720243,0.000834819,0.170527,0.000177265,0.000205464,31.5746,13.9454,0,1739.43,-3195.08,0,0,0,-20111.9,0,0,-20111.9,0,0,-20111.9,0,0.45206,5538,5540,62.3318,5.42198,0,3.86967,2.33699,0,1,0.668228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3,0.1,1,0.1,0,0.1,5932,7.01853,0.938478,1.57855,5932,2,1500,1500,1500,7390.71,749864,757254,0.477821,0.302697,0.00118004,5932,0,2016,0,0,0,0,183,2016,0.0907738,0,0,0,758447,5117.85,0,0,-20111.9,4.462,1784.39,0,0,-20111.9,5.443,3408.03,5.443,4735.91,5.443,4529.2,4.96874,0.299142,1500,185,1,115857,0.00109303,9.43433e-09,-1.01237e-11,256400,104760,99022,9.9022,7.78253,3646.85,0,0,-20130.8,9.20102e-09,2.8222e-09,7.78253,3672.02,0,0,-19949.1,7.01853,760719,7390.71,0,0,-19949.8,7.01853,757254,7390.71,0,0,-19950.7,0.089624,0.00401623,0.00322354,0.0946991,0.00448396,0.00359896,0.0295795,0.00143667,0.00115311,31.6101,13.8858,0,2082.32,-3538.29,0,0,0,-19950.7,0,0,-19950.7,0,0,-19950.7,0,0.701853,5554,5556,62.5209,9.41367,0,5.71652,4.07201,0,1,0.479104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.4,0.1,1,0.1,0,0.1,5932,7.48746,0.822821,1.67842,5932,2,1506,1506,1506,8355.51,746993,755349,0.675679,0.402568,0.0128119,5932,6,3842,0.00156169,0,0,0,852,1953,0.436252,0,0,0,757254,7390.71,0,0,-19950.7,5.443,2585.64,0,0,-19950.7,6.424,4326.72,6.424,6083.69,6.424,5825.8,7.71221,0.363805,1506,189,1,141183,0.00123868,8.77362e-09,-8.99946e-12,373667,132821,107219,10.7219,8.07775,4522.44,0,0,-10835.7,1.02377e-08,3.19189e-09,8.07775,4492.72,0,0,-10639.6,7.48746,758219,8355.51,0,0,-10644.6,7.48746,755349,8355.51,0,0,-10649.1,0.132814,0.00881977,0.0062616,0.146235,0.0106923,0.00759103,0.0589808,0.00183584,0.00130336,31.6341,13.8365,0,1395.52,-2941.36,0,0,0,-10649.1,0,0,-10649.1,0,0,-10649.1,0,0.748746,5579,5581,62.5283,15.6875,0,7.2556,1.84889,0,1,0.471731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.5,0.1,1,0.1,0,0.1,5932,7.405,0.727455,1.8053,5932,2,1499,1499,1499,9666.54,744387,754053,0.555879,0.307915,0.0102832,5932,9,3445,0.00261248,0,0,0,44,3445,0.0127721,0,0,0,755349,8355.51,0,0,-10649.1,6.424,2833.49,0,0,-10649.1,7.405,4382.63,7.405,6478.65,7.405,6252.74,8.56519,0.375267,1499,191,1,145292,0.0013475,9.27444e-09,-1.30709e-11,295381,130158,93831.6,9.38316,7.405,5167.54,0,0,-4261.26,1.32865e-08,3.4804e-09,7.405,5126.97,0,0,-4071.91,7.405,756660,9666.54,0,0,-4075.64,7.405,754053,9666.54,0,0,-4080.24,0.132237,0.00874325,0.00536541,0.144891,0.0104967,0.00644141,0.0559515,0.0011197,0.000687118,31.6464,13.7917,0,709.68,-2670.9,0,0,0,-4080.24,0,0,-4080.24,0,0,-4080.24,0,0.7405,5867,5869,34.5811,36.9242,0,-1.77495e-16,-7.405,0,0,26.0758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.6,0.1,1,0.1,0,0.1,5932,8.386,0.692662,1.98577,5932,2,1506,1506,1506,11695.8,741716,753412,0.402457,0.20267,0.00606878,5932,4,2192,0.00182482,0,0,0,22,2192,0.0100365,0,0,0,754053,9666.54,0,0,-4080.24,7.405,3567.38,0,0,-4080.24,8.386,5095.36,8.386,7629.97,8.386,7476.77,7.20479,0.328806,1506,193,1,127600,0.00114181,8.94829e-09,-9.58062e-12,256498,121075,76135.7,7.61357,8.386,6602.77,0,0,-430.276,1.44472e-08,2.94225e-09,8.386,6497.7,0,0,-416.81,8.386,756083,11695.8,0,0,-416.734,8.386,753412,11695.8,0,0,-417.726,0.0992109,0.0049214,0.00249609,0.108417,0.00587708,0.0029808,0.0388453,0.000786092,0.000398698,31.6508,13.7458,0,261.115,-2725.32,0,0,0,-417.726,0,0,-417.726,0,0,-417.726,0,0.8386,5627,5629,28.9729,36.0046,0,-7.88385e-16,-8.386,0,0,26.9954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.7,0.1,1,0.1,0,0.1,5932,9.367,0.747674,2.20954,5932,2,1510,1510,1510,14480.2,738747,753227,0.234485,0.106124,0.000674309,5932,0,458,0,0,0,0,5,445,0.011236,0,0,0,753412,11695.8,0,0,-417.726,8.386,4375.4,0,0,-417.726,9.367,5936.77,9.367,8939.9,9.367,8858.05,1.54033,0.21359,1510,184,1,82998.2,0.000699968,8.43354e-09,-2.20737e-11,225668,110626,28070,2.807,9.367,8167.65,0,0,-25.8332,6.77001e-09,1.80131e-09,9.367,8118.54,0,0,-11.3403,9.367,756197,14480.2,0,0,-11.5331,9.367,753227,14480.2,0,0,-11.7679,0.0839074,0.00352022,0.00144211,0.046429,0.00107783,0.000441546,0.0137206,9.43333e-05,3.86449e-05,31.6555,13.6948,0,279.655,-3029.32,0,0,0,-11.7679,0,0,-11.7679,0,0,-11.7679,0,0.9367,5793,5795,32.3833,37.2156,0,-1.943e-16,-9.367,0,0,25.7844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.8,0.1,1,0.1,0,0.1,5932,10.348,0.799739,2.4328,5932,2,1509,1509,1509,17554.3,735481,753035,0.234501,0.0963914,0.000842886,5932,0,459,0,0,0,0,1,423,0.00236407,0,0,0,753227,14480.2,0,0,-11.7679,9.367,5432.03,0,0,-11.7679,10.348,7081.6,10.348,10684.6,10.348,10589.8,3.36234,0.219796,1509,178,1,85381.6,0.000780688,9.14351e-09,-1.53995e-11,225663,110746,29835.7,2.98357,10.348,9897.77,0,0,472.291,8.75034e-09,2.00971e-09,10.348,9847.1,0,0,471.196,10.348,756301,17554.3,0,0,470.768,10.348,753035,17554.3,0,0,470.594,0.0817789,0.00334389,0.00112998,0.0193053,0.000186348,6.29711e-05,0.00445474,2.95129e-06,9.97308e-07,31.6603,13.6387,0,279.94,-3330.63,0,0,0,470.594,0,0,470.594,0,0,470.594,0,1.0348,5687,5689,29.9148,39.0742,0,-1.24755e-15,-10.348,0,0,23.9258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.9,0.1,1,0.1,0,0.1,5932,11.329,0.857535,2.6582,5932,2,1509,1509,1509,20957.9,731908,752866,0.229833,0.0864618,0.000842886,5932,0,390,0,0,0,0,1,377,0.00265252,0,0,0,753035,17554.3,0,0,470.594,10.348,6576.02,0,0,470.594,11.329,8313.02,11.329,12563.6,11.329,12484.2,1.30916,0.203206,1509,180,1,78937,0.00075126,9.51722e-09,-2.69619e-11,225574,110068,16251.7,1.62517,11.329,11800.6,0,0,795.07,9.44932e-09,1.93395e-09,11.329,11753.5,0,0,792.808,11.329,756439,20957.9,0,0,792.799,11.329,752866,20957.9,0,0,792.794,0.0758748,0.00287849,0.000814738,0.0152431,0.000116176,3.28829e-05,0.00374198,9.10752e-08,2.57783e-08,31.6657,13.5773,0,321.793,-3643.62,0,0,0,792.794,0,0,792.794,0,0,792.794,0,1.1329,5687,5689,29.9148,37.9413,0,-1.05898e-15,-11.329,0,0,25.0587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0.1,1,0.1,0,0.1,5932,12.31,0.915799,2.88392,5932,2,1510,1510,1510,24668.3,728028,752696,0.229945,0.0797334,0.000505732,5932,1,390,0.0025641,0,0,0,0,359,0,0,0,0,752866,20957.9,0,0,792.794,11.329,7849.13,0,0,792.794,12.31,9666.04,12.31,14412.8,12.31,14333.8,0.983249,0.201594,1510,183,1,78336.7,0.000783282,9.99892e-09,-3.58304e-11,225581,109809,13527.5,1.35275,12.31,13651.1,0,0,1170.76,6.82308e-09,2.01572e-09,12.31,13604.4,0,0,1174.08,12.31,756576,24668.3,0,0,1174.08,12.31,752696,24668.3,0,0,1174.13,0.0723165,0.00261484,0.000628793,0.0107497,5.77784e-05,1.3894e-05,0.00142552,1.37222e-08,3.29979e-09,31.6719,13.5106,0,366.069,-3956.66,0,0,0,1174.13,0,0,1174.13,0,0,1174.13,0,1.231,5694,5696,30.948,28.2568,0,6.64929e-16,-12.31,0,0,27.2568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
