Fluid simulation profile
dimension=2
steps=1800
simulated_substeps=1800
domain=64
dx=1
frame_dt=0.1
scene=6
fluid_solver=flip
polypic_modes=4
jitter_seed=0
flip_percent=1
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=5932
wall_ms=109930.313

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling\20260627-213114\runs\FLIP_100
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",290673,79698.413,79698.413,75.28,0.274186
2,"Diagnostics::record_step",1800,8220.013,8231.491,7.76,4.566674
3,"Fluid_Simulation_2D::advect",1800,5465.740,5465.740,5.16,3.036522
4,"APIC_Simulation_2D::step",1800,4655.246,97640.886,4.40,2.586248
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1800,1750.371,1750.371,1.65,0.972428
6,"Fluid_Simulation_2D::projection_2d",1800,1089.764,81406.378,1.03,0.605425
7,"Fluid_Simulation_2D::grid_to_particle",1800,1071.044,1071.044,1.01,0.595024
8,"Fluid_Simulation_2D::particle_to_grid",1800,908.111,908.111,0.86,0.504506
9,"APIC_Simulation_2D::particle_mechanical_energy",5400,665.210,665.210,0.63,0.123187
10,"Fluid_Simulation_2D::projection_dot_product",875619,598.779,598.779,0.57,0.000684
11,"APIC_Simulation_2D::particle_kinetic_energy",5400,581.396,581.396,0.55,0.107666
12,"APIC_Simulation_2D::max_particle_speed",3600,360.271,360.271,0.34,0.100075
13,"APIC_Simulation_2D::max_grid_speed",10800,222.233,222.233,0.21,0.020577
14,"APIC_Simulation_2D::grid_kinetic_energy",10800,196.225,196.225,0.19,0.018169
15,"Fluid_Simulation_2D::extrapolate_velocity",3600,169.476,256.405,0.16,0.047077
16,"Fluid_Simulation_2D::init_marker_vectors",3600,86.928,86.928,0.08,0.024147
17,"Fluid_Simulation_2D::enforce_boundary",1800,41.883,41.883,0.04,0.023268
18,"APIC_Simulation_2D::divergence_stats",3600,36.838,36.838,0.03,0.010233
19,"Fluid_Simulation::apply_forces_2d_settings",1800,23.536,23.536,0.02,0.013075
20,"Fluid_Simulation_2D::setup_rhs",1800,19.422,19.422,0.02,0.010790
21,"Diagnostics::fluid_measure_from",1800,10.271,10.271,0.01,0.005706
22,"Diagnostics::bounds_from",1801,1.208,1.208,0.00,0.000671
