step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,5932,3.481,0.57531,0.96692,5932,2,1483,1483,1483,2773.02,756646,759419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760263,1509.54,0,0,-365.496,2.5,524.502,0,0,-365.496,3.481,1487.08,3.481,2071.54,3.481,1991.89,0.981,0.21256,1483,172,1,81856.3,0.000693062,8.46682e-09,-6680.09,217589,86810.2,23410.8,2.34108,3.481,1406.35,0,0,-12631.6,5.98808e-09,1.79971e-09,3.481,1370.54,0,0,-12462.7,3.481,761526,2773.02,0,0,-12463.6,3.481,759419,2773.02,0,0,-12463.5,0.00612224,1.87409e-05,4.00903e-05,0,0,0,0,0,0,31.5463,14.0024,0,896.418,-2147.5,0,0,0,-12463.5,0,0,-12463.5,0,0,-12463.5,0,0.3481,5851,5853,33.739,45.2027,0,7.23071e-17,-3.481,0,0,17.7973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2,0.1,1,0.1,0,0.1,5932,4.75423,0.85728,1.34957,5932,2,1494,1494,1494,5402.06,753237,758639,0.462057,0.342375,0.0134862,5932,0,4526,0,0,0,0,0,0,0,0,0,0,759419,2773.02,0,0,-12463.5,3.481,1002.85,0,0,-12463.5,4.462,2344.37,4.462,3261.07,4.462,3118.71,3.48098,0.226843,1494,172,1,87680,0.000805703,9.18913e-09,-3.89595e-12,219763,85171.6,41695.7,4.16957,5.06844,2559.76,0,0,-24436.5,6.78513e-09,2.08449e-09,5.06844,2577.53,0,0,-24143.6,4.75423,762048,5402.06,0,0,-24144.5,4.75423,758639,5402.06,0,0,-24144.9,0.0338488,0.000572869,0.000629067,0.0325479,0.000529681,0.000581643,0.024412,0.000243272,0.000267137,31.5782,13.9438,0,1877.27,-3473.96,0,0,0,-24144.9,0,0,-24144.9,0,0,-24144.9,0,0.475423,5527,5529,62.2685,2.45418,0,4.70726,-0.666659,0,1,0.731466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3,0.1,1,0.1,0,0.1,5932,7.39916,0.833904,1.49615,5932,2,1503,1503,1503,6639.26,750203,756842,0.612889,0.409645,0.00792313,5932,15,2782,0.0053918,0,0,0,1923,2782,0.691229,0,0,0,758639,5402.06,0,0,-24144.9,4.462,1863.7,0,0,-24144.9,5.443,3571.85,5.443,4927.72,5.443,4673.26,5.5687,0.306796,1503,187,1,118940,0.00105569,8.87576e-09,-1.08025e-11,430490,120060,99645.8,9.96458,8.12322,3463.54,0,0,-15585.2,1.32067e-08,2.72305e-09,8.12322,3465.6,0,0,-15453.3,7.39916,759876,6639.26,0,0,-15456.8,7.39916,756842,6639.26,0,0,-15456.9,0.0818892,0.00335292,0.00299574,0.0864906,0.00374031,0.00334187,0.0409836,0.000813895,0.000727193,31.607,13.8917,0,1686.25,-3097.84,0,0,0,-15456.9,0,0,-15456.9,0,0,-15456.9,0,0.739916,5563,5565,62.5767,11.4709,0,7.2654,1.40054,0,1,0.423281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.4,0.1,1,0.1,0,0.1,5932,6.424,0.674212,1.58217,5932,2,1506,1506,1506,7424.68,747802,755227,0.642737,0.406238,0.0209036,5932,12,4127,0.00290768,0,0,0,167,3008,0.0555186,0,0,0,756842,6639.26,0,0,-15456.9,5.443,2359.44,0,0,-15456.9,6.424,3977.3,6.424,5678.36,6.424,5462.28,8.28056,0.346001,1506,191,1,134273,0.00129966,9.67916e-09,-1.20566e-11,361486,138149,89934.4,8.99344,6.424,4201.25,0,0,-5825.8,1.19887e-08,3.349e-09,6.424,4145.2,0,0,-5664.4,6.424,757628,7424.68,0,0,-5669.94,6.424,755227,7424.68,0,0,-5671.72,0.0532948,0.00142017,0.00113465,0.0951037,0.00452236,0.00361317,0.0390235,0.00022403,0.00017899,31.62,13.8504,0,755.855,-2456.58,0,0,0,-5671.72,0,0,-5671.72,0,0,-5671.72,0,0.6424,5914,5916,35.5626,39.0413,0,2.10924e-16,-6.424,0,0,23.9587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.5,0.1,1,0.1,0,0.1,5932,7.405,0.810827,1.81722,5932,2,1502,1502,1502,9794.56,744556,754351,0.438308,0.241197,0.0160148,5932,45,3156,0.0142586,0,0,0,2738,3156,0.867554,0,0,0,755227,7424.68,0,0,-5671.72,6.424,2603.82,0,0,-5671.72,7.405,4032.16,7.405,6035.32,7.405,5868.97,5.91856,0.297367,1502,182,1,115247,0.000993847,8.62366e-09,-1.6186e-11,222569,98539,75149.2,7.51492,7.405,5178.76,0,0,-11815.5,1.00345e-08,2.56439e-09,7.405,5161.97,0,0,-11608.6,7.405,757597,9794.56,0,0,-11614.5,7.405,754351,9794.56,0,0,-11616.8,0.0611204,0.00186785,0.00113125,0.0657048,0.00215856,0.00130732,0.0719886,0.000366748,0.000222118,31.6405,13.7946,0,1202.76,-3320.14,0,0,0,-11616.8,0,0,-11616.8,0,0,-11616.8,0,0.7405,5612,5614,28.4293,33.2995,0,5.35393e-16,-7.405,0,0,27.4293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.6,0.1,1,0.1,0,0.1,5932,8.386,0.66293,1.97438,5932,2,1508,1508,1508,11562,741905,753467,0.51999,0.263368,0.0525961,5932,120,3363,0.0356824,0,0,0,2314,2753,0.840538,0,0,0,754351,9794.56,0,0,-11616.8,7.405,3596.49,0,0,-11616.8,8.386,5301.48,8.386,7886.69,8.386,7723.98,5.45072,0.317936,1508,191,1,123464,0.0011244,9.1071e-09,-1.16679e-11,363143,137553,57436.7,5.74367,8.386,6604.83,0,0,-465.734,1.18385e-08,2.89548e-09,8.386,6464.81,0,0,-468.811,8.386,756118,11562,0,0,-471.566,8.386,753467,11562,0,0,-471.554,0.00433537,9.39772e-06,4.82158e-06,0.0596535,0.00177927,0.00091287,0.160014,4.77402e-07,2.44935e-07,31.6433,13.7491,0,165.767,-2703.8,0,0,0,-471.554,0,0,-471.554,0,0,-471.554,0,0.8386,5705,5707,30.492,36.3199,0,-1.55393e-16,-8.386,0,0,26.6801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.7,0.1,1,0.1,0,0.1,5932,9.367,0.716725,2.19875,5932,2,1509,1509,1509,14339.1,738948,753287,0.229496,0.104376,0.00134862,5932,1,385,0.0025974,0,0,0,2,385,0.00519481,0,0,0,753467,11562,0,0,-471.554,8.386,4327.68,0,0,-471.554,9.367,5880.82,9.367,8858.61,9.367,8780.96,0.987347,0.19986,1509,182,1,77637.3,0.000698682,8.9993e-09,-1.09747e-11,225380,110398,13161.2,1.31612,9.367,8096.52,0,0,-263.979,6.19542e-09,1.7986e-09,9.367,8043.94,0,0,-275.435,9.367,756244,14339.1,0,0,-277.831,9.367,753287,14339.1,0,0,-277.802,0.00262446,3.44389e-06,1.42472e-06,0.00267939,3.58957e-06,1.48499e-06,0.00445474,3.36126e-08,1.39053e-08,31.6465,13.6983,0,191.248,-3014.67,0,0,0,-277.802,0,0,-277.802,0,0,-277.802,0,0.9367,5930,5932,35.8643,40.8909,0,-1.43126e-16,-9.367,0,0,22.1091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.8,0.1,1,0.1,0,0.1,5932,10.348,0.771943,2.42402,5932,2,1511,1511,1511,17427.9,735685,753113,0.228827,0.0943997,0.000505732,5932,0,367,0,0,0,0,1,357,0.00280112,0,0,0,753287,14339.1,0,0,-277.802,9.367,5368.72,0,0,-277.802,10.348,7013.93,10.348,10591.5,10.348,10514.3,0.984715,0.199324,1511,180,1,77480.4,0.000698235,9.01176e-09,-9.31325e-12,225400,110217,12947.4,1.29474,10.348,9830.61,0,0,-113.979,7.19639e-09,1.79626e-09,10.348,9778.66,0,0,-123.716,10.348,756376,17427.9,0,0,-126.051,10.348,753113,17427.9,0,0,-126.007,0.00251926,3.17334e-06,1.08012e-06,0.00116617,6.79979e-07,2.31447e-07,0.00552388,3.58262e-08,1.21943e-08,31.6502,13.6422,0,220.972,-3327.71,0,0,0,-126.007,0,0,-126.007,0,0,-126.007,0,1.0348,5930,5932,35.8643,39.8561,0,5.91564e-16,-10.348,0,0,23.1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.9,0.1,1,0.1,0,0.1,5932,11.329,0.828091,2.6499,5932,2,1512,1512,1512,20827.2,732114,752941,0.228828,0.0863536,0.000674309,5932,0,351,0,0,0,0,0,345,0,0,0,0,753113,17427.9,0,0,-126.007,10.348,6525.66,0,0,-126.007,11.329,8263.92,11.329,12502.3,11.329,12425.2,0.982775,0.199511,1512,179,1,77578.6,0.000656223,8.45881e-09,-1.65591e-11,225475,110168,12904.2,1.29042,11.329,11741.6,0,0,45.3835,5.97113e-09,1.68762e-09,11.329,11689.8,0,0,37.5209,11.329,756512,20827.2,0,0,35.3668,11.329,752941,20827.2,0,0,35.4153,0.00259181,3.35874e-06,9.56637e-07,0.000933853,4.36041e-07,1.24193e-07,0.00302922,3.47698e-09,9.90316e-10,31.6545,13.5808,0,253.374,-3641.05,0,0,0,35.4153,0,0,35.4153,0,0,35.4153,0,1.1329,5638,5640,28.6646,35.7183,0,1.23194e-16,-11.329,0,0,27.2817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0.1,1,0.1,0,0.1,5932,12.31,0.882075,2.87594,5932,2,1515,1515,1515,24532,728236,752768,0.229257,0.0797154,0.000168577,5932,0,361,0,0,0,0,9,337,0.0267062,0,0,0,752941,20827.2,0,0,35.4153,11.329,7736.39,0,0,35.4153,12.31,9567.7,12.31,14478.7,12.31,14401.7,0.982464,0.200201,1515,178,1,77924.3,0.000743902,9.54647e-09,-1.06343e-11,225654,110401,13915.5,1.39155,12.31,13716.2,0,0,66.4516,7.1972e-09,1.91121e-09,12.31,13661.5,0,0,61.0028,12.31,756646,24532,0,0,58.8688,12.31,752768,24532,0,0,58.9292,0.00258338,3.33693e-06,8.06893e-07,0.00158076,1.24941e-06,3.02115e-07,0.00374198,1.79871e-07,4.3494e-08,31.6591,13.5142,0,272.711,-3954.61,0,0,0,58.9292,0,0,58.9292,0,0,58.9292,0,1.231,5781,5783,32.3355,31.0153,0,2.32129e-16,-12.31,0,0,30.0153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
