Fluid simulation profile
dimension=2
steps=1800
simulated_substeps=1800
domain=64
dx=1
frame_dt=0.1
scene=6
fluid_solver=flip
polypic_modes=4
jitter_seed=0
flip_percent=0
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=5932
wall_ms=137295.887

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling\20260627-213114\runs\PIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",302324,106293.156,106293.156,79.92,0.351587
2,"Diagnostics::record_step",1800,8306.195,8317.644,6.25,4.614553
3,"Fluid_Simulation_2D::advect",1800,5515.718,5515.718,4.15,3.064288
4,"APIC_Simulation_2D::step",1800,4681.083,124681.140,3.52,2.600602
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1800,1738.917,1738.917,1.31,0.966065
6,"Fluid_Simulation_2D::projection_2d",1800,1306.330,108379.533,0.98,0.725739
7,"Fluid_Simulation_2D::grid_to_particle",1800,1073.641,1073.641,0.81,0.596467
8,"Fluid_Simulation_2D::particle_to_grid",1800,904.278,904.278,0.68,0.502377
9,"Fluid_Simulation_2D::projection_dot_product",910572,756.061,756.061,0.57,0.000830
10,"APIC_Simulation_2D::particle_mechanical_energy",5400,678.369,678.369,0.51,0.125624
11,"APIC_Simulation_2D::particle_kinetic_energy",5400,584.221,584.221,0.44,0.108189
12,"APIC_Simulation_2D::max_particle_speed",3600,356.950,356.950,0.27,0.099153
13,"APIC_Simulation_2D::max_grid_speed",10800,221.531,221.531,0.17,0.020512
14,"APIC_Simulation_2D::grid_kinetic_energy",10800,192.753,192.753,0.14,0.017847
15,"Fluid_Simulation_2D::extrapolate_velocity",3600,162.083,248.486,0.12,0.045023
16,"Fluid_Simulation_2D::init_marker_vectors",3600,86.403,86.403,0.06,0.024001
17,"Fluid_Simulation_2D::enforce_boundary",1800,42.264,42.264,0.03,0.023480
18,"APIC_Simulation_2D::divergence_stats",3600,40.585,40.585,0.03,0.011274
19,"Fluid_Simulation_2D::setup_rhs",1800,23.986,23.986,0.02,0.013326
20,"Fluid_Simulation::apply_forces_2d_settings",1800,22.813,22.813,0.02,0.012674
21,"Diagnostics::fluid_measure_from",1800,10.295,10.295,0.01,0.005720
22,"Diagnostics::bounds_from",1801,1.154,1.154,0.00,0.000641
