step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,5932,3.481,0.575378,0.967168,5932,2,1483,1483,1483,2774.44,756633,759408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760252,1510.18,0,0,-356.095,2.5,525.254,0,0,-356.095,3.481,1487.83,3.481,2072.03,3.481,1992.38,0.981,0.212663,1483,172,1,81896,0.000685537,8.37082e-09,-6768.44,217595,86811.8,23410.9,2.34109,3.481,1406.74,0,0,-12661.5,6.36382e-09,1.78016e-09,3.481,1370.76,0,0,-12497.5,3.481,761516,2774.44,0,0,-12497.5,3.481,759408,2774.44,0,0,-12497.4,0.00636245,2.02404e-05,4.32758e-05,0,0,0,0,0,0,31.5457,14.0022,0,896.708,-2148.59,0,0,0,-12498.3,0,0,-12497.4,0,0,-12498.3,0,0.3481,5627,5629,28.5128,39.4884,0,1.31187e-16,-3.481,0,0,23.5116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.481
1,0.2,0.1,1,0.1,0,0.1,5932,4.58348,0.767782,1.27237,5932,2,1498,1498,1498,4801.74,753780,758582,0.430353,0.338229,0.00606878,5932,0,3902,0,0,0,0,0,0,0,0,0,0,759408,2774.44,0,0,-12497.4,3.481,1008.94,0,0,-12497.4,4.462,2355.35,4.462,3271.62,4.462,3122.74,3.70571,0.237242,1498,184,1,91822,0.000911814,9.93023e-09,-7.12671e-12,222178,94904.2,65809.1,6.58091,5.11701,2409.68,0,0,-16985.5,8.44631e-09,2.35586e-09,5.11701,2420.59,0,0,-16752.4,4.58348,761435,4801.74,0,0,-16752.4,4.58348,758582,4801.74,0,0,-16752.2,0.0424782,0.000902198,0.00111456,0.0418807,0.000876996,0.00108343,0.0274412,6.25527e-05,7.72768e-05,31.5722,13.9531,0,1555.1,-2913.09,0,0,0,-16756.1,0,0,-16752.2,0,0,-16756.1,0,0.458348,5547,5549,62.1758,7.69944,0,4.46661,1.02842,0,1,0.824243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46661
2,0.3,0.1,1,0.1,0,0.1,5932,6.30496,0.771435,1.4582,5932,2,1502,1502,1502,6306.72,751077,757383,0.523992,0.359342,0.00539447,5932,8,2715,0.00294659,0,0,0,1775,2712,0.654499,0,0,0,758582,4801.74,0,0,-16752.2,4.97651,1707.51,0,0,-16752.2,5.443,3258.59,5.443,4583.53,5.443,4385.41,6.72079,0.327825,1502,187,1,127051,0.00119513,9.40675e-09,-7.02073e-12,311197,118806,87184.7,8.71847,6.53756,3349.04,0,0,-12315.2,1.32317e-08,3.08376e-09,6.53756,3363.54,0,0,-12006.2,6.30496,760087,6306.72,0,0,-12006.2,6.30496,757383,6306.72,0,0,-12009.1,0.0727111,0.00264345,0.00248639,0.0802004,0.00321605,0.00302496,0.0155025,0.000246181,0.000231554,31.5962,13.9067,0,1401.16,-2768.59,0,0,0,-12017.3,0,0,-12009.1,0,0,-12017.3,0,0.630496,5571,5573,62.4218,13.8204,0,6.02721,1.85075,0,1,0.578184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.02721
3,0.4,0.1,1,0.1,0,0.1,5932,6.424,0.720393,1.61124,5932,2,1508,1508,1508,7699.98,748546,756246,0.509303,0.316094,0.00657451,5932,4,3393,0.0011789,0,0,0,95,2680,0.0354478,0,0,0,757383,6306.72,0,0,-12009.1,5.49661,2288.16,0,0,-12009.1,6.424,3828.05,6.424,5522.94,6.424,5308.55,7.54245,0.362536,1508,191,1,140784,0.00109718,7.79341e-09,-9.13948e-12,288192,124943,102641,10.2641,6.83893,4271.98,0,0,-6993.64,1.04903e-08,2.82539e-09,6.83893,4232.44,0,0,-6916.84,6.424,758777,7699.98,0,0,-6916.84,6.424,756246,7699.98,0,0,-6915.91,0.0575185,0.00165419,0.00127437,0.0831306,0.00345535,0.00266197,0.0115823,0.000394223,0.000303706,31.6123,13.8632,0,941.467,-2586.6,0,0,0,-6923.61,0,0,-6915.91,0,0,-6923.61,0,0.6424,5702,5704,30.5939,36.1391,0,-3.02921e-16,-6.424,0,0,26.8609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85752
4,0.5,0.1,1,0.1,0,0.1,5932,7.405,0.651264,1.76804,5932,2,1504,1504,1504,9271.67,746116,755387,0.473953,0.268066,0.0096089,5932,5,3105,0.00161031,0,0,0,28,3073,0.00911162,0,0,0,756246,7699.98,0,0,-6915.91,11.633,2799.24,0,0,-6915.91,11.633,4264.35,7.405,6191.19,7.405,6022.44,10.6899,0.366719,1504,193,1,142219,0.0014016,9.85521e-09,-8.32899e-12,277308,126724,81878.6,8.18786,7.405,5047.7,0,0,-2108.79,1.87205e-08,3.61409e-09,7.405,4954.84,0,0,-2018.77,7.405,757818,9271.67,0,0,-2018.77,7.405,755387,9271.67,0,0,-2018.65,0.0384268,0.00073831,0.00047237,0.0653423,0.00213481,0.00136585,0.0162153,0.000131425,8.40854e-05,31.618,13.8214,0,334.493,-2483.83,0,0,0,-2026.42,0,0,-2018.65,0,0,-2026.42,0,0.7405,5715,5717,30.5306,39.1593,0,-5.66631e-17,-7.405,0,0,23.8407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.405
5,0.6,0.1,1,0.1,0,0.1,5932,8.386,0.673341,1.9811,5932,2,1511,1511,1511,11640.9,743456,755096,0.282068,0.142379,0.00674309,5932,8,910,0.00879121,0,0,0,10,910,0.010989,0,0,0,755387,9271.67,0,0,-2018.65,7.405,3491.48,0,0,-2018.65,8.386,4971.55,8.386,7495.02,8.386,7346.3,6.53571,0.292906,1511,191,1,113857,0.000993369,8.72469e-09,-2.18726e-11,238095,115296,62991.5,6.29915,8.386,6587.94,0,0,-962.899,1.03994e-08,2.55551e-09,8.386,6505.27,0,0,-972.091,8.386,757757,11640.9,0,0,-972.091,8.386,755096,11640.9,0,0,-972.243,0.00987418,4.87497e-05,2.4842e-05,0.0336087,0.000564772,0.000287798,0.0286885,2.43982e-06,1.24329e-06,31.6203,13.7757,0,134.348,-2713.43,0,0,0,-979.997,0,0,-972.243,0,0,-979.997,0,0.8386,5715,5717,30.5306,38.3207,0,4.5405e-16,-8.386,0,0,24.6793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.386
6,0.7,0.1,1,0.1,0,0.1,5932,9.367,0.728996,2.20615,5932,2,1514,1514,1514,14435.8,740490,754926,0.228851,0.103733,0.000168577,5932,0,368,0,0,0,0,19,355,0.0535211,0,0,0,755096,11640.9,0,0,-972.243,8.386,4381.44,0,0,-972.243,9.367,5930.89,9.367,8921.78,9.367,8843.29,0.983321,0.198782,1514,178,1,77346.5,0.000751809,9.72001e-09,-1.24451e-11,225768,110779,13415.6,1.34156,9.367,8156.47,0,0,-1006.72,9.10304e-09,1.93217e-09,9.367,8115.54,0,0,-1018.44,9.367,757891,14435.8,0,0,-1018.44,9.367,754926,14435.8,0,0,-1018.91,0.0116105,6.74013e-05,2.76967e-05,0.00563819,1.58946e-05,6.53146e-06,0.00196009,9.24584e-08,3.79933e-08,31.6229,13.7247,0,151.123,-3025.36,0,0,0,-1025.26,0,0,-1018.91,0,0,-1025.26,0,0.9367,5693,5695,30.2424,32.1881,0,-8.84108e-16,-9.367,0,0,29.2424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.367
7,0.8,0.1,1,0.1,0,0.1,5932,10.348,0.783414,2.43118,5932,2,1515,1515,1515,17531,737221,754752,0.228918,0.0941591,0.000337154,5932,0,361,0,0,0,0,3,348,0.00862069,0,0,0,754926,14435.8,0,0,-1018.91,9.367,5439.82,0,0,-1018.91,10.348,7089.28,10.348,10720.5,10.348,10640.6,1.51346,0.202554,1515,178,1,78840,0.000770817,9.77697e-09,-1.79296e-11,225746,110640,14616,1.4616,10.348,9953.15,0,0,-911.096,7.08327e-09,1.98036e-09,10.348,9909.89,0,0,-915.678,10.348,758021,17531,0,0,-915.678,10.348,754752,17531,0,0,-915.961,0.0106715,5.69401e-05,1.9267e-05,0.005968,1.78085e-05,6.02591e-06,0.00231646,1.26393e-07,4.2768e-08,31.6256,13.6686,0,163.129,-3334.51,0,0,0,-922.165,0,0,-915.961,0,0,-922.165,0,1.0348,5675,5677,29.6265,36.158,0,-3.25333e-16,-10.348,0,0,26.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.348
8,0.9,0.1,1,0.1,0,0.1,5932,11.329,0.840233,2.65676,5932,2,1517,1517,1517,20935.2,733645,754580,0.229933,0.0865461,0.000674309,5932,0,398,0,0,0,0,1,352,0.00284091,0,0,0,754752,17531,0,0,-915.961,10.348,6596.02,0,0,-915.961,11.329,8328.55,11.329,12585.1,11.329,12506.3,2.05327,0.205549,1517,179,1,80058.5,0.000777877,9.71636e-09,-1.94688e-11,226140,110594,13438.5,1.34385,11.329,11818.4,0,0,-777.867,7.5653e-09,1.99719e-09,11.329,11765.6,0,0,-778.482,11.329,758156,20935.2,0,0,-778.482,11.329,754580,20935.2,0,0,-778.823,0.0108888,5.9283e-05,1.67979e-05,0.00840349,3.53093e-05,1.00049e-05,0.00392017,1.82759e-06,5.17848e-07,31.6288,13.6071,0,186.904,-3646.5,0,0,0,-785.079,0,0,-778.823,0,0,-785.079,0,1.1329,5675,5677,29.6265,35.0251,0,-8.10203e-16,-11.329,0,0,27.9749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.329
9,1,0.1,1,0.1,0,0.1,5932,12.31,0.893084,2.88199,5932,2,1519,1519,1519,24635.2,729766,754401,0.231383,0.0802859,0.000674309,5932,0,408,0,0,0,0,10,371,0.0269542,0,0,0,754580,20935.2,0,0,-778.823,11.329,7809.32,0,0,-778.823,12.31,9625.79,12.31,14392,12.31,14314.1,3.84951,0.222645,1519,182,1,86774.4,0.000806587,9.29522e-09,-2.20639e-11,226633,111216,21690.6,2.16906,12.31,13620.6,0,0,-772.948,7.09859e-09,2.06953e-09,12.31,13559.9,0,0,-774.657,12.31,758280,24635.2,0,0,-774.657,12.31,754401,24635.2,0,0,-774.439,0.0100794,5.07968e-05,1.22315e-05,0.0106448,5.66559e-05,1.36424e-05,0.00463293,1.42041e-05,3.42025e-06,31.6319,13.5405,0,183.233,-3956.87,0,0,0,-781.344,0,0,-774.439,0,0,-781.344,0,1.231,5614,5616,28.6626,28.4326,0,4.82491e-17,-12.31,0,0,27.4326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.31
