Fluid simulation profile
dimension=2
steps=1800
simulated_substeps=1800
domain=64
dx=1
frame_dt=0.1
scene=6
fluid_solver=polypic
polypic_modes=4
jitter_seed=0
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=5932
wall_ms=111334.016

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling\20260627-213114\runs\POLYPIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",285111,76215.610,76215.610,71.12,0.267319
2,"Diagnostics::record_step",1800,9134.645,9146.000,8.52,5.074803
3,"APIC_Simulation_2D::step",1800,6813.315,98014.332,6.36,3.785175
4,"Fluid_Simulation_2D::advect",1800,5557.536,5557.536,5.19,3.087520
5,"Fluid_Simulation_2D::grid_to_particle",1800,1874.398,1874.398,1.75,1.041332
6,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1800,1798.467,1798.467,1.68,0.999149
7,"Fluid_Simulation_2D::particle_to_grid",1800,1622.666,1622.666,1.51,0.901481
8,"Fluid_Simulation_2D::projection_2d",1800,1084.905,77893.296,1.01,0.602725
9,"APIC_Simulation_2D::particle_mechanical_energy",5400,692.510,692.510,0.65,0.128243
10,"APIC_Simulation_2D::particle_kinetic_energy",5400,592.892,592.892,0.55,0.109795
11,"Fluid_Simulation_2D::projection_dot_product",858933,573.181,573.181,0.53,0.000667
12,"APIC_Simulation_2D::max_particle_speed",3600,378.529,378.529,0.35,0.105147
13,"APIC_Simulation_2D::max_grid_speed",10800,228.858,228.858,0.21,0.021191
14,"APIC_Simulation_2D::grid_kinetic_energy",10800,195.381,195.381,0.18,0.018091
15,"Fluid_Simulation_2D::extrapolate_velocity",3600,174.417,263.017,0.16,0.048449
16,"Fluid_Simulation_2D::init_marker_vectors",3600,88.600,88.600,0.08,0.024611
17,"Fluid_Simulation_2D::enforce_boundary",1800,43.292,43.292,0.04,0.024051
18,"APIC_Simulation_2D::divergence_stats",3600,36.940,36.940,0.03,0.010261
19,"Fluid_Simulation::apply_forces_2d_settings",1800,23.236,23.236,0.02,0.012909
20,"Fluid_Simulation_2D::setup_rhs",1800,19.600,19.600,0.02,0.010889
21,"Diagnostics::fluid_measure_from",1800,10.086,10.086,0.01,0.005604
22,"Diagnostics::bounds_from",1801,1.270,1.270,0.00,0.000705
