step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,15376,0.999288,0.677543,0.70714,15376,2,3844,3844,3844,3844.36,0,3844.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3844.48,3844.48,0,0,49.5331,1.00221,1026.57,0,0,49.5331,1.00221,1026.57,0.999685,1026.33,0.999685,964.301,0.000670935,0.000160603,3844,253,1,99.574,9.85558e-07,9.89774e-09,-4.2375,4.39744,0.000338559,3.31847,0.000331847,0.99957,964.301,0,0,96.5504,5.38392e-12,1.58961e-12,0.99957,1026.33,0,0,49.4302,0.999288,3844.36,3844.36,0,0,49.4302,0.999288,3844.36,3844.36,0,0,49.3002,0.00507099,1.28575e-05,5.1425e-05,0,0,0,0,0,0,32.0005,31.9995,0,1.17789,1.99376,0,0,0,47.9939,0,0,49.3002,0,0,47.9939,0,0.0999288,7626,7628,31.6841,47.2343,0,0.00121209,0.999288,0,0,15.7657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2,0.1,1,0.1,0,0.1,15376,0.999309,0.677518,0.707115,15376,2,3844,3844,3844,3844.09,0,3844.09,0.00507088,0.00717123,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3844.36,3844.36,0,0,49.3002,0.999722,1026.32,0,0,49.3002,0.999722,1026.32,0.999722,1026.32,0.999722,964.288,0.00249738,0.00105359,3844,213,1,653.224,5.52557e-06,8.45891e-09,-496.619,502.927,4.07815,52.9588,0.00529588,0.999563,964.238,0,0,96.8675,3.35599e-11,8.91221e-12,0.999563,1026.27,0,0,49.5825,0.999309,3844.09,3844.09,0,0,49.5825,0.999309,3844.09,3844.09,0,0,49.2902,0.00507045,1.28547e-05,5.14178e-05,0.000133747,8.94411e-09,3.57756e-08,6.50364e-05,2.94129e-11,1.17649e-10,32.0005,31.9995,0,1.16573,1.99359,0,0,0,48.2797,0,0,49.2902,0,0,48.2797,0,0.0999309,7626,7628,31.6841,47.3343,0,0.000938676,0.999308,0,0,15.6657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3,0.1,1,0.1,0,0.1,15376,0.999297,0.677493,0.70709,15376,2,3844,3844,3844,3843.81,0,3843.81,0.00507025,0.00717059,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3844.09,3844.09,0,0,49.2902,1.00021,1026.25,0,0,49.2902,1.00021,1026.25,0.999791,1026.25,0.999791,964.224,0.00249691,0.00105677,3844,218,1,655.196,6.25727e-06,9.55023e-09,-496.741,502.879,4.07803,52.6208,0.00526208,0.999652,964.175,0,0,97.0873,3.95414e-11,1.00924e-11,0.999652,1026.2,0,0,49.527,0.999297,3843.81,3843.81,0,0,49.527,0.999297,3843.81,3843.81,0,0,49.0927,0.00506999,1.28524e-05,5.14122e-05,0.000130394,8.50128e-09,3.40068e-08,0.000130073,5.8185e-11,2.32751e-10,32.0005,31.9995,0,1.13858,2.00053,0,0,0,48.521,0,0,49.0927,0,0,48.521,0,0.0999297,7873,7875,32.4541,48.0257,0,0.00216775,0.999295,0,0,14.9743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.4,0.1,1,0.1,0,0.1,15376,0.999223,0.677469,0.707065,15376,2,3844,3844,3844,3843.55,0,3843.55,0.00506982,0.00717023,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3843.81,3843.81,0,0,49.0927,1.00026,1026.18,0,0,49.0927,1.00026,1026.18,0.999955,1026.18,0.999955,964.159,0.00250083,0.0010576,3844,216,1,655.713,6.30377e-06,9.61362e-09,-496.673,503.702,4.07949,52.8449,0.00528449,0.999664,964.11,0,0,97.2017,4.13152e-11,1.01674e-11,0.999664,1026.13,0,0,49.4574,0.999223,3843.55,3843.55,0,0,49.4574,0.999223,3843.55,3843.55,0,0,49.1768,0.00506939,1.28493e-05,5.14034e-05,0.000131045,8.58633e-09,3.43494e-08,6.50364e-05,2.57616e-13,1.03059e-12,32.0005,31.9996,0,1.11404,2.00929,0,0,0,48.8892,0,0,49.1768,0,0,48.8892,0,0.0999223,7626,7628,31.6842,47.5341,0,0.000423939,0.999223,0,0,15.4659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.5,0.1,1,0.1,0,0.1,15376,0.999212,0.677445,0.707041,15376,2,3844,3844,3844,3843.29,0,3843.29,0.00506909,0.00716944,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3843.55,3843.55,0,0,49.1768,1.00015,1026.12,0,0,49.1768,1.00015,1026.12,0.999895,1026.11,0.999895,964.094,0.00250022,0.00105685,3844,216,1,655.245,6.32157e-06,9.64765e-09,-496.739,503.246,4.07968,53.4588,0.00534588,0.999672,964.045,0,0,97.4169,4.11127e-11,1.01961e-11,0.999672,1026.06,0,0,49.5358,0.999212,3843.29,3843.29,0,0,49.5358,0.999212,3843.29,3843.29,0,0,49.2896,0.00506943,1.28496e-05,5.14078e-05,0.000134496,9.04459e-09,3.61851e-08,0,0,0,32.0005,31.9996,0,1.08811,2.00845,0,0,0,49.2506,0,0,49.2896,0,0,49.2506,0,0.0999212,7503,7505,31.598,16.4973,0,0.000513464,-0.999212,0,0,15.4973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.6,0.1,1,0.1,0,0.1,15376,0.999214,0.677421,0.707018,15376,2,3844,3844,3844,3843.03,0,3843.03,0.00506906,0.00716964,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3843.29,3843.29,0,0,49.2896,1.00002,1026.05,0,0,49.2896,1.00002,1026.05,1.00002,1026.05,1.00002,964.033,0.00250266,0.00105615,3844,218,1,654.814,6.54209e-06,9.99075e-09,-496.857,502.264,4.07733,53.5288,0.00535288,0.999709,963.984,0,0,97.6576,4.24832e-11,1.05518e-11,0.999709,1026,0,0,49.6523,0.999214,3843.03,3843.03,0,0,49.6523,0.999214,3843.03,3843.03,0,0,49.3159,0.00506971,1.2851e-05,5.14169e-05,0.000133686,8.936e-09,3.5753e-08,6.50364e-05,2.79869e-13,1.11976e-12,32.0005,31.9996,0,1.08471,1.98158,0,0,0,49.6117,0,0,49.3159,0,0,49.6117,0,0.0999214,7623,7625,31.9507,47.1373,0,0.000133485,0.999214,0,0,15.8627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.7,0.1,1,0.1,0,0.1,15376,0.999238,0.677398,0.706994,15376,2,3844,3844,3844,3842.78,0,3842.78,0.00506937,0.00717031,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3843.03,3843.03,0,0,49.3159,1.00006,1025.99,0,0,49.3159,1.00006,1025.99,1.00006,1025.99,1.00006,963.974,0.00250899,0.00105495,3844,218,1,654.067,6.1765e-06,9.44324e-09,-496.826,502.323,4.07845,53.3684,0.00533684,0.999837,963.924,0,0,97.8343,3.37997e-11,9.96211e-12,0.999837,1025.94,0,0,49.7538,0.999238,3842.78,3842.78,0,0,49.7538,0.999238,3842.78,3842.78,0,0,49.4371,0.00506888,1.28468e-05,5.14034e-05,0.000131334,8.62435e-09,3.45084e-08,0,0,0,32.0005,31.9996,0,1.07274,1.95536,0,0,0,50.0416,0,0,49.4371,0,0,50.0416,0,0.0999238,11653,11655,47.9397,62.9549,0,0.999238,-0.000148766,0,1,0.0451319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.8,0.1,1,0.1,0,0.1,15376,0.9993,0.677374,0.70697,15376,2,3844,3844,3844,3842.51,0,3842.51,0.00506852,0.00716935,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3842.78,3842.78,0,0,49.4371,1.00026,1025.92,0,0,49.4371,1.00026,1025.92,1.00026,1025.92,1.00026,963.911,0.00251081,0.00105558,3844,215,1,654.462,5.80142e-06,8.8644e-09,-496.559,502.678,4.07767,53.2472,0.00532472,0.999937,963.862,0,0,98.0589,3.51334e-11,9.35712e-12,0.999937,1025.87,0,0,49.8737,0.9993,3842.51,3842.51,0,0,49.8737,0.9993,3842.51,3842.51,0,0,49.7414,0.00506697,1.28371e-05,5.13683e-05,0.000128624,8.27204e-09,3.3101e-08,0.000130073,5.37688e-12,2.15158e-11,32.0005,31.9996,0,1.05625,1.94095,0,0,0,50.4795,0,0,49.7414,0,0,50.4795,0,0.09993,7507,7509,31.7354,16.8661,0,0.00132596,-0.999299,0,0,15.8661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.9,0.1,1,0.1,0,0.1,15376,0.999374,0.67735,0.706946,15376,2,3844,3844,3844,3842.25,0,3842.25,0.00506653,0.00716678,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3842.51,3842.51,0,0,49.7414,1.00038,1025.86,0,0,49.7414,1.00038,1025.86,1.00038,1025.85,1.00038,963.846,0.00251336,0.00105627,3844,216,1,654.89,6.0837e-06,9.28964e-09,-496.315,502.946,4.07613,53.2876,0.00532876,0.999935,963.797,0,0,98.4799,3.47694e-11,9.81242e-12,0.999935,1025.8,0,0,50.1558,0.999374,3842.25,3842.25,0,0,50.1558,0.999374,3842.25,3842.25,0,0,50.337,0.00506692,1.28368e-05,5.13707e-05,0.000132383,8.76263e-09,3.50665e-08,6.50364e-05,1.65427e-13,6.62007e-13,32.0005,31.9996,0,1.05513,1.93416,0,0,0,50.8885,0,0,50.337,0,0,50.8885,0,0.0999374,185,187,1.0124,47.0207,0,4.24167e-05,-0.999374,0,1,0.0123999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0.1,1,0.1,0,0.1,15376,0.999365,0.677326,0.706922,15376,2,3844,3844,3844,3841.99,0,3841.99,0.0050665,0.00716699,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3842.25,3842.25,0,0,50.337,1.00023,1025.79,0,0,50.337,1.00023,1025.79,1.00023,1025.79,1.00023,963.781,0.00251441,0.00105596,3844,218,1,654.692,6.46622e-06,9.87674e-09,-496.138,503.012,4.07523,53.0146,0.00530146,0.999873,963.732,0,0,98.9535,3.71192e-11,1.04294e-11,0.999873,1025.74,0,0,50.6327,0.999365,3841.99,3841.99,0,0,50.6327,0.999365,3841.99,3841.99,0,0,50.6021,0.0050685,1.28449e-05,5.14063e-05,0.000134097,8.99094e-09,3.59826e-08,0.000130073,4.27181e-11,1.70962e-10,32.0005,31.9996,0,1.05883,1.92734,0,0,0,51.1755,0,0,50.6021,0,0,51.1755,0,0.0999365,185,187,1.01241,46.9208,0,5.80423e-05,-0.999365,0,1,0.0124064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1.1,0.1,1,0.1,0,0.1,15376,0.99924,0.677302,0.706898,15376,2,3844,3844,3844,3841.73,0,3841.73,0.00506805,0.00716943,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3841.99,3841.99,0,0,50.6021,1.00009,1025.73,0,0,50.6021,1.00009,1025.73,1.00009,1025.72,1.00009,963.718,0.00251675,0.001057,3844,217,1,655.337,5.51038e-06,8.40846e-09,-496.067,503.101,4.07682,53.0756,0.00530756,0.999719,963.669,0,0,99.0515,3.03481e-11,8.88771e-12,0.999719,1025.67,0,0,50.8117,0.99924,3841.73,3841.73,0,0,50.8117,0.99924,3841.73,3841.73,0,0,50.8906,0.0050678,1.28413e-05,5.13956e-05,0.000131311,8.62128e-09,3.45055e-08,6.50364e-05,2.13014e-13,8.52559e-13,32.0005,31.9996,0,1.06081,1.91311,0,0,0,51.3781,0,0,50.8906,0,0,51.3781,0,0.099924,11407,11409,47.7925,62.8382,0,0.99924,-0.000311914,0,1,0.161847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1.2,0.1,1,0.1,0,0.1,15376,0.999192,0.677278,0.706874,15376,2,3844,3844,3844,3841.47,0,3841.47,0.00506734,0.00716867,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3841.73,3841.73,0,0,50.8906,1.00011,1025.66,0,0,50.8906,1.00011,1025.66,1.00011,1025.65,1.00011,963.653,0.00251489,0.00105651,3844,218,1,655.036,5.35812e-06,8.17989e-09,-496.077,502.876,4.07467,52.569,0.0052569,0.999677,963.603,0,0,99.2445,3.16528e-11,8.64213e-12,0.999677,1025.6,0,0,51.0313,0.999192,3841.47,3841.47,0,0,51.0313,0.999192,3841.47,3841.47,0,0,51.2031,0.00506674,1.28359e-05,5.13776e-05,0.000133452,8.90466e-09,3.56421e-08,0,0,0,32.0005,31.9997,0,1.0497,1.8969,0,0,0,51.5148,0,0,51.2031,0,0,51.5148,0,0.0999192,11407,11409,47.8924,62.8381,0,0.999192,-0.000491853,0,1,0.161905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
