Fluid simulation profile
dimension=2
steps=1800
simulated_substeps=1800
domain=64
dx=1
frame_dt=0.1
scene=4
fluid_solver=apic
polypic_modes=4
jitter_seed=0
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=15376
wall_ms=505317.619

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\taylor\20260627-202308\runs\APIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",404995,419207.478,419207.478,84.75,1.035093
2,"Diagnostics::record_step",1800,24933.627,24944.898,5.04,13.852015
3,"Fluid_Simulation_2D::advect",1800,14415.365,14415.365,2.91,8.008536
4,"APIC_Simulation_2D::step",1800,13501.908,469698.005,2.73,7.501060
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1800,4948.101,4948.101,1.00,2.748945
6,"Fluid_Simulation_2D::projection_2d",1800,3617.540,425542.499,0.73,2.009745
7,"Fluid_Simulation_2D::grid_to_particle",1800,2948.609,2948.609,0.60,1.638116
8,"Fluid_Simulation_2D::projection_dot_product",1218585,2658.939,2658.939,0.54,0.002182
9,"Fluid_Simulation_2D::particle_to_grid",1800,2433.992,2433.992,0.49,1.352218
10,"APIC_Simulation_2D::particle_mechanical_energy",5400,2295.296,2295.296,0.46,0.425055
11,"APIC_Simulation_2D::particle_kinetic_energy",5400,1759.531,1759.531,0.36,0.325839
12,"APIC_Simulation_2D::max_particle_speed",3600,1146.708,1146.708,0.23,0.318530
13,"APIC_Simulation_2D::max_grid_speed",10800,209.418,209.418,0.04,0.019391
14,"APIC_Simulation_2D::grid_kinetic_energy",10800,179.660,179.660,0.04,0.016635
15,"Fluid_Simulation_2D::extrapolate_velocity",3600,118.759,210.475,0.02,0.032988
16,"Fluid_Simulation_2D::init_marker_vectors",3600,91.716,91.716,0.02,0.025477
17,"APIC_Simulation_2D::divergence_stats",3600,64.306,64.306,0.01,0.017863
18,"Fluid_Simulation_2D::setup_rhs",1800,58.542,58.542,0.01,0.032523
19,"Fluid_Simulation_2D::enforce_boundary",1800,41.509,41.509,0.01,0.023060
20,"Diagnostics::fluid_measure_from",1800,10.288,10.288,0.00,0.005715
21,"Diagnostics::bounds_from",1801,0.984,0.984,0.00,0.000546
22,"Fluid_Simulation::apply_forces_2d_settings",1800,0.628,0.628,0.00,0.000349
