step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,15376,0.999894,0.677344,0.706974,15376,2,3844,3844,3844,3842.55,0,3842.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3844.48,3844.48,0,0,48.0881,0.999031,1019.69,0,0,48.0881,0.999031,1019.69,0.996616,1019.47,0.996616,957.71,0.0276386,0.00511326,3844,228,1,3170.22,2.76026e-05,8.70683e-09,-66.8794,95.2771,0.048555,125.47,0.012547,0.996507,957.697,0,0,94.6699,1.54615e-10,4.45203e-11,0.996507,1019.29,0,0,47.8288,0.999894,3842.55,3842.55,0,0,47.7805,0.999894,3842.55,3842.55,0,0,47.7836,0.00699502,2.44652e-05,9.78975e-05,0,0,0,0,0,0,32.0005,31.9995,0,1.08326,2.1121,0,0,0,47.7836,0,0,47.7836,0,0,47.7836,0,0.0999894,7748,7750,32.1411,16.3218,0,0.000315811,-0.999894,0,0,15.3218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2,0.1,1,0.1,0,0.1,15376,0.999681,0.677203,0.706802,15376,2,3844,3844,3844,3840.68,0,3840.68,0.00524511,0.0074209,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3842.55,3842.55,0,0,47.7836,0.998244,1019,0,0,47.7836,0.998244,1019,0.996748,1018.77,0.996748,957.212,0.0219146,0.00400893,3844,223,1,2485.54,2.40856e-05,9.69031e-09,-511.117,597.755,4.14653,135.209,0.0135209,0.996416,957.155,0,0,94.1785,1.58799e-10,3.88478e-11,0.996416,1018.62,0,0,47.1554,0.999681,3840.68,3840.68,0,0,47.1084,0.999681,3840.68,3840.68,0,0,47.1107,0.00764096,2.91922e-05,0.000116869,0.001488,1.10708e-06,4.43214e-06,0.0042924,7.96048e-09,3.18694e-08,32.0005,31.9995,0,1.07367,2.1181,0,0,0,47.1107,0,0,47.1107,0,0,47.1107,0,0.0999681,11531,11533,47.578,31.9731,0,-0.999681,0.000350192,0,0,15.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3,0.1,1,0.1,0,0.1,15376,0.999773,0.677058,0.70664,15376,2,3844,3844,3844,3838.93,0,3838.93,0.00514458,0.00728034,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3840.68,3840.68,0,0,47.1107,0.996821,1018.35,0,0,47.1107,0.996821,1018.35,0.996744,1018.19,0.996744,956.739,0.0179362,0.00338566,3844,215,1,2099.11,1.80424e-05,8.59528e-09,-509.383,576.085,4.14348,111.972,0.0111972,0.99642,956.684,0,0,93.838,1.26869e-10,2.91007e-11,0.99642,1018.08,0,0,46.5392,0.999773,3838.93,3838.93,0,0,46.5055,0.999773,3838.93,3838.93,0,0,46.5069,0.00801762,3.21411e-05,0.000128734,0.00107898,5.82095e-07,2.33146e-06,0.00182102,5.71283e-10,2.28815e-09,32.0005,31.9995,0,1.06963,2.09683,0,0,0,46.5069,0,0,46.5069,0,0,46.5069,0,0.0999773,11531,11533,47.4785,31.9731,0,-0.999773,0.00019648,0,0,15.5215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.4,0.1,1,0.1,0,0.1,15376,0.999718,0.676913,0.706485,15376,2,3844,3844,3844,3837.24,0,3837.24,0.00510414,0.00722471,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3838.93,3838.93,0,0,46.5069,0.996641,1017.78,0,0,46.5069,0.996641,1017.78,0.996641,1017.67,0.996641,956.294,0.0147169,0.00312711,3844,225,1,1938.81,1.81425e-05,9.35756e-09,-505.786,556.421,4.12974,106.215,0.0106215,0.99621,956.24,0,0,93.6566,1.18213e-10,2.92621e-11,0.99621,1017.58,0,0,46.1564,0.999718,3837.24,3837.24,0,0,46.146,0.999718,3837.24,3837.24,0,0,46.1461,0.0082642,3.41485e-05,0.000136834,0.000978104,4.78344e-07,1.91675e-06,0.0021462,7.5191e-10,3.01294e-09,32.0005,31.9996,0,1.06632,2.04606,0,0,0,46.1461,0,0,46.1461,0,0,46.1461,0,0.0999718,11531,11533,47.379,31.9731,0,-0.999718,-6.33346e-05,0,0,15.621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.5,0.1,1,0.1,0,0.1,15376,0.999382,0.676768,0.706332,15376,2,3844,3844,3844,3835.58,0,3835.58,0.00508921,0.00720513,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3837.24,3837.24,0,0,46.1461,0.99642,1017.28,0,0,46.1461,0.99642,1017.28,0.99642,1017.19,0.99642,955.869,0.0154248,0.00301086,3844,228,1,1866.73,1.75155e-05,9.38299e-09,-502.91,541.579,4.12002,117.889,0.0117889,0.996,955.817,0,0,93.9842,9.96314e-11,2.82508e-11,0.996,1017.11,0,0,46.3017,0.999382,3835.58,3835.58,0,0,46.3092,0.999382,3835.58,3835.58,0,0,46.3094,0.00843811,3.56008e-05,0.000142716,0.000948488,4.49815e-07,1.80321e-06,0.00201613,9.10695e-10,3.65078e-09,32.0005,31.9996,0,1.05758,1.99551,0,0,0,46.3094,0,0,46.3094,0,0,46.3094,0,0.0999382,11531,11533,47.2795,31.973,0,-0.999382,-0.000315267,0,0,15.7205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.6,0.1,1,0.1,0,0.1,15376,0.999061,0.676623,0.70618,15376,2,3844,3844,3844,3833.93,0,3833.93,0.00508771,0.00720455,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3835.58,3835.58,0,0,46.3094,0.996166,1016.8,0,0,46.3094,0.996166,1016.8,0.996166,1016.72,0.996166,955.454,0.0155296,0.00294147,3844,225,1,1823.71,1.7026e-05,9.33589e-09,-500.696,532.066,4.11445,117.714,0.0117714,0.995741,955.401,0,0,94.451,9.45079e-11,2.74612e-11,0.995741,1016.65,0,0,46.6143,0.999061,3833.93,3833.93,0,0,46.6411,0.999061,3833.93,3833.93,0,0,46.6403,0.00856956,3.67187e-05,0.000147261,0.000931987,4.343e-07,1.74176e-06,0.00130073,7.13201e-10,2.86029e-09,32.0005,31.9996,0,1.07242,1.94049,0,0,0,46.6403,0,0,46.6403,0,0,46.6403,0,0.0999061,11776,11778,47.6035,31.4685,0,-0.999061,0.00113672,0,0,15.3965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.7,0.1,1,0.1,0,0.1,15376,0.998793,0.67648,0.70603,15376,2,3844,3844,3844,3832.3,0,3832.3,0.00508922,0.00720822,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3833.93,3833.93,0,0,46.6403,0.995772,1016.34,0,0,46.6403,0.995772,1016.34,0.995772,1016.27,0.995772,955.051,0.0147516,0.00286918,3844,218,1,1778.89,1.72926e-05,9.72099e-09,-499.925,526.51,4.11706,101.778,0.0101778,0.995426,954.999,0,0,95.4684,1.02083e-10,2.78913e-11,0.995426,1016.2,0,0,47.5593,0.998793,3832.3,3832.3,0,0,47.6029,0.998793,3832.3,3832.3,0,0,47.6006,0.008671,3.75931e-05,0.000150831,0.000903901,4.08518e-07,1.63906e-06,0.00162591,9.66641e-10,3.87836e-09,32.0005,31.9996,0,1.07894,1.90718,0,0,0,47.6006,0,0,47.6006,0,0,47.6006,0,0.0998793,11776,11778,47.5042,31.4685,0,-0.998793,0.000401701,0,0,15.4958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.8,0.1,1,0.1,0,0.1,15376,0.998335,0.676337,0.705881,15376,2,3844,3844,3844,3830.69,0,3830.69,0.00508868,0.00720898,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3832.3,3832.3,0,0,47.6006,0.995429,1015.88,0,0,47.6006,0.995429,1015.88,0.995429,1015.84,0.995429,954.656,0.0150802,0.0028239,3844,224,1,1750.82,1.71989e-05,9.82337e-09,-499.055,521.018,4.11589,91.7446,0.00917446,0.994997,954.604,0,0,96.9667,9.3317e-11,2.77402e-11,0.994997,1015.77,0,0,48.9662,0.998335,3830.69,3830.69,0,0,49.0172,0.998335,3830.69,3830.69,0,0,49.0152,0.00874655,3.82511e-05,0.000153536,0.000878518,3.85897e-07,1.54895e-06,0.00169095,5.67852e-10,2.2793e-09,32.0005,31.9996,0,1.0806,1.91554,0,0,0,49.0152,0,0,49.0152,0,0,49.0152,0,0.0998335,11776,11778,47.4048,31.4685,0,-0.998335,-0.000321014,0,0,15.5952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.9,0.1,1,0.1,0,0.1,15376,0.997878,0.676194,0.705733,15376,2,3844,3844,3844,3829.08,0,3829.08,0.00508292,0.00720233,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3830.69,3830.69,0,0,49.0152,0.995165,1015.43,0,0,49.0152,0.995165,1015.43,0.995165,1015.4,0.995165,954.257,0.0148767,0.00281682,3844,225,1,1746.43,1.60892e-05,9.21262e-09,-498.901,519.949,4.10737,93.0731,0.00930731,0.994768,954.205,0,0,98.2424,9.38064e-11,2.59503e-11,0.994768,1015.34,0,0,50.1168,0.997878,3829.08,3829.08,0,0,50.1638,0.997878,3829.08,3829.08,0,0,50.1619,0.00880321,3.87483e-05,0.000155597,0.000874422,3.82307e-07,1.53519e-06,0.00195109,1.13476e-09,4.55672e-09,32.0005,31.9996,0,1.06529,1.92937,0,0,0,50.1619,0,0,50.1619,0,0,50.1619,0,0.0997878,11777,11779,47.5741,31.9663,0,-0.997878,4.67151e-05,0,0,15.4259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0.1,1,0.1,0,0.1,15376,0.997691,0.676053,0.705586,15376,2,3844,3844,3844,3827.48,0,3827.48,0.00507764,0.00719635,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3829.08,3829.08,0,0,50.1619,0.994988,1014.98,0,0,50.1619,0.994988,1014.98,0.994988,1014.97,0.994988,953.858,0.0144871,0.00280217,3844,227,1,1737.34,1.59065e-05,9.15564e-09,-499.143,518.142,4.10004,92.6651,0.00926651,0.994558,953.806,0,0,98.9977,8.81465e-11,2.56556e-11,0.994558,1014.9,0,0,50.7634,0.997691,3827.48,3827.48,0,0,50.8016,0.997691,3827.48,3827.48,0,0,50.7999,0.00884472,3.91145e-05,0.000157133,0.000882525,3.89425e-07,1.56442e-06,0.00169095,7.91113e-10,3.17811e-09,32.0005,31.9996,0,1.05015,1.95734,0,0,0,50.7999,0,0,50.7999,0,0,50.7999,0,0.0997691,3593,3595,16.2441,31.7745,0,0.997691,0.000710318,0,0,15.2441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
