Fluid simulation profile
dimension=2
steps=1800
simulated_substeps=1800
domain=64
dx=1
frame_dt=0.1
scene=4
fluid_solver=flip
polypic_modes=4
jitter_seed=0
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=15376
wall_ms=510946.628

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\taylor\20260627-202308\runs\FLIP_095
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",411082,425614.488,425614.488,85.04,1.035352
2,"Diagnostics::record_step",1800,24611.073,24622.406,4.92,13.672818
3,"Fluid_Simulation_2D::advect",1800,14360.889,14360.889,2.87,7.978271
4,"APIC_Simulation_2D::step",1800,13291.580,475851.186,2.66,7.384211
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1800,4973.290,4973.290,0.99,2.762939
6,"Fluid_Simulation_2D::projection_2d",1800,3647.630,432009.595,0.73,2.026461
7,"Fluid_Simulation_2D::grid_to_particle",1800,2935.161,2935.161,0.59,1.630645
8,"Fluid_Simulation_2D::projection_dot_product",1236846,2688.876,2688.876,0.54,0.002174
9,"Fluid_Simulation_2D::particle_to_grid",1800,2383.996,2383.996,0.48,1.324442
10,"APIC_Simulation_2D::particle_mechanical_energy",5400,2284.634,2284.634,0.46,0.423080
11,"APIC_Simulation_2D::particle_kinetic_energy",5400,1763.992,1763.992,0.35,0.326665
12,"APIC_Simulation_2D::max_particle_speed",3600,1141.349,1141.349,0.23,0.317041
13,"APIC_Simulation_2D::max_grid_speed",10800,210.013,210.013,0.04,0.019446
14,"APIC_Simulation_2D::grid_kinetic_energy",10800,179.964,179.964,0.04,0.016663
15,"Fluid_Simulation_2D::extrapolate_velocity",3600,117.561,208.739,0.02,0.032656
16,"Fluid_Simulation_2D::init_marker_vectors",3600,91.179,91.179,0.02,0.025327
17,"APIC_Simulation_2D::divergence_stats",3600,65.289,65.289,0.01,0.018136
18,"Fluid_Simulation_2D::setup_rhs",1800,58.601,58.601,0.01,0.032556
19,"Fluid_Simulation_2D::enforce_boundary",1800,42.105,42.105,0.01,0.023392
20,"Diagnostics::fluid_measure_from",1800,10.303,10.303,0.00,0.005724
21,"Diagnostics::bounds_from",1801,1.031,1.031,0.00,0.000572
22,"Fluid_Simulation::apply_forces_2d_settings",1800,0.591,0.591,0.00,0.000328
