step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,15376,0.996417,0.67523,0.704738,15376,2,3844,3844,3844,3818.28,0,3818.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3844.48,3844.48,0,0,48.0881,0.999031,1019.69,0,0,48.0881,0.999031,1019.69,0.996616,1019.47,0.996616,957.71,0.0276386,0.00511326,3844,228,1,3170.22,2.76026e-05,8.70683e-09,-66.8794,95.2771,0.048555,125.47,0.012547,0.996507,957.697,0,0,94.6699,1.54615e-10,4.45203e-11,0.996507,1019.29,0,0,47.8288,0.996417,3818.28,3818.28,0,0,46.3628,0.996417,3818.28,3818.28,0,0,46.3614,0.00502196,1.261e-05,5.07798e-05,0,0,0,0,0,0,32.0005,31.9995,0,1.08326,2.1121,0,0,0,46.3614,0,0,46.3614,0,0,46.3614,0,0.0996417,3843,3845,16.5998,31.5786,0,0.996417,-1.92548e-05,0,0,15.5998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2,0.1,1,0.1,0,0.1,15376,0.993406,0.672905,0.702318,15376,2,3844,3844,3844,3792.11,0,3792.11,0.00572304,0.00814878,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3818.28,3818.28,0,0,46.3614,0.994989,1012.66,0,0,46.3614,0.994989,1012.66,0.994034,1012.48,0.994034,951.169,0.0297664,0.00527686,3844,229,1,3271.65,2.80544e-05,8.57499e-09,-517.052,558.889,4.13024,119.304,0.0119304,0.993658,951.106,0,0,93.1401,1.75183e-10,4.52491e-11,0.993658,1012.25,0,0,46.5155,0.993406,3792.11,3792.11,0,0,45.1899,0.993406,3792.11,3792.11,0,0,45.188,0.00497104,1.23556e-05,5.00987e-05,0.000232527,2.70345e-08,1.09618e-07,0,0,0,32.0005,31.9995,0,1.02993,2.16709,0,0,0,45.188,0,0,45.188,0,0,45.188,0,0.0993406,3843,3845,16.6992,31.5785,0,0.993406,-0.000466164,0,0,15.6992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3,0.1,1,0.1,0,0.1,15376,0.990341,0.670594,0.69991,15376,2,3844,3844,3844,3766.15,0,3766.15,0.00561792,0.00802663,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3792.11,3792.11,0,0,45.188,0.991137,1005.67,0,0,45.188,0.991137,1005.67,0.990822,1005.51,0.990822,944.646,0.0278848,0.00531645,3844,228,1,3296.2,3.29015e-05,9.98165e-09,-516.127,552.793,4.09513,121.099,0.0121099,0.990718,944.584,0,0,92.019,1.81317e-10,5.3067e-11,0.990718,1005.29,0,0,45.5059,0.990341,3766.15,3766.15,0,0,44.505,0.990341,3766.15,3766.15,0,0,44.5032,0.004925,1.21278e-05,4.9514e-05,0.000226872,2.57354e-08,1.0507e-07,0,0,0,32.0005,31.9995,0,1.00783,2.15896,0,0,0,44.5032,0,0,44.5032,0,0,44.5032,0,0.0990341,3842,3844,16.9007,31.4887,0,0.99034,-0.00164517,0,0,15.9007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.4,0.1,1,0.1,0,0.1,15376,0.987152,0.668295,0.697513,15376,2,3844,3844,3844,3740.4,0,3740.4,0.00556438,0.00797745,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3766.15,3766.15,0,0,44.5032,0.98765,998.746,0,0,44.5032,0.98765,998.746,0.98765,998.609,0.98765,938.176,0.0256962,0.00532357,3844,228,1,3300.61,3.11021e-05,9.42312e-09,-512.289,547.153,4.05294,127.243,0.0127243,0.987475,938.115,0,0,91.2332,1.97419e-10,5.01646e-11,0.987475,998.386,0,0,44.8755,0.987152,3740.4,3740.4,0,0,44.3246,0.987152,3740.4,3740.4,0,0,44.3226,0.00488577,1.19354e-05,4.90638e-05,0.000228291,2.60584e-08,1.0712e-07,0,0,0,32.0005,31.9996,0,1.00394,2.102,0,0,0,44.3226,0,0,44.3226,0,0,44.3226,0,0.0987152,3842,3844,16.9994,31.4885,0,0.98715,-0.00227305,0,0,15.9994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.5,0.1,1,0.1,0,0.1,15376,0.983923,0.666006,0.695127,15376,2,3844,3844,3844,3714.85,0,3714.85,0.005531,0.00795682,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3740.4,3740.4,0,0,44.3226,0.984441,991.903,0,0,44.3226,0.984441,991.903,0.984441,991.765,0.984441,931.761,0.0264189,0.00530528,3844,220,1,3289.27,3.09408e-05,9.40658e-09,-506.923,543.951,4.01408,132.608,0.0132608,0.98409,931.702,0,0,91.5268,1.71987e-10,4.99046e-11,0.98409,991.544,0,0,45.3109,0.983923,3714.85,3714.85,0,0,45.0447,0.983923,3714.85,3714.85,0,0,45.0439,0.00485304,1.1776e-05,4.87415e-05,0.000232493,2.70266e-08,1.11865e-07,6.50364e-05,2.10168e-11,8.69897e-11,32.0005,31.9996,0,1.00453,2.0393,0,0,0,45.0439,0,0,45.0439,0,0,45.0439,0,0.0983923,3842,3844,17.0978,31.4881,0,0.983918,-0.00290714,0,0,16.0978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.6,0.1,1,0.1,0,0.1,15376,0.980446,0.663724,0.692747,15376,2,3844,3844,3844,3689.46,0,3689.46,0.00550591,0.00794794,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3714.85,3714.85,0,0,45.0439,0.98114,985.111,0,0,45.0439,0.98114,985.111,0.98114,984.974,0.98114,925.395,0.0268941,0.00527087,3844,229,1,3267.94,2.95554e-05,9.04405e-09,-502.31,538.811,3.98072,155.384,0.0155384,0.980634,925.337,0,0,92.5895,1.82513e-10,4.76701e-11,0.980634,984.755,0,0,46.4906,0.980446,3689.46,3689.46,0,0,46.4574,0.980446,3689.46,3689.46,0,0,46.4571,0.00482643,1.16472e-05,4.85404e-05,0.000233355,2.72272e-08,1.13471e-07,0.000195109,1.69866e-11,7.07924e-11,32.0005,31.9996,0,1.02464,1.96587,0,0,0,46.4571,0,0,46.4571,0,0,46.4571,0,0.0980446,3843,3845,17.0933,31.5778,0,0.980443,-0.00241928,0,0,16.0933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.7,0.1,1,0.1,0,0.1,15376,0.976722,0.661452,0.690378,15376,2,3844,3844,3844,3664.26,0,3664.26,0.0054821,0.00794072,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3689.46,3689.46,0,0,46.4571,0.977579,978.371,0,0,46.4571,0.977579,978.371,0.977579,978.239,0.977579,919.082,0.0275889,0.00522628,3844,229,1,3240.29,3.20718e-05,9.8978e-09,-498.646,535.25,3.95743,167.159,0.0167159,0.977213,919.024,0,0,94.6289,1.87526e-10,5.17287e-11,0.977213,978.022,0,0,48.7201,0.976722,3664.26,3664.26,0,0,49.0169,0.976722,3664.26,3664.26,0,0,49.0159,0.00479941,1.15172e-05,4.83283e-05,0.000231865,2.68807e-08,1.12797e-07,6.50364e-05,1.72255e-13,7.22816e-13,32.0005,31.9996,0,1.03736,1.90372,0,0,0,49.0159,0,0,49.0159,0,0,49.0159,0,0.0976722,11780,11782,47.6745,32.4335,0,-0.976722,-0.00131735,0,0,15.3255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.8,0.1,1,0.1,0,0.1,15376,0.973312,0.65919,0.688019,15376,2,3844,3844,3844,3639.27,0,3639.27,0.00545183,0.00792395,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3664.26,3664.26,0,0,49.0159,0.974116,971.685,0,0,49.0159,0.974116,971.685,0.974116,971.568,0.974116,912.824,0.0275964,0.00518845,3844,230,1,3216.84,2.70438e-05,8.40695e-09,-494.885,532.503,3.93087,170.604,0.0170604,0.97364,912.767,0,0,98.042,1.8359e-10,4.3619e-11,0.97364,971.352,0,0,52.3378,0.973312,3639.27,3639.27,0,0,52.9543,0.973312,3639.27,3639.27,0,0,52.9532,0.00476594,1.13571e-05,4.7984e-05,0.000229186,2.62632e-08,1.10963e-07,0.000130073,1.18677e-12,5.01412e-12,32.0005,31.9996,0,1.04755,1.88856,0,0,0,52.9532,0,0,52.9532,0,0,52.9532,0,0.0973312,11780,11782,47.5772,32.4334,0,-0.973311,-0.00101646,0,0,15.4228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.9,0.1,1,0.1,0,0.1,15376,0.96988,0.656937,0.685672,15376,2,3844,3844,3844,3614.48,0,3614.48,0.00541217,0.00789323,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3639.27,3639.27,0,0,52.9532,0.970705,965.051,0,0,52.9532,0.970705,965.051,0.970556,964.945,0.970556,906.61,0.0276107,0.0051549,3844,230,1,3196.04,2.69803e-05,8.44181e-09,-492.164,528.476,3.8966,173.682,0.0173682,0.970174,906.553,0,0,102.033,1.84369e-10,4.35166e-11,0.970174,964.732,0,0,56.5001,0.96988,3614.48,3614.48,0,0,57.3242,0.96988,3614.48,3614.48,0,0,57.3238,0.00473067,1.11896e-05,4.76005e-05,0.000229978,2.6445e-08,1.12497e-07,0.000130073,2.18538e-11,9.29659e-11,32.0005,31.9996,0,1.02476,1.89135,0,0,0,57.3238,0,0,57.3238,0,0,57.3238,0,0.096988,11780,11782,47.4802,32.4333,0,-0.969879,-0.000703932,0,0,15.5198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0.1,1,0.1,0,0.1,15376,0.966486,0.654694,0.683334,15376,2,3844,3844,3844,3589.88,0,3589.88,0.0053716,0.00786087,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3614.48,3614.48,0,0,57.3238,0.967422,958.463,0,0,57.3238,0.967422,958.463,0.967422,958.367,0.967422,900.437,0.0272814,0.00510382,3844,229,1,3164.37,3.06086e-05,9.67291e-09,-489.288,524.908,3.86028,170.528,0.0170528,0.967056,900.381,0,0,105.7,1.90815e-10,4.93687e-11,0.967056,958.156,0,0,60.3122,0.966486,3589.88,3589.88,0,0,60.9815,0.966486,3589.88,3589.88,0,0,60.9815,0.00469874,1.10391e-05,4.72821e-05,0.000226386,2.56253e-08,1.09757e-07,0,0,0,32.0005,31.9996,0,0.986751,1.91204,0,0,0,60.9815,0,0,60.9815,0,0,60.9815,0,0.0966486,7869,7871,32.2841,47.829,0,0.000698991,0.966486,0,0,15.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1.1,0.1,1,0.1,0,0.1,15376,0.963211,0.652458,0.681004,15376,2,3844,3844,3844,3565.44,0,3565.44,0.00534066,0.00784232,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3589.88,3589.88,0,0,60.9815,0.964035,951.922,0,0,60.9815,0.964035,951.922,0.964035,951.826,0.964035,894.301,0.0272097,0.00505877,3844,228,1,3136.43,3.0093e-05,9.59465e-09,-486.484,522.014,3.83361,159.938,0.0159938,0.963747,894.246,0,0,108.032,2.23265e-10,4.85371e-11,0.963747,951.616,0,0,62.8734,0.963211,3565.44,3565.44,0,0,63.5275,0.963211,3565.44,3565.44,0,0,63.528,0.004666,1.08858e-05,4.69451e-05,0.000226299,2.56055e-08,1.10424e-07,6.50364e-05,2.55197e-11,1.10054e-10,32.0005,31.9996,0,0.948075,1.9481,0,0,0,63.528,0,0,63.528,0,0,63.528,0,0.0963211,7869,7871,32.2843,47.9253,0,0.00116596,0.963211,0,0,15.0747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1.2,0.1,1,0.1,0,0.1,15376,0.959892,0.650228,0.678681,15376,2,3844,3844,3844,3541.15,0,3541.15,0.0053094,0.00782312,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3565.44,3565.44,0,0,63.528,0.961312,945.437,0,0,63.528,0.961312,945.437,0.96064,945.323,0.96064,888.201,0.0278621,0.00503411,3844,219,1,3121.15,2.9497e-05,9.45067e-09,-483.572,516.61,3.80491,149.224,0.0149224,0.960369,888.147,0,0,109.575,1.83872e-10,4.75757e-11,0.960369,945.115,0,0,64.5967,0.959892,3541.15,3541.15,0,0,65.2379,0.959892,3541.15,3541.15,0,0,65.239,0.00463456,1.07396e-05,4.66321e-05,0.000218841,2.39457e-08,1.03974e-07,6.50364e-05,1.15627e-12,5.02062e-12,32.0005,31.9997,0,0.892007,1.96656,0,0,0,65.239,0,0,65.239,0,0,65.239,0,0.0959892,7869,7871,32.2844,48.0213,0,0.00161168,0.959891,0,0,14.9787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1.3,0.1,1,0.1,0,0.1,15376,0.956449,0.648005,0.676366,15376,2,3844,3844,3844,3517.03,0,3517.03,0.00527956,0.00780578,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3541.15,3541.15,0,0,65.239,0.957693,938.999,0,0,65.239,0.957693,938.999,0.95741,938.863,0.95741,882.14,0.028862,0.00503063,3844,228,1,3118.99,3.07019e-05,9.84354e-09,-480.331,512.903,3.77829,138.86,0.013886,0.956996,882.087,0,0,110.941,1.92785e-10,4.95192e-11,0.956996,938.657,0,0,66.1088,0.956449,3517.03,3517.03,0,0,66.5888,0.956449,3517.03,3517.03,0,0,66.5893,0.00460184,1.05885e-05,4.62914e-05,0.000226692,2.56946e-08,1.12333e-07,6.50364e-05,7.48893e-13,3.27406e-12,32.0005,31.9997,0,0.814371,1.98791,0,0,0,66.5893,0,0,66.5893,0,0,66.5893,0,0.0956449,11780,11782,47.0956,32.4336,0,-0.956448,0.00132491,0,0,15.9044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.4,0.1,1,0.1,0,0.1,15376,0.953341,0.64579,0.674057,15376,2,3844,3844,3844,3493.06,0,3493.06,0.00524686,0.00778401,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3517.03,3517.03,0,0,66.5893,0.954191,932.601,0,0,66.5893,0.954191,932.601,0.954191,932.451,0.954191,876.121,0.0290577,0.00504713,3844,228,1,3129.22,3.10017e-05,9.90715e-09,-475.671,510.233,3.75463,130.904,0.0130904,0.95362,876.068,0,0,112.84,1.80649e-10,5.00027e-11,0.95362,932.246,0,0,68.0698,0.953341,3493.06,3493.06,0,0,68.3127,0.953341,3493.06,3493.06,0,0,68.3122,0.00457155,1.04495e-05,4.59975e-05,0.00022087,2.43917e-08,1.07369e-07,0,0,0,32.0005,31.9997,0,0.722392,1.99639,0,0,0,68.3122,0,0,68.3122,0,0,68.3122,0,0.0953341,11780,11782,47.0003,32.4338,0,-0.953339,0.00183826,0,0,15.9997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
