Fluid simulation profile
dimension=2
steps=1800
simulated_substeps=1800
domain=64
dx=1
frame_dt=0.1
scene=4
fluid_solver=flip
polypic_modes=4
jitter_seed=0
flip_percent=0
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=15376
wall_ms=666341.466

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\taylor\20260627-202308\runs\PIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",557437,578238.107,578238.107,88.21,1.037316
2,"Diagnostics::record_step",1800,25067.908,25079.096,3.82,13.926616
3,"Fluid_Simulation_2D::advect",1800,14447.097,14447.097,2.20,8.026165
4,"APIC_Simulation_2D::step",1800,13276.951,630481.512,2.03,7.376084
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1800,4988.177,4988.177,0.76,2.771209
6,"Fluid_Simulation_2D::projection_2d",1800,4605.705,586569.236,0.70,2.558725
7,"Fluid_Simulation_2D::projection_dot_product",1675911,3667.208,3667.208,0.56,0.002188
8,"Fluid_Simulation_2D::grid_to_particle",1800,2889.555,2889.555,0.44,1.605308
9,"APIC_Simulation_2D::particle_mechanical_energy",5400,2343.375,2343.375,0.36,0.433958
10,"Fluid_Simulation_2D::particle_to_grid",1800,2337.389,2337.389,0.36,1.298549
11,"APIC_Simulation_2D::particle_kinetic_energy",5400,1774.559,1774.559,0.27,0.328622
12,"APIC_Simulation_2D::max_particle_speed",3600,1144.037,1144.037,0.17,0.317788
13,"APIC_Simulation_2D::max_grid_speed",10800,209.302,209.302,0.03,0.019380
14,"APIC_Simulation_2D::grid_kinetic_energy",10800,181.321,181.321,0.03,0.016789
15,"Fluid_Simulation_2D::extrapolate_velocity",3600,119.167,211.990,0.02,0.033102
16,"Fluid_Simulation_2D::init_marker_vectors",3600,92.824,92.824,0.01,0.025784
17,"APIC_Simulation_2D::divergence_stats",3600,65.667,65.667,0.01,0.018241
18,"Fluid_Simulation_2D::setup_rhs",1800,58.216,58.216,0.01,0.032342
19,"Fluid_Simulation_2D::enforce_boundary",1800,42.258,42.258,0.01,0.023477
20,"Diagnostics::fluid_measure_from",1800,10.072,10.072,0.00,0.005596
21,"Diagnostics::bounds_from",1801,1.117,1.117,0.00,0.000620
22,"Fluid_Simulation::apply_forces_2d_settings",1800,0.596,0.596,0.00,0.000331
