step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,15376,0.999242,0.67755,0.707147,15376,2,3844,3844,3844,3844.43,0,3844.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3844.48,3844.48,0,0,49.5331,1.00222,1026.57,0,0,49.5331,1.00222,1026.57,0.999689,1026.34,0.999689,964.306,0.00102707,0.000244093,3844,239,1,151.338,1.47002e-06,9.71348e-09,-4.50691,4.56547,0.000200378,3.94658,0.000394658,0.999423,964.306,0,0,96.6089,7.33874e-12,2.37099e-12,0.999423,1026.34,0,0,49.4882,0.999242,3844.43,3844.43,0,0,49.4882,0.999242,3844.43,3844.43,0,0,49.3584,0.00507099,1.28575e-05,5.14241e-05,0,0,0,0,0,0,32.0005,31.9995,0,1.17895,1.99376,0,0,0,48.0515,0,0,49.3584,0,0,48.0515,0,0.0999242,7873,7875,32.4537,47.8259,0,0.00110832,0.999241,0,0,15.1741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999241
1,0.2,0.1,1,0.1,0,0.1,15376,0.999249,0.67753,0.707128,15376,2,3844,3844,3844,3844.23,0,3844.23,0.00507073,0.00717088,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3844.43,3844.43,0,0,49.3584,0.999699,1026.33,0,0,49.3584,0.999699,1026.33,0.999699,1026.33,0.999699,964.305,0.00249671,0.00102869,3844,212,1,637.788,5.93477e-06,9.30525e-09,-496.493,503.09,4.07818,51.3077,0.00513077,0.999386,964.255,0,0,96.9542,3.73535e-11,9.57222e-12,0.999386,1026.28,0,0,49.6696,0.999249,3844.23,3844.23,0,0,49.6696,0.999249,3844.23,3844.23,0,0,49.3776,0.00507048,1.28549e-05,5.14165e-05,0.000134237,9.00982e-09,3.60372e-08,0,0,0,32.0005,31.9995,0,1.16798,1.99414,0,0,0,48.3654,0,0,49.3776,0,0,48.3654,0,0.0999249,7626,7628,31.6841,47.3342,0,0.000830529,0.999248,0,0,15.6658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999248
2,0.3,0.1,1,0.1,0,0.1,15376,0.999237,0.677511,0.707109,15376,2,3844,3844,3844,3844.02,0,3844.02,0.00507013,0.00717023,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3844.23,3844.23,0,0,49.3776,1.00002,1026.28,0,0,49.3776,1.00002,1026.28,0.999813,1026.28,0.999813,964.254,0.00250093,0.00103225,3844,218,1,639.994,6.36206e-06,9.94081e-09,-496.633,503.002,4.0783,51.8003,0.00518003,0.999343,964.205,0,0,97.1754,3.68542e-11,1.02614e-11,0.999343,1026.23,0,0,49.6177,0.999237,3844.02,3844.02,0,0,49.6177,0.999237,3844.02,3844.02,0,0,49.1833,0.00507005,1.28527e-05,5.14104e-05,0.000130809,8.55552e-09,3.42219e-08,6.50364e-05,2.47324e-11,9.89291e-11,32.0005,31.9995,0,1.14236,2.00098,0,0,0,48.6088,0,0,49.1833,0,0,48.6088,0,0.0999237,7503,7505,31.5979,16.6971,0,0.00132479,-0.999236,0,0,15.6971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999236
3,0.4,0.1,1,0.1,0,0.1,15376,0.999213,0.677493,0.70709,15376,2,3844,3844,3844,3843.82,0,3843.82,0.00506978,0.00716992,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3844.02,3844.02,0,0,49.1833,1.00001,1026.23,0,0,49.1833,1.00001,1026.23,1.00001,1026.23,1.00001,964.203,0.00250742,0.00103375,3844,215,1,640.925,5.81339e-06,9.07032e-09,-496.641,503.645,4.07986,51.6251,0.00516251,0.999381,964.154,0,0,97.2634,3.44386e-11,9.37644e-12,0.999381,1026.18,0,0,49.5248,0.999213,3843.82,3843.82,0,0,49.5248,0.999213,3843.82,3843.82,0,0,49.2441,0.00506954,1.28501e-05,5.14029e-05,0.000131601,8.65946e-09,3.46394e-08,6.50364e-05,1.50662e-15,6.02676e-15,32.0005,31.9996,0,1.12001,2.00806,0,0,0,48.952,0,0,49.2441,0,0,48.952,0,0.0999213,7503,7505,31.598,16.5972,0,0.000923811,-0.999212,0,0,15.5972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999212
4,0.5,0.1,1,0.1,0,0.1,15376,0.999242,0.677475,0.707073,15376,2,3844,3844,3844,3843.63,0,3843.63,0.00506925,0.00716935,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3843.82,3843.82,0,0,49.2441,0.999874,1026.18,0,0,49.2441,0.999874,1026.18,0.999874,1026.18,0.999874,964.153,0.00250987,0.00103472,3844,216,1,641.525,6.09295e-06,9.49759e-09,-496.719,503.241,4.08006,51.8301,0.00518301,0.999394,964.104,0,0,97.4455,3.39865e-11,9.82733e-12,0.999394,1026.13,0,0,49.5716,0.999242,3843.63,3843.63,0,0,49.5716,0.999242,3843.63,3843.63,0,0,49.3266,0.00506971,1.2851e-05,5.14089e-05,0.000134211,9.00628e-09,3.60286e-08,0,0,0,32.0005,31.9996,0,1.09588,2.00556,0,0,0,49.2805,0,0,49.3266,0,0,49.2805,0,0.0999242,7503,7505,31.598,16.4972,0,0.000497902,-0.999242,0,0,15.4972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999242
5,0.6,0.1,1,0.1,0,0.1,15376,0.999211,0.677457,0.707055,15376,2,3844,3844,3844,3843.44,0,3843.44,0.00506941,0.00716975,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3843.63,3843.63,0,0,49.3266,0.999964,1026.13,0,0,49.3266,0.999964,1026.13,0.999964,1026.13,0.999964,964.107,0.0025126,0.00103428,3844,217,1,641.254,6.21968e-06,9.69925e-09,-496.874,502.222,4.07769,52.0046,0.00520046,0.999459,964.058,0,0,97.6527,3.57754e-11,1.00317e-11,0.999459,1026.08,0,0,49.6569,0.999211,3843.44,3843.44,0,0,49.6569,0.999211,3843.44,3843.44,0,0,49.3219,0.00507017,1.28533e-05,5.14208e-05,0.000133657,8.93203e-09,3.57333e-08,6.50364e-05,2.42388e-14,9.69691e-14,32.0005,31.9996,0,1.09368,1.97822,0,0,0,49.6107,0,0,49.3219,0,0,49.6107,0,0.0999211,7506,7508,31.761,16.6967,0,0.000792245,-0.999211,0,0,15.6967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999211
6,0.7,0.1,1,0.1,0,0.1,15376,0.999204,0.67744,0.707038,15376,2,3844,3844,3844,3843.25,0,3843.25,0.00506989,0.00717061,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3843.44,3843.44,0,0,49.3219,0.999926,1026.08,0,0,49.3219,0.999926,1026.08,0.999907,1026.08,0.999907,964.063,0.00251763,0.0010327,3844,217,1,640.275,6.40038e-06,9.99629e-09,-496.843,502.34,4.0788,52.4831,0.00524831,0.999463,964.013,0,0,97.8011,3.97792e-11,1.03232e-11,0.999463,1026.03,0,0,49.7337,0.999204,3843.25,3843.25,0,0,49.7337,0.999204,3843.25,3843.25,0,0,49.4161,0.00506938,1.28493e-05,5.14072e-05,0.000132086,8.72339e-09,3.49004e-08,0,0,0,32.0005,31.9996,0,1.08269,1.95139,0,0,0,50.0159,0,0,49.4161,0,0,50.0159,0,0.0999204,7506,7508,31.761,16.5968,0,0.000556535,-0.999204,0,0,15.5968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999204
7,0.8,0.1,1,0.1,0,0.1,15376,0.999251,0.677422,0.70702,15376,2,3844,3844,3844,3843.05,0,3843.05,0.00506907,0.00716963,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3843.25,3843.25,0,0,49.4161,0.999998,1026.03,0,0,49.4161,0.999998,1026.03,0.999998,1026.03,0.999998,964.016,0.00251835,0.00103158,3844,214,1,639.582,5.11838e-06,8.00269e-09,-496.56,502.885,4.07811,52.1175,0.00521175,0.99946,963.967,0,0,98.0167,3.37756e-11,8.25545e-12,0.99946,1025.98,0,0,49.8453,0.999251,3843.05,3843.05,0,0,49.8453,0.999251,3843.05,3843.05,0,0,49.7129,0.00506749,1.28397e-05,5.13716e-05,0.000129046,8.32642e-09,3.33139e-08,0.000195109,7.12902e-12,2.85231e-11,32.0005,31.9996,0,1.06648,1.937,0,0,0,50.4461,0,0,49.7129,0,0,50.4461,0,0.0999251,7507,7509,31.7354,16.8661,0,0.00129405,-0.999251,0,0,15.8661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999251
8,0.9,0.1,1,0.1,0,0.1,15376,0.999225,0.677403,0.707002,15376,2,3844,3844,3844,3842.86,0,3842.86,0.00506713,0.00716707,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3843.05,3843.05,0,0,49.7129,1.00006,1025.98,0,0,49.7129,1.00006,1025.98,1.00006,1025.98,1.00006,963.967,0.00251962,0.00103219,3844,217,1,639.958,5.23189e-06,8.17537e-09,-496.327,503.011,4.07655,51.7433,0.00517433,0.999376,963.918,0,0,98.4726,3.00582e-11,8.43854e-12,0.999376,1025.93,0,0,50.1634,0.999225,3842.86,3842.86,0,0,50.1634,0.999225,3842.86,3842.86,0,0,50.3454,0.00506754,1.284e-05,5.13751e-05,0.000133018,8.84694e-09,3.53983e-08,0,0,0,32.0005,31.9996,0,1.06348,1.93074,0,0,0,50.8918,0,0,50.3454,0,0,50.8918,0,0.0999225,7507,7509,31.7354,16.7662,0,0.000989115,-0.999224,0,0,15.7662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999224
9,1,0.1,1,0.1,0,0.1,15376,0.999186,0.677385,0.706984,15376,2,3844,3844,3844,3842.66,0,3842.66,0.00506721,0.00716736,0,15376,0,0,0,0,0,0,0,0,0,0,0,0,3842.86,3842.86,0,0,50.3454,0.999914,1025.93,0,0,50.3454,0.999914,1025.93,0.999914,1025.93,0.999914,963.918,0.00251993,0.00103283,3844,218,1,640.354,5.82436e-06,9.09552e-09,-496.187,503.132,4.0758,52.0834,0.00520834,0.999339,963.869,0,0,99.0057,3.38607e-11,9.39413e-12,0.999339,1025.88,0,0,50.6996,0.999186,3842.66,3842.66,0,0,50.6996,0.999186,3842.66,3842.66,0,0,50.6689,0.00506911,1.28479e-05,5.14096e-05,0.000133784,8.94908e-09,3.58088e-08,0.000130073,3.89211e-11,1.55738e-10,32.0005,31.9996,0,1.06464,1.92531,0,0,0,51.2396,0,0,50.6689,0,0,51.2396,0,0.0999186,7507,7509,31.7355,16.6663,0,0.00070645,-0.999185,0,0,15.6663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999185
