Fluid simulation profile
dimension=2
steps=1800
simulated_substeps=1800
domain=64
dx=1
frame_dt=0.1
scene=4
fluid_solver=polypic
polypic_modes=4
jitter_seed=0
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=15376
wall_ms=509273.153

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\taylor\20260627-202308\runs\POLYPIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",397393,412272.564,412272.564,82.75,1.037443
2,"Diagnostics::record_step",1800,26563.925,26574.973,5.33,14.757736
3,"APIC_Simulation_2D::step",1800,18662.678,471656.771,3.75,10.368155
4,"Fluid_Simulation_2D::advect",1800,14459.982,14459.982,2.90,8.033323
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1800,5018.081,5018.081,1.01,2.787823
6,"Fluid_Simulation_2D::grid_to_particle",1800,4787.616,4787.616,0.96,2.659787
7,"Fluid_Simulation_2D::particle_to_grid",1800,4188.139,4188.139,0.84,2.326744
8,"Fluid_Simulation_2D::projection_2d",1800,3599.064,418542.005,0.72,1.999480
9,"Fluid_Simulation_2D::projection_dot_product",1195779,2610.642,2610.642,0.52,0.002183
10,"APIC_Simulation_2D::particle_mechanical_energy",5400,2337.286,2337.286,0.47,0.432831
11,"APIC_Simulation_2D::particle_kinetic_energy",5400,1779.073,1779.073,0.36,0.329458
12,"APIC_Simulation_2D::max_particle_speed",3600,1162.414,1162.414,0.23,0.322893
13,"APIC_Simulation_2D::max_grid_speed",10800,212.964,212.964,0.04,0.019719
14,"APIC_Simulation_2D::grid_kinetic_energy",10800,183.233,183.233,0.04,0.016966
15,"Fluid_Simulation_2D::extrapolate_velocity",3600,120.766,213.576,0.02,0.033546
16,"Fluid_Simulation_2D::init_marker_vectors",3600,92.811,92.811,0.02,0.025781
17,"APIC_Simulation_2D::divergence_stats",3600,66.448,66.448,0.01,0.018458
18,"Fluid_Simulation_2D::setup_rhs",1800,59.734,59.734,0.01,0.033186
19,"Fluid_Simulation_2D::enforce_boundary",1800,42.615,42.615,0.01,0.023675
20,"Diagnostics::fluid_measure_from",1800,9.924,9.924,0.00,0.005513
21,"Diagnostics::bounds_from",1801,1.125,1.125,0.00,0.000625
22,"Fluid_Simulation::apply_forces_2d_settings",1800,0.662,0.662,0.00,0.000368
