step,time,dt,kinetic_energy,elastic_energy,total_energy,normalized_total_energy,width,height,max_speed,rms_linear_mode,rms_bilinear_mode,rms_quadratic_mode,max_abs_coeff,particle_count,total_mass,stage_after_advect_particle_kinetic_energy,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,center_of_mass_x,center_of_mass_y,total_momentum_x,total_momentum_y,min_deformation_determinant,max_deformation_determinant,invalid_count,out_of_bounds_count
0,0,1.0000000000000001e-05,0,9886.6598364812253,9886.6598364812253,1,11.5,11.5,0,0,0,0,0,576,144,0,0,0,0,32,32,0,0,0.81000000000000005,0.81000000000000005,0,0
1,1.0000000000000001e-05,1.0000000000000001e-05,0.0033372118853813599,9886.6564992693402,9886.6598364812253,1,11.500000243278091,11.500000243278091,0.017202358731675981,0,0,0,0,576,144,0.0011428394042225314,9.6756621057949965e-10,4.6809218592758624e-19,5.8980530830092794e-14,32.000000000000014,31.999999999999957,-2.6020852139652106e-18,3.0357660829594124e-18,0.80999999212940188,0.81000049833529197,0,0
1666,0.016659999999999491,1.0000000000000001e-05,1110.9637456365772,8286.0295969295366,9396.9933425661147,0.95047199944026917,11.607104993284718,11.607104993284718,7.8420176542895152,0,0,0,0,576,144,1072.2869974078717,5.6005768930641615e-05,1.5683230767562107e-09,2.1061387818637391e-10,31.999999999999986,31.999999999999943,8.0158102377936302e-14,3.8147263126120379e-13,0.81210857017492133,0.84298757996114904,0,0
3332,0.033319999999999531,1.0000000000000001e-05,3761.5138368170728,5197.6994141555469,8959.2132509726198,0.90619212141937167,11.855983276767773,11.855983276767773,13.048436255925438,0,0,0,0,576,144,3670.1814121941302,0.00013607222576139368,9.2578253118298456e-09,3.6323186654321796e-10,31.999999999999993,32.000000000000028,2.4202861936828413e-13,1.0174083797664935e-12,0.83355718731788675,0.89742681932084689,0,0
4998,0.049980000000004632,1.0000000000000001e-05,6689.836444277892,2066.8926361107378,8756.7290803886299,0.88571157754176855,12.208106305899271,12.208106305899271,16.484291085381184,0,0,0,0,576,144,6555.2579553660908,0.00019945938457393796,1.9892023047307039e-08,4.3697003814585089e-10,31.999999999999986,31.999999999999993,8.7574392182432348e-13,-3.8058445284150366e-13,0.87420475275513065,0.96428934054433257,0,0
6664,0.06664000000000686,1.0000000000000001e-05,8407.3594426941163,318.15833493229644,8725.5177776264136,0.88255466678743588,12.614185785910362,12.614185785910362,17.559924430747394,0,0,0,0,576,144,8263.1437019487839,0.00020946217759719091,2.1937201921878573e-08,3.8229482515298671e-10,32.00000000000005,32.000000000000028,1.5560885913146194e-12,9.9475983006414026e-13,0.9307949193502838,1.0331030949825821,0,0
8330,0.083300000000000402,1.0000000000000001e-05,7990.2024076739981,664.57485794180229,8654.7772656158013,0.87539951902463098,13.01984576718376,13.01984576718376,16.029645239140329,0,0,0,0,576,144,7872.815020670424,0.00016067317247193971,1.2907934176098842e-08,2.3609630309844983e-10,32.000000000000036,32.000000000000064,2.2120083542631619e-12,1.6022738691390259e-12,0.99833000543140438,1.0896086609107318,0,0
9996,0.099959999999993943,1.0000000000000001e-05,5660.536578896651,2635.7793740927896,8296.3159529894401,0.83914244954362593,13.38181497940025,13.38181497940025,12.296552358970215,0,0,0,0,576,144,5587.30027566219,8.8829619911613632e-05,3.9453506868208721e-09,1.0168247111703198e-10,32.000000000000057,32.00000000000005,2.8212987501774478e-12,2.1072033007385471e-12,1.0696347551516705,1.1218856271465083,0,0
11662,0.11661999999998748,1.0000000000000001e-05,2674.8553106684112,4917.0840809276579,7591.9393915960691,0.76789729971109499,13.637925172839271,13.637925172839271,7.5789873123154248,0,0,0,0,576,144,2640.6236842229132,3.6274215368970506e-05,6.5790935031722796e-10,3.5877488720457615e-11,32.000000000000007,32.000000000000021,3.361977363169899e-12,1.6155965454345278e-12,1.1266771643210787,1.1377822922442333,0,0
13328,0.13327999999999252,1.0000000000000001e-05,548.05345488726903,6196.9267265644021,6744.9801814516713,0.6822304289830089,13.757993059041915,13.757993059041915,3.570594693075908,0,0,0,0,576,144,534.11880070447023,1.2727799589581409e-05,8.0998441196274349e-11,2.1837418036735784e-11,31.999999999999993,31.999999999999993,3.4390268410788849e-12,1.6463497232166446e-12,1.107497382775088,1.1846137356340822,0,0
14994,0.14994000000000918,1.0000000000000001e-05,164.49006171508714,5894.4624640886259,6058.9525258037129,0.61284120481686999,13.736125936452652,13.736125936452652,3.3335210969633757,0,0,0,0,576,144,150.01815331892169,1.5410900355409433e-05,1.1874792488217928e-10,1.1398421327505388e-10,32.000000000000007,32.000000000000043,3.3564262480467733e-12,1.3467005288703149e-12,1.0731028443109702,1.2083886238710491,0,0
16660,0.16660000000002584,1.0000000000000001e-05,1378.7223095313009,4309.0545279961798,5687.7768375274809,0.57529812207555686,13.587831094147855,13.587831094147855,7.5373971039966285,0,0,0,0,576,144,1348.0477192010273,4.9824551067896484e-05,1.2412429445587123e-09,1.325909917509382e-10,32.000000000000014,32.000000000000028,3.177014207267348e-12,1.5700774014248964e-12,1.0319721501866741,1.2025810350076569,0,0
18326,0.1832600000000425,1.0000000000000001e-05,3258.6231744176489,2310.2034417911218,5568.8266162087712,0.56326673601736665,13.343389303003029,13.343389303003029,10.554876231988601,0,0,0,0,576,144,3205.5501681819442,8.2161212790764448e-05,3.3752324436246383e-09,1.5162248175251799e-10,32.000000000000028,32.000000000000014,3.5276226384439724e-12,1.3145040611561853e-12,0.9899302141520735,1.1698289803778361,0,0
19992,0.19992000000005916,1.0000000000000001e-05,4702.4893106433583,834.40145917226187,5536.8907698156199,0.5600365402868217,13.054924888162621,13.054924888162613,12.155483012589942,0,0,0,0,576,144,4632.2406975044514,0.00010035843030778829,5.0359072669216005e-09,1.5654856770015963e-10,32.000000000000014,31.999999999999993,2.8825830611367564e-12,1.4495071809506044e-12,0.95072651783898121,1.1180920357961452,0,0
21658,0.21658000000007582,1.0000000000000001e-05,5013.8086838226418,434.7683190019626,5448.5770028246043,0.55110392113620188,12.762387055230576,12.762387055230576,12.241496313572565,0,0,0,0,576,144,4940.0613769112679,9.7862701789362835e-05,4.7885542007568803e-09,1.3958365135538602e-10,32.000000000000043,32.000000000000014,2.0685675394815917e-12,-3.7703173916270316e-13,0.91719784324529274,1.0575581577803777,0,0
23324,0.23324000000009248,1.0000000000000001e-05,4141.6110787220741,1098.7859135760887,5240.3969922981632,0.53004726358252863,12.487286996780949,12.487286996780949,10.879737325355025,0,0,0,0,576,144,4080.0592138940042,7.5990650694198755e-05,2.8872894964638646e-09,1.0190285623183059e-10,32.000000000000028,32.00000000000005,1.0553780072086738e-12,-1.3522516439934407e-12,0.89116538234118969,0.99776774977868277,0,0
24990,0.24990000000010915,1.0000000000000001e-05,2573.3794656470436,2349.1213329117218,4922.5007985587654,0.49789320963537259,12.259886807936525,12.259886807936525,8.2337437463334133,0,0,0,0,576,144,2534.7668119129598,4.324898263564425e-05,9.3523724950912882e-10,5.3130790294542891e-11,32.000000000000021,32.000000000000021,8.6397555776329682e-13,-2.6973978606292803e-12,0.87452722727034959,0.94591470943685052,0,0
26656,0.26656000000012581,1.0000000000000001e-05,1028.6750205203284,3506.408895230401,4535.0839157507289,0.45870738861840088,12.10682761371238,12.10682761371238,4.7343316207223936,0,0,0,0,576,144,1012.6088645996006,1.5506921282078753e-05,1.2023230382429347e-10,1.7097867059996771e-11,32,32.00000000000005,-1.1401990462900358e-13,-2.6334490144108713e-12,0.86953793982280758,0.90661644494400828,0,0
28322,0.28322000000014247,1.0000000000000001e-05,129.55508632472836,4006.9712744845269,4136.5263608092555,0.41839472877843975,12.044992989076754,12.044992989076754,1.752624103040467,0,0,0,0,576,144,124.67430288884015,3.7107762884839316e-06,6.8849303315872908e-12,7.9521597055370971e-12,31.999999999999993,32.000000000000036,-7.0748962244238101e-14,-2.2920970677020591e-12,0.87263191975385468,0.8835715778011598,0,0
29988,0.29988000000015913,1.0000000000000001e-05,168.68748758528093,3625.32758617646,3794.015073761741,0.38375094688319672,12.079693826950802,12.079693826950802,3.4719404085296914,0,0,0,0,576,144,158.9798330070407,1.2358389653648041e-05,7.6364897415697469e-11,6.9169435014901331e-11,32.000000000000043,32.000000000000014,2.9753977059954195e-14,-2.3240298574478402e-12,0.87424557946839532,0.90051283920756309,0,0
31654,0.31654000000017579,1.0000000000000001e-05,1018.9371820953801,2538.2818027737958,3557.218984869176,0.35979987616679554,12.204525735644385,12.204525735644385,6.9935924786710677,0,0,0,0,576,144,992.4399870564996,4.0253793063655825e-05,8.1018392800581294e-10,1.1755520450043608e-10,32.000000000000043,31.999999999999975,2.0961010704922955e-13,-2.0055068716828828e-12,0.8816294082718974,0.93189566038754068,0,0
33320,0.33320000000019245,1.0000000000000001e-05,2201.9822762946524,1240.5115789123724,3442.4938552070248,0.34819584289776145,12.401447590162046,12.40144759016205,9.5210346793428133,0,0,0,0,576,144,2157.0969797466719,6.7539960677786092e-05,2.2808231441784461e-09,1.5225951167029483e-10,32.000000000000007,32.000000000000028,4.7606363295926712e-13,-1.8420820424580597e-12,0.90311478655572364,0.97134009096427598,0,0
34986,0.34986000000020911,1.0000000000000001e-05,3100.8594560433926,315.72315496791674,3416.5826110113094,0.34557501396015561,12.642512595311395,12.642512595311398,10.69353583504671,0,0,0,0,576,144,3046.4958917288295,7.9335195623824755e-05,3.1470366323352715e-09,1.4875230138554744e-10,32.000000000000014,32.000000000000014,1.1648459974367142e-12,-1.2516654379624015e-12,0.93624507032547921,1.0133415943021258,0,0
36652,0.36652000000022578,1.0000000000000001e-05,3253.3318184844152,145.94457069541687,3399.2763891798322,0.34382455201267181,12.893231395768826,12.893231395768829,10.33365052862359,0,0,0,0,576,144,3203.2087145786086,6.9292042491847673e-05,2.4006935763460121e-09,1.0792299403421904e-10,32.000000000000028,32,1.7394974349826953e-12,-1.3644640972643174e-12,0.97743041765843552,1.0502318346252892,0,0
38318,0.38318000000024244,1.0000000000000001e-05,2594.1831524359063,701.53860726065614,3295.7217596965625,0.33335037456589051,13.118274573962928,13.118274573962935,8.5634936225904088,0,0,0,0,576,144,2558.4327774129383,4.4831017172498231e-05,1.0049100503604156e-09,5.6560816656760522e-11,32.000000000000043,32.000000000000028,1.7930101847696278e-12,-1.1635137298071641e-13,1.0219541293376895,1.0767029906048888,0,0
39984,0.3998400000002591,1.0000000000000001e-05,1481.7666346295812,1581.9109635725256,3063.6775982021068,0.30987994417460452,13.288769379109397,13.288769379109404,5.8034504957253281,0,0,0,0,576,144,1462.5188523387071,2.0985006220505891e-05,2.2018524303733549e-10,2.1679498316670786e-11,32.000000000000043,32.000000000000028,2.425837308805967e-12,4.716227408607665e-13,1.0641950951853056,1.0887003479937585,0,0
41650,0.41650000000027576,1.0000000000000001e-05,479.05948065079934,2271.7571350791077,2750.816615729907,0.27823518369465355,13.386733293404006,13.386733293404006,3.1808782885916758,0,0,0,0,576,144,471.45913253372026,7.9158227284135197e-06,3.1330124733834027e-11,9.5693086639898963e-12,32.000000000000028,32,2.7582935935299702e-12,6.3316019094372678e-13,1.0775645889536791,1.100483786361097,0,0
43316,0.43316000000029242,1.0000000000000001e-05,36.268520923539953,2420.1861862327282,2456.4547071562683,0.24846153784841338,13.405926810418642,13.405926810418642,0.990238038493224,0,0,0,0,576,144,32.006183889546413,1.7571729468308345e-06,1.5438283825370795e-12,6.9458854530277789e-12,32.000000000000021,32.000000000000007,2.5100477252237852e-12,2.0522472610196019e-13,1.0605187164093923,1.118723599179835,0,0
44982,0.44982000000030908,1.0000000000000001e-05,265.97631454290513,1993.3910278085445,2259.3673423514497,0.22852686141931472,13.350636813555827,13.350636813555827,3.7727888585861913,0,0,0,0,576,144,257.25865582830761,1.3376305977059921e-05,8.9462780795964493e-11,5.0076606336684768e-11,32.000000000000021,32.000000000000028,2.425393219596117e-12,6.7612582199672033e-14,1.0361841402169099,1.1228083939369449,0,0
46648,0.46648000000032575,1.0000000000000001e-05,930.42871208065105,1242.8313181097169,2173.2600301903681,0.21981741722023845,13.233418559941658,13.233418559941658,6.0443924505127171,0,0,0,0,576,144,912.94471164524873,2.7961480485949228e-05,3.9092219548305976e-10,6.1660684849264723e-11,32.000000000000028,32.000000000000021,2.2344348593605901e-12,8.2156503822261584e-14,1.0086780228694976,1.1104823930503216,0,0
