step,time,dt,kinetic_energy,elastic_energy,total_energy,normalized_total_energy,width,height,max_speed,rms_linear_mode,rms_bilinear_mode,rms_quadratic_mode,max_abs_coeff,particle_count,total_mass,stage_after_advect_particle_kinetic_energy,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,center_of_mass_x,center_of_mass_y,total_momentum_x,total_momentum_y,min_deformation_determinant,max_deformation_determinant,invalid_count,out_of_bounds_count
0,0,1.0000000000000001e-05,0,9886.6598364812253,9886.6598364812253,1,11.5,11.5,0,0,0,0,0,576,144,0,0,0,0,32,32,0,0,0.81000000000000005,0.81000000000000005,0,0
1,1.0000000000000001e-05,1.0000000000000001e-05,0.0033372118853813599,9886.6564992693402,9886.6598364812253,1,11.500000243278091,11.500000243278091,0.017202358731675981,0,0,0,0,576,144,0.0011428394042225314,9.6756621059160275e-10,4.6809218593929686e-19,5.8980530831568355e-14,32.000000000000014,31.999999999999957,-4.3368086899420177e-18,3.0357660829594124e-18,0.80999999212940188,0.81000049833529197,0,0
1666,0.016659999999999491,1.0000000000000001e-05,192.29349900324891,9248.5118943022135,9440.8053933054616,0.95490343042545212,11.553302517187003,11.553302517187003,3.1813181868814238,0,0,0,0,576,144,196.2323388647946,0.069904368977570089,0.0024433104010761317,0.0017929598138122331,32,32.000000000000021,2.886579864025407e-15,-9.3591800975900696e-14,0.81410002626055167,0.81904097002460219,0,0
3332,0.033319999999999531,1.0000000000000001e-05,279.34182527161283,8277.2702900554359,8556.6121153270487,0.86547046796872951,11.635228285152532,11.635228285152532,3.6370073526182627,0,0,0,0,576,144,284.48913201619695,0.069402518801376656,0.0024083548079877198,0.001219038104873847,31.999999999999968,31.999999999999925,4.2077452633293433e-14,1.3011813848606835e-13,0.8237087344329278,0.8302392647529746,0,0
4998,0.049980000000004632,1.0000000000000001e-05,284.80789412830325,7305.6023537891615,7590.4102479174644,0.7677426323407297,11.721314742495608,11.721314742495608,3.6360580780185954,0,0,0,0,576,144,289.90040129252787,0.066789178367696614,0.002230397173515997,0.0011078880593277077,32,31.999999999999975,3.6637359812630166e-15,4.5408121707168903e-14,0.83272435365252295,0.84186657915170149,0,0
6664,0.06664000000000686,1.0000000000000001e-05,267.1887382325362,6407.2909310754094,6674.4796693079452,0.67509955634151442,11.805693525631753,11.805693525631753,3.5175169671774378,0,0,0,0,576,144,271.88877821695274,0.063658321546113103,0.0020261909510341635,0.001073128132990102,32.000000000000007,31.999999999999961,-7.6605388699135801e-15,4.5519144009631418e-14,0.84162236926002132,0.8534333998504231,0,0
8330,0.083300000000000402,1.0000000000000001e-05,244.24690228012111,5595.6868554739704,5839.9337577540919,0.59068824601460046,11.886827856392607,11.886827856392607,3.3672425889036366,0,0,0,0,576,144,248.49202978121318,0.060472734701771343,0.0018284758211554101,0.0010595934142362759,32.000000000000007,31.999999999999986,-1.4988010832439613e-14,5.6621374255882984e-14,0.84999173221498925,0.86458031355683629,0,0
9996,0.099959999999993943,1.0000000000000001e-05,220.74402570280779,4869.3622737039204,5090.1062994067279,0.51484590181048995,11.964293639362779,11.964293639362779,3.2079372093921652,0,0,0,0,576,144,224.54290768066488,0.057350122808693796,0.0016445182930861302,0.001054634219581691,32,32,4.4408920985006262e-15,1.354472090042691e-14,0.85738447056600708,0.87524166748675203,0,0
11662,0.11661999999998748,1.0000000000000001e-05,198.02359421042863,4223.1911796359227,4421.2147738463509,0.44718993542513863,12.037970834987217,12.037970834987217,3.0462428978867733,0,0,0,0,576,144,201.40315104931838,0.054317871903486706,0.0014752156040617951,0.0010547553296863695,32.000000000000007,31.999999999999993,-5.517808432387028e-14,3.5194069880617462e-14,0.86448667785619149,0.88538275170148473,0,0
13328,0.13327999999999252,1.0000000000000001e-05,176.53563487592112,3651.1515475814545,3827.6871824573755,0.38715675928622756,12.107829422724972,12.107829422724972,2.8831153221310237,0,0,0,0,576,144,179.52639714852032,0.051304424867058315,0.001316072005469816,0.0010556351143774648,31.999999999999993,31.999999999999961,-1.8429702208777599e-14,-1.2845280394913061e-13,0.87130218537719062,0.89498188149806457,0,0
