step,time,dt,kinetic_energy,elastic_energy,total_energy,normalized_total_energy,width,height,max_speed,rms_linear_mode,rms_bilinear_mode,rms_quadratic_mode,max_abs_coeff,particle_count,total_mass,stage_after_advect_particle_kinetic_energy,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,center_of_mass_x,center_of_mass_y,total_momentum_x,total_momentum_y,min_deformation_determinant,max_deformation_determinant,invalid_count,out_of_bounds_count
0,0,1.0000000000000001e-05,0,9886.6598364812253,9886.6598364812253,1,11.5,11.5,0,0,0,0,0,576,144,0,0,0,0,32,32,0,0,0.81000000000000005,0.81000000000000005,0,0
1,1.0000000000000001e-05,1.0000000000000001e-05,0.0033372118853813599,9886.6564992693402,9886.6598364812253,1,11.500000243278091,11.500000243278091,0.017202358731675981,0,0,0,0,576,144,0.0011428394042225314,9.6756621057949965e-10,4.6809218592758624e-19,5.8980530830092794e-14,32.000000000000014,31.999999999999957,-2.6020852139652106e-18,3.0357660829594124e-18,0.80999999212940188,0.81000049833529197,0,0
1666,0.016659999999999491,1.0000000000000001e-05,0.88158757318396908,9819.0463691495006,9819.927956722684,0.99325031093794647,11.504552636863671,11.504552636863671,0.19843124176320304,0,0,0,0,576,144,0.86083675707757867,3.1252974634974299e-08,4.8837421176717348e-16,8.1694799758711415e-14,31.999999999999986,32.000000000000014,4.829470157119431e-15,1.6452117446164038e-14,0.81056301777015016,0.81122905513025911,0,0
3332,0.033319999999999531,1.0000000000000001e-05,0.87767880669177856,9750.1163024618727,9750.9939812685643,0.98627788783507431,11.509222082500276,11.509222082500276,0.19794313894386487,0,0,0,0,576,144,0.85705254738459236,3.1056705670277063e-08,4.8225948354510981e-16,8.1028130471505361e-14,31.999999999999986,31.999999999999982,2.1073420786166253e-14,1.8290924330699454e-14,0.81115064809027759,0.81245584750606781,0,0
4998,0.049980000000004632,1.0000000000000001e-05,0.87377488976127415,9681.6002680847123,9682.4740429744743,0.97934734309829119,11.513880023638059,11.513880023638059,0.19745466376190199,0,0,0,0,576,144,0.85327259599469674,3.0861582136998825e-08,4.7621862599936255e-16,8.0367613428257878e-14,32,31.999999999999993,2.8692326292656389e-14,2.8956004261004864e-14,0.81173723390750152,0.81367676457960958,0,0
6664,0.06664000000000686,1.0000000000000001e-05,0.86987590592608954,9613.496300323266,9614.3661762291922,0.97245847791310824,11.518526451610107,11.518526451610107,0.1969658252472907,0,0,0,0,576,144,0.84949698911289828,3.0667594213109853e-08,4.7025066740998444e-16,7.9713167880290818e-14,32,31.999999999999986,2.7866597918091429e-14,2.0733414984874798e-14,0.81232185535862755,0.81489182749062439,0,0
8330,0.083300000000000402,1.0000000000000001e-05,0.86598193856912797,9545.8024423169172,9546.6684242554857,0.96561109435856285,11.523161357962785,11.523161357962785,0.19647663243063501,0,0,0,0,576,144,0.84572581275365766,3.0474732276753345e-08,4.64354653669896e-16,7.906471473380811e-14,32.000000000000007,31.999999999999982,3.2765457014249932e-14,3.8198610941009292e-14,0.81290519978597797,0.81610105725741433,0,0
9996,0.099959999999993943,1.0000000000000001e-05,0.86209307091280774,9478.5167459095719,9479.3788389804849,0.95880499539410713,11.527784734454663,11.527784734454663,0.19598709434313366,0,0,0,0,576,144,0.84195915273213628,3.0282986844065211e-08,4.5852964609891336e-16,7.842217621116776e-14,32.000000000000007,31.99999999999995,3.2022995366531859e-14,4.023170685485411e-14,0.81348749707505374,0.81730447477836032,0,0
11662,0.11661999999998748,1.0000000000000001e-05,0.85820938600829022,9411.6372715208763,9412.495480906884,0.9520399848465807,11.532396573057447,11.532396573057447,0.19549722001644115,0,0,0,0,576,144,0.83819709465443459,3.0092348639706712e-08,4.5277472332682917e-16,7.7785476202187962e-14,32.000000000000007,31.999999999999982,2.2745694217007895e-14,3.5235703244040906e-14,0.81406874439590948,0.81850210083340535,0,0
13328,0.13327999999999252,1.0000000000000001e-05,0.85433096672488584,9345.1620880215178,9346.0164189882435,0.94531586739759799,11.536996865955555,11.536996865955555,0.19500701848253993,0,0,0,0,576,144,0.83443972390799426,2.9902808524779757e-08,4.4708897883482051e-16,7.715453987571145e-14,32.000000000000007,32.000000000000028,1.5903944827755367e-14,2.6471880243406076e-14,0.81464893893939105,0.81969395608561824,0,0
14994,0.14994000000000918,1.0000000000000001e-05,0.85045789573959452,9279.0892726133188,9279.9397305090588,0.93863244857141714,11.54158560554626,11.54158560554626,0.19451649877356331,0,0,0,0,576,144,0.83068712565208658,2.9714357552454815e-08,4.4147152237756428e-16,7.6529293953350973e-14,31.99999999999995,32.000000000000014,2.1635471192382738e-14,3.6456948571128578e-14,0.81522807791735008,0.82088006108269318,0,0
16660,0.16660000000002584,1.0000000000000001e-05,0.84659025552659473,9213.4169107106281,9214.2635009661553,0.9319895347229441,11.546162784439428,11.546162784439428,0.19402566992163134,0,0,0,0,576,144,0.82693938480825224,2.9526986923027032e-08,4.3592147837630463e-16,7.5909666463240794e-14,31.999999999999986,31.999999999999975,9.235667786100521e-15,6.2221061636336117e-14,0.81580615856274186,0.82206043625853309,0,0
18326,0.1832600000000425,1.0000000000000001e-05,0.84272812834669375,9148.1430958254969,9148.9858239538444,0.92538693302611619,11.550728395457863,11.550728395457863,0.19353454095864087,0,0,0,0,576,144,0.82319658605067847,2.9340687987469766e-08,4.3043798578902634e-16,7.5295586745458918e-14,31.999999999999986,31.999999999999961,1.4356571487184056e-14,6.0167149040779577e-14,0.81638317812979322,0.82323510193478422,0,0
19992,0.19992000000005916,1.0000000000000001e-05,0.83887159623705232,9083.2659294565365,9084.1048010527738,0.91882445146266001,11.555282431637124,11.555282431637124,0.19304312091607465,0,0,0,0,576,144,0.81945881379681862,2.9155452250605465e-08,4.2502019796866765e-16,7.4686985455486799e-14,31.999999999999993,31.999999999999975,1.5716594692349872e-14,8.4973694747247919e-14,0.81695913389414621,0.8244040783223846,0,0
21658,0.21658000000007582,1.0000000000000001e-05,0.83502074100072854,9018.7835209795576,9019.6185417205579,0.91230189881102886,11.559824886225815,11.559824886225815,0.19255141882478455,0,0,0,0,576,144,0.81572615219783051,2.8971271379085376e-08,4.1966728266030573e-16,7.4083794592322821e-14,31.999999999999968,32.000000000000014,1.1650402864660236e-14,6.7661154456999384e-14,0.81753402315299717,0.825567385523166,0,0
23324,0.23324000000009248,1.0000000000000001e-05,0.83117564419644696,8954.6939875425869,8955.5251631867832,0.90581908463578298,11.564355752684815,11.564355752684815,0.1920594437147124,0,0,0,0,576,144,0.81199868512919238,2.8788137173073319e-08,4.1437842094784293e-16,7.3485947341062601e-14,31.999999999999975,31.99999999999995,1.2337353361147052e-14,8.6590457026858303e-14,0.81810784322525043,0.82672504353136711,0,0
24990,0.24990000000010915,1.0000000000000001e-05,0.82733638712828617,8890.9954539619121,8891.8227903490406,0.89937581927707366,11.568875024688083,11.568875024688083,0.19156720461467786,0,0,0,0,576,144,0.8082764961812603,2.8606041598127162e-08,4.0915280795689082e-16,7.2893378224011484e-14,31.999999999999975,31.999999999999993,1.7076617897515689e-14,8.3447138088388328e-14,0.81868059145163219,0.82787707223520746,0,0
26656,0.26656000000012581,1.0000000000000001e-05,0.82350305083549868,8827.6860526222554,8828.5095556730903,0.89297191384054508,11.573382696122422,11.573382696122422,0.19107471055209685,0,0,0,0,576,144,0.80455966864989592,2.8424976714350712e-08,4.0398965060569011e-16,7.2306022727646454e-14,31.999999999999986,31.999999999999961,2.3578361485476762e-14,8.910233662007272e-14,0.81925226519483818,0.82902349141845499,0,0
28322,0.28322000000014247,1.0000000000000001e-05,0.81967571608235879,8764.7639233793343,8765.5835990954165,0.88660718018747853,11.577878761086946,11.577878761086946,0.19058197055270207,0,0,0,0,576,144,0.80084828552713194,2.8244934770131416e-08,3.9888817008448936e-16,7.1723817769412881e-14,32.000000000000007,32.000000000000007,1.8707257964933888e-14,8.1032403009828613e-14,0.81982286183970776,0.83016432076193647,0,0
29988,0.29988000000015913,1.0000000000000001e-05,0.81585446334818135,8702.2272134655377,8703.0430679288856,0.88028143092524946,11.582363213893622,11.582363213893622,0.19008899364024673,0,0,0,0,576,144,0.797142429491982,2.8065908127348242e-08,3.9384759950637608e-16,7.1146701305299747e-14,32.000000000000014,31.999999999999993,1.9886869928598117e-14,7.0603245472256049e-14,0.82039237879328208,0.83129957984509717,0,0
31654,0.31654000000017579,1.0000000000000001e-05,0.81203937281720906,8640.0740773968337,8640.8861167696505,0.87399447939791164,11.586836049066857,11.586836049066857,0.18959578883622841,0,0,0,0,576,144,0.7934421829011018,2.7887889236312563e-08,3.8886718302841908e-16,7.0574612193263587e-14,31.999999999999961,31.999999999999961,3.4909575230557266e-14,8.0269124680398818e-14,0.82096081348502947,0.83242928814754991,0,0
33320,0.33320000000019245,1.0000000000000001e-05,0.80823052436868947,8578.3026768832224,8579.1109074075903,0.86774613967713832,11.591297261343705,11.591297261343705,0.18910236515953693,0,0,0,0,576,144,0.78974762777961915,2.7710870753883021e-08,3.8394617896920468e-16,7.0007490781502897e-14,32.000000000000007,32.000000000000021,3.9211689450979748e-14,7.0984884636970946e-14,0.8215281633668774,0.83355346505055261,0,0
34986,0.34986000000020911,1.0000000000000001e-05,0.80442799756710648,8516.9111807426179,8517.7156087401854,0.86153622655351081,11.595746845673613,11.595746845673613,0.18860873162616454,0,0,0,0,576,144,0.78605884581211649,2.7534845406845613e-08,3.7908385578944351e-16,6.9445278205873715e-14,31.999999999999982,32.000000000000014,2.6353919047039653e-14,5.6378512969246231e-14,0.82209442591340809,0.83467212983855266,0,0
36652,0.36652000000022578,1.0000000000000001e-05,0.80063187165229921,8455.8977648151013,8456.6983966867538,0.85536455552784441,11.600184797218276,11.600184797218276,0.18811489724884772,0,0,0,0,576,144,0.78237591833346198,2.7359806059299704e-08,3.7427949380124641e-16,6.8887916721816961e-14,31.999999999999975,32,3.4278135885301708e-14,7.1505301679763988e-14,0.82265959862201188,0.83578530170067677,0,0
38318,0.38318000000024244,1.0000000000000001e-05,0.79684222552976802,8395.2606118808326,8396.0574541063615,0.84923094280288436,11.604611111352202,11.604611111352202,0.18762087103674299,0,0,0,0,576,144,0.77869892631982618,2.7185745688161698e-08,3.6953238431070116e-16,6.8335349571057709e-14,31.999999999999993,32.000000000000021,1.8152146452621309e-14,7.0381200867331017e-14,0.82322367901292648,0.83689299973220554,0,0
39984,0.3998400000002591,1.0000000000000001e-05,0.79305913776113091,8334.9979115812166,8335.7909707189774,0.84313520527533192,11.609025783661618,11.609025783661618,0.18712666199506087,0,0,0,0,576,144,0.77502795037984096,2.7012657402305831e-08,3.6484182996717401e-16,6.7787521068700551e-14,31.999999999999961,31.999999999999957,5.9396931817445875e-15,4.616446114269479e-14,0.82378666462938432,0.83799524293607341,0,0
41650,0.41650000000027576,1.0000000000000001e-05,0.7892826865543533,8275.1078603386468,8275.8971430252004,0.83707716052772441,11.613428809945017,11.613428809945017,0.18663227912469357,0,0,0,0,576,144,0.77136307074548938,2.684053441150581e-08,3.6020714374761381e-16,6.7244376438010152e-14,31.999999999999975,31.999999999999968,4.2466030691912238e-15,4.999473057765158e-14,0.82434855303781429,0.83909205022428746,0,0
43316,0.43316000000029242,1.0000000000000001e-05,0.78551294975448327,8215.5886612833983,8216.3741742331531,0.83105662682104109,11.617820186212843,11.617820186212843,0.18613773142186885,0,0,0,0,576,144,0.76770436726351465,2.6669370030632428e-08,3.5562764891539756e-16,6.6705861823204357e-14,31.999999999999993,32,6.8903216465798778e-15,5.5941362653300075e-14,0.82490934182788334,0.84018344041940818,0,0
44982,0.44982000000030908,1.0000000000000001e-05,0.7817500048341437,8156.4385241792825,8157.2202741841165,0.82507342308718123,11.622199908687595,11.622199908687595,0.18564302787774883,0,0,0,0,576,144,0.7640519193865547,2.6499157704761785e-08,3.511026795309179e-16,6.6171924406627849e-14,32,31.999999999999968,8.4723894566707258e-15,6.394190732450511e-14,0.82546902861257176,0.84126943225597728,0,0
46648,0.46648000000032575,1.0000000000000001e-05,0.77799392888432095,8097.6556653527414,8098.4336592816253,0.8191273689217925,11.626567973803439,11.626567973803439,0.18514817747805704,0,0,0,0,576,144,0.76040580616456221,2.6329890977920184e-08,3.4663157945458136e-16,6.5642512243773949e-14,31.999999999999986,31.999999999999961,1.7354173653671978e-14,4.6948556153836307e-14,0.82602761102845002,0.8423500443818972,0,0
