step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,635376,2.27752,0.85183,0.87527,635376,3,79422,0,79422,243380,1.89618e+08,1.89861e+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9011e+08,0,0,0,0,0,0,0,0,0,0.981,38842.8,0.981,47803.4,0.981,41856,0.981,0.125604,79422,2000,0,353977,3.43082e-08,9.69221e-14,20.4406,151628,24795.4,22736.3,2.27363,2.27363,34689.1,0,0,0,1.31111e-12,1.15035e-13,2.27363,39934.8,0,0,0,2.27752,1.90353e+08,243380,0,0,0,2.27752,1.89861e+08,243380,0,0,0,0.00483953,1.17105e-05,3.05719e-05,0,0,0,0,0,0,11.5165,31.4214,32.0003,104778,-501405,-3.86078e-12,-106.859,-3.64764,1.61114e+06,-106.859,-3.64764,1.61114e+06,0,0,0,0,0.227752,605412,605415,22.2196,1.36246,37.0852,2.26983,-0.186943,-7.67077e-15,1,0.362455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2,0.1,1,0.1,0,0.1,635376,4.92285,1.69768,1.74459,635376,3,80169,0,80169,966916,1.8864e+08,1.89606e+08,0.869553,0.498428,0,635376,0,634889,0,0,0,0,0,0,0,0,0,0,1.89861e+08,243380,0,0,0,3.07135,36341,0,0,0,3.07135,138839,2.6534,167293,2.6534,149179,1.14076,0.128756,80169,2000,0,364562,4.51931e-08,1.23966e-13,11.1664,155025,25705,29683.5,2.96835,5.1077,141585,0,0,0,1.43766e-12,1.1063e-13,5.1077,160778,0,0,0,4.92285,1.90585e+08,966916,0,0,0,4.92285,1.89606e+08,966916,0,0,0,0.0182676,0.000166852,0.000109641,0.0145626,0.000106035,6.9677e-05,0.00226795,1.0705e-05,7.03443e-06,11.55,31.2645,32.0003,211326,-997550,133.381,2176.01,794.341,3.23291e+06,2176.01,794.341,3.23291e+06,0,0,0,0,0.492285,605533,605536,22.366,1.12516,52.4996,4.90019,-0.466674,-0.0693572,1,0.125162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3,0.1,1,0.1,0,0.1,635376,6.75862,2.53352,2.60539,635376,3,80909,0,80909,2.15649e+06,1.87184e+08,1.8934e+08,0.861264,0.33057,0,635376,0,634395,0,0,0,0,0,634395,0,0,0,0,1.89606e+08,966916,0,0,0,5.61226,142831,0,0,0,5.61226,309744,5.183,368030,5.183,329658,2.97761,0.134357,80909,2000,0,382172,5.03457e-08,1.31736e-13,3.49291,161758,27884.6,30469.2,3.04692,8.22992,321255,0,0,0,3.35485e-12,1.52031e-13,8.22992,365732,0,0,0,6.75862,1.90796e+08,2.15649e+06,0,0,0,6.75862,1.8934e+08,2.15649e+06,0,0,0,0.0424928,0.000902819,0.000266002,0.0290167,0.000420985,0.000124037,0.00237812,5.18925e-05,1.52893e-05,11.6014,31.0309,32.0004,322280,-1.48506e+06,145.563,-728.921,1273.01,4.88356e+06,-728.921,1273.01,4.88356e+06,0,0,0,0,0.675862,605533,605536,23.1242,1.10514,52.4977,6.7554,-0.20737,-0.0222914,1,0.105135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.4,0.1,1,0.1,0,0.1,635376,8.5075,3.36487,3.46363,635376,3,81492,0,81492,3.81122e+06,1.85258e+08,1.89069e+08,0.85933,0.248101,0,635376,0,633724,0,0,0,0,0,633721,0,0,0,0,1.8934e+08,2.15649e+06,0,0,0,8.60882,321985,0,0,0,8.60882,553056,8.33375,653540,8.33375,584715,1.89526,0.139291,81492,2000,0,397632,4.63961e-08,1.16681e-13,3.95088,167939,29926.4,25978.6,2.59786,10.0282,575534,0,0,0,3.91241e-12,1.59897e-13,10.0282,652979,0,0,0,8.5075,1.90995e+08,3.81122e+06,0,0,0,8.5075,1.89069e+08,3.81122e+06,0,0,0,0.0692836,0.00240011,0.000400126,0.0351074,0.000616263,0.000102739,0.0021562,1.1096e-05,1.84983e-06,11.672,30.7219,32.0004,440357,-1.96491e+06,252.912,-319.031,2466.32,6.62758e+06,-319.031,2466.32,6.62758e+06,0,0,0,0,0.85075,605533,605536,24.0529,1.0927,52.5035,8.50634,-0.133652,0.0432061,1,0.0926963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.5,0.1,1,0.1,0,0.1,635376,11.2683,4.18887,4.31665,635376,3,81151,0,81151,5.91962e+06,1.82873e+08,1.88793e+08,0.855586,0.198206,0,635376,0,632196,0,0,0,0,0,632194,0,0,0,0,1.89069e+08,3.81122e+06,0,0,0,10.0229,568555,0,0,0,10.0229,859886,9.94189,1.00612e+06,9.94189,912441,1.44852,0.140636,81151,2000,0,400629,4.81383e-08,1.20157e-13,5.59553,176272,32892.6,29560.7,2.95607,11.4946,902123,0,0,0,1.99351e-12,1.71931e-13,11.4946,1.00721e+06,0,0,0,11.2683,1.91177e+08,5.91962e+06,0,0,0,11.2683,1.88793e+08,5.91962e+06,0,0,0,0.105665,0.00558256,0.000599198,0.0476697,0.0011362,0.000121953,0.00245052,1.75678e-05,1.88562e-06,11.7633,30.3393,32.0004,567943,-2.43333e+06,33.421,-2994.39,877.541,8.49902e+06,-2994.39,877.541,8.49902e+06,0,0,0,0,1.12683,605599,605602,25.0458,1.36369,60.5661,11.2491,-0.644881,-0.128952,1,0.363686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.6,0.1,1,0.1,0,0.1,635376,13.5513,5.00091,5.16037,635376,3,81531,0,81531,8.45986e+06,1.80047e+08,1.88507e+08,0.849441,0.164608,0,635376,0,630102,0,0,0,0,0,630102,0,0,0,0,1.88793e+08,5.91962e+06,0,0,0,12.6484,882276,0,0,0,12.6484,1.23551e+06,12.4196,1.44855e+06,12.4196,1.31859e+06,3.29124,0.149805,81531,2000,0,427747,4.59634e-08,1.07454e-13,2.71697,187370,36733.7,30502.1,3.05021,14.193,1.30649e+06,0,0,0,4.14927e-12,1.58666e-13,14.193,1.45145e+06,0,0,0,13.5513,1.91333e+08,8.45986e+06,0,0,0,13.5513,1.88507e+08,8.45986e+06,0,0,0,0.149169,0.0111257,0.000835596,0.0572221,0.00163718,0.00012296,0.0018493,8.96424e-05,6.73258e-06,11.8775,29.8859,32.0004,707556,-2.88553e+06,83.1841,-4488.99,1036.44,1.05101e+07,-4488.99,1036.44,1.05101e+07,0,0,0,0,1.35513,605582,605585,26.3008,1.39571,58.4907,13.5164,-0.83582,-0.497806,1,0.395711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,0.7,0.1,1,0.1,0,0.1,635376,15.0796,5.80087,5.99516,635376,3,81032,0,81032,1.14183e+07,1.76797e+08,1.88215e+08,0.845153,0.140973,0,635376,0,627816,0,0,0,0,0,627803,0,0,0,0,1.88507e+08,8.45986e+06,0,0,0,15.2034,1.25486e+06,0,0,0,15.2034,1.66329e+06,15.0682,1.94519e+06,15.0682,1.7974e+06,3.03793,0.155222,81032,2000,0,441856,4.34426e-08,9.83185e-14,7.21114,199773,41409.2,29463.8,2.94638,16.7231,1.78331e+06,0,0,0,2.43354e-12,1.54371e-13,16.7231,1.94942e+06,0,0,0,15.0796,1.91465e+08,1.14183e+07,0,0,0,15.0796,1.88215e+08,1.14183e+07,0,0,0,0.192227,0.0184756,0.00102808,0.0698912,0.00244239,0.000135908,0.00128585,0.000101497,5.64781e-06,12.017,29.3645,32.0005,861198,-3.31977e+06,182.773,-3105.26,1562.92,1.26881e+07,-3105.26,1562.92,1.26881e+07,0,0,0,0,1.50796,605206,605209,27.8985,1.27966,11.2543,15.0685,-0.550322,-0.184025,1,0.279655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.8,0.1,1,0.1,0,0.1,635376,16.9401,6.58671,6.81954,635376,3,81865,0,81865,1.47744e+07,1.73144e+08,1.87919e+08,0.841558,0.123404,0,635376,0,624058,0,0,0,0,0,624030,0,0,0,0,1.88215e+08,1.14183e+07,0,0,0,15.322,1.71169e+06,0,0,0,15.322,2.18156e+06,15.2467,2.54751e+06,15.2467,2.35621e+06,2.15456,0.156659,81865,2000,0,448235,4.41433e-08,9.84825e-14,5.88868,214143,46499.8,29635,2.9635,17.0843,2.33964e+06,0,0,0,2.98933e-12,1.66232e-13,17.0843,2.5524e+06,0,0,0,16.9401,1.91571e+08,1.47744e+07,0,0,0,16.9401,1.87919e+08,1.47744e+07,0,0,0,0.235028,0.0276192,0.00118777,0.0831227,0.00345469,0.000148569,0.00114893,0.000233327,1.00343e-05,12.1845,28.7785,32.0005,1.0315e+06,-3.73305e+06,125.778,-3878.14,555.837,1.50358e+07,-3878.14,555.837,1.50358e+07,0,0,0,0,1.69401,605582,605585,29.5908,1.31148,58.4377,16.9324,-0.44299,-0.259379,1,0.311477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.9,0.1,1,0.1,0,0.1,635376,18.2292,7.35522,7.62961,635376,3,81625,0,81625,1.84929e+07,1.69114e+08,1.87607e+08,0.837457,0.109764,0,635376,0,619692,0,0,0,0,0,619642,0,0,0,0,1.87919e+08,1.47744e+07,0,0,0,17.6016,2.21857e+06,0,0,0,17.6016,2.73993e+06,17.5683,3.19085e+06,17.5683,2.94492e+06,2.53789,0.164832,81625,2000,0,470925,4.3796e-08,9.3e-14,19.7536,229987,52977.7,32888,3.2888,18.8504,2.92522e+06,0,0,0,4.82738e-12,1.96094e-13,18.8504,3.19609e+06,0,0,0,18.2292,1.91637e+08,1.84929e+07,0,0,0,18.2292,1.87607e+08,1.84929e+07,0,0,0,0.284639,0.0405096,0.00139182,0.0810061,0.003281,0.000112728,0.000826282,5.01977e-05,1.72469e-06,12.3831,28.1319,32.0005,1.21966e+06,-4.12136e+06,5.97131,-4698.05,-375.04,1.75598e+07,-4698.05,-375.04,1.75598e+07,0,0,0,0,1.82292,605582,605585,31.4428,1.28212,58.4113,18.2244,-0.310575,-0.283463,1,0.282119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0.1,1,0.1,0,0.1,635376,19.168,8.10778,8.42732,635376,3,81356,0,81356,2.25621e+07,1.64733e+08,1.87295e+08,0.837271,0.099352,0,635376,0,614924,0,0,0,0,0,614742,0,0,0,0,1.87607e+08,1.84929e+07,0,0,0,19.0595,2.78007e+06,0,0,0,19.0595,3.34952e+06,19.0594,3.89511e+06,19.0594,3.59329e+06,1.43849,0.169365,81356,2000,0,483079,4.18121e-08,8.65534e-14,14.6556,246265,59920.2,29878.4,2.98784,19.9341,3.57037e+06,0,0,0,3.48723e-12,1.85542e-13,19.9341,3.89884e+06,0,0,0,19.168,1.91676e+08,2.25621e+07,0,0,0,19.168,1.87295e+08,2.25621e+07,0,0,0,0.332737,0.0553569,0.00155892,0.099192,0.00491952,0.00013854,0.000708242,0.000275795,7.76673e-06,12.6161,27.429,32.0005,1.42789e+06,-4.48384e+06,205.781,-5171.21,-290.681,2.02669e+07,-5171.21,-290.681,2.02669e+07,0,0,0,0,1.9168,605582,605585,33.3994,1.25399,58.3793,19.1629,-0.292132,-0.335161,1,0.253987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
