Fluid simulation profile
dimension=3
steps=1800
simulated_substeps=1800
domain=64
dx=1
frame_dt=0.1
scene=0
fluid_solver=apic
polypic_modes=4
jitter_seed=1
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=635376
wall_ms=15905169.703

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\dam_3d_thesis\20260628-223300\runs\APIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_3D::projection_Ap_calc",3600000,7750096.605,7750096.605,50.37,2.152805
2,"Fluid_Simulation_3D::advect_3d",1800,1781662.020,1781662.020,11.58,989.812233
3,"Diagnostics::record_step",1800,1725046.148,1725863.155,11.21,958.358971
4,"APIC_Simulation_3D::update_particle_grid_residual_diagnostics",1800,810018.816,810018.816,5.26,450.010453
5,"Fluid_Simulation_3D::projection_3d",1800,669218.779,8890184.189,4.35,371.788210
6,"Fluid_Simulation_3D::grid_to_particle_3d",1800,615947.531,615947.531,4.00,342.193073
7,"Fluid_Simulation_3D::particle_to_grid_3d",1800,607800.603,607800.603,3.95,337.667002
8,"Fluid_Simulation_3D::projection_dot_product",10803600,468819.292,468819.292,3.05,0.043395
9,"APIC_Simulation_3D::particle_mechanical_energy",5400,348726.288,348726.288,2.27,64.578942
10,"APIC_Simulation_3D::particle_kinetic_energy",5400,289096.072,289096.072,1.88,53.536310
11,"APIC_Simulation_3D::max_particle_speed",3600,166426.873,166426.873,1.08,46.229687
12,"Fluid_Simulation_3D::extrapolate_velocity_3d",3600,44460.214,54959.076,0.29,12.350060
13,"APIC_Simulation_3D::max_grid_speed",10800,41647.399,41647.399,0.27,3.856241
14,"APIC_Simulation_3D::grid_kinetic_energy",10800,38568.314,38568.314,0.25,3.571140
15,"Fluid_Simulation_3D::init_marker_vectors",3600,10498.862,10498.862,0.07,2.916350
16,"APIC_Simulation_3D::divergence_stats",3600,8137.976,8137.976,0.05,2.260549
17,"Fluid_Simulation_3D::enforce_boundary_3d",1800,5049.950,5049.950,0.03,2.805528
18,"Fluid_Simulation_3D::setup_rhs",1800,2049.513,2049.513,0.01,1.138618
19,"Fluid_Simulation::apply_forces_3d_settings",1800,1863.387,1863.387,0.01,1.035215
20,"Diagnostics::fluid_measure_from",1800,814.673,814.673,0.01,0.452596
21,"APIC_Simulation_3D::step",1800,243.843,13660332.338,0.00,0.135468
22,"Diagnostics::bounds_from",1801,2.335,2.335,0.00,0.001296
