step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,635376,2.27752,0.85183,0.87527,635376,3,79422,0,79422,243380,1.89618e+08,1.89861e+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9011e+08,0,0,0,0,0,0,0,0,0,0.981,38842.8,0.981,47803.4,0.981,41856,0.981,0.125604,79422,2000,0,353977,3.43082e-08,9.69221e-14,20.4406,151628,24795.4,22736.3,2.27363,2.27363,34689.1,0,0,0,1.31111e-12,1.15035e-13,2.27363,39934.8,0,0,0,2.27752,1.90353e+08,243380,0,0,0,2.27752,1.89861e+08,243380,0,0,0,0.00483953,1.17105e-05,3.05719e-05,0,0,0,0,0,0,11.5165,31.4214,32.0003,104778,-501405,-3.86078e-12,-106.859,-3.64764,1.61114e+06,-106.859,-3.64764,1.61114e+06,0,0,0,0,0.227752,605412,605415,22.2196,1.36246,37.0852,2.26983,-0.186943,-7.67077e-15,1,0.362455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2,0.1,1,0.1,0,0.1,635376,5.00516,1.69703,1.74395,635376,3,80169,0,80169,966199,1.8864e+08,1.89607e+08,0.868968,0.498277,2.04603e-05,635376,0,634844,0,0,0,0,0,0,0,0,0,0,1.89861e+08,243380,0,0,0,2.26872,36116.8,0,0,0,2.26872,138638,2.24175,166878,2.24175,148777,1.43118,0.130933,80169,2000,0,370724,4.52305e-08,1.22006e-13,11.6897,155299,25799.1,30888.5,3.08885,5.03644,141106,0,0,0,1.47897e-12,1.10883e-13,5.03644,160095,0,0,0,5.00516,1.90584e+08,966199,0,0,0,5.00516,1.89607e+08,966199,0,0,0,0.0175865,0.000154643,0.000101694,0.014721,0.000108354,7.1254e-05,0.00384497,1.72597e-05,1.13501e-05,11.55,31.2646,32.0003,211309,-996828,145.29,2406,856.385,3.23275e+06,2406,856.385,3.23275e+06,0,0,0,0,0.500516,605533,605536,22.3573,1.12488,52.4991,4.9928,-0.343135,-0.0763265,1,0.124875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3,0.1,1,0.1,0,0.1,635376,6.98529,2.53339,2.60519,635376,3,80910,0,80910,2.15616e+06,1.87185e+08,1.89341e+08,0.861668,0.33075,0,635376,0,634350,0,0,0,0,0,634348,0,0,0,0,1.89607e+08,966199,0,0,0,4.75783,142453,0,0,0,4.75783,309268,4.35225,367324,4.35225,329072,2.26076,0.131799,80910,2000,0,374898,4.53396e-08,1.20939e-13,4.91312,161490,27764,29389.3,2.93893,7.29119,320710,0,0,0,2.27041e-12,1.28098e-13,7.29119,364611,0,0,0,6.98529,1.90796e+08,2.15616e+06,0,0,0,6.98529,1.89341e+08,2.15616e+06,0,0,0,0.0372571,0.000694046,0.000204521,0.0280309,0.000392866,0.00011577,0.00378359,7.66959e-05,2.26007e-05,11.6014,31.0311,32.0004,322228,-1.48437e+06,151.956,-297.053,1273.81,4.88655e+06,-297.053,1273.81,4.88655e+06,0,0,0,0,0.698529,605533,605536,23.0278,1.10971,52.4978,6.9849,0.0415169,-0.061709,1,0.109709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.4,0.1,1,0.1,0,0.1,635376,8.76306,3.36555,3.46414,635376,3,81486,0,81486,3.81234e+06,1.8526e+08,1.89072e+08,0.85993,0.248238,0,635376,0,633646,0,0,0,0,0,633642,0,0,0,0,1.89341e+08,2.15616e+06,0,0,0,6.64605,320194,0,0,0,6.64605,551147,6.40673,649777,6.40673,581956,2.43832,0.137426,81486,2000,0,392293,4.73774e-08,1.20771e-13,5.34398,167410,29671.6,31436.1,3.14361,8.74585,572841,0,0,0,2.32084e-12,1.43566e-13,8.74585,648569,0,0,0,8.76306,1.90997e+08,3.81234e+06,0,0,0,8.76306,1.89072e+08,3.81234e+06,0,0,0,0.0662827,0.0021967,0.000366109,0.0397429,0.000789751,0.000131622,0.00223647,4.95244e-05,8.25389e-06,11.6719,30.7222,32.0004,440215,-1.96452e+06,177.031,-1222.5,1759.39,6.63239e+06,-1222.5,1759.39,6.63239e+06,0,0,0,0,0.876306,605126,605129,23.7482,1.26992,1.02621,8.70696,-0.955762,-0.257894,1,0.0262143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,0.5,0.1,1,0.1,0,0.1,635376,11.1734,4.19001,4.3177,635376,3,81132,0,81132,5.92252e+06,1.82875e+08,1.88798e+08,0.855909,0.198232,0,635376,0,632269,0,0,0,0,0,632266,0,0,0,0,1.89072e+08,3.81234e+06,0,0,0,8.44483,564103,0,0,0,8.44483,855333,8.10666,999722,8.10666,908043,1.95225,0.137239,81132,2000,0,390907,4.60499e-08,1.17803e-13,1.94084,175891,32682.9,30128.4,3.01284,10.963,897803,0,0,0,3.33949e-12,1.59296e-13,10.963,1.00209e+06,0,0,0,11.1734,1.91182e+08,5.92252e+06,0,0,0,11.1734,1.88798e+08,5.92252e+06,0,0,0,0.100745,0.00507478,0.00054443,0.0468237,0.00109623,0.000117605,0.0013976,2.90091e-05,3.11214e-06,11.7632,30.3397,32.0004,567701,-2.43339e+06,128.179,-2479.38,1290.46,8.4993e+06,-2479.38,1290.46,8.4993e+06,0,0,0,0,1.11734,605412,605415,25.0673,1.20899,37.0132,11.161,-0.271137,-0.450038,1,0.208986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.6,0.1,1,0.1,0,0.1,635376,13.7949,5.00293,5.16273,635376,3,81505,0,81505,8.4676e+06,1.80048e+08,1.88516e+08,0.85026,0.164692,0,635376,0,629949,0,0,0,0,0,629948,0,0,0,0,1.88798e+08,5.92252e+06,0,0,0,11.161,876065,0,0,0,11.161,1.22922e+06,11.161,1.44031e+06,11.161,1.31299e+06,1.86905,0.144162,81505,2000,0,411569,4.58876e-08,1.11494e-13,6.17558,187134,36547.7,30215.6,3.02156,13.2843,1.30104e+06,0,0,0,3.59768e-12,1.67186e-13,13.2843,1.44457e+06,0,0,0,13.7949,1.91343e+08,8.4676e+06,0,0,0,13.7949,1.88516e+08,8.4676e+06,0,0,0,0.144372,0.0104216,0.000781996,0.0562117,0.00157988,0.000118548,0.000810544,4.42081e-05,3.31721e-06,11.8773,29.8861,32.0004,707362,-2.88628e+06,155.432,-2207.24,2272.09,1.05084e+07,-2207.24,2272.09,1.05084e+07,0,0,0,0,1.37949,605406,605409,26.1128,1.30845,36.1942,13.7734,-0.704402,0.311357,1,0.308453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.7,0.1,1,0.1,0,0.1,635376,15.4439,5.8025,5.99708,635376,3,81041,0,81041,1.14256e+07,1.76798e+08,1.88224e+08,0.8447,0.140852,0,635376,0,627449,0,0,0,0,0,627442,0,0,0,0,1.88516e+08,8.4676e+06,0,0,0,13.6111,1.25314e+06,0,0,0,13.6111,1.66168e+06,13.55,1.94391e+06,13.55,1.79561e+06,2.06635,0.153236,81041,2000,0,436228,4.44462e-08,1.01888e-13,1.42452,199852,41372.3,29529.8,2.95298,15.1918,1.78152e+06,0,0,0,2.21829e-12,1.54389e-13,15.1918,1.94783e+06,0,0,0,15.4439,1.91474e+08,1.14256e+07,0,0,0,15.4439,1.88224e+08,1.14256e+07,0,0,0,0.189362,0.0179289,0.00099702,0.0654651,0.00214284,0.000119162,0.000503639,1.47954e-05,8.22766e-07,12.0167,29.3647,32.0005,860929,-3.32013e+06,249.333,-2657.1,2835.72,1.26821e+07,-2657.1,2835.72,1.26821e+07,0,0,0,0,1.54439,605406,605409,27.5911,1.28482,36.1972,15.4368,-0.367478,0.292484,1,0.284818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.8,0.1,1,0.1,0,0.1,635376,17.0453,6.58821,6.82129,635376,3,81867,0,81867,1.4782e+07,1.73146e+08,1.87928e+08,0.841223,0.123323,0,635376,0,623931,0,0,0,0,0,623890,0,0,0,0,1.88224e+08,1.14256e+07,0,0,0,14.911,1.71081e+06,0,0,0,14.911,2.18072e+06,14.7205,2.54209e+06,14.7205,2.35036e+06,1.61532,0.155195,81867,2000,0,444049,4.42169e-08,9.95764e-14,3.77654,214225,46449.8,29121.1,2.91211,16.6607,2.33382e+06,0,0,0,3.05385e-12,1.81302e-13,16.6607,2.5468e+06,0,0,0,17.0453,1.9158e+08,1.4782e+07,0,0,0,17.0453,1.87928e+08,1.4782e+07,0,0,0,0.23418,0.0274202,0.0011786,0.0735379,0.00270391,0.000116222,0.000517804,1.37142e-05,5.89477e-07,12.1842,28.7787,32.0005,1.03116e+06,-3.73327e+06,340.413,-2094.48,3795.49,1.50251e+07,-2094.48,3795.49,1.50251e+07,0,0,0,0,1.70453,605237,605240,29.3289,1.19722,16.0119,17.0438,0.207261,0.0819797,1,0.197219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.9,0.1,1,0.1,0,0.1,635376,18.3655,7.35729,7.63195,635376,3,81631,0,81631,1.85042e+07,1.69115e+08,1.8762e+08,0.837592,0.109748,0,635376,0,619578,0,0,0,0,0,619512,0,0,0,0,1.87928e+08,1.4782e+07,0,0,0,16.932,2.2155e+06,0,0,0,16.932,2.7368e+06,16.9247,3.1879e+06,16.9247,2.94138e+06,1.54931,0.161826,81631,2000,0,462356,4.39554e-08,9.50683e-14,6.21563,229779,52844,32144,3.2144,18.0159,2.92184e+06,0,0,0,2.19232e-12,1.66064e-13,18.0159,3.19206e+06,0,0,0,18.3655,1.9165e+08,1.85042e+07,0,0,0,18.3655,1.8762e+08,1.85042e+07,0,0,0,0.281076,0.0395019,0.00135637,0.0807027,0.00325646,0.000111816,0.000305331,4.20872e-05,1.44514e-06,12.3826,28.1321,32.0006,1.21933e+06,-4.12191e+06,263.892,-583.947,5434.1,1.75457e+07,-583.947,5434.1,1.75457e+07,0,0,0,0,1.83655,605604,605607,31.1718,1.17205,61.1947,18.3602,0.273663,0.349545,1,0.172054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,1,0.1,1,0.1,0,0.1,635376,19.7252,8.11048,8.43063,635376,3,81326,0,81326,2.25798e+07,1.64734e+08,1.87314e+08,0.837592,0.0993511,0,635376,0,613905,0,0,0,0,0,613722,0,0,0,0,1.8762e+08,1.85042e+07,0,0,0,18.2908,2.76954e+06,0,0,0,18.2908,3.33893e+06,18.2723,3.8697e+06,18.2723,3.57286e+06,1.53177,0.166852,81326,2000,0,475823,4.34549e-08,9.13258e-14,11.2,246159,59870.5,28940.2,2.89402,19.2778,3.55006e+06,0,0,0,3.99882e-12,2.35448e-13,19.2778,3.87345e+06,0,0,0,19.7252,1.91695e+08,2.25798e+07,0,0,0,19.7252,1.87314e+08,2.25798e+07,0,0,0,0.334463,0.0559327,0.0015739,0.103289,0.00533435,0.000150104,0.000413928,0.000366223,1.03052e-05,12.6155,27.4291,32.0006,1.42776e+06,-4.48466e+06,307.181,-2189.72,5607.82,2.02528e+07,-2189.72,5607.82,2.02528e+07,0,0,0,0,1.97252,605511,605514,32.7906,1.32253,49.9032,19.7166,-0.403039,-0.423386,1,0.322528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
