Fluid simulation profile
dimension=3
steps=1800
simulated_substeps=1800
domain=64
dx=1
frame_dt=0.1
scene=0
fluid_solver=flip
polypic_modes=4
jitter_seed=1
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=635376
wall_ms=15478157.104

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\dam_3d_thesis\20260628-223300\runs\FLIP_095
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_3D::projection_Ap_calc",3600000,7523381.384,7523381.384,50.30,2.089828
2,"Fluid_Simulation_3D::advect_3d",1800,1745140.720,1745140.720,11.67,969.522622
3,"Diagnostics::record_step",1800,1731986.009,1732801.430,11.58,962.214449
4,"APIC_Simulation_3D::update_particle_grid_residual_diagnostics",1800,802270.314,802270.314,5.36,445.705730
5,"Fluid_Simulation_3D::projection_3d",1800,647986.335,8627552.492,4.33,359.992408
6,"Fluid_Simulation_3D::particle_to_grid_3d",1800,567688.363,567688.363,3.80,315.382424
7,"Fluid_Simulation_3D::grid_to_particle_3d",1800,527847.525,527847.525,3.53,293.248625
8,"Fluid_Simulation_3D::projection_dot_product",10803600,454186.188,454186.188,3.04,0.042040
9,"APIC_Simulation_3D::particle_mechanical_energy",5400,348387.103,348387.103,2.33,64.516130
10,"APIC_Simulation_3D::particle_kinetic_energy",5400,289395.322,289395.322,1.93,53.591726
11,"APIC_Simulation_3D::max_particle_speed",3600,166638.399,166638.399,1.11,46.288444
12,"Fluid_Simulation_3D::extrapolate_velocity_3d",3600,44309.049,54635.542,0.30,12.308069
13,"APIC_Simulation_3D::max_grid_speed",10800,41475.874,41475.874,0.28,3.840359
14,"APIC_Simulation_3D::grid_kinetic_energy",10800,38429.365,38429.365,0.26,3.558275
15,"Fluid_Simulation_3D::init_marker_vectors",3600,10326.493,10326.493,0.07,2.868470
16,"APIC_Simulation_3D::divergence_stats",3600,8642.685,8642.685,0.06,2.400746
17,"Fluid_Simulation_3D::enforce_boundary_3d",1800,5069.825,5069.825,0.03,2.816570
18,"Fluid_Simulation_3D::setup_rhs",1800,1998.586,1998.586,0.01,1.110325
19,"Fluid_Simulation::apply_forces_3d_settings",1800,1855.092,1855.092,0.01,1.030607
20,"Diagnostics::fluid_measure_from",1800,813.425,813.425,0.01,0.451903
21,"APIC_Simulation_3D::step",1800,246.563,13225275.185,0.00,0.136980
22,"Diagnostics::bounds_from",1801,1.998,1.998,0.00,0.001109
