step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,635376,2.27752,0.85183,0.87527,635376,3,79422,0,79422,243380,1.89618e+08,1.89861e+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9011e+08,0,0,0,0,0,0,0,0,0,0.981,38842.8,0.981,47803.4,0.981,41856,0.981,0.125604,79422,2000,0,353977,3.43082e-08,9.69221e-14,20.4406,151628,24795.4,22736.3,2.27363,2.27363,34689.1,0,0,0,1.31111e-12,1.15035e-13,2.27363,39934.8,0,0,0,2.27752,1.90353e+08,243380,0,0,0,2.27752,1.89861e+08,243380,0,0,0,0.00483953,1.17105e-05,3.05719e-05,0,0,0,0,0,0,11.5165,31.4214,32.0003,104778,-501405,-3.86078e-12,-106.859,-3.64764,1.61114e+06,-106.859,-3.64764,1.61114e+06,0,0,0,0,0.227752,605412,605415,22.2196,1.36246,37.0852,2.26983,-0.186943,-7.67077e-15,1,0.362455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2,0.1,1,0.1,0,0.1,635376,4.85651,1.69677,1.74351,635376,3,80169,0,80169,965714,1.8864e+08,1.89606e+08,0.86856,0.498168,0,635376,0,634889,0,0,0,0,0,0,0,0,0,0,1.89861e+08,243380,0,0,0,2.26872,36116.8,0,0,0,2.26872,138638,2.24175,166878,2.24175,148777,1.43118,0.130933,80169,2000,0,370724,4.52305e-08,1.22006e-13,11.6897,155299,25799.1,30888.5,3.08885,5.03644,141106,0,0,0,1.50236e-12,1.10944e-13,5.03644,160095,0,0,0,4.85651,1.90584e+08,965714,0,0,0,4.85651,1.89606e+08,965714,0,0,0,0.0177614,0.000157734,0.000103778,0.0143707,0.000103259,6.79375e-05,0.00248829,1.37801e-05,9.06641e-06,11.55,31.2646,32.0003,211309,-996828,145.29,2405.79,856.28,3.23266e+06,2405.79,856.28,3.23266e+06,0,0,0,0,0.485651,605533,605536,22.3573,1.12488,52.4991,4.83358,-0.465161,-0.0763265,1,0.124875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3,0.1,1,0.1,0,0.1,635376,6.22617,2.53236,2.60369,635376,3,80910,0,80910,2.15367e+06,1.87185e+08,1.89339e+08,0.860719,0.330577,0,635376,0,634540,0,0,0,0,0,634540,0,0,0,0,1.89606e+08,965714,0,0,0,4.59072,142281,0,0,0,4.59072,309102,4.24214,367012,4.24214,328764,2.28937,0.132921,80910,2000,0,378090,4.52718e-08,1.19738e-13,4.96981,161619,27811,29710.5,2.97105,7.21319,320362,0,0,0,2.55304e-12,1.3129e-13,7.21319,364184,0,0,0,6.22617,1.90794e+08,2.15367e+06,0,0,0,6.22617,1.89339e+08,2.15367e+06,0,0,0,0.037574,0.000705902,0.000208255,0.0258341,0.000333701,9.84486e-05,0.00267558,4.60625e-05,1.35894e-05,11.6014,31.0312,32.0004,322211,-1.48398e+06,152.272,-279.319,1272.85,4.88646e+06,-279.319,1272.85,4.88646e+06,0,0,0,0,0.622617,605591,605594,23.0398,1.50371,59.7257,6.18399,-0.6987,0.188055,1,0.503714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.4,0.1,1,0.1,0,0.1,635376,8.37247,3.3636,3.46136,635376,3,81483,0,81483,3.80623e+06,1.85261e+08,1.89067e+08,0.858741,0.248093,0,635376,0,633773,0,0,0,0,0,633769,0,0,0,0,1.89339e+08,2.15367e+06,0,0,0,6.20102,319329,0,0,0,6.20102,550235,6.12699,648253,6.12699,580614,2.02822,0.138897,81483,2000,0,396485,4.88293e-08,1.23155e-13,5.46302,167515,29712.6,31205.8,3.12058,8.5188,571458,0,0,0,2.2851e-12,1.33464e-13,8.5188,646793,0,0,0,8.37247,1.90992e+08,3.80623e+06,0,0,0,8.37247,1.89067e+08,3.80623e+06,0,0,0,0.0625734,0.00195772,0.000326803,0.0370857,0.000687675,0.000114794,0.00188078,2.64728e-05,4.41912e-06,11.6719,30.7224,32.0004,440130,-1.96366e+06,152.17,-2523.41,1224.43,6.63217e+06,-2523.41,1224.43,6.63217e+06,0,0,0,0,0.837247,605126,605129,23.7346,1.27408,1.02518,8.30534,-1.03007,-0.242016,1,0.025176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,0.5,0.1,1,0.1,0,0.1,635376,10.4113,4.18681,4.3131,635376,3,81128,0,81128,5.9099e+06,1.82878e+08,1.88788e+08,0.854197,0.198047,0,635376,0,632674,0,0,0,0,0,632673,0,0,0,0,1.89067e+08,3.80623e+06,0,0,0,8.09977,561686,0,0,0,8.09977,852803,7.62904,996457,7.62904,905289,1.99153,0.138437,81128,2000,0,394311,4.58048e-08,1.16164e-13,2.39496,176053,32732.4,30316.6,3.03166,10.589,895005,0,0,0,3.77999e-12,1.70634e-13,10.589,999320,0,0,0,10.4113,1.91171e+08,5.9099e+06,0,0,0,10.4113,1.88788e+08,5.9099e+06,0,0,0,0.0954202,0.00455251,0.000489442,0.0442098,0.000977254,0.000105065,0.00183828,2.63779e-05,2.83589e-06,11.7631,30.3401,32.0004,567443,-2.43191e+06,71.9454,-3608.49,261.588,8.4971e+06,-3608.49,261.588,8.4971e+06,0,0,0,0,1.04113,605412,605415,25.0145,1.21523,37.0039,10.4045,-0.373699,-0.0364649,1,0.215226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.6,0.1,1,0.1,0,0.1,635376,12.4977,4.99848,5.15604,635376,3,81499,0,81499,8.44564e+06,1.80054e+08,1.88499e+08,0.848202,0.164507,0,635376,0,630902,0,0,0,0,0,630900,0,0,0,0,1.88788e+08,5.9099e+06,0,0,0,10.4045,871833,0,0,0,10.4045,1.22477e+06,10.4045,1.43352e+06,10.4045,1.30722e+06,1.84643,0.145445,81499,2000,0,415218,4.61239e-08,1.11084e-13,6.24608,187179,36543.9,29980.8,2.99808,12.6432,1.29525e+06,0,0,0,3.22992e-12,1.6568e-13,12.6432,1.43805e+06,0,0,0,12.4977,1.91324e+08,8.44564e+06,0,0,0,12.4977,1.88499e+08,8.44564e+06,0,0,0,0.134693,0.00907109,0.000682429,0.0507659,0.00128859,9.69419e-05,0.00126382,5.56561e-05,4.18708e-06,11.8771,29.887,32.0004,706764,-2.88423e+06,206.924,-3118.04,1573.73,1.0502e+07,-3118.04,1573.73,1.0502e+07,0,0,0,0,1.24977,605421,605424,26.189,1.15569,38.657,12.4909,-0.265035,0.314283,1,0.155694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.7,0.1,1,0.1,0,0.1,635376,14.1627,5.79705,5.9885,635376,3,81037,0,81037,1.1393e+07,1.76806e+08,1.88199e+08,0.842725,0.140724,0,635376,0,628717,0,0,0,0,0,628710,0,0,0,0,1.88499e+08,8.44564e+06,0,0,0,12.4909,1.24581e+06,0,0,0,12.4909,1.65404e+06,12.3638,1.93135e+06,12.3638,1.78544e+06,1.83172,0.153935,81037,2000,0,438207,4.41055e-08,1.0065e-13,2.22398,199628,41297.5,29241.6,2.92416,14.2986,1.77142e+06,0,0,0,2.9629e-12,1.67461e-13,14.2986,1.93444e+06,0,0,0,14.1627,1.91447e+08,1.1393e+07,0,0,0,14.1627,1.88199e+08,1.1393e+07,0,0,0,0.175234,0.0153536,0.000856255,0.0638018,0.00203533,0.000113509,0.000728702,4.11186e-05,2.29315e-06,12.0162,29.366,32.0005,859857,-3.31786e+06,183.995,-2087.66,1997.85,1.26688e+07,-2087.66,1997.85,1.26688e+07,0,0,0,0,1.41627,605574,605577,27.3649,1.38809,57.5512,14.1545,-0.482286,0.0129294,1,0.388089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,0.8,0.1,1,0.1,0,0.1,635376,15.076,6.58127,6.81019,635376,3,81872,0,81872,1.4734e+07,1.73157e+08,1.87891e+08,0.838338,0.123101,0,635376,0,626456,0,0,0,0,0,626430,0,0,0,0,1.88199e+08,1.1393e+07,0,0,0,13.9185,1.70242e+06,0,0,0,13.9185,2.17201e+06,13.8565,2.52519e+06,13.8565,2.33579e+06,1.96425,0.155084,81872,2000,0,443746,4.44833e-08,1.00245e-13,7.11799,214134,46408.7,29622.5,2.96225,15.446,2.31935e+06,0,0,0,2.60519e-12,1.52715e-13,15.446,2.52904e+06,0,0,0,15.076,1.9154e+08,1.4734e+07,0,0,0,15.076,1.87891e+08,1.4734e+07,0,0,0,0.219494,0.0240888,0.00103879,0.0710022,0.00252066,0.000108699,0.000623253,1.70791e-05,7.36508e-07,12.1833,28.7805,32.0005,1.02946e+06,-3.73061e+06,240.466,-1718.09,2395.88,1.50001e+07,-1718.09,2395.88,1.50001e+07,0,0,0,0,1.5076,605124,605127,28.6427,1.18749,1.20725,15.0758,-0.0505727,-0.0588471,1,0.187492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.9,0.1,1,0.1,0,0.1,635376,16.9532,7.3498,7.61959,635376,3,81597,0,81597,1.84444e+07,1.6913e+08,1.87574e+08,0.835493,0.109651,0,635376,0,621849,0,0,0,0,0,621765,0,0,0,0,1.87891e+08,1.4734e+07,0,0,0,15.0098,2.19185e+06,0,0,0,15.0098,2.71266e+06,14.9626,3.15043e+06,14.9626,2.91448e+06,1.49869,0.15927,81597,2000,0,454957,4.39337e-08,9.65669e-14,10.7686,229518,52693.1,30112,3.0112,17.1332,2.89519e+06,0,0,0,2.76426e-12,1.838e-13,17.1332,3.15519e+06,0,0,0,16.9532,1.91601e+08,1.84444e+07,0,0,0,16.9532,1.87574e+08,1.84444e+07,0,0,0,0.268453,0.0360336,0.00124129,0.0857849,0.00367953,0.000126753,0.000763328,0.000589136,2.02947e-05,12.3812,28.1344,32.0005,1.21716e+06,-4.11958e+06,120.584,-2674.01,1490.94,1.75112e+07,-2674.01,1490.94,1.75112e+07,0,0,0,0,1.69532,605127,605130,30.4879,1.42023,1.6581,16.9501,-0.245314,-0.214231,1,0.420226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,1,0.1,1,0.1,0,0.1,635376,18.0405,8.10133,8.41549,635376,3,81336,0,81336,2.24988e+07,1.64752e+08,1.87251e+08,0.834083,0.0991129,0,635376,0,617178,0,0,0,0,0,617027,0,0,0,0,1.87574e+08,1.84444e+07,0,0,0,16.8349,2.75284e+06,0,0,0,16.8349,3.32191e+06,16.8073,3.83877e+06,16.8073,3.54585e+06,1.4571,0.165643,81336,2000,0,472404,4.35305e-08,9.21466e-14,12.6104,246058,59781,29574.6,2.95746,18.1783,3.52328e+06,0,0,0,3.49574e-12,1.95732e-13,18.1783,3.84207e+06,0,0,0,18.0405,1.91629e+08,2.24988e+07,0,0,0,18.0405,1.87251e+08,2.24988e+07,0,0,0,0.315528,0.0497788,0.00140578,0.0854908,0.00365434,0.0001032,0.000407633,1.70254e-05,4.80804e-07,12.6135,27.432,32.0005,1.42481e+06,-4.48194e+06,77.471,-1631.88,1432.6,2.02041e+07,-1631.88,1432.6,2.02041e+07,0,0,0,0,1.80405,605127,605130,32.2996,1.41824,1.64157,18.0397,-0.0243673,-0.169155,1,0.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
