Fluid simulation profile
dimension=3
steps=1800
simulated_substeps=1800
domain=64
dx=1
frame_dt=0.1
scene=0
fluid_solver=flip
polypic_modes=4
jitter_seed=1
flip_percent=0
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=635376
wall_ms=15178241.283

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\dam_3d_thesis\20260628-223300\runs\PIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_3D::projection_Ap_calc",3600000,7607762.294,7607762.294,51.90,2.113267
2,"Diagnostics::record_step",1800,1710316.047,1711126.271,11.67,950.175582
3,"Fluid_Simulation_3D::advect_3d",1800,1587289.702,1587289.702,10.83,881.827612
4,"APIC_Simulation_3D::update_particle_grid_residual_diagnostics",1800,739838.444,739838.444,5.05,411.021358
5,"Fluid_Simulation_3D::projection_3d",1800,665855.197,8741326.003,4.54,369.919554
6,"Fluid_Simulation_3D::particle_to_grid_3d",1800,467993.248,467993.248,3.19,259.996249
7,"Fluid_Simulation_3D::projection_dot_product",10803600,465717.358,465717.358,3.18,0.043108
8,"Fluid_Simulation_3D::grid_to_particle_3d",1800,459588.653,459588.653,3.14,255.327029
9,"APIC_Simulation_3D::particle_mechanical_energy",5400,348757.392,348757.392,2.38,64.584702
10,"APIC_Simulation_3D::particle_kinetic_energy",5400,289643.886,289643.886,1.98,53.637757
11,"APIC_Simulation_3D::max_particle_speed",3600,166773.578,166773.578,1.14,46.325994
12,"Fluid_Simulation_3D::extrapolate_velocity_3d",3600,42530.841,52760.164,0.29,11.814122
13,"APIC_Simulation_3D::max_grid_speed",10800,41250.531,41250.531,0.28,3.819494
14,"APIC_Simulation_3D::grid_kinetic_energy",10800,38256.484,38256.484,0.26,3.542267
15,"Fluid_Simulation_3D::init_marker_vectors",3600,10229.323,10229.323,0.07,2.841479
16,"APIC_Simulation_3D::divergence_stats",3600,8169.456,8169.456,0.06,2.269293
17,"Fluid_Simulation_3D::enforce_boundary_3d",1800,5032.547,5032.547,0.03,2.795859
18,"Fluid_Simulation_3D::setup_rhs",1800,1991.154,1991.154,0.01,1.106197
19,"Fluid_Simulation::apply_forces_3d_settings",1800,1824.956,1824.956,0.01,1.013865
20,"Diagnostics::fluid_measure_from",1800,808.186,808.186,0.01,0.448992
21,"APIC_Simulation_3D::step",1800,233.360,12948738.402,0.00,0.129644
22,"Diagnostics::bounds_from",1801,2.039,2.039,0.00,0.001132
