step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,635376,2.27752,0.85183,0.87527,635376,3,79422,0,79422,243380,1.89618e+08,1.89861e+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9011e+08,0,0,0,0,0,0,0,0,0,0.981,38842.8,0.981,47803.4,0.981,41856,0.981,0.125604,79422,2000,0,353977,3.43082e-08,9.69221e-14,20.4406,151628,24795.4,22736.3,2.27363,2.27363,34689.1,0,0,0,1.31111e-12,1.15035e-13,2.27363,39934.8,0,0,0,2.27752,1.90353e+08,243380,0,0,0,2.27752,1.89861e+08,243380,0,0,0,0.00483953,1.17105e-05,3.05719e-05,0,0,0,0,0,0,11.5165,31.4214,32.0003,104778,-501405,-3.86078e-12,-106.859,-3.64764,1.61114e+06,-106.859,-3.64764,1.61114e+06,0,0,0,0,0.227752,605412,605415,22.2196,1.36246,37.0852,2.26983,-0.186943,-7.67077e-15,1,0.362455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26983
1,0.2,0.1,1,0.1,0,0.1,635376,4.93174,1.69768,1.7446,635376,3,80169,0,80169,966924,1.8864e+08,1.89606e+08,0.869558,0.498428,0,635376,0,634889,0,0,0,0,0,0,0,0,0,0,1.89861e+08,243380,0,0,0,3.35892,36342,0,0,0,3.35892,138840,2.6534,167310,2.6534,149184,1.03578,0.128503,80169,2000,0,363844,4.51875e-08,1.24195e-13,11.1643,155026,25705.1,29602.9,2.96029,5.11831,141591,0,0,0,1.36553e-12,1.10875e-13,5.11831,160805,0,0,0,4.93174,1.90585e+08,966924,0,0,0,4.93174,1.89606e+08,966924,0,0,0,0.0183355,0.000168095,0.000110457,0.0146175,0.000106836,7.02029e-05,0.00227424,1.08715e-05,7.14377e-06,11.55,31.2645,32.0003,211327,-997558,132.1,2148.71,786.354,3.23284e+06,2148.71,786.354,3.23284e+06,0,0,0,0,0.493174,605533,605536,22.3671,1.12503,52.4993,4.90891,-0.468458,-0.0718746,1,0.125029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.90891
2,0.3,0.1,1,0.1,0,0.1,635376,6.83298,2.53355,2.60543,635376,3,80909,0,80909,2.15655e+06,1.87183e+08,1.8934e+08,0.861294,0.330577,0,635376,0,634380,0,0,0,0,0,634380,0,0,0,0,1.89606e+08,966924,0,0,0,5.59166,142893,0,0,0,5.59166,309808,5.33999,368151,5.33999,329743,3.40322,0.137739,80909,2000,0,391791,5.01406e-08,1.27978e-13,3.4732,161740,27874.7,31078.6,3.10786,8.44784,321337,0,0,0,3.54459e-12,1.47801e-13,8.44784,365849,0,0,0,6.83298,1.90796e+08,2.15655e+06,0,0,0,6.83298,1.8934e+08,2.15655e+06,0,0,0,0.0431488,0.000930912,0.000274271,0.0295039,0.000435239,0.000128233,0.00222231,5.25045e-05,1.54692e-05,11.6014,31.0309,32.0004,322281,-1.48508e+06,146.432,-782.193,1260.25,4.88356e+06,-782.193,1260.25,4.88356e+06,0,0,0,0,0.683298,605533,605536,23.1418,1.10399,52.496,6.8294,-0.218346,-0.0348519,1,0.103991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8294
3,0.4,0.1,1,0.1,0,0.1,635376,8.70808,3.36492,3.46371,635376,3,81489,0,81489,3.8114e+06,1.85258e+08,1.89069e+08,0.859379,0.248109,0,635376,0,633649,0,0,0,0,0,633641,0,0,0,0,1.8934e+08,2.15655e+06,0,0,0,9.07586,321919,0,0,0,9.07586,552989,8.98606,653561,8.98606,584672,2.703,0.14256,81489,2000,0,406955,4.42758e-08,1.08798e-13,2.84946,167919,29921.1,26155.4,2.61554,10.7021,575482,0,0,0,1.97194e-12,1.27498e-13,10.7021,653076,0,0,0,8.70808,1.90995e+08,3.8114e+06,0,0,0,8.70808,1.89069e+08,3.8114e+06,0,0,0,0.0702465,0.00246728,0.000411306,0.0357222,0.000638038,0.000106364,0.00202085,1.21718e-05,2.02908e-06,11.672,30.7219,32.0004,440367,-1.96495e+06,224.957,-356.968,2351.44,6.62771e+06,-356.968,2351.44,6.62771e+06,0,0,0,0,0.870808,605533,605536,24.121,1.08948,52.5017,8.70664,-0.152013,0.0435795,1,0.0894848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.70664
4,0.5,0.1,1,0.1,0,0.1,635376,10.9739,4.18859,4.31634,635376,3,81156,0,81156,5.91878e+06,1.82873e+08,1.88792e+08,0.855251,0.198143,0,635376,0,632373,0,0,0,0,0,632371,0,0,0,0,1.89069e+08,3.8114e+06,0,0,0,11.887,568777,0,0,0,11.887,860125,10.6994,1.00675e+06,10.6994,912736,2.06195,0.142728,81156,2000,0,406601,4.84903e-08,1.19257e-13,2.2446,176401,32930.2,29543.7,2.95437,12.3005,902381,0,0,0,2.30853e-12,1.75752e-13,12.3005,1.00789e+06,0,0,0,10.9739,1.91176e+08,5.91878e+06,0,0,0,10.9739,1.88792e+08,5.91878e+06,0,0,0,0.106931,0.0057171,0.000613727,0.0482616,0.00116459,0.000125018,0.00234349,2.5215e-05,2.70681e-06,11.7633,30.3394,32.0004,567931,-2.43313e+06,-6.80607,-3622.92,258.86,8.49826e+06,-3622.92,258.86,8.49826e+06,0,0,0,0,1.09739,605487,605490,25.0495,1.62274,46.5427,10.9359,-0.911607,-0.0534662,1,0.622741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9359
5,0.6,0.1,1,0.1,0,0.1,635376,13.4714,5.00054,5.15993,635376,3,81534,0,81534,8.45841e+06,1.80047e+08,1.88506e+08,0.849312,0.164597,0,635376,0,630163,0,0,0,0,0,630163,0,0,0,0,1.88792e+08,5.91878e+06,0,0,0,13.9941,882435,0,0,0,13.9941,1.23564e+06,12.6339,1.44868e+06,12.6339,1.31829e+06,4.69974,0.150336,81534,2000,0,429271,4.49667e-08,1.04751e-13,-1.31758,187386,36744.5,30490.9,3.04909,14.4796,1.30618e+06,0,0,0,2.79229e-12,1.54608e-13,14.4796,1.45144e+06,0,0,0,13.4714,1.91332e+08,8.45841e+06,0,0,0,13.4714,1.88506e+08,8.45841e+06,0,0,0,0.149856,0.0112284,0.000843449,0.0580108,0.00168262,0.000126395,0.00185245,9.92641e-05,7.45649e-06,11.8775,29.886,32.0004,707511,-2.88528e+06,45.8964,-5023.68,244.237,1.05083e+07,-5023.68,244.237,1.05083e+07,0,0,0,0,1.34714,605206,605209,26.304,1.33362,11.2123,13.4355,-0.777414,-0.599779,1,0.333623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.4355
6,0.7,0.1,1,0.1,0,0.1,635376,15.1859,5.80051,5.99474,635376,3,81030,0,81030,1.14167e+07,1.76798e+08,1.88214e+08,0.845128,0.140978,0,635376,0,627723,0,0,0,0,0,627706,0,0,0,0,1.88506e+08,8.45841e+06,0,0,0,15.2877,1.25364e+06,0,0,0,15.2877,1.66202e+06,15.1356,1.94355e+06,15.1356,1.79592e+06,4.71107,0.156576,81030,2000,0,445707,4.38037e-08,9.82792e-14,1.19551,199804,41411.9,29615.3,2.96153,17.0049,1.78183e+06,0,0,0,2.91359e-12,1.61187e-13,17.0049,1.94782e+06,0,0,0,15.1859,1.91464e+08,1.14167e+07,0,0,0,15.1859,1.88214e+08,1.14167e+07,0,0,0,0.192576,0.0185428,0.00103196,0.0712073,0.00253524,0.000141094,0.0013252,0.000130247,7.24864e-06,12.017,29.3646,32.0004,861138,-3.31958e+06,197.152,-3854.73,661.341,1.26852e+07,-3854.73,661.341,1.26852e+07,0,0,0,0,1.51859,605189,605192,27.938,1.05792,9.97943,15.1851,-0.108232,0.116427,1,0.0579208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1851
7,0.8,0.1,1,0.1,0,0.1,635376,16.9711,6.58612,6.81891,635376,3,81866,0,81866,1.47717e+07,1.73145e+08,1.87917e+08,0.841311,0.123379,0,635376,0,624001,0,0,0,0,0,623973,0,0,0,0,1.88214e+08,1.14167e+07,0,0,0,15.4278,1.71115e+06,0,0,0,15.4278,2.18098e+06,15.3983,2.54607e+06,15.3983,2.35497e+06,3.97454,0.158846,81866,2000,0,454494,4.17008e-08,9.17521e-14,2.98561,214215,46535,30496,3.0496,17.0827,2.33837e+06,0,0,0,1.68153e-12,1.52119e-13,17.0827,2.55088e+06,0,0,0,16.9711,1.91569e+08,1.47717e+07,0,0,0,16.9711,1.87917e+08,1.47717e+07,0,0,0,0.236385,0.0279388,0.00120173,0.0837742,0.00350906,0.000150935,0.00120086,0.000228981,9.84918e-06,12.1845,28.7786,32.0005,1.03142e+06,-3.73278e+06,58.7002,-2686.2,-78.4777,1.50307e+07,-2686.2,-78.4777,1.50307e+07,0,0,0,0,1.69711,605189,605192,29.559,1.05012,9.98077,16.9709,-0.0837998,0.0164317,1,0.0501178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.9709
8,0.9,0.1,1,0.1,0,0.1,635376,18.3146,7.35447,7.62886,635376,3,81626,0,81626,1.84893e+07,1.69116e+08,1.87605e+08,0.83731,0.109756,0,635376,0,619524,0,0,0,0,0,619476,0,0,0,0,1.87917e+08,1.47717e+07,0,0,0,17.6976,2.21704e+06,0,0,0,17.6976,2.73835e+06,17.6345,3.18759e+06,17.6345,2.94235e+06,4.04588,0.167342,81626,2000,0,478100,4.32543e-08,9.04713e-14,11.8673,230027,53008.4,33719.3,3.37193,18.9471,2.92262e+06,0,0,0,4.03674e-12,2.05334e-13,18.9471,3.19277e+06,0,0,0,18.3146,1.91635e+08,1.84893e+07,0,0,0,18.3146,1.87605e+08,1.84893e+07,0,0,0,0.286424,0.0410193,0.00140961,0.0835149,0.00348737,0.000119842,0.00093488,0.000105678,3.63157e-06,12.3831,28.1322,32.0004,1.21956e+06,-4.12103e+06,-25.3522,-2847.83,-841.634,1.75527e+07,-2847.83,-841.634,1.75527e+07,0,0,0,0,1.83146,605206,605209,31.4408,1.2244,11.1319,18.3121,-0.280479,-0.124306,1,0.224398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3121
9,1,0.1,1,0.1,0,0.1,635376,19.2801,8.10737,8.42697,635376,3,81341,0,81341,2.25603e+07,1.64735e+08,1.87295e+08,0.837477,0.0993806,0,635376,0,614733,0,0,0,0,0,614539,0,0,0,0,1.87605e+08,1.84893e+07,0,0,0,19.5368,2.77776e+06,0,0,0,19.5368,3.34707e+06,19.1665,3.88837e+06,19.1665,3.58842e+06,1.96454,0.170436,81341,2000,0,486089,4.18975e-08,8.61931e-14,6.86432,246153,59888.9,29259.7,2.92597,20.0297,3.56553e+06,0,0,0,2.19585e-12,1.68874e-13,20.0297,3.89204e+06,0,0,0,19.2801,1.91676e+08,2.25603e+07,0,0,0,19.2801,1.87295e+08,2.25603e+07,0,0,0,0.334244,0.0558595,0.0015732,0.101118,0.00511244,0.000143984,0.000831004,0.000218652,6.15801e-06,12.616,27.4292,32.0005,1.42781e+06,-4.48375e+06,123.595,-3650.31,-928.157,2.02599e+07,-3650.31,-928.157,2.02599e+07,0,0,0,0,1.92801,605511,605514,32.7853,1.39357,49.9309,19.2741,-0.426721,-0.225101,1,0.39357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2741
