Fluid simulation profile
dimension=3
steps=1800
simulated_substeps=1800
domain=64
dx=1
frame_dt=0.1
scene=0
fluid_solver=polypic
polypic_modes=8
jitter_seed=1
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=635376
wall_ms=17833978.228

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\dam_3d_thesis\20260628-223300\runs\POLYPIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_3D::projection_Ap_calc",3600000,7968332.669,7968332.669,46.02,2.213426
2,"Fluid_Simulation_3D::advect_3d",1800,1797947.408,1797947.408,10.38,998.859671
3,"Diagnostics::record_step",1800,1727732.703,1728551.359,9.98,959.851502
4,"Fluid_Simulation_3D::grid_to_particle_3d",1800,1525945.199,1525945.199,8.81,847.747333
5,"Fluid_Simulation_3D::particle_to_grid_3d",1800,1345322.329,1345322.329,7.77,747.401294
6,"APIC_Simulation_3D::update_particle_grid_residual_diagnostics",1800,814714.075,814714.075,4.71,452.618931
7,"Fluid_Simulation_3D::projection_3d",1800,692333.748,9145259.942,4.00,384.629860
8,"Fluid_Simulation_3D::projection_dot_product",10803600,482540.207,482540.207,2.79,0.044665
9,"APIC_Simulation_3D::particle_mechanical_energy",5400,349287.237,349287.237,2.02,64.682822
10,"APIC_Simulation_3D::particle_kinetic_energy",5400,290289.529,290289.529,1.68,53.757320
11,"APIC_Simulation_3D::max_particle_speed",3600,167201.685,167201.685,0.97,46.444912
12,"Fluid_Simulation_3D::extrapolate_velocity_3d",3600,44248.581,54664.321,0.26,12.291273
13,"APIC_Simulation_3D::max_grid_speed",10800,41432.473,41432.473,0.24,3.836340
14,"APIC_Simulation_3D::grid_kinetic_energy",10800,38343.698,38343.698,0.22,3.550342
15,"Fluid_Simulation_3D::init_marker_vectors",3600,10415.740,10415.740,0.06,2.893261
16,"APIC_Simulation_3D::divergence_stats",3600,8913.925,8913.925,0.05,2.476090
17,"Fluid_Simulation_3D::enforce_boundary_3d",1800,5021.940,5021.940,0.03,2.789967
18,"Fluid_Simulation_3D::setup_rhs",1800,2053.319,2053.319,0.01,1.140733
19,"Fluid_Simulation::apply_forces_3d_settings",1800,1876.186,1876.186,0.01,1.042326
20,"Diagnostics::fluid_measure_from",1800,816.576,816.576,0.00,0.453653
21,"APIC_Simulation_3D::step",1800,258.008,15586477.957,0.00,0.143338
22,"Diagnostics::bounds_from",1801,2.081,2.081,0.00,0.001155
