Fluid simulation profile
dimension=2
steps=900
simulated_substeps=900
domain=64
dx=2
frame_dt=0.2
scene=6
fluid_solver=apic
polypic_modes=4
jitter_seed=1
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=5
particle_frames=901
particles=1356
wall_ms=5390.191

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\cfl_settling_dx_05_dt005\20260629-171218\runs\APIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",70487,2283.812,2283.812,46.52,0.032400
2,"Diagnostics::record_step",900,794.602,796.538,16.18,0.882891
3,"Fluid_Simulation_2D::advect",900,593.169,593.169,12.08,0.659076
4,"APIC_Simulation_2D::step",900,443.696,4113.041,9.04,0.492995
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",900,165.524,165.524,3.37,0.183916
6,"Fluid_Simulation_2D::projection_2d",900,124.593,2447.915,2.54,0.138437
7,"Fluid_Simulation_2D::grid_to_particle",900,106.837,106.837,2.18,0.118707
8,"Fluid_Simulation_2D::particle_to_grid",900,98.446,98.446,2.01,0.109385
9,"APIC_Simulation_2D::particle_mechanical_energy",2700,56.455,56.455,1.15,0.020909
10,"APIC_Simulation_2D::particle_kinetic_energy",2700,47.993,47.993,0.98,0.017775
11,"Fluid_Simulation_2D::projection_dot_product",213261,36.835,36.835,0.75,0.000173
12,"Fluid_Simulation_2D::extrapolate_velocity",1800,35.490,49.856,0.72,0.019717
13,"APIC_Simulation_2D::max_grid_speed",5400,33.930,33.930,0.69,0.006283
14,"APIC_Simulation_2D::grid_kinetic_energy",5400,27.229,27.229,0.55,0.005042
15,"APIC_Simulation_2D::max_particle_speed",1800,26.026,26.026,0.53,0.014459
16,"Fluid_Simulation_2D::init_marker_vectors",1800,14.366,14.366,0.29,0.007981
17,"Fluid_Simulation_2D::enforce_boundary",900,6.917,6.917,0.14,0.007686
18,"APIC_Simulation_2D::divergence_stats",1800,5.264,5.264,0.11,0.002924
19,"Fluid_Simulation::apply_forces_2d_settings",900,3.784,3.784,0.08,0.004204
20,"Fluid_Simulation_2D::setup_rhs",900,2.675,2.675,0.05,0.002973
21,"Diagnostics::fluid_measure_from",900,1.670,1.670,0.03,0.001856
22,"Diagnostics::bounds_from",901,0.267,0.267,0.01,0.000296
