Fluid simulation profile
dimension=2
steps=900
simulated_substeps=900
domain=64
dx=2
frame_dt=0.2
scene=6
fluid_solver=flip
polypic_modes=4
jitter_seed=1
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=5
particle_frames=901
particles=1356
wall_ms=5822.221

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\cfl_settling_dx_05_dt005\20260629-171218\runs\FLIP_095
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",73220,2731.162,2731.162,51.20,0.037301
2,"Diagnostics::record_step",900,784.556,786.430,14.71,0.871729
3,"Fluid_Simulation_2D::advect",900,591.188,591.188,11.08,0.656875
4,"APIC_Simulation_2D::step",900,431.532,4547.737,8.09,0.479480
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",900,161.525,161.525,3.03,0.179473
6,"Fluid_Simulation_2D::projection_2d",900,132.640,2907.881,2.49,0.147378
7,"Fluid_Simulation_2D::grid_to_particle",900,105.032,105.032,1.97,0.116702
8,"Fluid_Simulation_2D::particle_to_grid",900,95.501,95.501,1.79,0.106112
9,"APIC_Simulation_2D::particle_mechanical_energy",2700,56.175,56.175,1.05,0.020806
10,"APIC_Simulation_2D::particle_kinetic_energy",2700,47.597,47.597,0.89,0.017628
11,"Fluid_Simulation_2D::projection_dot_product",221460,41.190,41.190,0.77,0.000186
12,"Fluid_Simulation_2D::extrapolate_velocity",1800,35.043,49.043,0.66,0.019469
13,"APIC_Simulation_2D::max_grid_speed",5400,33.248,33.248,0.62,0.006157
14,"APIC_Simulation_2D::grid_kinetic_energy",5400,27.185,27.185,0.51,0.005034
15,"APIC_Simulation_2D::max_particle_speed",1800,25.740,25.740,0.48,0.014300
16,"Fluid_Simulation_2D::init_marker_vectors",1800,13.999,13.999,0.26,0.007777
17,"Fluid_Simulation_2D::enforce_boundary",900,6.927,6.927,0.13,0.007697
18,"APIC_Simulation_2D::divergence_stats",1800,5.364,5.364,0.10,0.002980
19,"Fluid_Simulation::apply_forces_2d_settings",900,3.799,3.799,0.07,0.004221
20,"Fluid_Simulation_2D::setup_rhs",900,2.889,2.889,0.05,0.003210
21,"Diagnostics::fluid_measure_from",900,1.597,1.597,0.03,0.001774
22,"Diagnostics::bounds_from",901,0.278,0.278,0.01,0.000308
