Fluid simulation profile
dimension=2
steps=900
simulated_substeps=900
domain=64
dx=2
frame_dt=0.2
scene=6
fluid_solver=flip
polypic_modes=4
jitter_seed=1
flip_percent=0
adaptive=false
diagnostics=true
particle_export=true
particle_fps=5
particle_frames=901
particles=1356
wall_ms=6019.820

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\cfl_settling_dx_05_dt005\20260629-171218\runs\PIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",70181,2928.743,2928.743,52.84,0.041731
2,"Diagnostics::record_step",900,784.137,786.053,14.15,0.871263
3,"Fluid_Simulation_2D::advect",900,591.514,591.514,10.67,0.657238
4,"APIC_Simulation_2D::step",900,433.814,4756.315,7.83,0.482016
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",900,164.633,164.633,2.97,0.182925
6,"Fluid_Simulation_2D::projection_2d",900,136.269,3110.323,2.46,0.151410
7,"Fluid_Simulation_2D::grid_to_particle",900,106.055,106.055,1.91,0.117838
8,"Fluid_Simulation_2D::particle_to_grid",900,95.618,95.618,1.73,0.106242
9,"APIC_Simulation_2D::particle_mechanical_energy",2700,55.826,55.826,1.01,0.020676
10,"APIC_Simulation_2D::particle_kinetic_energy",2700,48.103,48.103,0.87,0.017816
11,"Fluid_Simulation_2D::projection_dot_product",212343,42.270,42.270,0.76,0.000199
12,"Fluid_Simulation_2D::extrapolate_velocity",1800,34.143,48.090,0.62,0.018968
13,"APIC_Simulation_2D::max_grid_speed",5400,33.121,33.121,0.60,0.006134
14,"APIC_Simulation_2D::grid_kinetic_energy",5400,26.855,26.855,0.48,0.004973
15,"APIC_Simulation_2D::max_particle_speed",1800,26.068,26.068,0.47,0.014482
16,"Fluid_Simulation_2D::init_marker_vectors",1800,13.947,13.947,0.25,0.007748
17,"Fluid_Simulation_2D::enforce_boundary",900,6.843,6.843,0.12,0.007603
18,"APIC_Simulation_2D::divergence_stats",1800,5.615,5.615,0.10,0.003119
19,"Fluid_Simulation::apply_forces_2d_settings",900,3.838,3.838,0.07,0.004264
20,"Fluid_Simulation_2D::setup_rhs",900,3.041,3.041,0.05,0.003379
21,"Diagnostics::fluid_measure_from",900,1.602,1.602,0.03,0.001780
22,"Diagnostics::bounds_from",901,0.315,0.315,0.01,0.000350
