Fluid simulation profile
dimension=2
steps=3600
simulated_substeps=3600
domain=64
dx=0.5
frame_dt=0.05
scene=6
fluid_solver=apic
polypic_modes=4
jitter_seed=1
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=20
particle_frames=3601
particles=25440
wall_ms=1883246.876

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\cfl_settling_dx_05_dt005\20260629-171551\runs\APIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",1191025,1569967.882,1569967.882,85.12,1.318165
2,"Diagnostics::record_step",3600,87355.822,87437.371,4.74,24.265506
3,"APIC_Simulation_2D::step",3600,48209.218,1756995.593,2.61,13.391449
4,"Fluid_Simulation_2D::advect",3600,47985.361,47985.361,2.60,13.329267
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",3600,19654.809,19654.809,1.07,5.459669
6,"Fluid_Simulation_2D::projection_2d",3600,13430.695,1592901.397,0.73,3.730749
7,"APIC_Simulation_2D::particle_mechanical_energy",10800,10632.779,10632.779,0.58,0.984517
8,"Fluid_Simulation_2D::grid_to_particle",3600,9966.501,9966.501,0.54,2.768472
9,"Fluid_Simulation_2D::projection_dot_product",3580275,9343.329,9343.329,0.51,0.002610
10,"Fluid_Simulation_2D::particle_to_grid",3600,8849.670,8849.670,0.48,2.458242
11,"APIC_Simulation_2D::particle_kinetic_energy",10800,7058.597,7058.597,0.38,0.653574
12,"APIC_Simulation_2D::max_particle_speed",7200,5368.800,5368.800,0.29,0.745667
13,"APIC_Simulation_2D::max_grid_speed",21600,1874.122,1874.122,0.10,0.086765
14,"Fluid_Simulation_2D::extrapolate_velocity",7200,1550.665,2201.938,0.08,0.215370
15,"APIC_Simulation_2D::grid_kinetic_energy",21600,1517.163,1517.163,0.08,0.070239
16,"Fluid_Simulation_2D::init_marker_vectors",7200,651.273,651.273,0.04,0.090455
17,"Fluid_Simulation_2D::enforce_boundary",3600,311.333,311.333,0.02,0.086481
18,"APIC_Simulation_2D::divergence_stats",7200,294.210,294.210,0.02,0.040862
19,"Fluid_Simulation::apply_forces_2d_settings",3600,169.696,169.696,0.01,0.047138
20,"Fluid_Simulation_2D::setup_rhs",3600,159.491,159.491,0.01,0.044303
21,"Diagnostics::fluid_measure_from",3600,79.410,79.410,0.00,0.022058
22,"Diagnostics::bounds_from",3601,2.140,2.140,0.00,0.000594
