step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.05,0.05,1,0.05,0,0.05,25440,2.9905,0.46964,0.837694,25440,2,6360,1590,1590,8926.03,3.39415e+06,3.40307e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40444e+06,7139.03,0,0,-868.366,2.5,2105.74,0,0,-868.366,2.9905,3351.54,2.9905,4141.21,2.9905,4101.41,0.981,0.159256,6360,357,1,254013,0.00246931,9.72121e-09,-20152.3,233693,90540.6,29851.2,1.49256,2.9905,3339.97,0,0,-25462.4,5.92532e-09,1.54816e-09,2.9905,3293.75,0,0,-25368.3,2.9905,3.40623e+06,8926.03,0,0,-25368.5,2.9905,3.40307e+06,8926.03,0,0,-25368.5,0.00436819,9.54056e-06,2.71915e-05,0,0,0,0,0,0,31.7674,14.1002,0,1659.94,-6429.4,0,0,0,-25368.5,0,0,-25368.5,0,0,-25368.5,0,0.29905,24155,24157,28.3605,45.2744,0,1.4799e-17,-2.9905,0,0,18.2256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.1,0.05,1,0.05,0,0.05,25440,3.481,0.607674,1.00359,25440,2,6380,1595,1595,12811.6,3.38947e+06,3.40228e+06,0.244145,0.243271,0.00550314,25440,0,15964,0,0,0,0,0,0,0,0,0,0,3.40307e+06,8926.03,0,0,-25368.5,2.9905,2714.79,0,0,-25368.5,3.481,4339.5,3.481,5333.24,3.481,5260.37,1.82869,0.140194,6380,367,1,223959,0.00215897,9.64002e-09,-76.779,228895,85165.9,29594,1.4797,3.481,4687.31,0,0,-54231.9,5.22292e-09,1.35147e-09,3.481,4737.93,0,0,-53985,3.481,3.40696e+06,12811.6,0,0,-53985.1,3.481,3.40228e+06,12811.6,0,0,-53985,0.00618961,1.91556e-05,3.80374e-05,0.00431959,9.32945e-06,1.85255e-05,0.179167,2.17052e-06,4.31e-06,31.775,14.0814,0,3850.12,-9543,0,0,0,-53985,0,0,-53985,0,0,-53985,0,0.3481,24961,24963,33.6098,36.0601,0,-1.10337e-16,-3.481,0,0,27.4399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.15,0.05,1,0.05,0,0.05,25440,4.71708,0.750841,1.19193,25440,2,6394,1598.5,1598.5,18071.1,3.38332e+06,3.40139e+06,0.238602,0.200182,0.00377358,25440,0,16056,0,0,0,0,0,16023,0,0,0,0,3.40228e+06,12811.6,0,0,-53985,3.481,3868.38,0,0,-53985,3.9715,5900.08,3.9715,7215.61,3.9715,7066.04,6.92584,0.189556,6394,368,1,303148,0.00298182,9.83617e-09,-6.81843e-12,229221,86066.5,72586.3,3.62932,4.98714,6468.3,0,0,-81029.3,7.45372e-09,1.86451e-09,4.98714,6547.31,0,0,-80645.1,4.71708,3.40754e+06,18071.1,0,0,-80645.6,4.71708,3.40139e+06,18071.1,0,0,-80645.8,0.0191743,0.000183826,0.000258785,0.0179459,0.000161027,0.000226689,0.0194583,8.32909e-05,0.000117254,31.7868,14.0568,0,5983.43,-12523.7,0,0,0,-80645.8,0,0,-80645.8,0,0,-80645.8,0,0.471708,23815,23817,63.1497,1.24577,0,4.60312,-1.03062,0,1,0.350295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.2,0.05,1,0.05,0,0.05,25440,7.51896,0.875279,1.37128,25440,2,6389,1597.25,1597.25,23918.9,3.37604e+06,3.39996e+06,0.25417,0.185352,0.00224057,25440,2,12415,0.000161095,0,0,0,68,12414,0.00547769,0,0,0,3.40139e+06,18071.1,0,0,-80645.8,4.01882,5273.72,0,0,-80645.8,4.462,7663.88,4.462,9303.67,4.462,9059.04,10.7551,0.276076,6389,372,1,441342,0.00430896,9.76331e-09,-1.01426e-11,230437,90977.7,149095,7.45477,7.7733,8293.63,0,0,-98033.4,1.06969e-08,2.69542e-09,7.7733,8432.8,0,0,-97594.6,7.51896,3.40724e+06,23918.9,0,0,-97595,7.51896,3.39996e+06,23918.9,0,0,-97595.1,0.053663,0.00143986,0.00153143,0.0565112,0.00159676,0.0016983,0.0124167,0.00077463,0.000823893,31.8022,14.0276,0,7792.33,-14854.1,0,0,0,-97595.1,0,0,-97595.1,0,0,-97595.1,0,0.751896,23827,23829,63.2959,2.7487,0,7.50498,0.458376,0,1,0.20413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.25,0.05,1,0.05,0,0.05,25440,11.0346,0.760463,1.37712,25440,2,6413,1603.25,1603.25,24123.1,3.37035e+06,3.39448e+06,0.563937,0.409504,0.0125,25440,66,13114,0.00503279,0,0,0,7315,10046,0.728151,0,0,0,3.39996e+06,23918.9,0,0,-97595.1,5.43524,7035.02,0,0,-97595.1,5.43524,9758.58,5.43524,11791,4.9525,11496.5,15.8936,0.365501,6413,387,1,585395,0.00535461,9.14701e-09,-1.15461e-11,698147,147947,254455,12.7228,11.8578,9108.35,0,0,-50955.7,1.63233e-08,3.34324e-09,11.8578,9255.2,0,0,-50747.7,11.0346,3.40016e+06,24123.1,0,0,-50749.7,11.0346,3.39448e+06,24123.1,0,0,-50749.5,0.110043,0.00605471,0.00638525,0.118012,0.00696337,0.00734351,0.0611667,0.00180239,0.00190079,31.8132,14.0048,0,5542.83,-11601.4,0,0,0,-50749.5,0,0,-50749.5,0,0,-50749.5,0,1.10346,23895,23897,63.3776,11.2561,0,11.0346,0.0221072,0,1,0.12242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.3,0.05,1,0.05,0,0.05,25440,9.38017,0.77662,1.47706,25440,2,6402,1600.5,1600.5,27751.3,3.3646e+06,3.39235e+06,0.315464,0.213576,0.000550314,25440,6,5125,0.00117073,0,0,0,133,5088,0.0261399,0,0,0,3.39448e+06,24123.1,0,0,-50749.5,7.63888,6951.04,0,0,-50749.5,7.63888,9231.1,7.63888,11547.1,6.0049,11278.2,19.8166,0.38563,6402,387,1,617104,0.00590138,9.56303e-09,-1.137e-11,276709,118006,235721,11.7861,8.41577,10120.4,0,0,-46015.5,1.53461e-08,3.68779e-09,8.41577,10210.7,0,0,-45792.8,9.38017,3.3981e+06,27751.3,0,0,-45793.8,9.38017,3.39235e+06,27751.3,0,0,-45793.8,0.11115,0.00617716,0.00566269,0.123679,0.0076483,0.00701131,0.0243333,0.0015115,0.00138562,31.8238,13.9818,0,5381.2,-11743.5,0,0,0,-45793.8,0,0,-45793.8,0,0,-45793.8,0,0.938017,23894,23896,63.4077,11.3347,0,-1.5181,9.2565,0,1,0.0922977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.35,0.05,1,0.05,0,0.05,25440,10.3572,0.76467,1.56564,25440,2,6420,1605,1605,31179.5,3.35887e+06,3.39005e+06,0.299501,0.191296,0.000746855,25440,2,5158,0.000387747,0,0,0,212,4280,0.0495327,0,0,0,3.39235e+06,27751.3,0,0,-45793.8,5.9263,8369.4,0,0,-45793.8,5.9335,10724.1,5.9335,13370.3,5.9335,13132.8,16.0597,0.375415,6420,391,1,601602,0.00599829,9.97053e-09,-1.44221e-11,281767,123591,224408,11.2204,11.8331,11919.5,0,0,-38543.1,1.60009e-08,3.74309e-09,11.8331,12079.6,0,0,-38301.8,10.3572,3.39578e+06,31179.5,0,0,-38303.7,10.3572,3.39005e+06,31179.5,0,0,-38303,0.14713,0.0108237,0.00883126,0.142552,0.0101606,0.00829022,0.014125,0.00328487,0.00268019,31.833,13.9588,0,4631.75,-11684.8,0,0,0,-38303,0,0,-38303,0,0,-38303,0,1.03572,23918,23920,63.4422,14.2151,0,5.08805,9.02122,0,1,0.057827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.4,0.05,1,0.05,0,0.05,25440,8.56164,0.65648,1.60778,25440,2,6408,1602,1602,32880.5,3.35398e+06,3.38686e+06,0.450968,0.280492,0.0126965,25440,53,13370,0.0039641,0,0,0,86,6551,0.0131278,0,0,0,3.39005e+06,31179.5,0,0,-38303,6.70386,9201.92,0,0,-38303,6.70386,11519.3,6.70386,14441.8,6.424,14206.1,20.6269,0.394888,6408,398,1,632215,0.0061368,9.70682e-09,-1.5953e-11,473104,149143,197153,9.85765,7.18567,12531.6,0,0,-11688,1.8519e-08,3.83311e-09,7.18567,12569.6,0,0,-11602.3,8.56164,3.39175e+06,32880.5,0,0,-11603.6,8.56164,3.38686e+06,32880.5,0,0,-11605.7,0.141243,0.00997473,0.00771756,0.123445,0.00761931,0.00589515,0.0430417,0.00117499,0.000909101,31.8365,13.9392,0,1740.27,-9985.5,0,0,0,-11605.7,0,0,-11605.7,0,0,-11605.7,0,0.856164,23918,23920,63.4476,14.2261,0,-1.07853,8.49343,0,1,0.0523508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.45,0.05,1,0.05,0,0.05,25440,7.60805,0.643752,1.70047,25440,2,6423,1605.75,1605.75,36781,3.349e+06,3.38579e+06,0.241329,0.141919,0.00593553,25440,72,5093,0.0141371,0,0,0,133,5085,0.0261554,0,0,0,3.38686e+06,32880.5,0,0,-11605.7,6.424,10019.5,0,0,-11605.7,6.9145,12150,6.9145,15462.2,6.9145,15303.2,13.4804,0.322128,6423,397,1,516330,0.00490447,9.49871e-09,-2.71537e-11,265252,122899,163863,8.19314,6.9145,14303.5,0,0,-3807.3,1.42398e-08,3.0598e-09,6.9145,14274.7,0,0,-3789.75,7.60805,3.39076e+06,36781,0,0,-3790.34,7.60805,3.38579e+06,36781,0,0,-3791.42,0.12064,0.00727702,0.00503323,0.0619643,0.00191979,0.00132784,0.024,0.000181749,0.000125708,31.8381,13.9193,0,805.636,-10155.5,0,0,0,-3791.42,0,0,-3791.42,0,0,-3791.42,0,0.760805,23918,23920,63.4487,14.2299,0,-1.80906,7.38984,0,1,0.0513141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.5,0.05,1,0.05,0,0.05,25440,7.405,0.666151,1.81116,25440,2,6433,1608.25,1608.25,41725.3,3.34372e+06,3.38545e+06,0.132137,0.0729574,0.000393082,25440,2,2172,0.00092081,0,0,0,8,2131,0.00375411,0,0,0,3.38579e+06,36781,0,0,-3791.42,6.9145,11226.4,0,0,-3791.42,7.405,13390.1,7.405,17100,7.405,17004,10.1244,0.216624,6433,387,1,347490,0.00336411,9.68116e-09,-2.14428e-11,239347,114747,102766,5.13832,7.405,16240,0,0,-2039.69,1.0066e-08,2.09717e-09,7.405,16222.6,0,0,-2084.34,7.405,3.39073e+06,41725.3,0,0,-2083.96,7.405,3.38545e+06,41725.3,0,0,-2085.1,0.108704,0.00590828,0.00360229,0.0306607,0.000470039,0.000286584,0.00783333,1.9699e-05,1.20105e-05,31.8394,13.8981,0,670.798,-10772.6,0,0,0,-2085.1,0,0,-2085.1,0,0,-2085.1,0,0.7405,24234,24236,28.9818,42.559,0,5.28761e-16,-7.405,0,0,20.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.55,0.05,1,0.05,0,0.05,25440,7.8955,0.685688,1.92082,25440,2,6425,1606.25,1606.25,46931.2,3.33815e+06,3.38508e+06,0.148979,0.07756,0.00188679,25440,25,2352,0.0106293,0,0,0,11,2091,0.00526064,0,0,0,3.38545e+06,41725.3,0,0,-2085.1,7.405,12613,0,0,-2085.1,7.8955,14833.4,7.8955,18847.4,7.8955,18768.3,12.855,0.2429,6425,380,1,389399,0.00376995,9.68145e-09,-2.16503e-11,241414,115605,103727,5.18636,7.8955,17977.5,0,0,289.099,1.0317e-08,2.35163e-09,7.8955,17928.6,0,0,240.713,7.8955,3.39065e+06,46931.2,0,0,240.495,7.8955,3.38508e+06,46931.2,0,0,240.352,0.102481,0.00525121,0.00284653,0.0322834,0.000521108,0.000282477,0.00508333,8.72664e-05,4.73045e-05,31.8402,13.8758,0,405.956,-11369.9,0,0,0,240.352,0,0,240.352,0,0,240.352,0,0.78955,24488,24490,30.6846,34.0388,0,2.51081e-16,-7.8955,0,0,29.4612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.6,0.05,1,0.05,0,0.05,25440,8.386,0.714191,2.03425,25440,2,6414,1603.5,1603.5,52637.4,3.33223e+06,3.38486e+06,0.119152,0.058573,0.000628931,25440,8,1619,0.00494132,0,0,0,9,1580,0.0056962,0,0,0,3.38508e+06,46931.2,0,0,240.352,7.8955,13700.4,0,0,240.352,8.386,15952.2,8.386,20452.6,8.386,20410.8,4.76833,0.158943,6414,374,1,254586,0.00247501,9.7217e-09,-2.47587e-11,236037,113200,29477.7,1.47388,8.386,19680.1,0,0,872.064,7.49023e-09,1.54519e-09,8.386,19653,0,0,830.062,8.386,3.39079e+06,52637.4,0,0,830.062,8.386,3.38486e+06,52637.4,0,0,830.09,0.0927873,0.00430474,0.00208051,0.0185101,0.000171313,8.27966e-05,0.003125,5.25971e-06,2.54205e-06,31.8411,13.8521,0,452.168,-12072.3,0,0,0,830.09,0,0,830.09,0,0,830.09,0,0.8386,24877,24879,32.5902,42.348,0,3.97198e-16,-8.386,0,0,21.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.65,0.05,1,0.05,0,0.05,25440,8.8765,0.745772,2.14845,25440,2,6432,1608,1608,58713.7,3.32593e+06,3.38465e+06,0.121795,0.0566894,0.00165094,25440,14,1833,0.00763775,0,0,0,31,1560,0.0198718,0,0,0,3.38486e+06,52637.4,0,0,830.09,8.386,16064.3,0,0,830.09,8.8765,18470.2,8.8765,23464,8.8765,23424.2,2.21889,0.149933,6432,372,1,240492,0.0023887,9.93252e-09,-1.97328e-11,235947,112023,29674.5,1.48372,8.8765,22698.2,0,0,342.4,6.09031e-09,1.48922e-09,8.8765,22670.7,0,0,298.962,8.8765,3.39094e+06,58713.7,0,0,298.906,8.8765,3.38465e+06,58713.7,0,0,298.993,0.0861334,0.00370948,0.00160728,0.0109138,5.95552e-05,2.58046e-05,0.00329167,4.04543e-07,1.75284e-07,31.8424,13.8268,0,637.702,-12836.2,0,0,0,298.993,0,0,298.993,0,0,298.993,0,0.88765,24007,24009,27.759,32.9881,0,-3.97644e-16,-8.8765,0,0,27.259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.7,0.05,1,0.05,0,0.05,25440,9.367,0.773317,2.26254,25440,2,6432,1608,1608,65114.9,3.31932e+06,3.38443e+06,0.121119,0.0535323,0.00153302,25440,23,1758,0.013083,0,0,0,240,1732,0.138568,0,0,0,3.38465e+06,58713.7,0,0,298.993,8.8765,17917.8,0,0,298.993,9.367,20434.7,9.367,26041.4,9.367,26001.5,2.88218,0.150192,6432,388,1,240908,0.00235882,9.79139e-09,-4.46008e-11,237049,114185,24743.2,1.23716,9.367,25261.3,0,0,1788.04,6.77146e-09,1.47059e-09,9.367,25230.4,0,0,1749.34,9.367,3.39105e+06,65114.9,0,0,1749.43,9.367,3.38443e+06,65114.9,0,0,1749.49,0.0805812,0.00324667,0.00126845,0.00970183,4.70628e-05,1.83871e-05,0.00229167,1.91025e-06,7.46321e-07,31.8435,13.8003,0,584.019,-13485.9,0,0,0,1749.49,0,0,1749.49,0,0,1749.49,0,0.9367,25042,25044,34.2987,31.6966,0,-3.34225e-16,-9.367,0,0,29.2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.75,0.05,1,0.05,0,0.05,25440,9.8575,0.803108,2.37718,25440,2,6432,1608,1608,71880.7,3.31236e+06,3.38424e+06,0.117639,0.0494869,0,25440,0,1537,0,0,0,0,13,1517,0.00856955,0,0,0,3.38443e+06,65114.9,0,0,1749.49,9.367,19876.8,0,0,1749.49,9.8575,22481.1,9.8575,28653.5,9.8575,28614,1.58728,0.143901,6432,375,1,230816,0.00230217,9.97403e-09,-2.14821e-11,236426,113117,14855.6,0.742778,9.8575,27884.8,0,0,2263.05,5.95763e-09,1.43527e-09,9.8575,27857.1,0,0,2221.02,9.8575,3.3912e+06,71880.7,0,0,2221.04,9.8575,3.38424e+06,71880.7,0,0,2221.09,0.0757233,0.00286701,0.00101469,0.00741982,2.75269e-05,9.7423e-06,0.00166667,1.29644e-07,4.58837e-08,31.8448,13.7724,0,648.04,-14192.5,0,0,0,2221.09,0,0,2221.09,0,0,2221.09,0,0.98575,25042,25044,34.2987,31.2038,0,-3.26626e-16,-9.8575,0,0,29.2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.8,0.05,1,0.05,0,0.05,25440,10.348,0.832647,2.49192,25440,2,6435,1608.75,1608.75,78987,3.30505e+06,3.38404e+06,0.117912,0.0473179,0.000117925,25440,0,1538,0,0,0,0,19,1490,0.0127517,0,0,0,3.38424e+06,71880.7,0,0,2221.09,9.8575,21945.1,0,0,2221.09,10.348,24644.2,10.348,31419.5,10.348,31379.9,4.09596,0.153494,6435,373,1,246260,0.0021966,8.91982e-09,-2.7654e-11,236677,113317,29281.3,1.46407,10.348,30648.2,0,0,2808.89,6.5934e-09,1.36914e-09,10.348,30619.3,0,0,2767.13,10.348,3.39134e+06,78987,0,0,2767.05,10.348,3.38404e+06,78987,0,0,2767.09,0.0713192,0.00254321,0.000819113,0.00646762,2.0915e-05,6.73627e-06,0.00195833,1.32788e-07,4.27682e-08,31.8462,13.7432,0,690.969,-14897.4,0,0,0,2767.09,0,0,2767.09,0,0,2767.09,0,1.0348,24739,24741,32.3894,33.0044,0,8.20731e-16,-10.348,0,0,30.4956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.85,0.05,1,0.05,0,0.05,25440,10.8385,0.862586,2.60696,25440,2,6438,1609.5,1609.5,86448.4,3.2974e+06,3.38385e+06,0.117574,0.0451,0,25440,0,1511,0,0,0,0,3,1494,0.00200803,0,0,0,3.38404e+06,78987,0,0,2767.09,10.348,24115.2,0,0,2767.09,10.8385,26909.3,10.8385,34313.7,10.8385,34275,1.82284,0.142878,6438,373,1,229282,0.00212373,9.26252e-09,-3.63501e-11,236603,113165,17647.4,0.882371,10.8385,33545.3,0,0,3295.83,5.7839e-09,1.32341e-09,10.8385,33517.7,0,0,3255.52,10.8385,3.3915e+06,86448.4,0,0,3255.44,10.8385,3.38385e+06,86448.4,0,0,3255.47,0.0669999,0.00224449,0.000660508,0.00637155,2.02983e-05,5.97339e-06,0.001375,2.36428e-07,6.95759e-08,31.8476,13.7125,0,746.531,-15604.6,0,0,0,3255.47,0,0,3255.47,0,0,3255.47,0,1.08385,24185,24187,28.6369,33.4335,0,-7.83319e-16,-10.8385,0,0,28.1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.9,0.05,1,0.05,0,0.05,25440,11.329,0.892674,2.72215,25440,2,6440,1610,1610,94256.7,3.2894e+06,3.38365e+06,0.117512,0.0431689,3.93082e-05,25440,0,1490,0,0,0,0,5,1479,0.00338066,0,0,0,3.38385e+06,86448.4,0,0,3255.47,10.8385,26392.8,0,0,3255.47,11.329,29276.8,11.329,37282.2,11.329,37243.8,1.13569,0.140984,6440,376,1,226278,0.0021637,9.56216e-09,-4.76879e-11,236607,113183,14955.8,0.747788,11.329,36514.1,0,0,3715.45,5.37709e-09,1.34811e-09,11.329,36488,0,0,3676.52,11.329,3.39165e+06,94256.7,0,0,3676.5,11.329,3.38365e+06,94256.7,0,0,3676.52,0.0632895,0.00200278,0.000540553,0.00603466,1.82085e-05,4.91451e-06,0.00191667,1.2185e-06,3.28874e-07,31.8492,13.6804,0,801.547,-16312.9,0,0,0,3676.52,0,0,3676.52,0,0,3676.52,0,1.1329,24027,24029,27.8773,32.9497,0,1.18802e-16,-11.329,0,0,27.3773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.95,0.05,1,0.05,0,0.05,25440,11.8195,0.922895,2.83749,25440,2,6432,1608,1608,102413,3.28105e+06,3.38346e+06,0.117636,0.0414578,0,25440,0,1498,0,0,0,0,11,1462,0.00752394,0,0,0,3.38365e+06,94256.7,0,0,3676.52,11.329,28585.4,0,0,3676.52,11.8195,31536.2,11.8195,39951.6,11.8195,39913.3,1.81341,0.141816,6432,373,1,227472,0.00212034,9.32135e-09,-2.89264e-11,236521,113187,14785.6,0.739281,11.8195,39184,0,0,4183.99,5.63321e-09,1.32192e-09,11.8195,39157.7,0,0,4146.54,11.8195,3.39181e+06,102413,0,0,4146.64,11.8195,3.38346e+06,102413,0,0,4146.69,0.0598567,0.00179141,0.000444998,0.0056092,1.57316e-05,3.90782e-06,0.00179167,1.68012e-07,4.17352e-08,31.8509,13.647,0,860.977,-17020.5,0,0,0,4146.69,0,0,4146.69,0,0,4146.69,0,1.18195,25008,25010,33.6445,35.1089,0,-1.23942e-15,-11.8195,0,0,28.3911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,0.05,1,0.05,0,0.05,25440,12.31,0.953431,2.95299,25440,2,6429,1607.25,1607.25,110920,3.27235e+06,3.38327e+06,0.117494,0.0397882,0,25440,0,1471,0,0,0,0,2,1460,0.00136986,0,0,0,3.38346e+06,102413,0,0,4146.69,11.8195,30359.8,0,0,4146.69,12.31,33369.4,12.31,42598.3,12.31,42560,1.15945,0.14149,6429,372,1,226896,0.0022474,9.905e-09,-2.61141e-11,236755,113468,15109.6,0.755478,12.31,41829.9,0,0,4612.23,6.95411e-09,1.40146e-09,12.31,41802.1,0,0,4575.67,12.31,3.39197e+06,110920,0,0,4575.61,12.31,3.38327e+06,110920,0,0,4575.63,0.0567406,0.00160975,0.000369202,0.00568587,1.61646e-05,3.70741e-06,0.00141667,7.58149e-08,1.73885e-08,31.8527,13.6122,0,918.079,-17728.3,0,0,0,4575.63,0,0,4575.63,0,0,4575.63,0,1.231,24012,24014,27.6408,29.9105,0,1.12019e-15,-12.31,0,0,27.1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
