Fluid simulation profile
dimension=2
steps=3600
simulated_substeps=3600
domain=64
dx=0.5
frame_dt=0.05
scene=6
fluid_solver=flip
polypic_modes=4
jitter_seed=1
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=20
particle_frames=3601
particles=25440
wall_ms=2014613.770

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\cfl_settling_dx_05_dt005\20260629-171551\runs\FLIP_095
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",1221529,1702657.752,1702657.752,86.15,1.393874
2,"Diagnostics::record_step",3600,86613.417,86694.536,4.38,24.059282
3,"Fluid_Simulation_2D::advect",3600,48038.730,48038.730,2.43,13.344092
4,"APIC_Simulation_2D::step",3600,46803.057,1889779.035,2.37,13.000849
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",3600,19663.053,19663.053,0.99,5.461959
6,"Fluid_Simulation_2D::projection_2d",3600,14407.990,1727340.952,0.73,4.002219
7,"APIC_Simulation_2D::particle_mechanical_energy",10800,10551.219,10551.219,0.53,0.976965
8,"Fluid_Simulation_2D::projection_dot_product",3671787,10103.811,10103.811,0.51,0.002752
9,"Fluid_Simulation_2D::grid_to_particle",3600,9950.335,9950.335,0.50,2.763982
10,"Fluid_Simulation_2D::particle_to_grid",3600,9169.274,9169.274,0.46,2.547021
11,"APIC_Simulation_2D::particle_kinetic_energy",10800,6973.853,6973.853,0.35,0.645727
12,"APIC_Simulation_2D::max_particle_speed",7200,5343.147,5343.147,0.27,0.742104
13,"APIC_Simulation_2D::max_grid_speed",21600,1823.030,1823.030,0.09,0.084400
14,"APIC_Simulation_2D::grid_kinetic_energy",21600,1504.417,1504.417,0.08,0.069649
15,"Fluid_Simulation_2D::extrapolate_velocity",7200,1179.853,1826.064,0.06,0.163869
16,"Fluid_Simulation_2D::init_marker_vectors",7200,646.210,646.210,0.03,0.089751
17,"Fluid_Simulation_2D::enforce_boundary",3600,322.207,322.207,0.02,0.089502
18,"APIC_Simulation_2D::divergence_stats",7200,300.972,300.972,0.02,0.041802
19,"Fluid_Simulation_2D::setup_rhs",3600,171.399,171.399,0.01,0.047611
20,"Fluid_Simulation::apply_forces_2d_settings",3600,168.726,168.726,0.01,0.046868
21,"Diagnostics::fluid_measure_from",3600,78.882,78.882,0.00,0.021912
22,"Diagnostics::bounds_from",3601,2.238,2.238,0.00,0.000621
