step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.05,0.05,1,0.05,0,0.05,25440,2.9905,0.46916,0.83707,25440,2,6360,1590,1590,8912.74,3.39415e+06,3.40306e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40444e+06,7139.03,0,0,-868.366,2.5,2105.74,0,0,-868.366,2.9905,3351.54,2.9905,4141.21,2.9905,4101.41,0.981,0.159256,6360,357,1,254013,0.00246931,9.72121e-09,-20152.3,233693,90540.6,29851.2,1.49256,2.9905,3339.97,0,0,-25462.4,5.92532e-09,1.54816e-09,2.9905,3293.75,0,0,-25368.3,2.9905,3.40621e+06,8912.74,0,0,-25368.6,2.9905,3.40306e+06,8912.74,0,0,-25368.5,0.00175367,1.53768e-06,4.38908e-06,0,0,0,0,0,0,31.7674,14.1002,0,1659.94,-6429.4,0,0,0,-25368.5,0,0,-25368.5,0,0,-25368.5,0,0.29905,24060,24062,27.7438,43.3883,0,-1.7934e-17,-2.9905,0,0,20.1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.1,0.05,1,0.05,0,0.05,25440,3.481,0.606571,1.0024,25440,2,6380,1595,1595,12781.2,3.38947e+06,3.40225e+06,0.244025,0.24344,0.00550314,25440,0,15972,0,0,0,0,0,0,0,0,0,0,3.40306e+06,8912.74,0,0,-25368.5,2.9905,2708.39,0,0,-25368.5,3.481,4333.1,3.481,5325.75,3.481,5252.74,1.82869,0.140185,6380,367,1,223946,0.00215912,9.64128e-09,-1.00605e-11,228880,85172.5,29594.3,1.47971,3.481,4679.66,0,0,-54226.9,5.21353e-09,1.35157e-09,3.481,4730.01,0,0,-53980,3.481,3.40693e+06,12781.2,0,0,-53980.5,3.481,3.40225e+06,12781.2,0,0,-53980.3,0.00422689,8.93329e-06,1.7781e-05,0.00322568,5.2025e-06,1.03551e-05,0.0267083,1.11169e-06,2.21273e-06,31.775,14.0814,0,3849.58,-9542.68,0,0,0,-53980.3,0,0,-53980.3,0,0,-53980.3,0,0.3481,24031,24033,27.9595,39.4505,0,4.01436e-17,-3.481,0,0,24.0495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.15,0.05,1,0.05,0,0.05,25440,4.63717,0.749165,1.19016,25440,2,6394,1598.5,1598.5,18017.6,3.38332e+06,3.40134e+06,0.238263,0.200194,0.00377358,25440,0,16068,0,0,0,0,1,16057,6.22781e-05,0,0,0,3.40225e+06,12781.2,0,0,-53980.3,3.481,3854.45,0,0,-53980.3,3.9715,5886.14,3.9715,7195.37,3.9715,7046.82,6.81159,0.189305,6394,368,1,302745,0.00298648,9.86466e-09,-9.96339e-12,229176,86078,72164.7,3.60823,4.97988,6448.9,0,0,-80978.2,7.14433e-09,1.86743e-09,4.97988,6528.12,0,0,-80594.1,4.63717,3.40748e+06,18017.6,0,0,-80595.1,4.63717,3.40134e+06,18017.6,0,0,-80595.2,0.0181334,0.00016441,0.000232139,0.0175803,0.000154533,0.000218193,0.00858333,7.74397e-05,0.000109341,31.7868,14.0568,0,5980.92,-12521.2,0,0,0,-80595.2,0,0,-80595.2,0,0,-80595.2,0,0.463717,23815,23817,63.1494,1.24608,0,4.5419,-0.935155,0,1,0.350599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.2,0.05,1,0.05,0,0.05,25440,7.60004,0.873132,1.36928,25440,2,6389,1597.25,1597.25,23849,3.37604e+06,3.39989e+06,0.256596,0.187395,0.00231918,25440,2,12347,0.000161983,0,0,0,68,12347,0.00550741,0,0,0,3.40134e+06,18017.6,0,0,-80595.2,3.9715,5251.38,0,0,-80595.2,4.462,7641.22,4.462,9270.01,4.462,9027.32,10.4886,0.274404,6389,372,1,438670,0.00429203,9.78419e-09,-1.40805e-11,230378,90974.1,150001,7.50005,7.73811,8263.19,0,0,-97963,1.08817e-08,2.68482e-09,7.73811,8403.24,0,0,-97524,7.60004,3.40717e+06,23849,0,0,-97525.3,7.60004,3.39989e+06,23849,0,0,-97525.9,0.0511818,0.00130979,0.00139717,0.0541411,0.00146563,0.00156341,0.009375,0.000636757,0.000679236,31.8022,14.0276,0,7788.69,-14851,0,0,0,-97525.9,0,0,-97525.9,0,0,-97525.9,0,0.760004,23827,23829,63.2951,2.74946,0,7.59722,0.206951,0,1,0.204894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.25,0.05,1,0.05,0,0.05,25440,10.9992,0.756728,1.37358,25440,2,6412,1603,1603,23999.1,3.37035e+06,3.39435e+06,0.569987,0.414965,0.0123821,25440,71,13129,0.00540788,0,0,0,7349,10073,0.729574,0,0,0,3.39989e+06,23849,0,0,-97525.9,5.39948,7009.57,0,0,-97525.9,5.39948,9732.42,5.39948,11749,4.9525,11453.6,15.8886,0.365592,6412,387,1,585495,0.00529998,9.05214e-09,-1.44662e-11,698035,147885,253851,12.6925,11.8589,9068.42,0,0,-50888.7,1.34657e-08,3.30939e-09,11.8589,9217.14,0,0,-50679.4,10.9992,3.40004e+06,23999.1,0,0,-50682,10.9992,3.39435e+06,23999.1,0,0,-50681.7,0.0945422,0.00446912,0.00473744,0.106196,0.00563884,0.0059774,0.049125,0.00147092,0.00155923,31.8132,14.0048,0,5542.32,-11602.1,0,0,0,-50681.7,0,0,-50681.7,0,0,-50681.7,0,1.09992,23895,23897,63.3774,11.2568,0,10.999,-0.053722,0,1,0.122649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.3,0.05,1,0.05,0,0.05,25440,8.31915,0.77251,1.4722,25440,2,6402,1600.5,1600.5,27568.9,3.3646e+06,3.39217e+06,0.338353,0.229828,0.000668239,25440,8,5410,0.00147874,0,0,0,152,5381,0.0282475,0,0,0,3.39435e+06,23999.1,0,0,-50681.7,7.60354,6913.03,0,0,-50681.7,7.60354,9192.77,7.60354,11489,5.98722,11224.1,19.7231,0.373672,6402,387,1,597968,0.00579793,9.69605e-09,-1.15537e-11,276118,117902,236033,11.8017,8.44025,10071.7,0,0,-45940,1.45378e-08,3.62314e-09,8.44025,10166.1,0,0,-45714.1,8.31915,3.39792e+06,27568.9,0,0,-45715.6,8.31915,3.39217e+06,27568.9,0,0,-45714.6,0.0589117,0.00173529,0.00160129,0.111141,0.00617614,0.00569921,0.00466667,0.000512147,0.000472598,31.8238,13.9818,0,5386,-11747.9,0,0,0,-45714.6,0,0,-45714.6,0,0,-45714.6,0,0.831915,23907,23909,63.3517,12.7156,0,4.61204,6.92368,0,1,0.148285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.35,0.05,1,0.05,0,0.05,25440,10.5728,0.760189,1.56068,25440,2,6420,1605,1605,30982.3,3.35887e+06,3.38985e+06,0.311101,0.199337,0.000746855,25440,2,5030,0.000397614,0,0,0,224,4196,0.0533842,0,0,0,3.39217e+06,27568.9,0,0,-45714.6,6.12235,8322.3,0,0,-45714.6,6.12235,10677.4,5.9335,13305.9,5.9335,13069.3,16.6318,0.367188,6420,392,1,588418,0.00540387,9.18374e-09,-1.66419e-11,282159,123531,225034,11.2517,11.8559,11863.1,0,0,-38508.3,1.7042e-08,3.37216e-09,11.8559,12027.1,0,0,-38264.4,10.5728,3.39558e+06,30982.3,0,0,-38267.3,10.5728,3.38985e+06,30982.3,0,0,-38266.5,0.119036,0.00708478,0.00581741,0.132219,0.00874088,0.00717725,0.00620833,0.00210395,0.00172758,31.833,13.9588,0,4641.97,-11689.7,0,0,0,-38266.5,0,0,-38266.5,0,0,-38266.5,0,1.05728,23918,23920,63.442,14.2144,0,5.69145,8.91022,0,1,0.0580367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.4,0.05,1,0.05,0,0.05,25440,6.424,0.648182,1.599,25440,2,6409,1602.25,1602.25,32522.4,3.35398e+06,3.3865e+06,0.475544,0.297402,0.0123821,25440,58,15105,0.00383979,0,0,0,98,8539,0.0114768,0,0,0,3.38985e+06,30982.3,0,0,-38266.5,6.79244,9129.95,0,0,-38266.5,6.79244,11447.7,6.79244,14377.2,6.424,14139.7,20.376,0.38798,6409,398,1,621204,0.00605313,9.74418e-09,-1.30905e-11,473610,149121,196968,9.84841,7.23531,12467.2,0,0,-11603,1.92862e-08,3.78055e-09,7.23531,12508.7,0,0,-11512.1,6.424,3.39139e+06,32522.4,0,0,-11514.7,6.424,3.3865e+06,32522.4,0,0,-11516.1,0.040263,0.000810554,0.000634041,0.122515,0.00750498,0.00587063,0.023375,1.33563e-06,1.04477e-06,31.8365,13.9392,0,1749.3,-9987.63,0,0,0,-11516.1,0,0,-11516.1,0,0,-11516.1,0,0.6424,24062,24064,27.7588,41.6748,0,-1.0051e-16,-6.424,0,0,21.8252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.45,0.05,1,0.05,0,0.05,25440,6.9145,0.635184,1.69285,25440,2,6423,1605.75,1605.75,36452.1,3.349e+06,3.38545e+06,0.244951,0.144697,0.00613208,25440,76,5482,0.0138636,0,0,0,134,5474,0.0244794,0,0,0,3.3865e+06,32522.4,0,0,-11516.1,6.424,9939.02,0,0,-11516.1,6.9145,12069.5,6.9145,15370.6,6.9145,15220.8,13.6724,0.299678,6423,397,1,480346,0.00479291,9.97803e-09,-1.52049e-11,265232,122821,163937,8.19683,6.9145,14228,0,0,-3662.65,1.43129e-08,2.9902e-09,6.9145,14203.3,0,0,-3642.93,6.9145,3.39043e+06,36452.1,0,0,-3645.35,6.9145,3.38545e+06,36452.1,0,0,-3645.92,0.0205812,0.000211793,0.000147811,0.0419268,0.000878928,0.000613406,0.0303333,2.6437e-05,1.84504e-05,31.8381,13.9193,0,816.368,-10155.9,0,0,0,-3645.92,0,0,-3645.92,0,0,-3645.92,0,0.69145,24053,24055,27.5281,40.7039,0,-2.39546e-16,-6.9145,0,0,22.7961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.5,0.05,1,0.05,0,0.05,25440,7.405,0.657463,1.80404,25440,2,6433,1608.25,1608.25,41397.9,3.34372e+06,3.38512e+06,0.132042,0.0731923,0.000235849,25440,0,2091,0,0,0,0,19,2054,0.00925024,0,0,0,3.38545e+06,36452.1,0,0,-3645.92,6.9145,11152.4,0,0,-3645.92,7.405,13315.8,7.405,17005.6,7.405,16914.9,10.2122,0.199348,6433,388,1,319779,0.00305455,9.55208e-09,-2.01674e-11,239358,114687,101821,5.09106,7.405,16154,0,0,-1922.31,7.60215e-09,1.90419e-09,7.405,16138.8,0,0,-1963.55,7.405,3.3904e+06,41397.9,0,0,-1964.58,7.405,3.38512e+06,41397.9,0,0,-1964.9,0.0172056,0.000148015,9.09592e-05,0.0168704,0.000142304,8.74496e-05,0.003125,1.36667e-06,8.39853e-07,31.8395,13.8981,0,683.919,-10771.9,0,0,0,-1964.9,0,0,-1964.9,0,0,-1964.9,0,0.7405,24056,24058,27.6943,40.6391,0,1.62577e-16,-7.405,0,0,22.8609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
