Fluid simulation profile
dimension=2
steps=3600
simulated_substeps=3600
domain=64
dx=0.5
frame_dt=0.05
scene=6
fluid_solver=flip
polypic_modes=4
jitter_seed=1
flip_percent=0
adaptive=false
diagnostics=true
particle_export=true
particle_fps=20
particle_frames=3601
particles=25440
wall_ms=2396924.661

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\cfl_settling_dx_05_dt005\20260629-171551\runs\PIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",1277615,2084079.598,2084079.598,88.35,1.631227
2,"Diagnostics::record_step",3600,84917.169,84996.224,3.60,23.588102
3,"Fluid_Simulation_2D::advect",3600,47570.124,47570.124,2.02,13.213923
4,"APIC_Simulation_2D::step",3600,46288.859,2273945.012,1.96,12.858016
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",3600,19638.642,19638.642,0.83,5.455178
6,"Fluid_Simulation_2D::projection_2d",3600,17223.767,2113875.574,0.73,4.784380
7,"Fluid_Simulation_2D::projection_dot_product",3840045,12380.652,12380.652,0.52,0.003224
8,"APIC_Simulation_2D::particle_mechanical_energy",10800,10463.637,10463.637,0.44,0.968855
9,"Fluid_Simulation_2D::grid_to_particle",3600,9503.081,9503.081,0.40,2.639745
10,"Fluid_Simulation_2D::particle_to_grid",3600,8589.492,8589.492,0.36,2.385970
11,"APIC_Simulation_2D::particle_kinetic_energy",10800,6901.560,6901.560,0.29,0.639033
12,"APIC_Simulation_2D::max_particle_speed",7200,5316.302,5316.302,0.23,0.738375
13,"APIC_Simulation_2D::max_grid_speed",21600,1772.864,1772.864,0.08,0.082077
14,"APIC_Simulation_2D::grid_kinetic_energy",21600,1447.052,1447.052,0.06,0.066993
15,"Fluid_Simulation_2D::extrapolate_velocity",7200,1162.201,1790.017,0.05,0.161417
16,"Fluid_Simulation_2D::init_marker_vectors",7200,627.815,627.815,0.03,0.087197
17,"APIC_Simulation_2D::divergence_stats",7200,315.130,315.130,0.01,0.043768
18,"Fluid_Simulation_2D::enforce_boundary",3600,306.326,306.326,0.01,0.085091
19,"Fluid_Simulation_2D::setup_rhs",3600,191.557,191.557,0.01,0.053210
20,"Fluid_Simulation::apply_forces_2d_settings",3600,166.352,166.352,0.01,0.046209
21,"Diagnostics::fluid_measure_from",3600,76.899,76.899,0.00,0.021361
22,"Diagnostics::bounds_from",3601,2.157,2.157,0.00,0.000599
