step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.05,0.05,1,0.05,0,0.05,25440,2.9905,0.46916,0.83707,25440,2,6360,1590,1590,8912.74,3.39415e+06,3.40306e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40444e+06,7139.03,0,0,-868.366,2.5,2105.74,0,0,-868.366,2.9905,3351.54,2.9905,4141.21,2.9905,4101.41,0.981,0.159256,6360,357,1,254013,0.00246931,9.72121e-09,-20152.3,233693,90540.6,29851.2,1.49256,2.9905,3339.97,0,0,-25462.4,5.92532e-09,1.54816e-09,2.9905,3293.75,0,0,-25368.3,2.9905,3.40621e+06,8912.74,0,0,-25368.3,2.9905,3.40306e+06,8912.74,0,0,-25368.2,0.00175367,1.53768e-06,4.38908e-06,0,0,0,0,0,0,31.7674,14.1002,0,1659.94,-6429.4,0,0,0,-25368.5,0,0,-25368.2,0,0,-25368.5,0,0.29905,24060,24062,27.7438,43.3883,0,-1.7934e-17,-2.9905,0,0,20.1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9905
1,0.1,0.05,1,0.05,0,0.05,25440,3.481,0.607246,1.00332,25440,2,6380,1595,1595,12804.7,3.38946e+06,3.40227e+06,0.24424,0.24343,0.00550314,25440,0,15933,0,0,0,0,0,0,0,0,0,0,3.40306e+06,8912.74,0,0,-25368.2,2.9905,2714.62,0,0,-25368.2,3.481,4339.18,3.481,5341.02,3.481,5267.56,1.85664,0.139656,6380,367,1,223099,0.00211979,9.50156e-09,-7.30967e-12,228941,85154.6,28735.2,1.43676,3.481,4694.78,0,0,-54295,5.68611e-09,1.32694e-09,3.481,4745.34,0,0,-54048.5,3.481,3.40695e+06,12804.7,0,0,-54048.5,3.481,3.40227e+06,12804.7,0,0,-54048.2,0.00434786,9.45195e-06,1.87788e-05,0.00333014,5.54492e-06,1.10165e-05,0.0263333,1.06953e-06,2.1249e-06,31.775,14.0814,0,3852.34,-9545.97,0,0,0,-54048.7,0,0,-54048.2,0,0,-54048.7,0,0.3481,24057,24059,27.5186,42.9784,0,-1.4672e-16,-3.481,0,0,20.5216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.481
2,0.15,0.05,1,0.05,0,0.05,25440,4.63961,0.75073,1.19199,25440,2,6394,1598.5,1598.5,18073.1,3.38331e+06,3.40139e+06,0.238765,0.200308,0.0038522,25440,0,16058,0,0,0,0,1,16044,6.23286e-05,0,0,0,3.40227e+06,12804.7,0,0,-54048.2,3.481,3875.02,0,0,-54048.2,3.9715,5907.37,3.9715,7232.9,3.9715,7079.09,7.35391,0.193672,6394,368,1,309730,0.00295643,9.54519e-09,-9.06505e-12,229236,86026.3,74837.7,3.74189,4.95539,6482.24,0,0,-81183.4,8.79515e-09,1.84864e-09,4.95539,6561.53,0,0,-80800.8,4.63961,3.40754e+06,18073.1,0,0,-80800.8,4.63961,3.40139e+06,18073.1,0,0,-80801,0.018309,0.00016761,0.000235931,0.0177561,0.000157639,0.000221896,0.00816667,7.19058e-05,0.000101216,31.7868,14.0568,0,5989.21,-12533.2,0,0,0,-80801.7,0,0,-80801,0,0,-80801.7,0,0.463961,23815,23817,63.1491,1.2424,0,4.5405,-0.953862,0,1,0.35095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36469
3,0.2,0.05,1,0.05,0,0.05,25440,7.59065,0.874896,1.37124,25440,2,6389,1597.25,1597.25,23917.3,3.37603e+06,3.39995e+06,0.25754,0.187816,0.00227987,25440,2,12333,0.000162167,0,0,0,69,12329,0.00559656,0,0,0,3.40139e+06,18073.1,0,0,-80801,5.10782,5282.37,0,0,-80801,5.10782,7674.94,5.10782,9320.77,4.462,9089.75,16.3049,0.332993,6389,370,1,532332,0.00517858,9.72812e-09,-9.62653e-12,230479,91057.9,147526,7.3763,7.74833,8310.9,0,0,-98053.9,1.9597e-08,3.2394e-09,7.74833,8448.4,0,0,-97618.2,7.59065,3.40723e+06,23917.3,0,0,-97618.2,7.59065,3.39995e+06,23917.3,0,0,-97618.9,0.0512032,0.00131089,0.00139434,0.0542357,0.00147075,0.00156439,0.00916667,0.000573296,0.000609794,31.8022,14.0276,0,7793.62,-14854,0,0,0,-97620.3,0,0,-97618.9,0,0,-97620.3,0,0.759065,23827,23829,63.2955,2.75157,0,7.58638,0.254524,0,1,0.204454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09181
4,0.25,0.05,1,0.05,0,0.05,25440,10.9166,0.759547,1.3765,25440,2,6412,1603,1603,24101.4,3.37034e+06,3.39444e+06,0.570396,0.41438,0.0122642,25440,67,13194,0.00507807,0,0,0,7339,10077,0.728292,0,0,0,3.39995e+06,23917.3,0,0,-97618.9,6.64742,7073.97,0,0,-97618.9,6.64742,9798.91,6.39685,11829.5,5.51194,11546.4,23.0078,0.459438,6412,385,1,735790,0.00698024,9.48673e-09,-1.47824e-11,709632,147816,247731,12.3866,11.7855,9141.42,0,0,-51147.3,2.26838e-08,4.35857e-09,11.7855,9288.76,0,0,-50935.1,10.9166,3.40013e+06,24101.4,0,0,-50935.1,10.9166,3.39444e+06,24101.4,0,0,-50934.4,0.0945367,0.00446859,0.00471679,0.106053,0.00562363,0.00593598,0.0477917,0.00075257,0.000794369,31.8132,14.0048,0,5555.96,-11616.4,0,0,0,-50937.4,0,0,-50934.4,0,0,-50937.4,0,1.09166,23895,23897,63.3741,11.2541,0,10.9165,-0.0370002,0,1,0.125911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9072
5,0.3,0.05,1,0.05,0,0.05,25440,8.24491,0.775746,1.47558,25440,2,6401,1600.25,1600.25,27695.8,3.36458e+06,3.39227e+06,0.340547,0.230788,0.000589623,25440,8,5437,0.0014714,0,0,0,153,5400,0.0283333,0,0,0,3.39444e+06,24101.4,0,0,-50934.4,8.65311,7034.84,0,0,-50934.4,8.65311,9317.46,8.65311,11613.3,6.84413,11339.4,27.6978,0.433967,6401,384,1,694401,0.00690453,9.94315e-09,-1.35389e-11,290449,118037,235218,11.7609,8.48851,10160.1,0,0,-46155.2,1.75573e-08,4.31499e-09,8.48851,10250.6,0,0,-45930,8.24491,3.39803e+06,27695.8,0,0,-45930,8.24491,3.39227e+06,27695.8,0,0,-45928.7,0.0594507,0.00176719,0.00162326,0.110767,0.00613469,0.00563503,0.00366667,0.000479765,0.000440689,31.8239,13.9817,0,5396.34,-11758.4,0,0,0,-45931.9,0,0,-45928.7,0,0,-45931.9,0,0.824491,23907,23909,63.3552,12.7118,0,4.56198,6.86782,0,1,0.144825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2797
6,0.35,0.05,1,0.05,0,0.05,25440,10.7172,0.76326,1.56339,25440,2,6421,1605.25,1605.25,31090.1,3.35885e+06,3.38994e+06,0.313784,0.200708,0.000786164,25440,2,5026,0.000397931,0,0,0,229,4186,0.0547062,0,0,0,3.39227e+06,27695.8,0,0,-45928.7,8.63822,8433.9,0,0,-45928.7,8.63822,10791.4,6.03175,13418.7,5.9335,13193.4,23.4683,0.451589,6421,390,1,723727,0.00666906,9.21489e-09,-1.76843e-11,282871,123792,226105,11.3052,11.7082,11955.6,0,0,-38529.4,2.24605e-08,4.16134e-09,11.7082,12114.8,0,0,-38277.5,10.7172,3.39567e+06,31090.1,0,0,-38277.5,10.7172,3.38994e+06,31090.1,0,0,-38277.4,0.117672,0.00692336,0.00566516,0.131739,0.00867758,0.00710058,0.00575,0.00116904,0.000956588,31.8331,13.9587,0,4637.81,-11688,0,0,0,-38281.6,0,0,-38277.4,0,0,-38281.6,0,1.07172,23918,23920,63.4416,14.218,0,5.74814,9.04527,0,1,0.0584145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8906
7,0.4,0.05,1,0.05,0,0.05,25440,6.424,0.652382,1.6022,25440,2,6408,1602,1602,32652.7,3.35396e+06,3.38661e+06,0.473695,0.295653,0.0128931,25440,57,15127,0.0037681,0,0,0,105,8668,0.0121135,0,0,0,3.38994e+06,31090.1,0,0,-38277.4,7.61257,9227.98,0,0,-38277.4,7.61257,11547.5,7.61257,14514.2,6.76792,14275,26.0828,0.439803,6408,398,1,704124,0.00626614,8.8992e-09,-1.27352e-11,485096,149090,205397,10.2698,7.35259,12582.4,0,0,-11715.2,2.45209e-08,3.91389e-09,7.35259,12625.5,0,0,-11611,6.424,3.3915e+06,32652.7,0,0,-11611,6.424,3.38661e+06,32652.7,0,0,-11612.3,0.0411461,0.0008465,0.000659515,0.121224,0.00734763,0.0057246,0.0236667,2.19177e-06,1.70763e-06,31.8366,13.9391,0,1754.25,-9993.28,0,0,0,-11617.8,0,0,-11612.3,0,0,-11617.8,0,0.6424,24466,24468,30.281,42.1794,0,2.9975e-16,-6.424,0,0,21.3206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.424
8,0.45,0.05,1,0.05,0,0.05,25440,6.9145,0.639803,1.69645,25440,2,6422,1605.5,1605.5,36607.6,3.34898e+06,3.38559e+06,0.245424,0.144669,0.00593553,25440,74,5692,0.0130007,0,0,0,160,5671,0.0282137,0,0,0,3.38661e+06,32652.7,0,0,-11612.3,6.424,10036,0,0,-11612.3,6.9145,12172,6.9145,15552.1,6.9145,15375.3,16.091,0.337164,6422,396,1,540389,0.00523787,9.69277e-09,-2.08308e-11,266174,123318,165076,8.25381,6.9145,14363.1,0,0,-3867.92,1.39509e-08,3.26805e-09,6.9145,14325.7,0,0,-3836.98,6.9145,3.39056e+06,36607.6,0,0,-3836.98,6.9145,3.38559e+06,36607.6,0,0,-3838.05,0.0212747,0.000226307,0.000157269,0.0425901,0.000906959,0.000630279,0.0298333,2.81371e-05,1.95535e-05,31.8382,13.9192,0,807.256,-10159,0,0,0,-3843.16,0,0,-3838.05,0,0,-3843.16,0,0.69145,25435,25437,36.2545,43.0745,0,-5.25441e-17,-6.9145,0,0,20.4255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9145
9,0.5,0.05,1,0.05,0,0.05,25440,7.405,0.662942,1.80815,25440,2,6430,1607.5,1607.5,41587,3.34369e+06,3.38528e+06,0.131653,0.0728106,0.000196541,25440,0,2023,0,0,0,0,23,1987,0.0115752,0,0,0,3.38559e+06,36607.6,0,0,-3838.05,9.17327,11280.8,0,0,-3838.05,9.17327,13448.6,7.405,17186.5,7.405,17078.6,16.1572,0.259738,6430,382,1,416554,0.00394572,9.47229e-09,-1.6178e-11,239352,114714,122595,6.12973,7.405,16309.4,0,0,-2335.29,1.36115e-08,2.46032e-09,7.405,16288,0,0,-2369.01,7.405,3.39057e+06,41587,0,0,-2369.01,7.405,3.38528e+06,41587,0,0,-2369.25,0.0199584,0.000199169,0.000121837,0.0185883,0.000172762,0.000105684,0.002875,7.64822e-06,4.67865e-06,31.8396,13.898,0,682.753,-10782.8,0,0,0,-2374.81,0,0,-2369.25,0,0,-2374.81,0,0.7405,24117,24119,28.1811,38.3157,0,-4.23544e-16,-7.405,0,0,25.1843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.405
