Fluid simulation profile
dimension=2
steps=3600
simulated_substeps=3600
domain=64
dx=0.5
frame_dt=0.05
scene=6
fluid_solver=polypic
polypic_modes=4
jitter_seed=1
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=20
particle_frames=3601
particles=25440
wall_ms=1811517.636

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\cfl_settling_dx_05_dt005\20260629-171551\runs\POLYPIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",1154128,1461926.793,1461926.793,82.49,1.266694
2,"Diagnostics::record_step",3600,93359.408,93440.839,5.27,25.933169
3,"APIC_Simulation_2D::step",3600,65663.914,1678876.678,3.70,18.239976
4,"Fluid_Simulation_2D::advect",3600,48307.872,48307.872,2.73,13.418853
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",3600,19892.819,19892.819,1.12,5.525783
6,"Fluid_Simulation_2D::grid_to_particle",3600,16379.983,16379.983,0.92,4.549995
7,"Fluid_Simulation_2D::particle_to_grid",3600,14886.638,14886.638,0.84,4.135177
8,"Fluid_Simulation_2D::projection_2d",3600,13232.290,1484177.082,0.75,3.675636
9,"APIC_Simulation_2D::particle_mechanical_energy",10800,10789.514,10789.514,0.61,0.999029
10,"Fluid_Simulation_2D::projection_dot_product",3469584,8745.829,8745.829,0.49,0.002521
11,"APIC_Simulation_2D::particle_kinetic_energy",10800,7080.458,7080.458,0.40,0.655598
12,"APIC_Simulation_2D::max_particle_speed",7200,5573.635,5573.635,0.31,0.774116
13,"APIC_Simulation_2D::max_grid_speed",21600,1808.542,1808.542,0.10,0.083729
14,"APIC_Simulation_2D::grid_kinetic_energy",21600,1504.998,1504.998,0.08,0.069676
15,"Fluid_Simulation_2D::extrapolate_velocity",7200,1392.195,2043.002,0.08,0.193360
16,"Fluid_Simulation_2D::init_marker_vectors",7200,650.807,650.807,0.04,0.090390
17,"Fluid_Simulation_2D::enforce_boundary",3600,306.849,306.849,0.02,0.085236
18,"APIC_Simulation_2D::divergence_stats",7200,294.584,294.584,0.02,0.040915
19,"Fluid_Simulation_2D::setup_rhs",3600,272.170,272.170,0.02,0.075603
20,"Fluid_Simulation::apply_forces_2d_settings",3600,166.785,166.785,0.01,0.046329
21,"Diagnostics::fluid_measure_from",3600,79.318,79.318,0.00,0.022033
22,"Diagnostics::bounds_from",3601,2.114,2.114,0.00,0.000587
