step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.2,0.2,1,0.2,0,0.2,1356,4.462,0.87994,1.38048,1356,2,339,1356,1356,1292.09,166625,167917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168623,369.684,0,0,-178.692,2.5,165.218,0,0,-178.692,4.462,999.008,4.462,1650.73,4.462,1490.88,0.981,0.296202,339,83,1,27268.3,0.00024926,9.14101e-09,-1715.06,206334,85465.6,18881.5,3.7763,4.462,985.963,0,0,-5502.48,7.45642e-09,2.70759e-09,4.462,940.322,0,0,-5302.71,4.462,169546,1292.09,0,0,-5302.71,4.462,167917,1292.09,0,0,-5302.03,0.0314226,0.00049369,0.000518109,0,0,0,0,0,0,31.1306,14.526,0,436.359,-829.36,0,0,0,-5305.63,0,0,-5302.03,0,0,-5305.63,0,0.4462,1292,1294,28.2966,43.3167,0,-1.19215e-16,-4.462,0,0,18.6833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.4,0.2,1,0.2,0,0.2,1356,6.424,1.05052,1.84865,1356,2,348,1392,1392,2317.08,164836,167153,0.807417,0.43676,0.00516224,1356,1,511,0.00195695,0,0,0,0,0,0,0,0,0,167917,1292.09,0,0,-5302.03,4.462,621.996,0,0,-5302.03,6.424,1861.71,6.424,3128.69,6.424,2838.99,3.20101,0.352125,348,89,1,32844.1,0.000272975,8.31123e-09,-5.28526e-12,289149,107608,44862,8.9724,6.424,2035.93,0,0,-4549.4,9.76831e-09,2.9266e-09,6.424,1954.95,0,0,-4295.04,6.424,168942,2317.08,0,0,-4295.04,6.424,167153,2317.08,0,0,-4303.25,0.140366,0.00985134,0.00576521,0.138655,0.00961258,0.00562548,0.0462382,0.00175818,0.00102892,31.2116,14.3915,0,534.638,-921.284,0,0,0,-4311.19,0,0,-4303.25,0,0,-4311.19,0,0.6424,1292,1294,28.2966,42.0319,0,-3.31988e-16,-6.424,0,0,19.9681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.6,0.2,1,0.2,0,0.2,1356,8.386,0.94203,2.15977,1356,2,350,1400,1400,3162.59,163227,166389,0.84717,0.392251,0.0176991,1356,2,918,0.00217865,0,0,0,223,478,0.466527,0,0,0,167153,2317.08,0,0,-4303.25,6.424,1064.75,0,0,-4303.25,8.386,2373.17,8.386,4152.63,8.386,3855.27,3.99263,0.398457,350,91,1,37272.2,0.000259074,6.95086e-09,-7.28287e-12,285457,125378,52799.8,10.56,8.386,2943.06,0,0,-1974.35,9.83178e-09,2.76962e-09,8.386,2798.87,0,0,-1854.84,8.386,167999,3162.59,0,0,-1854.84,8.386,166389,3162.59,0,0,-1864.97,0.136294,0.00928796,0.00398233,0.169321,0.0143347,0.0061462,0.0250784,0.00127362,0.000546082,31.2599,14.2705,0,317.113,-830.137,0,0,0,-1873.71,0,0,-1864.97,0,0,-1873.71,0,0.8386,1282,1284,29.5905,34.4747,0,-1.24074e-16,-8.386,0,0,27.5253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.8,0.2,1,0.2,0,0.2,1356,10.348,0.878328,2.54349,1356,2,349,1396,1396,4386.2,161561,165947,0.742099,0.291764,0.0140118,1356,6,728,0.00824176,0,0,0,13,728,0.0178571,0,0,0,166389,3162.59,0,0,-1864.97,8.386,1498.96,0,0,-1864.97,10.348,2749.08,10.348,5051.08,10.348,4786.11,4.786,0.414721,349,91,1,38738.1,0.000380883,9.83225e-09,-7.04008e-12,253699,122563,46007.4,9.20147,10.348,3975.91,0,0,-333.356,1.21192e-08,4.07764e-09,10.348,3744.13,0,0,-327.064,10.348,167613,4386.2,0,0,-327.064,10.348,165947,4386.2,0,0,-326.266,0.0212165,0.000225069,6.95804e-05,0.128338,0.00823537,0.00254597,0.0188088,1.59838e-05,4.94141e-06,31.2747,14.1453,0,99.6434,-851.12,0,0,0,-338.194,0,0,-326.266,0,0,-338.194,0,1.0348,1321,1323,32.7887,33.7827,0,2.80248e-16,-10.348,0,0,28.2173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0.2,1,0.2,0,0.2,1356,12.31,1.00456,3.01865,1356,2,349,1396,1396,6178.11,159592,165770,0.480581,0.159204,0,1356,0,105,0,0,0,0,15,105,0.142857,0,0,0,165947,4386.2,0,0,-326.266,10.348,1994,0,0,-326.266,12.31,3231.41,12.31,5783.93,12.31,5631.93,0.989221,0.290417,349,87,1,27127.2,0.000265313,9.78032e-09,-1.40474e-11,215808,110889,14574.8,2.91496,12.31,4994.46,0,0,-388.949,9.55346e-09,2.84037e-09,12.31,4887.2,0,0,-385.371,12.31,167739,6178.11,0,0,-385.371,12.31,165770,6178.11,0,0,-385.432,0.0808416,0.00326768,0.000717206,0.0768721,0.00295466,0.000648503,0.000783699,6.65205e-05,1.46002e-05,31.2915,13.9973,0,112.87,-1006.68,0,0,0,-396.697,0,0,-385.432,0,0,-396.697,0,1.231,1336,1338,34.9657,27.7652,0,6.1915e-16,-12.31,0,0,25.7652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1.2,0.2,1,0.2,0,0.2,1356,14.3231,1.1065,3.47961,1356,2,353,1412,1412,8209,157383,165592,0.477361,0.137188,0.00368732,1356,4,135,0.0296296,0,0,0,21,101,0.207921,0,0,0,165770,6178.11,0,0,-385.432,12.31,3076.32,0,0,-385.432,14.272,4476.29,14.272,7091.83,14.272,6935.33,1.00543,0.296323,353,89,1,27837,0.000186522,6.70051e-09,61.603,216065,110039,15978.5,3.1957,14.4786,6292.92,0,0,-343.234,7.31846e-09,1.98552e-09,14.4786,6188.68,0,0,-331.375,14.3231,167801,8209,0,0,-331.375,14.3231,165592,8209,0,0,-328.671,0.624852,0.19522,0.0322473,0.580832,0.168683,0.0278638,0.0100853,0.0484878,0.00800943,31.3073,13.8312,0,107.234,-1155.22,0,0,0,-338.138,0,0,-328.671,0,0,-338.138,0,1.43231,1276,1278,28.5287,26.5774,0,-0.164695,-14.3221,0,0,24.5774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.4,0.2,1,0.2,0,0.2,1356,15.8341,1.37309,3.48251,1356,2,351,1404,1404,8222.71,155497,163720,1.15432,0.331462,0.0781711,1356,69,821,0.0840438,0,0,0,35,127,0.275591,0,0,0,165592,8209,0,0,-328.671,14.3405,3735.16,0,0,-328.671,16.245,5132.57,16.245,7866.56,16.245,7713.27,7.04413,0.726038,351,89,1,68011.6,0.00049139,7.22509e-09,1632.27,241955,130282,55230.2,11.046,16.2289,6661.84,0,0,-261.87,1.50727e-08,5.24569e-09,16.0657,6259.27,0,0,-228.682,15.8341,165605,8222.71,0,0,-228.682,15.8341,163720,8222.71,0,0,-222.711,1.19121,0.709487,0.117001,0.980647,0.480834,0.079294,0.153392,0.090274,0.014887,31.3263,13.6894,0,133.556,-1105.25,0,0,0,-236.279,0,0,-222.711,0,0,-236.279,0,1.58341,1293,1295,28.7686,31.4381,0,-0.270633,-15.8317,0,0,26.7686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1.6,0.2,1,0.2,0,0.2,1356,16.1382,1.83173,3.39129,1356,2,353,1412,1412,7797.59,154160,161957,1.1823,0.348628,0.00368732,1356,2,1226,0.00163132,0,0,0,13,962,0.0135135,0,0,0,163720,8222.71,0,0,-222.711,15.9184,3049.7,0,0,-222.711,17.8678,4461.58,17.8678,7128.69,17.8678,6979.31,4.63482,0.591961,353,92,1,55609.6,0.000419425,7.54231e-09,14269.9,273447,153864,42858.1,8.57161,17.8678,5782.08,0,0,31.0485,1.23612e-08,4.46475e-09,16.3793,5258.15,0,0,0.865374,16.1382,163295,7797.59,0,0,0.865374,16.1382,161957,7797.59,0,0,-11.5683,1.33899,0.896451,0.155893,0.644881,0.207936,0.03616,0.0154867,0.0110831,0.00192735,31.3472,13.5889,0,133.819,-899.591,0,0,0,-10.9746,0,0,-11.5683,0,0,-10.9746,0,1.61382,1293,1295,28.1864,28.4887,0,-1.5277,-16.0658,0,0,26.1864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1.8,0.2,1,0.2,0,0.2,1356,15.0613,2.27956,3.49174,1356,2,353,1412,1412,8266.33,153475,161741,0.939828,0.269158,0,1356,0,1282,0,0,0,0,4,1275,0.00313725,0,0,0,161957,7797.59,0,0,-11.5683,16.8484,3422.71,0,0,-11.5683,18.8104,4767.69,18.8104,7191.6,18.8104,7046.87,2.07159,0.40766,353,93,1,38296.2,0.000325601,8.50218e-09,13365.3,278413,156489,34365.7,6.87315,18.8104,5983.28,0,0,123.552,1.02844e-08,3.466e-09,16.7342,5685.68,0,0,96.9699,15.0613,162426,8266.33,0,0,96.9699,15.0613,161741,8266.33,0,0,93.4334,1.27122,0.808,0.132543,0.510276,0.130191,0.0213563,0.0103245,0.000555509,9.1125e-05,31.3724,13.5374,0,155.826,-612.53,0,0,0,86.7942,0,0,93.4334,0,0,86.7942,0,1.50613,1355,1357,36.9099,25.586,0,3.16883,-14.7242,0,0,23.586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0.2,1,0.2,0,0.2,1356,13.0627,2.59977,3.46296,1356,2,354,1416,1416,8130.63,153572,161703,0.868809,0.250887,0,1356,0,1284,0,0,0,0,15,1281,0.0117096,1,0.000737463,0.349277,161741,8266.33,0,0,93.4334,17.3404,3202.48,0,0,93.4334,18.353,4309.16,18.353,6762.46,18.353,6617.03,1.49508,0.37999,354,93,1,35747.3,0.000259132,7.249e-09,11592.7,288899,164540,30128.7,6.02574,18.353,5507.6,0,0,448.033,8.33648e-09,2.75455e-09,16.9031,4933.68,0,0,310.051,13.0627,161605,8130.63,0,0,310.051,13.0627,161703,8130.63,0,0,280.085,1.03395,0.534524,0.0891462,0.474689,0.112665,0.0187899,0.0125369,0.00437862,0.000730252,31.3912,13.5447,0,127.362,-195.661,0,0,0,275.798,0,0,280.085,0,0,275.798,0,1.30627,877,879,44.5398,27.4589,0,10.7686,7.39398,0,0,17.4602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
