Fluid simulation profile
dimension=2
steps=900
simulated_substeps=900
domain=64
dx=2
frame_dt=0.2
scene=6
fluid_solver=polypic
polypic_modes=4
jitter_seed=1
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=5
particle_frames=901
particles=1356
wall_ms=5755.452

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\cfl_settling_dx_2_dt02\20260629-171145\runs\POLYPIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",70189,2200.506,2200.506,41.67,0.031351
2,"Diagnostics::record_step",900,871.723,873.650,16.51,0.968581
3,"APIC_Simulation_2D::step",900,654.793,4407.393,12.40,0.727548
4,"Fluid_Simulation_2D::advect",900,593.546,593.546,11.24,0.659496
5,"Fluid_Simulation_2D::grid_to_particle",900,196.621,196.621,3.72,0.218468
6,"Fluid_Simulation_2D::particle_to_grid",900,172.015,172.015,3.26,0.191128
7,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",900,169.139,169.139,3.20,0.187932
8,"Fluid_Simulation_2D::projection_2d",900,122.866,2362.174,2.33,0.136518
9,"APIC_Simulation_2D::particle_mechanical_energy",2700,56.264,56.264,1.07,0.020838
10,"APIC_Simulation_2D::particle_kinetic_energy",2700,48.445,48.445,0.92,0.017942
11,"Fluid_Simulation_2D::extrapolate_velocity",1800,36.140,50.493,0.68,0.020078
12,"Fluid_Simulation_2D::projection_dot_product",212367,36.039,36.039,0.68,0.000170
13,"APIC_Simulation_2D::max_grid_speed",5400,34.009,34.009,0.64,0.006298
14,"APIC_Simulation_2D::grid_kinetic_energy",5400,27.456,27.456,0.52,0.005085
15,"APIC_Simulation_2D::max_particle_speed",1800,26.322,26.322,0.50,0.014623
16,"Fluid_Simulation_2D::init_marker_vectors",1800,14.353,14.353,0.27,0.007974
17,"Fluid_Simulation_2D::enforce_boundary",900,6.997,6.997,0.13,0.007775
18,"APIC_Simulation_2D::divergence_stats",1800,5.251,5.251,0.10,0.002917
19,"Fluid_Simulation::apply_forces_2d_settings",900,3.869,3.869,0.07,0.004299
20,"Fluid_Simulation_2D::setup_rhs",900,2.763,2.763,0.05,0.003070
21,"Diagnostics::fluid_measure_from",900,1.620,1.620,0.03,0.001800
22,"Diagnostics::bounds_from",901,0.307,0.307,0.01,0.000341
