step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,25440,3.481,0.607438,1.00344,25440,2,6360,1590,1590,12807.7,3.38792e+06,3.40073e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40444e+06,7139.03,0,0,-868.366,2.5,2105.74,0,0,-868.366,3.481,6161.9,3.481,7386.59,3.481,7225.46,1.962,0.286541,6360,366,1,228515,0.00213117,9.32618e-09,-7604.56,226888,87897.9,27969.3,2.79693,3.481,4711.87,0,0,-54434.3,1.21686e-08,2.67233e-09,3.481,4648.4,0,0,-54169.8,3.481,3.41011e+06,12807.7,0,0,-54169.8,3.481,3.40073e+06,12807.7,0,0,-54169.2,0.00750176,2.81382e-05,5.58911e-05,0,0,0,0,0,0,31.7794,14.0752,0,3850.73,-9557.09,0,0,0,-54169.7,0,0,-54169.2,0,0,-54169.7,0,0.6962,24418,24420,30.3186,37.7256,0,-1.71054e-16,-3.481,0,0,25.7744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2,0.1,1,0.1,0,0.1,25440,7.14769,0.841845,1.34514,25440,2,6398,1599.5,1599.5,23015.5,3.37436e+06,3.39737e+06,0.464968,0.345665,0.00892296,25440,1,16210,6.16903e-05,0,0,0,0,0,0,0,0,0,3.40073e+06,12807.7,0,0,-54169.2,3.481,3879.18,0,0,-54169.2,4.462,9522.24,4.462,11416.5,4.462,11115.9,8.03885,0.320464,6398,367,1,256331,0.00237777,9.27617e-09,-2.75444e-12,230740,92119.1,92909.6,9.29096,7.44759,8325.8,0,0,-83517.9,1.20458e-08,2.97267e-09,7.44759,8431.88,0,0,-83033.9,7.14769,3.41094e+06,23015.5,0,0,-83033.9,7.14769,3.39737e+06,23015.5,0,0,-83039.7,0.0788009,0.00310479,0.00343186,0.078405,0.00307367,0.00339745,0.0257917,0.000712219,0.000787244,31.8083,14.0209,0,7286.2,-13850.6,0,0,0,-83042.1,0,0,-83039.7,0,0,-83042.1,0,1.42954,23846,23848,63.1881,5.41384,0,4.7188,5.36865,0,1,0.311897,1,127,11,0,-1,0,0,4.53571,4.78039,0,4.53571,-4.78039,0,6.58975,6.58975,-4.53571,-4.53571,9.56078,0,0,2,0
2,0.3,0.1,1,0.1,0,0.1,25440,11.4699,1.01429,1.64434,25440,2,6409,1602.25,1602.25,34392.9,3.35715e+06,3.39154e+06,0.552257,0.335854,0.00471698,25440,29,10731,0.00270245,0,0,0,620,10718,0.0578466,0,0,0,3.39737e+06,23015.5,0,0,-83039.7,6.23957,6826.09,0,0,-83039.7,6.23957,13596.4,6.23957,16277.5,5.443,15853.3,15.9203,0.437566,6409,375,1,350299,0.00328768,9.38537e-09,-6.61646e-12,232621,99942.7,121618,12.1618,12.57,12487,0,0,-116203,1.59996e-08,4.10672e-09,12.57,12732.3,0,0,-115855,11.4699,3.40875e+06,34392.9,0,0,-115855,11.4699,3.39154e+06,34392.9,0,0,-115883,0.205134,0.02104,0.0155631,0.22119,0.0244626,0.0180947,0.0284583,0.00816717,0.00604116,31.8462,13.9519,0,9547.26,-17553,0,0,0,-115881,0,0,-115883,0,0,-115881,0,2.29399,23827,23829,63.3542,2.7355,0,10.9406,-3.44441,0,1,0.145836,1,127,5,0,-1,0,0,4.05357,-0.34755,0,4.05357,0.34755,0,4.06844,4.06844,-4.05357,-4.05357,0.6951,0,0,14,0
3,0.4,0.1,1,0.1,0,0.1,25440,9.47189,0.737585,1.64928,25440,2,6406,1601.5,1601.5,34599.8,3.34621e+06,3.38081e+06,0.875095,0.530593,0.053184,25440,296,17419,0.0169929,0,0,0,9583,11834,0.809785,0,0,0,3.39154e+06,34392.9,0,0,-115883,6.68741,9990.72,0,0,-115883,6.68741,17714.5,6.68741,21288.2,6.424,20758.3,21.8561,0.523279,6406,395,1,418819,0.00401478,9.58596e-09,-6.91741e-12,590294,155110,136970,13.697,10.6283,13669.2,0,0,-25195,2.24736e-08,5.01613e-09,10.6283,13585.7,0,0,-24946.7,9.47189,3.39175e+06,34599.8,0,0,-24946.7,9.47189,3.38081e+06,34599.8,0,0,-24945.8,0.12784,0.00817152,0.00600822,0.23856,0.0284554,0.0209222,0.101875,0.000340956,0.000250693,31.8605,13.9081,0,3561.82,-11178.5,0,0,0,-24950.7,0,0,-24945.8,0,0,-24950.7,0,1.89438,23951,23953,63.2296,17.7896,0,9.40141,-1.15327,0,1,0.270407,1,127,35,0,-1,0,0,3.21077,-0.132749,0,3.21077,0.132749,0,3.21351,3.21351,-3.21077,-3.21077,0.265498,0,0,5,0
4,0.5,0.1,1,0.1,0,0.1,25440,8.31389,0.725874,1.83841,25440,2,6395,1598.75,1598.75,42990.5,3.335e+06,3.37799e+06,0.430414,0.234123,0.00283019,25440,6,9013,0.000665705,0,0,0,337,9012,0.0373946,0,0,0,3.38081e+06,34599.8,0,0,-24945.8,6.424,10256.6,0,0,-24945.8,7.405,16339.2,7.405,20453.1,7.405,20110.5,17.1643,0.424919,6395,393,1,339802,0.00333896,9.82617e-09,-7.64025e-12,264377,121802,126938,12.6938,9.14585,16491.4,0,0,-10816.3,1.84452e-08,4.17533e-09,9.14585,16398.3,0,0,-10453.7,8.31389,3.3892e+06,42990.5,0,0,-10453.7,8.31389,3.37799e+06,42990.5,0,0,-10464.9,0.112671,0.00634733,0.00375609,0.162571,0.0132147,0.00781993,0.00741667,0.000847996,0.000501809,31.8693,13.8632,0,2196.9,-11471.8,0,0,0,-10469.6,0,0,-10464.9,0,0,-10469.6,0,1.66278,23971,23973,63.2255,20.3869,0,7.09765,4.32945,0,1,0.274458,1,127,40,0,-1,0,0,4.0215,1.97663,0,4.0215,-1.97663,0,4.48102,4.48102,-4.0215,-4.0215,3.95327,0,0,5,0
5,0.6,0.1,1,0.1,0,0.1,25440,8.386,0.732354,2.04029,25440,2,6415,1603.75,1603.75,52950.7,3.32303e+06,3.37598e+06,0.377373,0.18496,0.00683962,25440,90,5211,0.0172712,0,0,0,81,5143,0.0157496,0,0,0,3.37799e+06,42990.5,0,0,-10464.9,7.405,13127.6,0,0,-10464.9,8.386,19407.9,8.386,24521.7,8.386,24244.8,16.3083,0.410101,6415,391,1,328465,0.00314066,9.56162e-09,-1.05277e-11,252542,118863,99017.5,9.90175,8.386,20886.8,0,0,-106.14,1.69265e-08,3.92123e-09,8.386,20732.2,0,0,241.02,8.386,3.38795e+06,52950.7,0,0,241.02,8.386,3.37598e+06,52950.7,0,0,239.606,0.0627837,0.00197089,0.00094691,0.126455,0.00799539,0.00384136,0.0359583,0.00079048,0.000379783,31.8737,13.8152,0,1113.77,-12216.5,0,0,0,236.148,0,0,239.606,0,0,236.148,0,1.6772,24535,24537,30.7578,39.2298,0,1.81966e-16,-8.386,0,0,24.2702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.7,0.1,1,0.1,0,0.1,25440,9.367,0.775435,2.26248,25440,2,6405,1601.25,1601.25,65111.2,3.30984e+06,3.37495e+06,0.281396,0.124375,0.00204403,25440,23,2679,0.00858529,0,0,0,63,2595,0.0242775,0,0,0,3.37598e+06,52950.7,0,0,239.606,8.386,15851.4,0,0,239.606,9.367,22246,9.367,28207.2,9.367,27997.6,14.1193,0.354161,6405,390,1,283440,0.00274002,9.66705e-09,-8.92553e-12,238532,114792,73575.7,7.35757,9.367,24959.1,0,0,4247.5,1.79179e-08,3.4237e-09,9.367,24784.7,0,0,4612.01,9.367,3.38814e+06,65111.2,0,0,4612.01,9.367,3.37495e+06,65111.2,0,0,4612.64,0.025191,0.000317293,0.000123971,0.0649731,0.00211075,0.000824705,0.012625,2.71958e-05,1.06258e-05,31.8769,13.7624,0,808.071,-13454.8,0,0,0,4608.77,0,0,4612.64,0,0,4608.77,0,1.8734,24795,24797,32.2688,40.9211,0,-7.00474e-17,-9.367,0,0,22.5789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.8,0.1,1,0.1,0,0.1,25440,10.348,0.834289,2.49197,25440,2,6401,1600.25,1600.25,78990.3,3.29527e+06,3.37426e+06,0.236935,0.0950794,0.00086478,25440,2,1868,0.00107066,0,0,0,68,1719,0.0395579,0,0,0,3.37495e+06,65111.2,0,0,4612.64,9.367,19047.1,0,0,4612.64,10.348,25687,10.348,32836.5,10.348,32666.3,9.12297,0.314873,6401,374,1,251918,0.0024229,9.61783e-09,-1.53273e-11,236370,113602,38182.5,3.81825,10.348,29733.1,0,0,5656.84,1.32543e-08,3.02839e-09,10.348,29579.3,0,0,6005.56,10.348,3.38883e+06,78990.3,0,0,6005.56,10.348,3.37426e+06,78990.3,0,0,6005.54,0.0241003,0.000290412,9.35315e-05,0.0154181,0.000118859,3.82802e-05,0.00670722,4.99683e-06,1.6093e-06,31.8805,13.704,0,912.454,-14858.9,0,0,0,6002.13,0,0,6005.54,0,0,6002.13,0,2.0696,24795,24797,32.2688,39.8863,0,-3.99686e-16,-10.348,0,0,23.6137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.9,0.1,1,0.1,0,0.1,25440,11.329,0.895748,2.72262,25440,2,6405,1601.25,1601.25,94289.1,3.27931e+06,3.3736e+06,0.235478,0.0864896,0.000275157,25440,0,1676,0,0,0,0,44,1590,0.027673,0,0,0,3.37426e+06,78990.3,0,0,6005.54,10.348,23454.1,0,0,6005.54,11.329,30495.4,11.329,38780.5,11.329,38627.1,3.06058,0.283513,6405,374,1,226899,0.00203841,8.98378e-09,-1.04176e-11,235994,112910,14355.2,1.43552,11.329,35719.1,0,0,7228.11,1.39985e-08,2.54702e-09,11.329,35602.9,0,0,7611.56,11.329,3.38956e+06,94289.1,0,0,7611.56,11.329,3.3736e+06,94289.1,0,0,7611.35,0.0507028,0.00128539,0.000346808,0.0414023,0.000857077,0.000231247,0.00366575,4.03872e-06,1.08968e-06,31.8849,13.64,0,1101.28,-16274.5,0,0,0,7608.58,0,0,7611.35,0,0,7608.58,0,2.2658,24878,24880,32.7598,38.8942,0,2.14617e-16,-11.329,0,0,24.6058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0.1,1,0.1,0,0.1,25440,12.31,0.957834,2.9539,25440,2,6417,1604.25,1604.25,110989,3.26195e+06,3.37294e+06,0.236713,0.0801357,0.000589623,25440,5,1741,0.00287191,0,0,0,33,1557,0.0211946,2,7.86164e-05,0.180268,3.3736e+06,94289.1,0,0,7611.35,11.329,28698.7,0,0,7611.35,12.31,36225.1,12.31,45980.9,12.31,45826.9,4.18976,0.285143,6417,380,1,228417,0.00217042,9.50201e-09,-1.23624e-11,235839,112445,17503.8,1.75038,12.31,42921.6,0,0,8808.42,1.02937e-08,2.70943e-09,12.31,42807.4,0,0,9227.82,12.31,3.3903e+06,110989,0,0,9227.82,12.31,3.37294e+06,110989,0,0,9227.79,0.0642844,0.00206624,0.000473609,0.0664488,0.00220772,0.000506038,0.00533111,9.89967e-06,2.26913e-06,31.8899,13.5705,0,1291.47,-17705.7,0,0,0,9225.29,0,0,9227.79,0,0,9225.29,0,2.462,24138,24140,28.333,35.2465,0,-2.66546e-16,-12.31,0,0,27.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
