Fluid simulation profile
dimension=2
steps=1800
simulated_substeps=1800
domain=64
dx=0.5
frame_dt=0.1
scene=6
fluid_solver=apic
polypic_modes=4
jitter_seed=1
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=25440
wall_ms=735776.932

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling_dx_0.5\20260629-035007\runs\APIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",491153,544639.691,544639.691,76.36,1.108900
2,"Diagnostics::record_step",1800,55242.126,55292.528,7.74,30.690070
3,"APIC_Simulation_2D::step",1800,31048.373,658004.486,4.35,17.249096
4,"Fluid_Simulation_2D::advect",1800,28746.859,28746.859,4.03,15.970477
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1800,13056.629,13056.629,1.83,7.253683
6,"APIC_Simulation_2D::particle_mechanical_energy",5400,6933.338,6933.338,0.97,1.283952
7,"Fluid_Simulation_2D::projection_2d",1800,6452.073,554540.062,0.90,3.584485
8,"Fluid_Simulation_2D::grid_to_particle",1800,6060.629,6060.629,0.85,3.367016
9,"Fluid_Simulation_2D::particle_to_grid",1800,5464.640,5464.640,0.77,3.035911
10,"APIC_Simulation_2D::particle_kinetic_energy",5400,4860.650,4860.650,0.68,0.900120
11,"APIC_Simulation_2D::max_particle_speed",3600,3670.290,3670.290,0.51,1.019525
12,"Fluid_Simulation_2D::projection_dot_product",1477059,3378.518,3378.518,0.47,0.002287
13,"APIC_Simulation_2D::max_grid_speed",10800,1133.099,1133.099,0.16,0.104917
14,"APIC_Simulation_2D::grid_kinetic_energy",10800,949.113,949.113,0.13,0.087881
15,"Fluid_Simulation_2D::extrapolate_velocity",3600,697.618,1087.775,0.10,0.193783
16,"Fluid_Simulation_2D::init_marker_vectors",3600,390.157,390.157,0.05,0.108377
17,"Fluid_Simulation_2D::enforce_boundary",1800,188.934,188.934,0.03,0.104964
18,"APIC_Simulation_2D::divergence_stats",3600,163.033,163.033,0.02,0.045287
19,"Fluid_Simulation::apply_forces_2d_settings",1800,101.061,101.061,0.01,0.056145
20,"Fluid_Simulation_2D::setup_rhs",1800,69.781,69.781,0.01,0.038767
21,"Diagnostics::fluid_measure_from",1800,49.157,49.157,0.01,0.027309
22,"Diagnostics::bounds_from",1801,1.246,1.246,0.00,0.000692
