step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,25440,3.481,0.607888,1.00397,25440,2,6360,1590,1590,12821.2,3.38792e+06,3.40074e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40444e+06,7139.03,0,0,-868.366,2.5,2105.74,0,0,-868.366,3.481,6161.9,3.481,7386.59,3.481,7225.46,1.962,0.286541,6360,366,1,228515,0.00213117,9.32618e-09,-7604.56,226888,87897.9,27969.3,2.79693,3.481,4711.87,0,0,-54434.3,1.21686e-08,2.67233e-09,3.481,4648.4,0,0,-54169.8,3.481,3.41012e+06,12821.2,0,0,-54170.2,3.481,3.40074e+06,12821.2,0,0,-54169.6,0.00849876,3.61145e-05,7.16587e-05,0,0,0,0,0,0,31.7794,14.0752,0,3850.73,-9557.09,0,0,0,-54169.6,0,0,-54169.6,0,0,-54169.6,0,0.6962,24155,24157,28.3605,45.0758,0,1.3493e-17,-3.481,0,0,18.4242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2,0.1,1,0.1,0,0.1,25440,7.14406,0.842318,1.34536,25440,2,6398,1599.5,1599.5,23023.2,3.37436e+06,3.39738e+06,0.464662,0.345381,0.00872642,25440,1,16233,6.16029e-05,0,0,0,0,0,0,0,0,0,3.40074e+06,12821.2,0,0,-54169.6,3.481,3875.77,0,0,-54169.6,4.462,9519.19,4.462,11402.8,4.462,11106.7,7.69733,0.319615,6398,367,1,255652,0.0025222,9.86578e-09,-5.63849e-12,230710,92110.8,92920.4,9.29204,7.44587,8318.1,0,0,-83490.7,1.31166e-08,3.15325e-09,7.44587,8426,0,0,-83006,7.14406,3.41095e+06,23023.2,0,0,-83007.7,7.14406,3.39738e+06,23023.2,0,0,-83014,0.0791337,0.00313107,0.00345975,0.0787076,0.00309744,0.00342259,0.113,0.00072042,0.000796046,31.8083,14.0209,0,7285.48,-13850.2,0,0,0,-83014,0,0,-83014,0,0,-83014,0,1.42881,23846,23848,63.1881,5.41441,0,4.71411,5.36793,0,1,0.31193,1,127,11,0,-1,0,0,4.53499,4.7862,0,4.53499,-4.7862,0,6.59347,6.59347,-4.53499,-4.53499,9.5724,0,0,2,0
2,0.3,0.1,1,0.1,0,0.1,25440,11.4019,1.01505,1.64466,25440,2,6409,1602.25,1602.25,34406.6,3.35715e+06,3.39156e+06,0.546036,0.332005,0.00444182,25440,23,10789,0.0021318,0,0,0,619,10779,0.0574265,0,0,0,3.39738e+06,23023.2,0,0,-83014,5.45454,6791.2,0,0,-83014,5.45454,13559.9,5.45454,16255.9,5.443,15825.1,14.4734,0.423883,6409,375,1,339345,0.00320299,9.43874e-09,-6.76813e-12,232592,99900.6,121427,12.1427,12.5804,12470.1,0,0,-116145,1.64224e-08,4.00092e-09,12.5804,12720.1,0,0,-115791,11.4019,3.40876e+06,34406.6,0,0,-115792,11.4019,3.39156e+06,34406.6,0,0,-115813,0.208854,0.0218099,0.0161261,0.22425,0.0251441,0.0185914,0.036625,0.00923475,0.00682812,31.8462,13.9519,0,9550.28,-17554.2,0,0,0,-115813,0,0,-115813,0,0,-115813,0,2.28039,23827,23829,63.3538,2.73374,0,10.8624,-3.46589,0,1,0.14618,1,127,5,0,-1,0,0,4.04426,-0.356544,0,4.04426,0.356544,0,4.05994,4.05994,-4.04426,-4.04426,0.713087,0,0,15,0
3,0.4,0.1,1,0.1,0,0.1,25440,9.44066,0.743303,1.65635,25440,2,6406,1601.5,1601.5,34897.3,3.34621e+06,3.38111e+06,0.851907,0.514327,0.0515723,25440,241,17445,0.0138148,0,0,0,9591,11862,0.808548,0,0,0,3.39156e+06,34406.6,0,0,-115813,6.24117,9954.58,0,0,-115813,6.424,17679.1,6.424,21259.4,6.424,20718.5,15.8933,0.487058,6406,395,1,389829,0.00384126,9.85371e-09,-6.26151e-12,586649,155103,137204,13.7204,10.6268,13651.3,0,0,-25117.8,1.78527e-08,4.79933e-09,10.6268,13570.9,0,0,-24882.7,9.44066,3.39205e+06,34897.3,0,0,-24886.4,9.44066,3.38111e+06,34897.3,0,0,-24886.2,0.200218,0.0200436,0.0146117,0.242772,0.0294691,0.0214828,0.132167,0.00224073,0.00163349,31.8605,13.9081,0,3568.69,-11178.3,0,0,0,-24886.2,0,0,-24886.2,0,0,-24886.2,0,1.88813,23951,23953,63.229,17.7897,0,9.37029,-1.15054,0,1,0.270951,1,127,35,0,-1,0,0,3.21254,-0.140022,0,3.21254,0.140022,0,3.21559,3.21559,-3.21254,-3.21254,0.280043,0,0,5,0
4,0.5,0.1,1,0.1,0,0.1,25440,8.25188,0.732072,1.84548,25440,2,6396,1599,1599,43321.8,3.335e+06,3.37832e+06,0.416095,0.225467,0.00271226,25440,5,9121,0.000548186,0,0,0,337,9120,0.0369518,0,0,0,3.38111e+06,34897.3,0,0,-24886.2,6.424,10249.9,0,0,-24886.2,7.405,16332.2,7.405,20433.8,7.405,20080.4,13.6548,0.422625,6396,393,1,337994,0.00326089,9.64778e-09,-1.24596e-11,263879,121794,125692,12.5692,9.08945,16469.2,0,0,-10787.2,1.95436e-08,4.07739e-09,9.08945,16381.9,0,0,-10424.6,8.25188,3.38953e+06,43321.8,0,0,-10426.6,8.25188,3.37832e+06,43321.8,0,0,-10439.8,0.195835,0.0191756,0.0112605,0.167229,0.0139828,0.00821117,0.0571667,0.0012661,0.000743494,31.8693,13.8632,0,2199.27,-11472.1,0,0,0,-10439.8,0,0,-10439.8,0,0,-10439.8,0,1.65038,23971,23973,63.2252,20.3929,0,7.10976,4.18865,0,1,0.274804,1,127,40,0,-1,0,0,3.98575,1.98114,0,3.98575,-1.98114,0,4.45097,4.45097,-3.98575,-3.98575,3.96229,0,0,5,0
5,0.6,0.1,1,0.1,0,0.1,25440,8.386,0.738695,2.04666,25440,2,6416,1604,1604,53281.7,3.32303e+06,3.37631e+06,0.36175,0.176752,0.00668239,25440,92,5229,0.0175942,0,0,0,82,5191,0.0157966,0,0,0,3.37832e+06,43321.8,0,0,-10439.8,7.405,13099.4,0,0,-10439.8,8.386,19375.2,8.386,24476,8.386,24199.3,15.8466,0.411389,6416,391,1,329522,0.00312371,9.47951e-09,-9.27193e-12,252301,118793,98358.8,9.83588,8.386,20845.9,0,0,8.10621,1.75059e-08,3.89977e-09,8.386,20700.7,0,0,345.316,8.386,3.38828e+06,53281.7,0,0,344.326,8.386,3.37631e+06,53281.7,0,0,341.751,0.174182,0.0151697,0.00724298,0.12904,0.00832564,0.00397518,0.0329167,0.000863133,0.000412113,31.8737,13.8152,0,1108.09,-12215.6,0,0,0,341.751,0,0,341.751,0,0,341.751,0,1.6772,24172,24174,28.5875,33.9936,0,1.31119e-16,-8.386,0,0,28.0875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.7,0.1,1,0.1,0,0.1,25440,9.367,0.78242,2.26786,25440,2,6408,1602,1602,65421.2,3.30983e+06,3.37526e+06,0.270398,0.119231,0.00188679,25440,20,2698,0.0074129,0,0,0,32,2652,0.0120664,0,0,0,3.37631e+06,53281.7,0,0,341.751,8.386,15822.8,0,0,341.751,9.367,22210.5,9.367,28131.1,9.367,27922.4,10.1165,0.346385,6408,390,1,277281,0.00274842,9.91203e-09,-9.68666e-12,238442,114779,70453.3,7.04533,9.367,24895.8,0,0,4235.14,1.47781e-08,3.43338e-09,9.367,24739.3,0,0,4567.37,9.367,3.38845e+06,65421.2,0,0,4566.73,9.367,3.37526e+06,65421.2,0,0,4566.13,0.157346,0.0123789,0.00481372,0.0741172,0.00274668,0.00106809,0.0145417,0.000181416,7.05463e-05,31.8769,13.7623,0,809.642,-13457.7,0,0,0,4566.13,0,0,4566.13,0,0,4566.13,0,1.8734,24000,24002,27.6455,31.7225,0,1.10405e-15,-9.367,0,0,27.1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.8,0.1,1,0.1,0,0.1,25440,10.348,0.840864,2.49612,25440,2,6402,1600.5,1600.5,79253.7,3.29526e+06,3.37451e+06,0.237358,0.0950907,0.000668239,25440,1,1812,0.000551876,0,0,0,25,1749,0.0142939,0,0,0,3.37526e+06,65421.2,0,0,4566.13,9.367,19029.3,0,0,4566.13,10.348,25656.4,10.348,32737.1,10.348,32574.2,3.8848,0.296993,6402,376,1,237631,0.00229534,9.65923e-09,-1.05715e-11,236165,113303,25946.9,2.59469,10.348,29655,0,0,5829.62,1.21551e-08,2.86872e-09,10.348,29533.8,0,0,6143.34,10.348,3.38909e+06,79253.7,0,0,6143.21,10.348,3.37451e+06,79253.7,0,0,6143.3,0.142869,0.0102057,0.00327599,0.034001,0.000578033,0.000185545,0.00720713,1.43739e-05,4.61393e-06,31.8806,13.7039,0,933.306,-14864,0,0,0,6143.3,0,0,6143.3,0,0,6143.3,0,2.0696,24041,24043,27.6698,35.8666,0,-3.02804e-17,-10.348,0,0,27.1698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.9,0.1,1,0.1,0,0.1,25440,11.329,0.901905,2.72595,25440,2,6408,1602,1602,94519.5,3.27929e+06,3.37381e+06,0.235399,0.086355,0.00043239,25440,0,1696,0,0,0,0,8,1624,0.00492611,0,0,0,3.37451e+06,79253.7,0,0,6143.3,10.348,23448.2,0,0,6143.3,11.329,30489,11.329,38741,11.329,38586.7,1.96692,0.282608,6408,378,1,226227,0.00217946,9.63395e-09,-2.17302e-11,236113,112959,14939.6,1.49396,11.329,35678.6,0,0,7367.48,1.20833e-08,2.72263e-09,11.329,35568.6,0,0,7687.64,11.329,3.38978e+06,94519.5,0,0,7687.04,11.329,3.37381e+06,94519.5,0,0,7687.09,0.141001,0.0099407,0.00267555,0.043597,0.000950348,0.000255787,0.00512372,3.10846e-06,8.36644e-07,31.885,13.64,0,1118.81,-16279.6,0,0,0,7687.09,0,0,7687.09,0,0,7687.09,0,2.2658,24083,24085,28.2627,29.6984,0,1.9926e-16,-11.329,0,0,27.7627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0.1,1,0.1,0,0.1,25440,12.31,0.963261,2.95643,25440,2,6416,1604,1604,111179,3.26194e+06,3.37312e+06,0.235367,0.0796119,0.000196541,25440,0,1662,0,0,0,0,22,1571,0.0140038,0,0,0,3.37381e+06,94519.5,0,0,7687.09,11.329,28681.7,0,0,7687.09,12.31,36204.2,12.31,45929.3,12.31,45774,1.96858,0.280767,6416,374,1,224894,0.00220374,9.79901e-09,-1.21694e-11,236007,112640,14093.5,1.40935,12.31,42868.7,0,0,8991.44,1.08253e-08,2.75124e-09,12.31,42758.5,0,0,9305.27,12.31,3.39047e+06,111179,0,0,9304.6,12.31,3.37312e+06,111179,0,0,9304.73,0.139529,0.00973423,0.00222739,0.0671355,0.00225358,0.000515665,0.00495627,3.52099e-06,8.05673e-07,31.8902,13.5704,0,1311.44,-17697.8,0,0,0,9304.73,0,0,9304.73,0,0,9304.73,0,2.462,24083,24085,28.2627,28.4674,0,3.32964e-17,-12.31,0,0,27.7627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
