Fluid simulation profile
dimension=2
steps=1800
simulated_substeps=1800
domain=64
dx=0.5
frame_dt=0.1
scene=6
fluid_solver=flip
polypic_modes=4
jitter_seed=1
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=25440
wall_ms=777976.813

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling_dx_0.5\20260629-035007\runs\FLIP_095
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",503765,587474.074,587474.074,77.76,1.166167
2,"Diagnostics::record_step",1800,55109.834,55158.917,7.29,30.616574
3,"APIC_Simulation_2D::step",1800,30287.278,700305.359,4.01,16.826266
4,"Fluid_Simulation_2D::advect",1800,28566.373,28566.373,3.78,15.870207
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1800,13094.761,13094.761,1.73,7.274867
6,"Fluid_Simulation_2D::projection_2d",1800,6929.675,598108.300,0.92,3.849820
7,"APIC_Simulation_2D::particle_mechanical_energy",5400,6908.261,6908.261,0.91,1.279308
8,"Fluid_Simulation_2D::grid_to_particle",1800,5971.406,5971.406,0.79,3.317448
9,"Fluid_Simulation_2D::particle_to_grid",1800,5365.103,5365.103,0.71,2.980613
10,"APIC_Simulation_2D::particle_kinetic_energy",5400,4844.159,4844.159,0.64,0.897066
11,"Fluid_Simulation_2D::projection_dot_product",1514895,3630.150,3630.150,0.48,0.002396
12,"APIC_Simulation_2D::max_particle_speed",3600,3612.082,3612.082,0.48,1.003356
13,"APIC_Simulation_2D::max_grid_speed",10800,1115.058,1115.058,0.15,0.103246
14,"APIC_Simulation_2D::grid_kinetic_energy",10800,924.112,924.112,0.12,0.085566
15,"Fluid_Simulation_2D::extrapolate_velocity",3600,675.033,1055.599,0.09,0.187509
16,"Fluid_Simulation_2D::init_marker_vectors",3600,380.567,380.567,0.05,0.105713
17,"Fluid_Simulation_2D::enforce_boundary",1800,188.409,188.409,0.02,0.104672
18,"APIC_Simulation_2D::divergence_stats",3600,163.491,163.491,0.02,0.045414
19,"Fluid_Simulation::apply_forces_2d_settings",1800,100.967,100.967,0.01,0.056093
20,"Fluid_Simulation_2D::setup_rhs",1800,74.400,74.400,0.01,0.041334
21,"Diagnostics::fluid_measure_from",1800,47.644,47.644,0.01,0.026469
22,"Diagnostics::bounds_from",1801,1.441,1.441,0.00,0.000800
