step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,25440,3.481,0.607438,1.00344,25440,2,6360,1590,1590,12807.7,3.38792e+06,3.40073e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40444e+06,7139.03,0,0,-868.366,2.5,2105.74,0,0,-868.366,3.481,6161.9,3.481,7386.59,3.481,7225.46,1.962,0.286541,6360,366,1,228515,0.00213117,9.32618e-09,-7604.56,226888,87897.9,27969.3,2.79693,3.481,4711.87,0,0,-54434.3,1.21686e-08,2.67233e-09,3.481,4648.4,0,0,-54169.8,3.481,3.41011e+06,12807.7,0,0,-54170.3,3.481,3.40073e+06,12807.7,0,0,-54169.7,0.00750176,2.81382e-05,5.58911e-05,0,0,0,0,0,0,31.7794,14.0752,0,3850.73,-9557.09,0,0,0,-54169.7,0,0,-54169.7,0,0,-54169.7,0,0.6962,24418,24420,30.3186,37.7256,0,-1.71054e-16,-3.481,0,0,25.7744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2,0.1,1,0.1,0,0.1,25440,7.15311,0.841277,1.34448,25440,2,6398,1599.5,1599.5,22992.9,3.37436e+06,3.39735e+06,0.464842,0.345742,0.00876572,25440,1,16227,6.16257e-05,0,0,0,0,0,0,0,0,0,3.40073e+06,12807.7,0,0,-54169.7,3.481,3869.27,0,0,-54169.7,4.462,9512.73,4.462,11395.2,4.462,11098.9,7.69733,0.319606,6398,367,1,255645,0.00250123,9.78399e-09,-4.09956e-12,230704,92114.6,92920.8,9.29208,7.4459,8310.3,0,0,-83487.9,1.29439e-08,3.12702e-09,7.4459,8417.77,0,0,-83003.2,7.15311,3.41092e+06,22992.9,0,0,-83005.4,7.15311,3.39735e+06,22992.9,0,0,-83011.6,0.0787868,0.00310368,0.003434,0.0784032,0.00307353,0.00340065,0.0258333,0.000711321,0.000787027,31.8083,14.0209,0,7285,-13850,0,0,0,-83011.6,0,0,-83011.6,0,0,-83011.6,0,1.43062,23846,23848,63.1881,5.41441,0,4.71814,5.37644,0,1,0.311929,1,127,11,0,-1,0,0,4.53501,4.78622,0,4.53501,-4.78622,0,6.5935,6.5935,-4.53501,-4.53501,9.57245,0,0,2,0
2,0.3,0.1,1,0.1,0,0.1,25440,11.4666,1.01325,1.64336,25440,2,6409,1602.25,1602.25,34352.2,3.35715e+06,3.3915e+06,0.551993,0.335892,0.00459906,25440,28,10757,0.00260296,0,0,0,619,10745,0.0576082,0,0,0,3.39735e+06,22992.9,0,0,-83011.6,5.45517,6777.26,0,0,-83011.6,5.45517,13545.8,5.45517,16234.8,5.443,15803.4,14.4701,0.424107,6409,375,1,339524,0.00320482,9.43916e-09,-7.48913e-12,232564,99897.9,121470,12.147,12.577,12448.4,0,0,-116099,1.65929e-08,4.00322e-09,12.577,12699.4,0,0,-115744,11.4666,3.40871e+06,34352.2,0,0,-115747,11.4666,3.3915e+06,34352.2,0,0,-115768,0.205334,0.0210809,0.0156118,0.221773,0.0245916,0.0182116,0.0290417,0.00823324,0.00609723,31.8462,13.9519,0,9548.59,-17552.3,0,0,0,-115768,0,0,-115768,0,0,-115768,0,2.29333,23827,23829,63.3538,2.73404,0,10.9262,-3.47865,0,1,0.146198,1,127,5,0,-1,0,0,4.0459,-0.355695,0,4.0459,0.355695,0,4.06151,4.06151,-4.0459,-4.0459,0.711391,0,0,15,0
3,0.4,0.1,1,0.1,0,0.1,25440,9.49815,0.736358,1.64798,25440,2,6406,1601.5,1601.5,34545.6,3.34621e+06,3.38076e+06,0.873782,0.530213,0.0528302,25440,285,17397,0.0163821,0,0,0,9567,11820,0.809391,0,0,0,3.3915e+06,34352.2,0,0,-115768,6.2921,9933.51,0,0,-115768,6.424,17657,6.424,21227,6.424,20682.5,15.9731,0.48633,6406,395,1,389247,0.00384235,9.87125e-09,-5.87697e-12,586817,155061,137065,13.7065,10.6227,13618.4,0,0,-25098.6,1.71558e-08,4.80069e-09,10.6227,13540.4,0,0,-24871.4,9.49815,3.3917e+06,34545.6,0,0,-24875.1,9.49815,3.38076e+06,34545.6,0,0,-24874.8,0.128728,0.00828549,0.00610158,0.239468,0.0286726,0.021115,0.103958,0.000334194,0.000246106,31.8605,13.9081,0,3571.22,-11180.2,0,0,0,-24874.8,0,0,-24874.8,0,0,-24874.8,0,1.89963,23950,23952,63.237,17.7559,0,6.46478,6.95855,0,1,0.262996,1,127,35,0,-1,0,0,3.32,0.639406,0,3.32,-0.639406,0,3.38101,3.38101,-3.32,-3.32,1.27881,0,0,5,0
4,0.5,0.1,1,0.1,0,0.1,25440,8.36961,0.723857,1.83687,25440,2,6395,1598.75,1598.75,42918.4,3.33499e+06,3.37791e+06,0.43022,0.234214,0.00302673,25440,6,8957,0.000669867,0,0,0,322,8955,0.0359576,0,0,0,3.38076e+06,34545.6,0,0,-24874.8,6.424,10204.5,0,0,-24874.8,7.405,16286.9,7.405,20381.5,7.405,20033.7,13.6945,0.411447,6395,393,1,329029,0.00319289,9.70399e-09,-7.68162e-12,264052,121742,125647,12.5647,9.08831,16427.5,0,0,-10820.9,1.89062e-08,3.99268e-09,9.08831,16343.9,0,0,-10487.4,8.36961,3.38913e+06,42918.4,0,0,-10491.3,8.36961,3.37791e+06,42918.4,0,0,-10502.6,0.113161,0.00640266,0.0037952,0.163921,0.013435,0.00796363,0.00854167,0.000906223,0.000537166,31.8693,13.8632,0,2203.52,-11475.6,0,0,0,-10502.6,0,0,-10502.6,0,0,-10502.6,0,1.67392,23971,23973,63.2253,20.3936,0,7.14216,4.36348,0,1,0.274735,1,127,40,0,-1,0,0,3.98269,1.98115,0,3.98269,-1.98115,0,4.44823,4.44823,-3.98269,-3.98269,3.96231,0,0,5,0
5,0.6,0.1,1,0.1,0,0.1,25440,8.386,0.729287,2.03823,25440,2,6416,1604,1604,52843.6,3.32302e+06,3.37587e+06,0.377609,0.185263,0.0067217,25440,84,5203,0.0161445,0,0,0,68,5150,0.0132039,0,0,0,3.37791e+06,42918.4,0,0,-10502.6,7.405,13047.7,0,0,-10502.6,8.386,19323.6,8.386,24413.5,8.386,24140.1,15.9418,0.400884,6416,392,1,321108,0.00312029,9.71728e-09,-9.18705e-12,252260,118749,98308.6,9.83086,8.386,20791.6,0,0,-91.6113,1.60731e-08,3.8955e-09,8.386,20650.8,0,0,207.428,8.386,3.38784e+06,52843.6,0,0,205.609,8.386,3.37587e+06,52843.6,0,0,204.436,0.0607423,0.00184481,0.000888132,0.125966,0.00793368,0.00381944,0.0353333,0.000724482,0.00034878,31.8738,13.8152,0,1116.58,-12219.8,0,0,0,204.436,0,0,204.436,0,0,204.436,0,1.6772,24218,24220,28.7639,39.6135,0,2.99094e-16,-8.386,0,0,23.8865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.7,0.1,1,0.1,0,0.1,25440,9.367,0.772485,2.2606,25440,2,6407,1601.75,1601.75,65003.4,3.30982e+06,3.37482e+06,0.278534,0.123212,0.00196541,25440,18,2637,0.00682594,0,0,0,58,2573,0.0225418,0,0,0,3.37587e+06,52843.6,0,0,204.436,8.386,15774.1,0,0,204.436,9.367,22159.7,9.367,28059.9,9.367,27853.9,9.9305,0.332436,6407,390,1,266094,0.00256215,9.62875e-09,-7.19693e-12,238145,114641,70094.3,7.00943,9.367,24834.1,0,0,4095.57,1.38235e-08,3.20094e-09,9.367,24685.6,0,0,4384.92,9.367,3.38803e+06,65003.4,0,0,4384.08,9.367,3.37482e+06,65003.4,0,0,4384.15,0.0254359,0.000323493,0.000126604,0.063549,0.00201924,0.000790257,0.0129167,3.73517e-05,1.46181e-05,31.8771,13.7623,0,833.593,-13467.3,0,0,0,4384.15,0,0,4384.15,0,0,4384.15,0,1.8734,24116,24118,28.2449,36.0937,0,3.88363e-16,-9.367,0,0,27.4063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.8,0.1,1,0.1,0,0.1,25440,10.348,0.831179,2.49009,25440,2,6403,1600.75,1600.75,78871,3.29523e+06,3.3741e+06,0.236292,0.0948929,0.000628931,25440,0,1752,0,0,0,0,27,1695,0.0159292,0,0,0,3.37482e+06,65003.4,0,0,4384.15,9.367,18976.5,0,0,4384.15,10.348,25602.3,10.348,32665.7,10.348,32504.6,4.72816,0.284575,6403,378,1,227713,0.00210395,9.23948e-09,-1.00185e-11,236115,113204,25681.3,2.56813,10.348,29591.2,0,0,5687.18,1.01632e-08,2.62932e-09,10.348,29478.6,0,0,5957.49,10.348,3.38869e+06,78871,0,0,5956.35,10.348,3.3741e+06,78871,0,0,5956.52,0.0227163,0.000258016,8.32234e-05,0.0155001,0.000120126,3.87468e-05,0.00379103,1.05433e-06,3.40077e-07,31.8809,13.7038,0,964.7,-14875.3,0,0,0,5956.52,0,0,5956.52,0,0,5956.52,0,2.0696,24106,24108,28.2949,33.593,0,7.92681e-16,-10.348,0,0,27.7949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.9,0.1,1,0.1,0,0.1,25440,11.329,0.892218,2.72071,25440,2,6409,1602.25,1602.25,94156.7,3.27926e+06,3.37341e+06,0.235276,0.0864761,0.000471698,25440,0,1663,0,0,0,0,36,1573,0.0228862,0,0,0,3.3741e+06,78871,0,0,5956.52,10.348,23391.7,0,0,5956.52,11.329,30431.4,11.329,38666.7,11.329,38512.3,1.96475,0.276993,6409,378,1,221750,0.00208011,9.3804e-09,-1.34925e-11,236091,112902,14529.4,1.45294,11.329,35606.5,0,0,7252.82,1.18642e-08,2.5983e-09,11.329,35500.6,0,0,7540.52,11.329,3.38939e+06,94156.7,0,0,7539.19,11.329,3.37341e+06,94156.7,0,0,7539.37,0.0502731,0.00126369,0.000341434,0.0409103,0.000836825,0.0002261,0.00366575,4.2579e-06,1.15043e-06,31.8854,13.6398,0,1151.92,-16291.4,0,0,0,7539.37,0,0,7539.37,0,0,7539.37,0,2.2658,24878,24880,32.7598,38.8942,0,4.506e-16,-11.329,0,0,24.6058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0.1,1,0.1,0,0.1,25440,12.31,0.953167,2.95189,25440,2,6415,1603.75,1603.75,110837,3.26189e+06,3.37273e+06,0.23516,0.0796644,0.000235849,25440,0,1600,0,0,0,0,23,1547,0.0148675,0,0,0,3.37341e+06,94156.7,0,0,7539.37,11.329,28625.3,0,0,7539.37,12.31,36146.9,12.31,45849.8,12.31,45695.6,1.96486,0.276028,6415,374,1,221081,0.00207805,9.39951e-09,-1.09919e-11,235769,112475,13656.3,1.36563,12.31,42794.9,0,0,8882.72,1.0046e-08,2.59453e-09,12.31,42689.8,0,0,9185.94,12.31,3.39009e+06,110837,0,0,9184.74,12.31,3.37273e+06,110837,0,0,9184.9,0.0638801,0.00204034,0.000468309,0.0660472,0.00218112,0.000500622,0.00545606,6.223e-06,1.42834e-06,31.8907,13.5702,0,1338.88,-17709,0,0,0,9184.9,0,0,9184.9,0,0,9184.9,0,2.462,24138,24140,28.333,35.2465,0,-1.89755e-16,-12.31,0,0,27.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
