Fluid simulation profile
dimension=2
steps=1800
simulated_substeps=1800
domain=64
dx=0.5
frame_dt=0.1
scene=6
fluid_solver=flip
polypic_modes=4
jitter_seed=1
flip_percent=0
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=25440
wall_ms=1002538.718

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling_dx_0.5\20260629-035007\runs\PIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",570639,807816.870,807816.870,82.40,1.415636
2,"Diagnostics::record_step",1800,55216.946,55266.702,5.63,30.676081
3,"APIC_Simulation_2D::step",1800,30524.719,925049.284,3.11,16.958177
4,"Fluid_Simulation_2D::advect",1800,28659.186,28659.186,2.92,15.921770
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1800,13204.119,13204.119,1.35,7.335622
6,"Fluid_Simulation_2D::projection_2d",1800,9268.027,822134.649,0.95,5.148904
7,"APIC_Simulation_2D::particle_mechanical_energy",5400,7056.925,7056.925,0.72,1.306838
8,"Fluid_Simulation_2D::grid_to_particle",1800,5975.159,5975.159,0.61,3.319533
9,"Fluid_Simulation_2D::particle_to_grid",1800,5381.378,5381.378,0.55,2.989654
10,"Fluid_Simulation_2D::projection_dot_product",1715517,4963.721,4963.721,0.51,0.002893
11,"APIC_Simulation_2D::particle_kinetic_energy",5400,4938.935,4938.935,0.50,0.914618
12,"APIC_Simulation_2D::max_particle_speed",3600,3695.171,3695.171,0.38,1.026436
13,"APIC_Simulation_2D::max_grid_speed",10800,1086.830,1086.830,0.11,0.100632
14,"APIC_Simulation_2D::grid_kinetic_energy",10800,905.666,905.666,0.09,0.083858
15,"Fluid_Simulation_2D::extrapolate_velocity",3600,643.124,1023.700,0.07,0.178646
16,"Fluid_Simulation_2D::init_marker_vectors",3600,380.576,380.576,0.04,0.105716
17,"Fluid_Simulation_2D::enforce_boundary",1800,187.101,187.101,0.02,0.103945
18,"APIC_Simulation_2D::divergence_stats",3600,175.238,175.238,0.02,0.048677
19,"Fluid_Simulation::apply_forces_2d_settings",1800,100.507,100.507,0.01,0.055837
20,"Fluid_Simulation_2D::setup_rhs",1800,86.031,86.031,0.01,0.047795
21,"Diagnostics::fluid_measure_from",1800,48.329,48.329,0.00,0.026849
22,"Diagnostics::bounds_from",1801,1.428,1.428,0.00,0.000793
