step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,25440,3.481,0.607438,1.00344,25440,2,6360,1590,1590,12807.7,3.38792e+06,3.40073e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40444e+06,7139.03,0,0,-868.366,2.5,2105.74,0,0,-868.366,3.481,6161.9,3.481,7386.59,3.481,7225.46,1.962,0.286541,6360,366,1,228515,0.00213117,9.32618e-09,-7604.56,226888,87897.9,27969.3,2.79693,3.481,4711.87,0,0,-54434.3,1.21686e-08,2.67233e-09,3.481,4648.4,0,0,-54169.8,3.481,3.41011e+06,12807.7,0,0,-54169.8,3.481,3.40073e+06,12807.7,0,0,-54169.2,0.00750176,2.81382e-05,5.58911e-05,0,0,0,0,0,0,31.7794,14.0752,0,3850.73,-9557.09,0,0,0,-54169.7,0,0,-54169.2,0,0,-54169.7,0,0.6962,24418,24420,30.3186,37.7256,0,-1.71054e-16,-3.481,0,0,25.7744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.481
1,0.2,0.1,1,0.1,0,0.1,25440,7.14768,0.841846,1.34514,25440,2,6398,1599.5,1599.5,23015.6,3.37436e+06,3.39737e+06,0.464969,0.345666,0.00892296,25440,1,16213,6.16789e-05,0,0,0,0,0,0,0,0,0,3.40073e+06,12807.7,0,0,-54169.2,3.481,3879.06,0,0,-54169.2,4.462,9522.12,4.462,11416.3,4.462,11115.9,8.06532,0.320489,6398,367,1,256351,0.00237804,9.27647e-09,-4.04415e-12,230741,92119.4,92909.6,9.29096,7.44756,8325.81,0,0,-83518.1,1.20528e-08,2.97301e-09,7.44756,8431.89,0,0,-83034.2,7.14768,3.41094e+06,23015.6,0,0,-83034.2,7.14768,3.39737e+06,23015.6,0,0,-83040,0.0788009,0.00310479,0.00343184,0.0784047,0.00307365,0.00339742,0.025875,0.000712228,0.000787254,31.8083,14.0209,0,7286.22,-13850.6,0,0,0,-83042.4,0,0,-83040,0,0,-83042.4,0,1.42954,23846,23848,63.1881,5.41384,0,4.71879,5.36864,0,1,0.311898,1,127,11,0,-1,0,0,4.5357,4.7804,0,4.5357,-4.7804,0,6.58974,6.58974,-4.5357,-4.5357,9.56079,0,0,2,6.24348
2,0.3,0.1,1,0.1,0,0.1,25440,11.4729,1.01419,1.64425,25440,2,6409,1602.25,1602.25,34389.2,3.35715e+06,3.39154e+06,0.552207,0.335841,0.00475629,25440,29,10726,0.00270371,0,0,0,620,10713,0.0578736,0,0,0,3.39737e+06,23015.6,0,0,-83040,6.31314,6823.4,0,0,-83040,6.31314,13593.6,6.31314,16278.2,5.443,15853.4,15.6045,0.439661,6409,375,1,351976,0.003311,9.40689e-09,-6.42339e-12,232622,99951.4,121649,12.1649,12.5733,12485.8,0,0,-116194,1.9355e-08,4.13584e-09,12.5733,12731,0,0,-115846,11.4729,3.40875e+06,34389.2,0,0,-115846,11.4729,3.39154e+06,34389.2,0,0,-115875,0.205276,0.0210692,0.0155863,0.221324,0.0244922,0.0181185,0.0287083,0.00818466,0.00605474,31.8462,13.9519,0,9545.65,-17551.6,0,0,0,-115872,0,0,-115875,0,0,-115872,0,2.29459,23827,23829,63.3542,2.73543,0,10.9431,-3.44616,0,1,0.145767,1,127,5,0,-1,0,0,4.05372,-0.347624,0,4.05372,0.347624,0,4.0686,4.0686,-4.05372,-4.05372,0.695247,0,0,14,15.4856
3,0.4,0.1,1,0.1,0,0.1,25440,9.47727,0.737562,1.64926,25440,2,6406,1601.5,1601.5,34599.3,3.34622e+06,3.38081e+06,0.875127,0.530617,0.053184,25440,293,17409,0.0168304,0,0,0,9575,11826,0.809657,0,0,0,3.39154e+06,34389.2,0,0,-115875,7.25669,9985.59,0,0,-115875,7.25669,17709.1,6.71524,21286.1,6.424,20756.7,21.3844,0.524239,6406,395,1,419588,0.00402114,9.58355e-09,-7.73423e-12,589868,155104,136846,13.6846,10.6369,13668.7,0,0,-25181.2,2.18407e-08,5.02407e-09,10.6369,13584.8,0,0,-24929.8,9.47727,3.39175e+06,34599.3,0,0,-24929.8,9.47727,3.38081e+06,34599.3,0,0,-24929,0.127798,0.00816617,0.00600438,0.238649,0.0284766,0.0209381,0.10175,0.000338521,0.000248905,31.8605,13.9081,0,3560.26,-11177.5,0,0,0,-24933.9,0,0,-24929,0,0,-24933.9,0,1.89545,23951,23953,63.2297,17.7898,0,9.407,-1.15194,0,1,0.270253,1,127,35,0,-1,0,0,3.21167,-0.132413,0,3.21167,0.132413,0,3.2144,3.2144,-3.21167,-3.21167,0.264826,0,0,5,12.5873
4,0.5,0.1,1,0.1,0,0.1,25440,8.31591,0.725858,1.83839,25440,2,6395,1598.75,1598.75,42989.7,3.335e+06,3.37799e+06,0.430625,0.23424,0.00283019,25440,6,9003,0.000666445,0,0,0,337,9002,0.0374361,0,0,0,3.38081e+06,34599.3,0,0,-24929,6.424,10255.6,0,0,-24929,7.405,16338,7.405,20452,7.405,20110.6,17.5593,0.42678,6395,393,1,341291,0.00334817,9.81031e-09,-6.92723e-12,264370,121798,127129,12.7129,9.15082,16491.2,0,0,-10795.3,1.75161e-08,4.18685e-09,9.15082,16398,0,0,-10428.9,8.31591,3.38921e+06,42989.7,0,0,-10428.9,8.31591,3.37799e+06,42989.7,0,0,-10440.1,0.112468,0.00632449,0.00374265,0.16207,0.0131333,0.00777191,0.0075,0.000832135,0.000492433,31.8693,13.8632,0,2195.66,-11470.9,0,0,0,-10444.7,0,0,-10440.1,0,0,-10444.7,0,1.66318,23971,23973,63.2258,20.3866,0,7.09956,4.3302,0,1,0.274236,1,127,40,0,-1,0,0,4.0233,1.976,0,4.0233,-1.976,0,4.48235,4.48235,-4.0233,-4.0233,3.952,0,0,5,8.02281
5,0.6,0.1,1,0.1,0,0.1,25440,8.386,0.732388,2.04034,25440,2,6414,1603.5,1603.5,52953,3.32303e+06,3.37599e+06,0.377157,0.18485,0.00676101,25440,89,5194,0.0171352,0,0,0,78,5132,0.0151988,0,0,0,3.37799e+06,42989.7,0,0,-10440.1,7.405,13132,0,0,-10440.1,8.386,19412.2,8.386,24523.1,8.386,24247,16.165,0.410941,6414,391,1,329112,0.00306977,9.32743e-09,-1.02572e-11,252521,118849,98769.7,9.87697,8.386,20890.1,0,0,-82.4955,1.82033e-08,3.83302e-09,8.386,20735.3,0,0,272.748,8.386,3.38795e+06,52953,0,0,272.748,8.386,3.37599e+06,52953,0,0,271.431,0.0628209,0.00197324,0.000947993,0.126098,0.00795041,0.00381958,0.0355833,0.000790135,0.000379601,31.8737,13.8152,0,1114.51,-12215.8,0,0,0,267.682,0,0,271.431,0,0,267.682,0,1.6772,24747,24749,32.2601,35.7442,0,-9.94494e-16,-8.386,0,0,27.7558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53834
6,0.7,0.1,1,0.1,0,0.1,25440,9.367,0.775563,2.26252,25440,2,6406,1601.5,1601.5,65113.7,3.30985e+06,3.37496e+06,0.281264,0.124314,0.00208333,25440,24,2678,0.00896191,0,0,0,59,2589,0.0227887,0,0,0,3.37599e+06,52953,0,0,271.431,8.386,15863.1,0,0,271.431,9.367,22258.6,9.367,28213.8,9.367,28005.8,13.201,0.353196,6406,390,1,282689,0.00275535,9.74692e-09,-1.27472e-11,238597,114828,73818.6,7.38186,9.367,24967.2,0,0,4299.18,1.64024e-08,3.44257e-09,9.367,24792.6,0,0,4681.24,9.367,3.38815e+06,65113.7,0,0,4681.24,9.367,3.37496e+06,65113.7,0,0,4681.88,0.0256329,0.000328523,0.000128354,0.0649304,0.00210798,0.000823589,0.0125417,2.90667e-05,1.13564e-05,31.8769,13.7624,0,809.12,-13452.4,0,0,0,4677.66,0,0,4681.88,0,0,4677.66,0,1.8734,24773,24775,32.2331,38.3647,0,-1.18534e-16,-9.367,0,0,25.1353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.367
7,0.8,0.1,1,0.1,0,0.1,25440,10.348,0.834353,2.492,25440,2,6401,1600.25,1600.25,78992.2,3.29528e+06,3.37427e+06,0.237092,0.0951412,0.000825472,25440,2,1877,0.00106553,0,0,0,69,1743,0.0395869,0,0,0,3.37496e+06,65113.7,0,0,4681.88,9.367,19053.1,0,0,4681.88,10.348,25693.2,10.348,32849.2,10.348,32678.3,9.19067,0.320309,6401,374,1,256267,0.00246,9.59935e-09,-1.19884e-11,236357,113592,38694.6,3.86946,10.348,29744.5,0,0,5753.11,1.30194e-08,3.07476e-09,10.348,29589.8,0,0,6126.91,10.348,3.38884e+06,78992.2,0,0,6126.91,10.348,3.37427e+06,78992.2,0,0,6126.81,0.0242972,0.000295178,9.50641e-05,0.0156869,0.00012304,3.96258e-05,0.00712381,5.51298e-06,1.7755e-06,31.8805,13.704,0,911.429,-14855.6,0,0,0,6123.16,0,0,6126.81,0,0,6123.16,0,2.0696,24795,24797,32.2688,39.8863,0,-1.61139e-16,-10.348,0,0,23.6137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.348
8,0.9,0.1,1,0.1,0,0.1,25440,11.329,0.896379,2.72266,25440,2,6409,1602.25,1602.25,94291.5,3.27933e+06,3.37362e+06,0.235659,0.0865548,0.000511006,25440,1,1690,0.000591716,0,0,0,45,1606,0.0280199,0,0,0,3.37427e+06,78992.2,0,0,6126.81,10.348,23458.8,0,0,6126.81,11.329,30505.3,11.329,38804.2,11.329,38650.3,4.12241,0.291663,6409,378,1,233494,0.00220198,9.43054e-09,-1.07441e-11,236387,113220,16129.4,1.61294,11.329,35734.1,0,0,7219.7,1.02791e-08,2.75054e-09,11.329,35609.1,0,0,7632.15,11.329,3.38957e+06,94291.5,0,0,7632.15,11.329,3.37362e+06,94291.5,0,0,7631.73,0.0508524,0.00129298,0.000348849,0.0413283,0.000854013,0.000230414,0.00295759,2.48422e-06,6.70248e-07,31.8848,13.6401,0,1088.18,-16269.5,0,0,0,7628.81,0,0,7631.73,0,0,7628.81,0,2.2658,24041,24043,27.6698,34.7337,0,7.07496e-16,-11.329,0,0,27.1698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.329
9,1,0.1,1,0.1,0,0.1,25440,12.31,0.959241,2.95389,25440,2,6418,1604.5,1604.5,110988,3.26197e+06,3.37296e+06,0.236992,0.0802304,0.000471698,25440,4,1744,0.00229358,0,0,0,43,1564,0.0274936,1,3.93082e-05,0.175619,3.37362e+06,94291.5,0,0,7631.73,11.329,28713.5,0,0,7631.73,12.31,36239.9,12.31,45994.4,12.31,45839.6,4.42519,0.285109,6418,381,1,228408,0.0021788,9.53906e-09,-2.33395e-11,236097,112617,18192.9,1.81929,12.31,42931.4,0,0,8930.31,1.13566e-08,2.71967e-09,12.31,42814.9,0,0,9376.92,12.31,3.39032e+06,110988,0,0,9376.92,12.31,3.37296e+06,110988,0,0,9376.72,0.0643751,0.00207207,0.000474948,0.0664548,0.00220812,0.000506131,0.00428988,1.08147e-05,2.47889e-06,31.8899,13.5706,0,1287.59,-17700,0,0,0,9374.48,0,0,9376.72,0,0,9374.48,0,2.462,24044,24046,27.5465,33.7732,0,-6.28476e-16,-12.31,0,0,27.0465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.31
