Fluid simulation profile
dimension=2
steps=1800
simulated_substeps=1800
domain=64
dx=0.5
frame_dt=0.1
scene=6
fluid_solver=polypic
polypic_modes=4
jitter_seed=1
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=25440
wall_ms=732823.517

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling_dx_0.5\20260629-035007\runs\POLYPIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",481609,519152.075,519152.075,73.14,1.077953
2,"Diagnostics::record_step",1800,59126.155,59176.621,8.33,32.847864
3,"APIC_Simulation_2D::step",1800,41581.789,650591.266,5.86,23.100994
4,"Fluid_Simulation_2D::advect",1800,28737.260,28737.260,4.05,15.965145
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1800,13239.319,13239.319,1.87,7.355177
6,"Fluid_Simulation_2D::grid_to_particle",1800,9978.235,9978.235,1.41,5.543464
7,"Fluid_Simulation_2D::particle_to_grid",1800,8951.698,8951.698,1.26,4.973165
8,"APIC_Simulation_2D::particle_mechanical_energy",5400,7079.199,7079.199,1.00,1.310963
9,"Fluid_Simulation_2D::projection_2d",1800,6194.251,528617.460,0.87,3.441251
10,"APIC_Simulation_2D::particle_kinetic_energy",5400,5007.892,5007.892,0.71,0.927387
11,"APIC_Simulation_2D::max_particle_speed",3600,3754.410,3754.410,0.53,1.042892
12,"Fluid_Simulation_2D::projection_dot_product",1448427,3204.673,3204.673,0.45,0.002213
13,"APIC_Simulation_2D::max_grid_speed",10800,1140.702,1140.702,0.16,0.105621
14,"APIC_Simulation_2D::grid_kinetic_energy",10800,943.714,943.714,0.13,0.087381
15,"Fluid_Simulation_2D::extrapolate_velocity",3600,709.709,1104.356,0.10,0.197141
16,"Fluid_Simulation_2D::init_marker_vectors",3600,394.647,394.647,0.06,0.109624
17,"Fluid_Simulation_2D::enforce_boundary",1800,190.578,190.578,0.03,0.105877
18,"APIC_Simulation_2D::divergence_stats",3600,161.911,161.911,0.02,0.044975
19,"Fluid_Simulation::apply_forces_2d_settings",1800,102.744,102.744,0.01,0.057080
20,"Fluid_Simulation_2D::setup_rhs",1800,66.461,66.461,0.01,0.036923
21,"Diagnostics::fluid_measure_from",1800,49.049,49.049,0.01,0.027249
22,"Diagnostics::bounds_from",1801,1.418,1.418,0.00,0.000787
